eng_text,tgt_lang,tgt_lang_text,eng_reln,gemma_3_12b
"Babushka is the name for grandmother in Russian.
",mal_Mlym,"റഷ്യൻ ഭാഷയിൽ മുത്തശ്ശി എന്നാണ്​ ‘ബാബുഷ്​ക’യുടെ അർഥം.
",grandmother,X
"After Henry died, his wife, Marie de Medici, ruled France as her cousin Catherine had before.
",mal_Mlym,"ഹെൻ‌റി രാജാവിന്റെ മരണശേഷം, ഭാര്യ കാതറിൻ ഡി മെഡിസി ഫ്രാൻസിന്റെ രാജ്ഞി റീജന്റായി.
",cousin,X
"His grandparents, wife, children and cousins are in the house.
",mal_Mlym,"വീട്ടില്‍ അമ്മയുടെ അമ്മയും പെങ്ങളും ജ്യേഷ്ഠന്റെ ഭാര്യയും കുട്ടിയുമുണ്ട്.
",cousin,B
"Afterward, we moved into the home of my father's cousin.
",mal_Mlym,"പിന്നീട് അമ്മയുടെ ഓഹരി വിറ്റു ഞങ്ങള്‍ അച്ഛന്റെ തറവാട്ടിലേക്ക് പോയി.
",cousin,B
"Besides being cousins, they were also best friends and brothers.
",mal_Mlym,"സഹോദരനും സഹോദരനും എന്നതിലുപരി ബെസ്റ്റ് ഫ്രണ്ട്സ് കൂടിയാണിരുവരും.
",cousin,B
"“Besides being cousins, they were very good friends.
",mal_Mlym,"സഹോദരങ്ങള്‍ എന്നതിനേക്കാളുപരി ഇവര്‍ നല്ല സുഹൃത്തുക്കള്‍ കൂടിയായിരുന്നു.
",cousin,B
"An “Earth cousin” has been found orbiting a star 500 light-years away.
",mal_Mlym,"ഭൂമിയില്‍നിന്ന് 500 പ്രകാശവര്‍ഷമകലെ ഒരു ചെറുനക്ഷത്രത്തെ ചുറ്റുന്ന ഭീമന്‍ഗ്രഹത്തെ ഗവേഷകര്‍ തിരിച്ചറിഞ്ഞു.
",cousin,X
"There were 36 cousins in her generation alone.
",mal_Mlym,"അവരില്‍ 36 പേര്‍ക്കു മാത്രമേ പിന്‍ഗാമികള്‍ ജനിച്ചുള്ളൂ.
",cousin,X
"Aunts and Uncles and cousins were in other houses nearby.
",mal_Mlym,"ഉപ്പയും ഉമ്മയും സഹോദരങ്ങളും സമീപത്തെ മറ്റൊരു സ്ഥലത്ത് താമസിക്കുകയാണിപ്പോള്‍.
",cousin,X
"Hrithik Roshan introduces cousin Pashmina to his fans.
",mal_Mlym,"സഹോദരി പഷ്മിനാ റോഷനെ ആരാധകർക്ക് പരിചയപ്പെടുത്തിയിരിക്കുകയാണ് ബോളിവുഡ് നടൻ ഹൃത്വിക് റോഷൻ.
",cousin,B
"Munde lost the election to her cousin Dhananjay Munde, who is with NCP.
",mal_Mlym,"എന്‍സിപിയുടെ ധനഞ്ജയ് മുണ്ഡെയോട് തിരഞ്ഞെടുപ്പില്‍ പങ്ക മുണ്ഡെ തോറ്റിരുന്നു.
",cousin,B
"According to Ziauddin, most of his siblings and cousins – Fakhruddin Ali Ahmed’s children – lived outside Assam and had not applied to be included in the state’s citizenry register.
",mal_Mlym,"ഫക്രുദ്ദീന്‍ അലി അഹമ്മദിന്റെ മക്കള്‍ ഉള്‍പ്പെടെയുള്ള തന്റെ അര്‍ദ്ധ സഹോദരരെല്ലാം അസാമിന് വെളിയില്‍ താമസിക്കുന്നതിനാല്‍ സംസ്ഥാനത്തിന്റെ പൗരത്വ പട്ടികയില്‍ ഇടംനേടുന്നതിനായി അപേക്ഷിച്ചിട്ടില്ലെന്ന് സിയൂാവുദ്ദീന്‍ വിശദീകരിക്കുന്നു.
",cousin,B
"Young man arrested for cousin’s murder
",mal_Mlym,"വീട്ടമ്മയെ വെട്ടിപ്പരുക്കേല്‍പിച്ച കേസില്‍ യുവാവ് അറസ്റ്റില്‍
",cousin,X
"The girl's cousin lodged a police complaint alleging that his sister has been murdered.
",mal_Mlym,"പീഡനത്തിനിരയായ പെൺകുട്ടിയുടെ സഹോദരിയാണ്​ പോലീസിൽ പരാതി നൽകിയത്​.
",cousin,B
"“This is my cousin.
",mal_Mlym,"'ഇതെന്റെ അനിയിത്തിയാണ്.
",cousin,B
"Three people including the woman's father and her cousins have been arrested.
",mal_Mlym,"കേസില്‍ സ്ത്രീയും പ്രതിയുടെ പിതാവ് ഉള്‍പ്പെടെ മൂന്ന് കുടുംബാംഗങ്ങളും അറസ്റ്റിലായിട്ടുണ്ട്.
",cousin,B
"Young man arrested for cousin’s murder
",mal_Mlym,"രണ്ടാനച്ഛനെ കൊലപ്പെടുത്താൻശ്രമിച്ച യുവാവ് അറസ്റ്റിൽ
",cousin,X
"BJP supporter shoots cousin for voting for Congress
",mal_Mlym,"കോണ്‍ഗ്രസിന് വോട്ട് ചെയ്ത സഹോദരനെ ബിജെപി പ്രവര്‍ത്തകന്‍ വെടിവെച്ചു
",cousin,B
"A few days later we went to out cousins house.
",mal_Mlym,"കുറച്ച് ദിവസങ്ങൾ കഴിഞ്ഞ് ഞങ്ങൾ ഭാര്യയുടെ വീട്ടിലേക്ക് പോയി.
",cousin,B
"Both are cousin brothers.
",mal_Mlym,"ഇരുവരും കസിൻ സഹോദരരാണ്.
",cousin,B
"Young man arrested for cousin’s murder
",mal_Mlym,"മതംമാറാത്തതിന് സഹോദരീ ഭർത്താവിനെ മർദിച്ച കേസിൽ യുവാവ് അറസ്റ്റിൽ
",cousin,B
"Among the dead, two are cousins.
",mal_Mlym,"മരിച്ചവരില്‍ രണ്ട് ഗര്‍ഭിണികളും ഉള്‍പ്പെടുന്നു.
",cousin,B
"She also said that veteran actress Jayabharathi is her father’s cousin.
",mal_Mlym,"കൂടാതെ പ്രശസ്ത നടി ജയഭാരതി തന്റെ അച്ഛന്റെ കസിന്‍ ആണെന്നും ഉമ വെളിപ്പെടുത്തിയിരുന്നു.
",cousin,B
"The police also filed chargesheet against Rocky's cousin Teni Yadav, his father Bindi Yadav and his lawmaker mother's bodyguard Rajesh Kumar in the teenage murder case.
",mal_Mlym,"കേസില്‍ റോക്കിയുടെ അച്ഛന്‍ ബിന്ദി യാദവ്, ഇയാളുടെ ബോഡി ഗാര്‍ഡ് രാജേഷ് കുമാര്‍, റോക്കിയുടെ മകന്‍ തേനി യാദവ് എന്നിവരും കുറ്റക്കാരാണെന്ന് കോടതി കണ്ടെത്തിയിട്ടുണ്ട്.
",cousin,B
"A cousin, Maganlal Gandhi, suggested 'Sadagraha' (firmness in good cause).
",mal_Mlym,"മഗൻലാൽ ഗാന്ധി എന്നയാൾ ‘നല്ലകാര്യത്തിൽ സ്ഥിരത’ firmness in a good cause എന്നർഥമുള്ള ‘സദാഗ്രഹം’ എന്ന പേര് നിർദേശിച്ചു.
",cousin,B
"Three people including the woman's father and her cousins have been arrested.
",mal_Mlym,"കുഞ്ഞിന്റെ അമ്മയുള്‍പ്പെടെയുള്ള മൂന്നു സ്ത്രീകളും ഒരു പുരുഷനുമാണ് അറസ്റ്റിലായത്.
",cousin,B
"She is my cousin.
",mal_Mlym,"അവളെന്റെ അർദ്ധാംഗിനി.
",cousin,X
"Young man arrested for cousin’s murder
",mal_Mlym,"വീട്ടില്‍ അതിക്രമിച്ചുകയറി സഹോദരനെ മര്‍ദിച്ചുവെന്ന പരാതിയില്‍ യുവാവ് അറസ്റ്റില്‍
",cousin,B
"Brothers arrested for killing cousin
",mal_Mlym,"ജ്യേഷ്ഠനെ കൊന്ന കേസിൽ സഹോദരൻ അറസ്റ്റിലായി.
",cousin,B
"Young man arrested for cousin’s murder
",mal_Mlym,"സഹോദരനെ ആക്രമിച്ച കേസില്‍ യുവാവിന് തടവ്
",cousin,B
"Marriage between first cousins illegal: Punjab and Haryana HC
",mal_Mlym,"സഹോദരങ്ങളുടെ മക്കൾ തമ്മിലുള്ള വിവാഹം നിയമവിരുദ്ധം; നേരിട്ട് രക്തബന്ധത്തിലുള്ളവരാണെങ്കിൽ ഇരുവരും തമ്മിലുള്ള വിവാഹം അംഗീകരിക്കാൻ കഴിയില്ലെന്ന് പഞ്ചാബ് -ഹരിയാന ഹൈക്കോടതി
",cousin,B
"Brothers arrested for killing cousin
",mal_Mlym,"ജ്യേഷ്ഠനെ വെട്ടിക്കൊന്ന അനുജന്‍ അറസ്റ്റില്‍
",cousin,B
"Around the same time, my wife’s cousin got married.
",mal_Mlym,"ഇതിനിടയില്‍എനിക്ക്‌മൂത്ത സഹോദരിയുടെ വിവാഹം കഴിഞ്ഞിരുന്നു.
",cousin,B
"Her husband is my wife’s cousin.
",mal_Mlym,"എന്റെ ഭർത്താവിന്റെ ചേട്ടന്റെ ഭാര്യവീട് കോടനാടാണ്.
",cousin,X
"Wife, cousin arrested for murdering man
",mal_Mlym,"യുവാവിനെ തലക്കടിച്ച് കൊലപ്പെടുത്തിയ ഭാര്യയും കാമുകനും അറസ്റ്റില്‍
",cousin,B
"Ritika is Geeta and Babita’s maternal cousin.
",mal_Mlym,"ഗീത ഫോട്ടിന്റേയും ബബിത ഫോഗട്ടിന്റേയും കസിന്‍ സഹോദരിയാണ് റിതിക.
",cousin,B
"Her brother Varun Tej and cousins Ram Charan, Sai Dharam Tej, Allu Arjun and Allu Sirish are also actors in Tollywood.
",mal_Mlym,"സൂപ്പർ താരങ്ങളായ രാം ചരൺ, അല്ലു അർജുൻ, വരുൺ തേജ്, സായ് ധറം, അല്ലു ശിരീഷ് എന്നിവർ സഹോദരന്മാരും.
",cousin,B
"Young man arrested for cousin’s murder
",mal_Mlym,"ഉറ്റസുഹൃത്തിനെ കൊലപ്പെടുത്തിയ യുവാവ് പിടിയില്‍
",cousin,B
"Priyanka later attended Nick's cousins wedding.
",mal_Mlym,"പിന്നീട് നിക്കിന്‍റെ കുടുംബ ചടങ്ങില്‍ പ്രിയങ്ക എത്തിയിരുന്നു.
",cousin,B
"Then I called my cousin brother.
",mal_Mlym,"അന്നേരം ഞാന്‍ പിന്നെ അവിടുത്തെ ചെറുക്കനെ വിളിച്ചു.
",cousin,B
"“Congratulations on your birthday cousin!
",mal_Mlym,"“എറെ സന്തോഷത്തോടെ ജന്മദിനാശംസകൾ അറിയിക്കുകയാണ് എന്റെ ആം !
",cousin,B
"Teenager arrested for raping cousin
",mal_Mlym,"സഹോദരിമാരെ പീഡിപ്പിച്ച കേസിൽ വയോധികൻ അറസ്റ്റിൽ
",cousin,X
"A sister or brother, cousin, or maybe just a friend.
",mal_Mlym,"സഹപാഠിയാകാം, കാമുകനാകാം, വെറും അടുപ്പക്കാരനാകാം.
",cousin,B
"Abd Allah ibn Abbas was a paternal cousin of the Islamic prophet Muhammad.
",mal_Mlym,"നബിയുടെ പിതാമഹനായിരുന്ന അബ്ദുൽ മുത്തലിബ് തന്നെയായിരുന്നു ഇബ്ൻ അബ്ബാസിന്റെയും പിതാമഹൻ.
",cousin,X
"Pankaja is trailing her cousin Dhananjay Munde in the Parli seat in Beed district in the Maharashtra assembly elections.
",mal_Mlym,"മഹാരാഷ്ട്ര നിയമസഭാ തിരഞ്ഞെടുപ്പിൽ പർളി മണ്ഡലത്തിൽ പിതൃസഹോദരനായ ധനജ്ഞയ മുണ്ടെയോട് തോറ്റതിനെ തുടർന്ന് പാർട്ടി നേതൃത്വത്തോട് ഇടഞ്ഞു നിൽക്കുകയാണ് പങ്കജ മുണ്ടെ.
",cousin,X
"Husband murdered wife, buried her body with cousin’s help
",mal_Mlym,"കാമുകന്റെ സഹായത്തോടെ ഭര്‍ത്താവിനെ കൊന്നു; മൃതദേഹം വീട്ടിനുള്ളില്‍ കുഴിച്ചിട്ടു
",cousin,X
"Hrithik Roshan introduces cousin Pashmina to his fans.
",mal_Mlym,"സഹോദരി പഷ്മിനാ റോഷനെ ആരാധകര്‍ക്ക് പരിചയപ്പെടുത്തി ഹൃത്വിക് റോഷന്‍.
",cousin,X
"Along with him were his brother and a cousin.
",mal_Mlym,"കാമുകനോപ്പം സഹോദരനും അമ്മാവനും ഉണ്ടായിരുന്നു.
",cousin,X
"My cousin sister.
",mal_Mlym,"എന്റെ ഭര്‍ത്താവിന്റെ സഹോദരിയും.
",cousin,X
"Teenager arrested for raping cousin
",mal_Mlym,"സഹോദരിയെ പീഡിപ്പിച്ച യുവാവ്‌ അറസ്റ്റില്‍
",cousin,X
"I have eight cousins and I’m the youngest.
",mal_Mlym,"ഞങ്ങൾ സഹോദരങ്ങൾ എട്ടു പേരാണുള്ളത് ഞാൻ എട്ടാമത്തെ ആളാണ്.
",cousin,B
"Five-year-old dies after cousin rapes her
",mal_Mlym,"അഞ്ചുവയസുളള സഹോദരനുമായി വഴക്കിട്ടതിനെ തുടര്‍ന്ന് പത്തുവയസുകാരി ആത്മഹത്യ ചെയ്തു
",cousin,X
"Bollywood actor Ranbir Kapoor is her cousin.
",mal_Mlym,"പ്രണയത്തെ പാടിപുകഴ്ത്തി ബോളിവുഡ് നടന്‍ രണ്‍ബീര്‍ കപൂര്‍.
",cousin,X
"The police have arrested the cousin of the murdered in connection with the case.
",mal_Mlym,"വീട്ടമ്മയെ മാനഭംഗപ്പെടുത്തിയ കേസുമായി ബന്ധപ്പെട്ട് വീട്ടമ്മയുടെ ഭര്‍ത്താവിന്‍റെ സുഹൃത്തിനെ പൊലീസ് അറസ്റ്റ് ചെയ്തു.
",cousin,X
"His cousin brother and Bollywood actor Ajay Devgn shared the news on Twitter.
",mal_Mlym,"തന്റെ ഇളയ സഹോദരനും സംവിധായകനുമായ അനിലിന്റെ വിയോഗവാര്‍ത്ത ട്വിറ്ററിലൂടെയാണ് അജയ് ദേവ്ഗണ്‍ പങ്ക് വെച്ചിരിക്കുന്നത്.
",cousin,X
"A friend’s cousin was killed there.
",mal_Mlym,"അവിടെ വെച്ചു സുഹൃത്ത് മരണപ്പെട്ടു.
",cousin,X
"Police have filed a case against the girl's father and cousin and arrested them.
",mal_Mlym,"സംഭവത്തിൽ ഉപ്പുതറ പൊലീസ് കേസ്സെടുക്കുകയും കാമുകനെയും മാതാവിനെയും അറസ്റ്റുചെയ്യുകയും ചെയ്തിരുന്നു.
",cousin,X
"The cousins playing together
",mal_Mlym,"ഒന്നിച്ച് അഭിനയിച്ച സഹോദരതാരങ്ങൾ
",cousin,X
"But I have cousin.
",mal_Mlym,"പക്ഷേ എനിക്കൊരു കോണ്‍ഫിഡന്‍സ് ഉണ്ട്.
",cousin,B
"A sister, a daughter, a brother or a cousin.
",mal_Mlym,", അമ്മയോ, മകളോ, സഹോദരനോ, സുഹൃത്തോ ഒക്കെ ആയിരിക്കും.
",cousin,X
"In the morning, Ajit Pawar met Sadanand Sule, husband of his cousin and Sharad Pawar's daughter Supriya Sule, at a hotel in South Mumbai, sources said.
",mal_Mlym,"പവാർ സംസാരിച്ചതിന് പിന്നാലെ, അജിത് പവാറുമായി സുപ്രിയ സുലെ ഭർത്താവ് സദാനന്ദ് സുലെ തെക്കൻ മുംബൈയിലെ ഹോട്ടലിൽ വച്ച് കൂടിക്കാഴ്ച നടത്തിയിരുന്നു.
",cousin,B
"Police have filed a case against the girl's father and cousin and arrested them.
",mal_Mlym,"സംഭവവുമായി ബന്ധപ്പെട്ട് പെണ്‍കുട്ടിയെ കസ്റ്റഡിയിലെടുത്ത പോലീസ് മാതാപിതാക്കളെയും സഹോദരനെയും അറസ്റ്റ് ചെയ്തു.
",cousin,B
"My cousin wasn’t there.
",mal_Mlym,"നന്ദേട്ടൻ അപ്പോഴവിടെ ഇല്ലായിരുന്നു.
",cousin,B
"Wife, cousin arrested for murdering man
",mal_Mlym,"ഗൃഹനാഥനെ കൊന്ന കേസിൽ ഭാര്യയും കാമുകനും മാതാവും റിമാൻഡിൽ
",cousin,X
"A cousin, his lovely wife, and two adorable sons.
",mal_Mlym,"അവൻ ഒരു മനോഹരമായ ഭാര്യയും രണ്ടു അത്ഭുതകരമായ പുത്രന്മാർ ഉണ്ട്.
",cousin,B
"Solanki’s cousin Shiva Solanki, Shailesh Pandya, Bahadursinh Vadher, Panchan Desai, Sanjay Chauhan and Udaji Thakore were the other convicts.
",mal_Mlym,"നു സോളങ്കിക്കു പുറമെ അദ്ദേഹത്തിന്റെ അനന്തരവൻ ശിവ സോളങ്കി, സഞ്ജയ് ചൗഹാൻ, ശൈലേഷ് പാണ്ഡെ, പഞ്ചൻ ദേശായി, ഉദജി താക്കൂർ, പൊലീസ് കോൺസ്റ്റബിൾ ബഹാദൂർസിങ് വാദർ എന്നിവരാണ് ശിക്ഷിക്കപ്പെട്ടിരിക്കുന്നത്.
",cousin,B
"Young man arrested for cousin’s murder
",mal_Mlym,"യുവാവിന്റെ മരണം കൊലപാതകമെന്ന് തെളിഞ്ഞു, സഹോദരന്‍ അറസ്റ്റില്‍
",cousin,B
