eng_Latn,ben_Beng
"""""""""""I'm your second aunt.""
","""""""আমি, আমি তোর পারুল চাচী।""
"
"""""""Are you an aunt?""""""
","""""""মানে আপনিই কি শাশ্বতী আন্টি?""
"
"""""""Did you call your aunt this morning?""""""
","""""""দাদি, ও দাদি আজ সকালে চাচু টেলিফোন করেছিল?""
"
"""""""Did you meet the aunt?""""""
","""""""তোমার আন্টির সাথে পরিচয় হয়েছে?""
"
"""""""Do you know my great aunt?""
","""-""""তুমি বুঝি আমার তনিম মামার আন্টি?""
"
"""""""How is my aunt, Father?""""""
","'আমার পরী কেমন আছে, পরীর বাপ?
"
"""""""How's my aunt this morning?""
",""""""" আজ সকালে যেমনটা হল মামা ?""
"
"""""""How's your aunt this morning?""""""
",""""""" আজ সকালে যেমনটা হল মামা ?""
"
"""""""I am your favorite aunt.""
","""""""আমি, আমি তোর পারুল চাচী।""
"
"""""""I came with my aunt.""
","""""""আন্টির সাথে এসেছি আপু।""
"
"""""""I don't know, aunt.""
","""""""জানিনা আন্টি।""
"
"""""""I know that, aunt.""
","""""""সেটা জানি আঙ্কল।""
"
"""""""I think I will be going to meet her and my aunt in December and hopefully we can travel back together with our Stuart Little,"""" he added.""
","""তনুজ যোগ করেছেন, """"আমি মনে করি ডিসেম্বরে আমি তার এবং আমার খালার সাথে দেখা করতে যাব এবং আশা করি আমরা আমাদের স্টুয়ার্ট লিটলকে নিয়ে আবার একসাথে ভ্রমণ করতে পারব।""
"
"""""""I think I will be going to meet her and my aunt in December and hopefully we can travel back together with our Stuart Little.""""""
","""তনুজ যোগ করেছেন, """"আমি মনে করি ডিসেম্বরে আমি তার এবং আমার খালার সাথে দেখা করতে যাব এবং আশা করি আমরা আমাদের স্টুয়ার্ট লিটলকে নিয়ে আবার একসাথে ভ্রমণ করতে পারব।""
"
"""""""I'm with your aunt.""
","""""""আন্টির সাথে এসেছি আপু।""
"
"""""""I'm your aunt.""
","""""""আমি তোমার একটা আন্টি।""
"
"""""""My aunt also played cricket for a short span in 1980's.""
","""""""আমার খালাও ১৯৮০ এর দশকে স্বল্প সময়ের জন্য ক্রিকেট খেলতেন।""
"
"""""""My aunt also played cricket for a short span in the 1980s.""
","""""""আমার খালাও ১৯৮০ এর দশকে স্বল্প সময়ের জন্য ক্রিকেট খেলতেন।""
"
"""""""My aunt often speaks of your mother.""""""
","""""""তোমার নানী প্রায়ই আক্কেল তুলে কথা বলে।""
"
"""""""My aunt worked in retail too, but she's older than my parents and probably would never think to talk to me about that sort of thing.""""""
","""""""আমার খালাও খুচরা ক্ষেত্রে কাজ করতেন, তবে তিনি আমার বাবা-মায়ের চেয়ে বয়স্ক এবং সম্ভবত এই ধরণের জিনিস সম্পর্কে কখনও আমার সাথে কথা বলবেন না।""
"
"""""""My mom, two brothers, their families, my grandmother, my aunt and my uncle are all in a like a 25-square foot house with no power and a tree on top of it,"""" Favre told the media.""
","আমার মা, দুই ভাই, তাদের পরিবার, আমার নানী, আমার খালা এবং মামা সকলেই এমন একটি 25 বর্গফুট ফুট বাড়ির মতো যার বিদ্যুত এবং তার উপরে গাছ নেই, - ব্রেট ফ্যাভ্রে
"
"""""""That video went viral and there's nothing we could do to change that,"""" Gina Jaschke, Lewis' aunt, told the BBC.""
","""'এই ভিডিওটি ভাইরাল হয়ে গেছে এবং এটিকে পরিবর্তন করতে আমরা কিছুই করতে পারি না,' লুইসের খালা জিনা জ্যাশকে, বলেছে বিবিসি """"কেউই জানত না যে ঘটতে চলেছে।""
"
"""""""This South actor who suddenly divorced his wife was married for 4 years and in a relationship with her for more than a decade recently came in contact with a Bollywood superstar who is also known as Bollywood divorce expert, has ruined many women and children's lives, is now his guiding light and agony aunt.""
","""""""দক্ষিণী অভিনেতা তার চার বছরের বিয়ে ভেঙে ফেলতে চলেছেন এবং সম্প্রতি একজন বলিউড সুপারস্টার, ডিভোর্স এক্সপার্টের সংস্পর্শে এসেছেন, যিনি অনেক নারী ও শিশুদের জীবন নষ্ট করেছেন।""
"
"""""""This is your aunt's house?""
","'এটা আপনার বাড়ি আন্টি?
"
"""""""When did you find out that your aunt was dead?""""""
","""""""তুমি কখন জানলে যে, তোমার আঙ্কল মারা গেছেন?""
"
"""""""When did your aunt die?""""""
","""""""কবে মরেছে চাচা?""
"
"""""""Why not, aunt?""
","""""""কেন না চাচা?""
"
"""""""Won't you speak to me, aunt?""""""
","""""""তুমি কি আমার সাথে কথা বলবে না মামা?""
"
"""""""Your aunt is great!""""""
","""""""তোমার কাজিন তো কী সুন্দর ফর্সা!""
"
"""""""Your aunt is so beautiful!""
","""""""তোমার কাজিন তো কী সুন্দর ফর্সা!""
"
"""After her second, for the song named after the superstar's aunt, Lady Gaga called the award """"more than me & my family could ever dream of.""""""
","""দ্বিতীয়বারের মতো, সুপারস্টারের মাসিমা নামে এই গানটির জন্য লেডি গাগা এই পুরস্কারটি বলেন, """"আমার চেয়ে বেশি এবং আমার পরিবার কখনো স্বপ্ন দেখতে পারে।""
"
"""After her second, for the song named the superstar's aunt, Lady Gaga called the award """"more than me & my family could ever dream of.""""""
","""দ্বিতীয়বারের মতো, সুপারস্টারের মাসিমা নামে এই গানটির জন্য লেডি গাগা এই পুরস্কারটি বলেন, """"আমার চেয়ে বেশি এবং আমার পরিবার কখনো স্বপ্ন দেখতে পারে।""
"
"""Further, she said """"This south actor who suddenly divorced his wife was married for 4 years and in a relationship with her for more than a decade recently came in contact with a Bollywood superstar who is also known as Bollywood divorce expert... Has ruined many women and children's lives, is now his guiding light and agony aunt... so it all went smoothly... This is not a blind item we all know who am talking about.""""""
","লিখেছেন, 'দক্ষিণের এই অভিনেতা যে নিজের ৪ বছরের বিবাহিত জীবন ভাঙতে চলেছে এবং সম্প্রতি বলিউডের এক সুপারস্টার ডিভোর্স এক্সাপার্টের সংস্পর্শে এসেছে, যে অনেক মহিলা ও বাচ্চাদের জীবন নষ্ট করেছে... অন্ধ না হলে আমরা সহজেই বুঝে নিতে পারব কার কথা বলা হচ্ছে।
"
"""It washed away my grandparents and the uncles and aunts in a few seconds, right in front of my father's eyes,"""" the 40-year-old said.""
","""এটি কয়েক সেকেন্ডের মধ্যে আমার পিতামহের চোখের সামনে আমার দাদা-দাদি এবং চাচা-চাচীকে ধুয়ে দিয়েছে,"""" 40 বছর বয়সী এই ব্যক্তি বলেছিলেন।""
"
"""Older people often have children from previous relationships and it's becoming more common for families to be 'blended' with step brothers and sisters, aunts, uncles and grandparents.... continue reading """"""
","বয়স্ক ব্যক্তিদের প্রায়ই পূর্ববর্তী সম্পর্ক থেকে সন্তান থাকে এবং ধাপে ধাপে ভাই ও বোন, আন্ট, চাচা এবং দাদা-দাদীসহ পরিবারগুলি 'মিশ্র' হওয়ার জন্য এটি আরো সাধারণ হয়ে উঠছে।
"
