eng_Latn,ben_Beng
"""""""My fiancees brother-in-law was recently paralysed in an accident and it really brought home the fact that thousands of young people live with spinal injuries.""
","আমার বাগদত্তের শ্যালক-ভাই সম্প্রতি একটি দুর্ঘটনায় পক্ষাঘাতগ্রস্থ হয়ে পড়েছিলেন এবং এটি সত্যই বাড়িতে এনেছিল যে হাজার হাজার তরুণ মেরুদণ্ডের জখমের সাথে বাঁচে।
"
"""""""We have enough evidence that he (Raj Kundra) was dealing with everything, his brother-in-law was made the owner of the London-based company just for namesake.""""""
","""""""আমাদের পর্যাপ্ত প্রমাণ রয়েছে যে তিনি (রাজ কুন্দ্রা) সব কিছু নিয়ে কাজ করছিলেন, তার শ্যালকাকে কেবল নামমাত্র করার জন্য লন্ডন ভিত্তিক সংস্থার মালিক করা হয়েছিল।""
"
"""(f) """"family member"""" means spouse, child, grandchild of any degree, parent, mother-in-law, father-in-law, grandparent of any degree, brother, brother-in-law, sister, sister-in-law, half-brother, half-sister, uncle, aunt, nephew or niece, whether biological, step or adoptive;""
","(ট) 'বর্ধিত পরিবার' বলিতে চাচা- চাচী, ফুফা-ফুফু, মামা-মামী, খালা-খালু, ভাই-ভাবী, ভগ্নি-ভগ্নিপতি, শ্যালক-শ্যালিকা বা এইরূপ রক্তসম্পর্কীয় অথবা আত্মীয়তার বন্ধনে আবদ্ধ কোনো আত্মীয়ের পরিবারকে বুঝাইবে;
"
"""8 Judah said to Onan, """"Go to your brother's wife, do your duty as her brother-in-law, and provide children for your brother.""""""
","""8 তখন যিহূদা এরের ভাই ওননকে বলল, """"যাও তোমার মৃত ভাইয়ের স্ত্রীর সঙ্গে শয়ন কর_ তার স্বামী হও_ নিজের ভাই এরের জন্য বংশ উত্পন্ন কর_""""""
"
"""8 Then Judah said to Onan, """"Go in to your brother's wife, and perform the duty of a brother-in-law to her, in order to raise up offspring for your brother.""""""
","""8 তখন যিহূদা এরের ভাই ওননকে বলল, """"যাও তোমার মৃত ভাইয়ের স্ত্রীর সঙ্গে শয়ন কর_ তার স্বামী হও_ নিজের ভাই এরের জন্য বংশ উত্পন্ন কর_""""""
"
"""8 Then Judah said to Onan, """"Go in to your brother's wife, and perform your duty as a brother-in-law to her, and raise up offspring for your brother....""""""
","""8 তখন যিহূদা এরের ভাই ওননকে বলল, """"যাও তোমার মৃত ভাইয়ের স্ত্রীর সঙ্গে শয়ন কর_ তার স্বামী হও_ নিজের ভাই এরের জন্য বংশ উত্পন্ন কর_""""""
"
"""A police official informed, """"We have enough evidence that he (Raj Kundra) was dealing with everything, his brother-in-law was made the owner of the London-based company just for namesake.""""""
","""""""আমাদের পর্যাপ্ত প্রমাণ রয়েছে যে তিনি (রাজ কুন্দ্রা) সব কিছু নিয়ে কাজ করছিলেন, তার শ্যালকাকে কেবল নামমাত্র করার জন্য লন্ডন ভিত্তিক সংস্থার মালিক করা হয়েছিল।""
"
"""Daniela Ruah once paid a visit to Queen Latifa on The Queen Latifah Show and discussed the """"awkward"""" fact that she has to kiss her brother-in-law on the show.""
","ড্যানিয়েলা রুহ একবার রানী লতিফার সাথে দেখা করেছিলেন রানী লতিফাহ শো এবং 'অদ্ভুত' বিষয় নিয়ে আলোচনা করেছেন যে তাকে শোতে তার শ্যালককে চুম্বন করতে হবে।
"
"""He said, """"The brother-in-law is death.""""""
","""' তিনি বললেন, """"স্বামীর ভাই তো মৃত্যুস্বরূপ।""
"
"""Soumya's brother-in-law Saji was quoted by PTI saying, """"My brother heard a huge sound during the video call.""
","""এই ঘটনা প্রসঙ্গে সন্তোষের ভাই শাজি সংবাদসংস্থা পিটিআইকে বলেন, """"আমার ভাই ভিডিও কলে কথা বলতে বলতেই আচমকা বিকট একটা আওয়াজ শুনতে পায়।""
"
"""The patient replied """"Send the bill to my brother-in-law.""""""
","""অসুস্থ লোকটিও উত্তরে বললেন, """"তাহলে চিকিৎসার বিলটি আমার ভগ্নিপতির নিকট পাঠিয়ে দিন।""
"
"""The patient replied, """"Then send th bill to my brother-in-law.""""""
","""অসুস্থ লোকটিও উত্তরে বললেন, """"তাহলে চিকিৎসার বিলটি আমার ভগ্নিপতির নিকট পাঠিয়ে দিন।""
"
"- He's my brother-in-law.
","উনি আমার ব্রাদার-ইন-ল।
"
"46 He is the son-in-law of India and Hindi Film Industry's first ever Superstar, Rajesh Khanna and actress, Dimple Kapadia, as well as the brother-in-law of actress Rinke Khanna.
","তিনি হলেন ভারতের জামাতা এবং হিন্দি ফিল্ম ইন্ডাস্ট্রির প্রথম সুপারস্টার, রাজেশ খান্না এবং অভিনেত্রী ডিম্পল কাপাদিয়ার পাশাপাশি অভিনেত্রী রিঙ্কে খান্নার শ্যালক।
"
"According to the helpline incharge Punam Sharma, the victim alleged that she was 'married' to her sister's brother-in-law on 16 February after a rape.
","হেল্পলাইন ইনচার্জ পুনম শর্মা অনুসারে, ভুক্তভোগী অভিযোগ করেছেন যে তার সাথে ধর্ষণ করার পরে তাকে ১৬ই ফেব্রুয়ারি তাকে ধর্ষককে বিয়ে করতে হয়েছিল।
"
"Actress Kajol shared a heartfelt note on Instagram after the death of her brother-in-law, filmmaker Anil Devgan, on Wednesday.
","বলিউড অভিনেত্রী কাজল তাঁর দেবর ও চলচ্চিত্র নির্মাতা অনিল দেবগনের মৃত্যুতে বুধবার ইনস্টাগ্রামে একটি আবেগঘন পোস্ট দিয়েছেন।
"
"Also read: Hafiz Saeed's brother-in-law arrested in Pakistan
","আরও পড়ুন পাকিস্তানে গ্রেফতার করা হল হাফিজ সঈদকে
"
"Although he is my brother-in-law but he is more dear to me than my brother!
","যদিও সে আমার দুলাভাই কিন্তু সে আমার কাছে নিজের ভাইয়ের চেয়েও প্রিয়!
"
"And he implicated David Greenglass, the brother-in-law of Julius Rosenberg.
","এবং তিনি জুলিয়াস রোসেনবার্গের ভাইয়ের শাশুড়ির ডেভিড গ্রিনগ্লাসকে দোষারোপ করেছিলেন।
"
"And his brother-in-law,
","আর তার ভাইয়েরা,
"
"Anil also became Sridevi's brother-in-law after the legendary actress married Anil's elder brother Boney Kapoor on June 2, 1996.
","শ্রীদেবী তার সহ-অভিনেতা, অনিল কাপুরের বড় ভাই বনিয়ের সাথে ২ জুন, 1996 সালে বিয়ে করতে গিয়েছিলেন।
"
"Another influential Chinese blogger claimed that the bride fell in love with her brother-in-law after suffering from domestic violence by the groom.
","আর এক প্রভাবশালী চীনা ব্লগার দাবি করেছেন যে বরের গৃহকর্মী সহিংসতায় ভুগলে কনে তার শ্যালকের প্রেমে পড়ে যায়।
"
"Answer: The brother-in-law wrote to Indira Devi.
","উত্তরঃ ভ্রাতুষ্পুত্রী ইন্দিরা দেবীকে লেখা।
"
"Bisset's brothers Edgar and Arthur Bisset, and brother-in-law Archibald Difford also played first-class cricket in South Africa.[6]
","মারে বিসেটের ভাই - এডগার বিসেট ও আর্থার বিসেট এবং শ্যালক আর্চিবল্ড ডিফোর্ড দক্ষিণ আফ্রিকায় প্রথম-শ্রেণীর ক্রিকেট খেলেছেন।
"
"Bollywood actress Kajol has shared an emotional note on Instagram after the demise of her brother-in-law, filmmaker Anil Devgan.
","বলিউড অভিনেত্রী কাজল তাঁর দেবর ও চলচ্চিত্র নির্মাতা অনিল দেবগনের মৃত্যুতে বুধবার ইনস্টাগ্রামে একটি আবেগঘন পোস্ট দিয়েছেন।
"
"But I remembered what my brother-in-law said.
","কিন্তু মাধাই কী বলেছিলো মনে আছে আমার বুন, গাঁয়ে ছিলো।
"
"Coincidentally, the first PVC was awarded to her elder daughter Kumudini Sharma's brother-in-law Major Som Nath Sharma from 4 Kumaon Regiment who was posthumously awarded on 3 November 1947 during the Indo-Pakistani War of 1947 in Kashmir.
","কাকতালীয়ভাবে, প্রথম পিভিসি বড় মেয়ে কুমুদিনী শর্মার ভগ্নিপতি মেজর সোম নাথ শর্মা কে ভূষিত করা হয়েছিল, যাকে কাশ্মীরে ১৯৪৭ -এর ভারত-পাকিস্তান যুদ্ধের পরে মরণোত্তর সম্মান দেওয়া হয়েছিল ৩রা নভেম্বর ১৯৪৭ সালে।
"
"Coincidentally, the first PVC was awarded to her elder daughter' s brother-in-law Major Som Nath Sharma from 4 Kumaon Regiment who was posthumously awarded for his valour of November 3, 1947 during the 1947-48 Indo-Pak war in Kashmir.
","কাকতালীয়ভাবে, প্রথম পিভিসি বড় মেয়ে কুমুদিনী শর্মার ভগ্নিপতি মেজর সোম নাথ শর্মা কে ভূষিত করা হয়েছিল, যাকে কাশ্মীরে ১৯৪৭ -এর ভারত-পাকিস্তান যুদ্ধের পরে মরণোত্তর সম্মান দেওয়া হয়েছিল ৩রা নভেম্বর ১৯৪৭ সালে।
"
"Coincidentally, the first PVC was awarded to her elder daughter's brother-in-law Major Som Nath Sharma from 4 Kumaon Regiment who was posthumously awarded for his valour of November 3, 1947 during the 1947-48 Indo-Pak war in Kashmir.
","কাকতালীয়ভাবে, প্রথম পিভিসি বড় মেয়ে কুমুদিনী শর্মার ভগ্নিপতি মেজর সোম নাথ শর্মা কে ভূষিত করা হয়েছিল, যাকে কাশ্মীরে ১৯৪৭ -এর ভারত-পাকিস্তান যুদ্ধের পরে মরণোত্তর সম্মান দেওয়া হয়েছিল ৩রা নভেম্বর ১৯৪৭ সালে।
"
"Fat sister Sucks not her brother-in-law 10:15
","ফ্যাট বোন তার ভাই-এর আইন মোরগ না Sucks 10:15
"
"Five members, including Majed's wife Saleha, one brother-in-law and one uncle-in-law, entered the jail in the evening, said witnesses.
","প্রত্যক্ষদর্শীরা জানান, শুক্রবার সন্ধ্যায় মাজেদের স্ত্রী সালেহা, এক শ্যালক এবং এক চাচা-শশুরসহ পাঁচজন কারাগারে যান।
"
"Five members, including Majed's wife Saleha, one brother-in-law and one uncle-in-law, entered the jail on Friday evening.
","প্রত্যক্ষদর্শীরা জানান, শুক্রবার সন্ধ্যায় মাজেদের স্ত্রী সালেহা, এক শ্যালক এবং এক চাচা-শশুরসহ পাঁচজন কারাগারে যান।
"
"Go ahead she isn t looking real brother-in-law and sister-in-law 0525271192
","যাওয়া এগিয়ে তিনি isn t খুঁজছেন বাস্তব ভাই এবং বোন 0525271192 দাদা/ভাই / গত বান্ধবী
"
"HD is excellent quality and the mother-in-law and brother-in-law to watch porn online for free
","এইচডি মহান মান এবং একটি নানী ও নাতি porn অনলাইন জন্য বিনামূল্যে
"
