eng_Latn,ben_Beng
""""""" Scottish painter; cousin of Lytton Strachey and member of the Bloomsbury Group (1885-1978)""
","স্কটিশ চিত্রশিল্পী, লটটন স্ট্রাচির চাচাতো বোন এবং ব্লুমসবারী গ্রুপের সদস্য (1885-1978)
"
"""""""A message came through from a cousin relating to an argument they'd had and she noticed that her daughter started to panic.""
","""""""কাজিনের কাছ থেকে তাদের কাছে যে যুক্তি ছিল সে সম্পর্কে একটি বার্তা এসেছিল এবং সে লক্ষ্য করেছে যে তার মেয়ে আতঙ্কিত হতে শুরু করেছে।""
"
"""""""Don't call me your lady, I'm your cousin.""
","-আমারে চাচী ডাকিস নারে, আমি তোর বউ ।
"
"""""""I am grateful I got an education because a lot of my cousins got sent to Pakistan to get married, but I wish I got the chance to make fun memories at university.""""""
","""""""আমি কৃতজ্ঞ যে আমি একটি শিক্ষা পেয়েছি কারণ আমার অনেক কাজিনকে বিয়ে করার জন্য পাকিস্তানে পাঠানো হয়েছে, কিন্তু আমি চাই যে আমি বিশ্ববিদ্যালয়ে মজার স্মৃতি তৈরির সুযোগ পাব।""
"
"""""""I am very sad to share that my cousin Divya Chouksey has passed away due to cancer at a very young age.""
","তিনি বলেন, আমি অত্যন্ত দুঃখের সঙ্গে জানাচ্ছি আমার ফুপাতো বোন দিব্য চৌকসি খুব অল্প বয়সে আমাদের ছেড়ে চলে গেলেন ক্যানসারের কারণে।
"
"""""""I had a fight with my cousin.""
","""""""আমার শ্বশুরবাড়ির সাথে ঝগড়া হয়েছিল।""
"
"""""""I know my cousin.""""""
","""""""আমি তো জামাই বাবাজিকে চিনি।""
"
"""""""Isn't your cousin coming tonight?""""""
","'তোমার ভাতিজার না আজকে আসার কথা?
"
"""""""Man, tell me how my cousin's dead!?""
","""""""আমাকে বলো আগে, কী করে আমার সাধের মানুষটা মরল?""
"
"""""""My sweet cousin.""
","""""""আমার লক্ষী ভাবী।""
"
"""""""No, Mom, he's my cousin.""
","""""""না মাহী, উনি আমার শ্বশুর।""
"
"""""""She was my cousin, and died a few months ago.""
","'উনি আমার ন্ত্রী ছিলেন,উনি কয়েক মাস আগে মারা গেছেন।
"
"""""""Some of my cousins [in London and India], thanks to the surgery, were able to give the community what they expect.""
","""""""আমার কিছু কাজিন [লন্ডন এবং ভারতে], অস্ত্রোপচারের জন্য ধন্যবাদ, সম্প্রদায়কে তারা যা প্রত্যাশা করেছিল তা দিতে সক্ষম হয়েছিল।""
"
"""""""They killed my cousin.""
","""""""তারাই আমার ভাতিজাকে হত্যা করেছে।""
"
"""""""Your boyfriend's cousin arrested you?""""""
","""_ """"তোমার আদরের জামাই তোমাকেও ব্লক করে দিল?""
"
"""""""Your cousin is getting married.""
","""- """"তোর ভাবী ও বিয়েতে যাবে।""
"
"""""""Your cousin's getting married.""
","""- """"তোর ভাবী ও বিয়েতে যাবে।""
"
"""6 7 8 She was nicknamed """"Toti"""" by her five siblings and many cousins.""
","""nicknamed """"Toti"""" দ্বারা তার পাঁচ kin এবং অসংখ্য কাজিন.""
"
"""Bride's cousin said that """"the groom's family had kept us in the dark about his education.""
","""আত্মীয় বলেছিলেনঃ """"বরের পরিবার আমাদের তার লেখাপড়া সম্পর্কে অন্ধকারে রেখেছিল।""
"
"""Catherine's cousin agrees that """"one thing seems to be off.""""""
","""ক্যাথেরিনের বোন একমত হলেন যে, """"কিছু একটার অভাব আছে""""।""
"
"""Eliminate the words """"Impossible"""" and all its cousins out of your vocabulary: I can't, I shouldn't, it hasn't been done before, is too difficult, I don't know-how.""
","""আপনার শব্দভাণ্ডার থেকে শব্দ """"অসম্ভব"""" এবং এর সমস্ত কাজিনকে মুছে ফেলুনঃ আমি করতে পারি না, আমার করা উচিত নয়, এটি আগে করা হয়নি, খুব কঠিন, আমি জানি না-কীভাবে।""
"
"""Luke 1:58 - """"And her neighbours and her cousins heard how the Lord had shewed great mercy upon her; and they rejoiced with her.""""""
","লূক 1:58 _ তাঁর উপর প্রভুর প্রচুর করুণার কথা শুনে প্রতিবেশীরা ও আত্মীয়েরা তাঁর সংগে আনন্দ করতে লাগল।
"
"""My cousin """"Imran is my best friend.""
","""↑ """"'ইমরান আমার বেস্ট ফ্রেন্ড'""""।""
"
"""My cousin said to her mother, """"What?""
","""ওর মা সঙ্গে-সঙ্গে বললেন, """"কী?""
"
"""My parents will said """"why can't you be more like your cousin?""
","""বাবা মা বলবেন """"তুমি অমুক আংকেলের মেয়ে তমুকের মত হতে পারনা কেন?""
"
"""She answered, """"She's my cousin.""""""
","""প্রশ্নের জবাবে সে বলল, """"ও আমার রিস্তাদার (আত্মীয়) হয়।""
"
