eng_Latn,ben_Beng
"""""""Although Jemima is too young to quite understand the passing of her grandfather, her mum said the fundraiser would also serve as a """"special memory"""" that the two-year-old can look back on when she is older.""""""
","""""""যদিও জেমিমা তার দাদার পাশ কাটাতে যথেষ্ট কম বয়সী, তবুও তার আম্মু বলেছিলেন যে এই তহবিল সংগ্রহকারী একটি"""" বিশেষ স্মৃতি """"হিসাবেও কাজ করবে যা দু'বছর বয়সী যখন বড় হবে তখন ফিরে যেতে পারে"""" """"""
"
"""""""And that's your grandfather's house right there?""""""
","""""""ওই ঘরে তো আপনার দাদার জিনিসপত্র ছিল?""
"
"""""""Are you a grandfather?""""""
","""""""তুমি তোমার দাদার অ্যাসিস্ট্যান্ট?""
"
"""""""Call my grandfather.""""""
","""দে দাদাকে ফোন টা দে""""।""
"
"""""""Call your grandfather.""""""
","""দে দাদাকে ফোন টা দে""""।""
"
"""""""Did I kill your grandfather?""""""
","""-""""আমি যদি বলি দাদাকে আপনি মেরে ফেলেছেন?""
"
"""""""Did my grandfather know?""
","""""""দাদা জানে?""
"
"""""""Did you go to my grandfather?""""""
","""""""গেছিলেন আপনার মহাপুরুষের কাছে?""
"
"""""""Did your grandfather say anything to you?""""""
","""""""আচ্ছা, দাদা কি আপনাকে কিছু বলেছিল?""
"
"""""""Do you know how your great grandfather died?""""""
","""""""তোর দাদা কীভাবে মারা গেছেন জানিস?""
"
"""""""Do you remember your grandfather?""""""
","""""""তোমার কি দাদার কথা মনে আছে?""
"
"""""""Does your grandfather say anything to you?""""""
","""""""আচ্ছা, দাদা কি আপনাকে কিছু বলেছিল?""
"
"""""""Has my grandfather fallen asleep?""""""
","""""""কি দাদা ঘুমিয়ে পড়লেন নাকি. . ?""
"
"""""""Her grandfather has recently undergone a knee operation but she did not bother to at least pay a visit and check on him.""
","""""""তার দাদা সম্প্রতি হাঁটুর অপারেশন করেছেন তবে তিনি কমপক্ষে দেখা এবং তাকে দেখার জন্য মাথা ঘামান নি।""
"
