eng_Latn,ben_Beng
""""""" Dear grandmother, I cannot tell you.""""""
","""""""না দাদিমা আমি আপনাকে বলতে পারবো না।""
"
"""""""All that remained of his herd were his mother, grandmother and his grandfather.""
","""""""এর কৃতিত্ব সবটাই ওর মা, দিদিমা আর দাদুর।""
"
"""""""And the grandmother?""""""
","'আর দাদুমণি?
"
"""""""And your grandmother's.""""""
","'আর আপনার দাদাবাড়ি।
"
"""""""Charlie's grandmother throws a lovely party for them, a reception after the wedding in her house,"""" Jeff Guinn, author of the book """"Manson: The Life and Times of Charlie Manson,"""" said in the docuseries.""
","'চার্লির দাদী তাদের জন্য একটি সুন্দর পার্টি নিক্ষেপ করেছেন, তার বাড়িতে বিয়ের পরে একটি সংবর্ধনা,' জ্যান্ফ গুইন, 'ম্যানসনঃ দ্য লাইফ অ্যান্ড টাইমস অফ চার্লি ম্যানসন' বইয়ের লেখক বলেছেন।
"
"""""""Did you talk to your grandmother?""""""
","""---""""তুমি দাদু দিদিদমার সাথে কথা বলেছো ?""
"
"""""""Did your grandmother said something to you?""""""
","""""""আচ্ছা, দাদা কি আপনাকে কিছু বলেছিল?""
"
"""""""Did your grandmother tell you that?""""""
","""""""এই ঘটনা তোমার দাদু তোমাকে বলেছেন?""
"
"""""""Didn't grandmother have this before?""""""
","""""""তা'হলে কি আগে এ সব জিনিস ছিল না দাদু?""
"
"""""""Do you know how the grandmother died?""
","""""""তোর দাদা কীভাবে মারা গেছেন জানিস?""
"
"""""""Do you know how your grandmother died?""""""
","""""""তোর দাদা কীভাবে মারা গেছেন জানিস?""
"
"""""""Do you know where her grandmother's house is?""""""
","""""""কি দাদা আপনি নাকি জানেন মহিলার বাড়ি কোথায়?""
"
"""""""Do you know your grandmother?""
","""""""দাদাভাই মেয়েটাকে তুমি চেনো?""
"
"""""""Don't call me grandmother!""""""
","""""""আমাকে কিছুতেই দাদা বলবে না!""
"
"""""""Go on and see your grandmother.""
","""""""আসিস, দেখে যাস তোর দিদুকে।""
"
