eng_Latn,ben_Beng
""""""" To be on television and have my nieces and nephews see me, and seeing them wear my shirt to the games and be proud, it's so sweet.""
","টেলিভিশনে থাকতে এবং আমার ভাগ্নি এবং ভাগ্নীরা আমাকে দেখতে, এবং তাদের গেমগুলিতে আমার শার্ট পরে এবং গর্বিত হতে দেখে, এটি খুব মধুর।
"
"""""""Fawad was straight out of Humsafar, and he thought that I am the favoured nephew of the producer and director, so he was giving me a tough time.""""""
","""""""ফাওয়াদ সোজা বাইরে এসেছিল হামসফর, এবং তিনি ভেবেছিলেন যে আমি নির্মাতা ও পরিচালকের পছন্দসই ভাগ্নে, তাই তিনি আমাকে একটি কঠিন সময় দিচ্ছিলেন।""
"
"""""""How come you're a nephew of mine?""""""
","""""""কেমন ভাতিজা হলি তুই আমার?""
"
"""""""I had a fight with my nephew.""
","""""""আমার শ্বশুরবাড়ির সাথে ঝগড়া হয়েছিল।""
"
"""""""Love to my nephew!""""""
",""""""" ভাবীর সাথে পরকিয়া প্রেম!""
"
"""""""To be on television and have my nieces and nephews see me, and seeing them wear my shirt to the games and be proud, it's so sweet.""
","টেলিভিশনে থাকতে এবং আমার ভাগ্নি এবং ভাগ্নীরা আমাকে দেখতে, এবং তাদের গেমগুলিতে আমার শার্ট পরে এবং গর্বিত হতে দেখে, এটি খুব মধুর।
"
"""""""We have 40 relatives, including cousins, nephews and nieces, in Saudi Arabia,"""" he added.""
","তিনি বলেন, 'ফুপাত-মামাত ভাইবোন, ভাগনে, ভাস্তে ধরলে আমাদের আত্মীয়-স্বজনের ৪০ জনই রয়েছে সৌদি আরবে'।
"
"""""""Yes, your nephew.""
","""""""নাহ্, তোমার জামাইবাবু।""
"
"""(f) """"family member"""" means spouse, child, grandchild of any degree, parent, mother-in-law, father-in-law, grandparent of any degree, brother, brother-in-law, sister, sister-in-law, half-brother, half-sister, uncle, aunt, nephew or niece, whether biological, step or adoptive;""
","(ট) 'বর্ধিত পরিবার' বলিতে চাচা- চাচী, ফুফা-ফুফু, মামা-মামী, খালা-খালু, ভাই-ভাবী, ভগ্নি-ভগ্নিপতি, শ্যালক-শ্যালিকা বা এইরূপ রক্তসম্পর্কীয় অথবা আত্মীয়তার বন্ধনে আবদ্ধ কোনো আত্মীয়ের পরিবারকে বুঝাইবে;
"
"""According to the British news agency Reuters Amrullah Saleh's nephew Ibadullah stated that """"they killed my uncle.""""""
","এক ক্ষুদে বার্তার মাধ্যমে আমরুল্লাহ সালেহের ভাতিজা এবাদুল্লাহ সালেহ রয়টার্সকে জানিয়েছেন, 'তারা (তালেবান) আমার চাচাকে হত্যা করেছে।
"
"""I have two sons and three nephews at the front,"""" said another passenger.""
","""ফ্রন্টে আমার দ্ইু ছেলে, তিন ভাতিজা,"""" বলল আরেক যাত্রী।""
"
"""I'm very happy because today is my nephew's wedding.""""""
","""তুষার আজ তো বেশ খুশি আমার পার্মানেন্ট ভাবে বিয়ে হয়ে গেল""""""""""""।""
"
"""In the letter, Mr Singh said he has spoken about the home minister's """"misdeeds"""" to Sharad Pawar, his nephew and Deputy Chief Minister Ajit Pawar and a few other leaders.""
","""চিঠিতে মিঃ সিংহ বলেছিলেন যে তিনি স্বরাষ্ট্রমন্ত্রীর শারদ পাওয়ার, তাঁর ভাগ্নে এবং উপ-মুখ্যমন্ত্রী অজিত পাওয়ার এবং আরও কয়েকজন নেতার সাথে """"অপকর্ম"""" সম্পর্কে কথা বলেছেন।""
"
"""On the other hand, an extremely emotional video of the day [es] was posted on the Facebook Group """"Help Fede (Santos' nephew) study and get a job.""""""
","""অন্যদিকে, দিনের সবচাইতে আবেগপূর্ণ ভিডিও [স্পেন] পোস্ট করা হয়েছে """" ফেদে (সান্তোসের ভাগিনা) এর পড়ালেখা আর চাকুরি পেতে সাহায্য করুন নামক ফেসবুক গ্রুপে।""
"
"""Sardar Ahmad's nephew: """"I have no message for the Taliban.""
","সরদার আহমাদের ভাতিজাঃ তালিবানদের কাছে আমার কোনো বার্তা নেই।
"
"""The nephew said """"not much.""""""
","""বড়দা বলে, """"বেশি না।""
"
"""The subject of the poem is the exploits of Beowulf, son of Ecgtheow and nephew of Hygclac, king of the """"GCatas,"""" i.e. the people, called in Scandinavian records Gautar, from whom a part of southern Sweden has received its present name Gotland.""
","""কবিতার বিষয়টি হল ইক্গেথের পুত্র বৌওলুফ এবং """"গায়ত্স"""" এর রাজা হাইগেল্যাকের ভ্রাতুষ্পুত্র, যার অর্থ স্ক্যান্ডিনেভিয়ান রেকর্ড গৌড় নামে পরিচিত, যার কাছ থেকে দক্ষিণ সুইডেনের একটি অংশ তার বর্তমান নাম গটল্যান্ড পেয়েছে।""
"
"""The subject of the poem is the exploits of Beowulf, son of Ecgtheow and nephew of Hygelac, king of the """"Geatas,"""" i.e. the people, called in Scandinavian records Gautar, from whom a part of southern Sweden has received its present name Gotland.""
","""কবিতার বিষয়টি হল ইক্গেথের পুত্র বৌওলুফ এবং """"গায়ত্স"""" এর রাজা হাইগেল্যাকের ভ্রাতুষ্পুত্র, যার অর্থ স্ক্যান্ডিনেভিয়ান রেকর্ড গৌড় নামে পরিচিত, যার কাছ থেকে দক্ষিণ সুইডেনের একটি অংশ তার বর্তমান নাম গটল্যান্ড পেয়েছে।""
"
"""The subject of the poem is the exploits of Beowulf, son of Ecgtheow and nephew of Hygelac, king of the """"Geatas,"""" i.e. the people, called in Scandinavian records Gautar, from whom a part of southern Sweden has received its present name Götland.""
","""কবিতার বিষয়টি হল ইক্গেথের পুত্র বৌওলুফ এবং """"গায়ত্স"""" এর রাজা হাইগেল্যাকের ভ্রাতুষ্পুত্র, যার অর্থ স্ক্যান্ডিনেভিয়ান রেকর্ড গৌড় নামে পরিচিত, যার কাছ থেকে দক্ষিণ সুইডেনের একটি অংশ তার বর্তমান নাম গটল্যান্ড পেয়েছে।""
"
"""said, """"I have a nephew who has no""
","""বললে,""""আমার নেই কোন ভাই""
"
"(18) Touching of the nephew's wife, daughter- in-law, younger brother's wife and wife's elder sister is socially prohibited.
","(৯) ভাগ্নে-বৌ, পুত্র বধু, ছোটভাই এর স্ত্রী এবং স্ত্রীর বড় বোনকে স্পর্শ করা সামাজিক রীতিমতে নিষিদ্ধ।
"
"(I think it's his son or nephew).
","(আমি ভেবছি ওটা হয়তো ওর চাচাতো বা খালাতো বোন হবে) ।
"
"- Great gifts for your children, grandchildren, nieces and nephews.
","তারা আপনার সন্তানদের জন্য, grandchildren, nieces এবং nephews জন্য মহান উপহার।
"
"- To be on television and have my nieces and nephews see me, and seeing them wear my shirt to the games and be proud, it's so sweet.
","টেলিভিশনে থাকতে এবং আমার ভাগ্নি এবং ভাগ্নীরা আমাকে দেখতে, এবং তাদের গেমগুলিতে আমার শার্ট পরে এবং গর্বিত হতে দেখে, এটি খুব মধুর।
"
"1975: In Riyadh, Saudi Arabia, King Faisal is shot to death by his nephew, Prince Faisal.
","১৯৭৫ - সৌদি আরবের বাদশাহ ফয়সল তার ভ্রাতুষ্পুত্র প্রিন্স আবদুল আজিজের গুলিতে রিয়াদের রাজপ্রাসাদে নিহত হন।
"
