eng_Latn,ben_Beng
"""""""Our friendship grows, yet stays the same, for sister-in-law we became.""
","আমাদের বন্ধুত্ব বৃদ্ধি পায়, তবুও একই থাকে, আমরা ভগ্নিপতিদের জন্য হয়ে উঠি।
"
"""""""She didn't want people walking on her name,"""" Pat Houston, Whitney's sister-in-law, told The New York Times.""
","'তিনি চাইতেন না যে লোকেরা তাঁর নামে চলুক,' প্যাট হিউস্টন , হুইটনির শ্যালক বলেছি নিউ ইয়র্ক টাইমস ।
"
"""(f) """"family member"""" means spouse, child, grandchild of any degree, parent, mother-in-law, father-in-law, grandparent of any degree, brother, brother-in-law, sister, sister-in-law, half-brother, half-sister, uncle, aunt, nephew or niece, whether biological, step or adoptive;""
","(ট) 'বর্ধিত পরিবার' বলিতে চাচা- চাচী, ফুফা-ফুফু, মামা-মামী, খালা-খালু, ভাই-ভাবী, ভগ্নি-ভগ্নিপতি, শ্যালক-শ্যালিকা বা এইরূপ রক্তসম্পর্কীয় অথবা আত্মীয়তার বন্ধনে আবদ্ধ কোনো আত্মীয়ের পরিবারকে বুঝাইবে;
"
"""One thought on """"Man executed for former sister-in-law's murder""""""
","""One thought on """"মান্দায় স্বামী ও শ্বশুর-শাশুড়ির নির্যাতনে স্ত্রীর হত্যার অভিযোগ""""""
"
"""Return back with your sister-in-law.""""""
","""পিছন ফিরলেই বোনের সাথে হুটোপুটি """"।""
"
"""She heard her sister-in-law say to her husband: """"She must have a problem.""""""
","""তিনি তার শ্যালিকা তার স্বামীকে বলতে শুনেছিলেনঃ """"তার অবশ্যই সমস্যা আছে।""
"
"""These views are reinforced by the claims of Hogarth, Dickens' sister-in-law, in a letter to a friend: """"We should have preferred Rochester Cathedral, and it was a great disappointment to the people there that we had to give way to the larger demand.""""""
","এই মতামতগুলি ডিকেন্সের ভগ্নিপতি হোগার্থের দাবির দ্বারা আরও দৃ are়তর হয়েছে, একটি বন্ধুর কাছে একটি চিঠিতেঃ আমাদের উচিত ছিল রচেস্টার ক্যাথেড্রালকে পছন্দ করা, এবং সেখানকার লোকদের কাছে এটি হতাশ হচ্ছিল যে আমরা এই পথে যেতে হয়েছিল বৃহত্তর চাহিদা
"
"A man beat his sister-in-law because of the family dispute
","পারিবারিক কলহের জের ধরে স্ত্রীকে হত্যা করেছে স্বামী
"
"A sister-in-law is both your mirror and your opposite.
","একজন বোন আপনার আয়না এবং আপনার বিপরীত উভয়ই।
"
"After few days his brother and sister-in-law threw him out of the house.
","এর কিছুদিন পর বাবা-ভাই-বোন বাড়ি থেকে বের করে দেয় তাকে।
"
