eng_Latn,ben_Beng
"""""""And he's your uncle?""""""
","'ও কি তোমার চাচার লোক?
"
"""""""And my uncle?""""""
","""""""আর আমার চাচাজান?""
"
"""""""At most there were ten of us, including my father, cousins and uncles.""
","""""""আমার বাবা, চাচাত ভাই এবং চাচা সহ আমাদের দশ জনই ছিলেন।""
"
"""""""Can I speak to my uncle?""""""
","""-""""তোমার আন্টির সাথে কথা বলতে পারি?""
"
"""""""Come, sit with your uncle.""
","""""""আসো, বসো, দাদার লগে কতা কও।""
"
"""""""Did you lose the uncle?""""""
","""""""কি আংকেল, আব্বুকে হারিয়ে ফেলেছ?""
"
"""""""Didn't your uncle tell you anything?""
","""""""তোমার বর তোমাকে কিছু বলে না?""
"
"""""""Don't say that, uncle.""
","~ এভাবে বলবেন না চাচা।
"
"""""""From the age of thirteen my uncle raped me.""
","""""""১০ বছর বয়স থেকে আমার সৎ বাবা আমাকে ধর্ষণ করে।""
"
"""""""Have you met her uncle?""""""
","""""""তোমার আন্টির সাথে পরিচয় হয়েছে?""
"
"""""""He is no more uncle.""
","""""""ও আর নেই চাচা।""
"
"""""""He is not in the house, uncle; he went down to the village.""""""
","""বাবু, """"না ও বাড়িতে নেই, ও গ্রামের বাড়িতে চলে গেছে।""
"
"""""""He's my uncle""""""
","""""""আমার চাচা""""""
"
"""""""He's your uncle?""
","'ও কি তোমার চাচার লোক?
"
"""""""Hey, uncle - come on over here.""
","- চাচা ও চাচা, এই দিকে আসো তো।
"
"""""""His uncle, we'll go.""
","""""""ও চাচা, আমরা গেলাম।""
"
"""""""How's your uncle?""
","""~ """"তোমার চাচ্চুর এখন কি অবস্থা?""
"
"""""""I can't do it uncle.""
","'পারতেছি না চাচাজি।
"
"""""""I didn't know he was her uncle.""""""
","""""""আমি জানতাম না যে ও তোমার ভাতিজা।""
"
"""""""I don't have time, uncle.""""""
","'সময় পাই না চাচা।
"
"""""""I don't know what happened uncle.""
","""""""আন্টির কি হয়েছে আমি জানি না।""
"
"""""""I don't understand you, uncle.""
","""""""আমি বুঝতে পারি নি চাচা।""
"
"""""""I don't understand you, uncle.""""""
","""""""আমি বুঝতে পারি নি চাচা।""
"
"""""""I felt very sorry for the uncle.""""""
","""চাচ্চুর জন্য আমার খুব খারাপ লাগছে """"""""।""
"
"""""""I had an uncle.""
","""""""আমার একজন আঙ্কেল ছিলেন।""
"
"""""""I heard my uncle.""
","""""""আমার ভাতিজার কাছে শুনেছি।""
"
"""""""I know that, uncle.""""""
","""""""সেটা জানি আঙ্কল।""
"
"""""""I know, I know,"""" his uncle said soothingly.""
","""""""আমি জানি, আমি জানি,"""" দাদু একটু অভিমানভরে বললেন।""
"
"""""""I know, I know,' her uncle said harshly.""
","""""""আমি জানি, আমি জানি,"""" দাদু একটু অভিমানভরে বললেন।""
"
"""""""I know, uncle.""
","""""""সেটা জানি আঙ্কল।""
"
"""""""I love the rain, uncle.""
",""""""" আমি যে বৃষ্টি ভালোবাসি অনি,""
"
"""""""I must go, uncle.""
",""""""" চাচা আমাকে একটু যেতে হবে।""
"
"""""""I think it was your uncle.""
","""""""আমি ভেবেছিলাম এটি তার চাচা বা চাচা।""
"
