eng_Latn,guj_Gujr
"""""""Freedom fighter, writer, translator, editor.. sister, wife, mother, aunt, grandmother, friend, confidant - you were so many things and more,"""" the actor wrote.""
","""તમે એક સ્વાતંત્ર્ય સેનાની, લેખક, અનુવાદક, સંપાદક. . . બહેન, પત્ની, માતા, દાદી, મિત્ર, રાજદાર અને બીજુ ઘણુ બધું હતા """"""
"
"""""""Today I am going to the U.S. With my mum and grandmom to see my aunt.""""""
","આજે હું મારી માતા, દાદી માતા સાથે મારી આન્ટીને મળવા અમેરિકા જઈ રહ્યો છું.
"
"""""""When a boy, one of my aunts who lived in Newcastle-on-Tyne used to tell me of a certain girl that she knew who was very vain and fond of standing before the looking glass admiring herself.""
","""""""જ્યારે એક છોકરો, ન્યૂકેસલ-ઑન-ટાઇનમાં રહેતા મારા એકનો એક યુવતી મને એક ચોક્કસ છોકરીને કહેવા માટે વપરાય છે કે તે જાણતા હતા કે તે જોઈને ખૂબ જ નિરંતર અને વ્યસ્ત હતા.""
"
"""According to the 14th century chronicler Merutunga, the earliest known member of the Vaghela family - """"Dhavala"""" - married the maternal aunt of the Chaulukya monarch Kumarapala.""
","૧૪મી સદીના ઇતિહાસકાર મેરુતુંગાના જણાવ્યા અનુસાર, વાઘેલા પરિવારના સૌથી જૂના જ્ઞાત સભ્ય 'ધવલે' ચાલુક્ય રાજા કુમારપાળની માતૃપક્ષની કન્યા સાથે લગ્ન કર્યા હતા.
"
"""He added, """"Freedom fighter, writer, translator, editor.. sister, wife, mother, aunt, grandmother, friend, confidant - you were so many things and more.""
","""તમે એક સ્વાતંત્ર્ય સેનાની, લેખક, અનુવાદક, સંપાદક. . . બહેન, પત્ની, માતા, દાદી, મિત્ર, રાજદાર અને બીજુ ઘણુ બધું હતા """"""
"
"""In """"Children of the Jedi"""" by Barbara Hambly, Leia mentions being raised by her aunts, suggesting that her adoptive mother died when she was young.""
","""બાર્બરા હામ્બલી દ્વારા """"જેઈડીઆઈના બાળકો"""" માં, લેઆએ તેના નિયાત્રો દ્વારા ઉછેરનો ઉલ્લેખ કર્યો છે, જે સૂચવે છે કે જ્યારે તેણી નાની હતી ત્યારે તેણીની દત્તક માતા મૃત્યુ પામી હતી.""
"
"""Older people often have children from previous relationships and it's becoming more common for families to be 'blended' with step brothers and sisters, aunts, uncles and grandparents.... continue reading """"""
","વૃદ્ધ લોકો ઘણીવાર અગાઉના સંબંધોમાંથી બાળકો ધરાવતા હોય છે અને પગલા ભાઈઓ, બહેનો, કાકાઓ અને દાદા દાદી સાથે પરિવારોને 'મિશ્રિત' થવા માટે તે વધુ સામાન્ય બની રહ્યું છે.
"
"'Today, I am going to the U.S. with my mom and grandma to see my aunt.
","આજે હું મારી માતા, દાદી માતા સાથે મારી આન્ટીને મળવા અમેરિકા જઈ રહ્યો છું.
"
"(b) If there is no grandfather or grandmother, to uncles and/or aunts and descendants of deceased uncles and/or aunts (cousins), per stirpes.
","(બી) જો કોઈ દાદા અથવા દાદી ન હોય, તો કાકાઓ અને / અથવા નર્સો અને મૃતકના કાકાઓ અને / અથવા aunts (પિતરાઈઓ) ના વંશજો માટે, પ્રતિ જગાડવો.
"
"8 Steps to Prepare for Rodent Control Service The sighting of even a single mouse or rat in your home often means that presently there is an entire family members (with aunts, uncles, and other kinfolks) living in your home's basement, the walls, or in and between stored items.
","રુડન્ટ નિયંત્રણ સેવા માટે તૈયાર કરવાના 8 પગલાં તમારા ઘરમાં પણ એક જ માઉસ અથવા ઉંદરની નિરીક્ષણનો અર્થ એવો થાય છે કે તમારા ઘરનાં ભોંયરામાં, દિવાલોમાં અથવા સંગ્રહિત વસ્તુઓ વચ્ચે અને વચ્ચે રહેતા સમગ્ર પરિવાર (aunts, કાકાઓ અને અન્ય કિનફોલ્ક્સ સાથે) છે.
"
"A person is considered to have this if two or more firstdegree relatives parent, sibling, or child or three or more extended family members aunts, uncles, cousins have the disease.
","જો વ્યક્તિ બે અથવા વધુ પ્રથમ ડિગ્રી સંબંધીઓ (પિતૃ, ભાઈ અથવા બાળક) અથવા ત્રણ અથવા વધુ વિસ્તૃત પરિવારના સભ્યો (aunts, કાકાઓ, પિતરાઈ) પાસે આ રોગ હોય તો તેને માનવામાં આવે છે.
"
"Abigail Johnson and her family may have been targeted because of her grandfather's criticism of the witchcraft trials, because of the wealth and property in the control of her aunt Abigail Faulkner Jr., or because of Abigail's mother, Elizabeth Johnson Sr., who had something of a reputation, and also controlled her husband's estate until she remarried (which she never did).
","એબીગેઇલ જોહ્ન્સન અને તેમના પરિવારને તેના દાદા અસીબેઇલ ફોકનર જુનિયર, અથવા એબીગેઇલની માતા, એલિઝાબેથ જોહ્નસન સીરરના નિયંત્રણમાં સંપત્તિ અને સંપત્તિને કારણે, તેના દાદા મેઘકામના ટ્રાયલની ટીકાને કારણે નિશાન બનાવવામાં આવ્યા હતા, જેમણે કંઈક કર્યું હતું પ્રતિષ્ઠાના, અને તેણીએ તેના પતિના સંપત્તિને નિયંત્રિત કરી ત્યાં સુધી તેમણે પુનર્લગ્ન કર્યા (જે તેમણે ક્યારેય કર્યું નથી).
"
"About 10 years later, she joined her mother and aunts for a tour as the Carter Sisters, but it wasn't until 1990 that her career really took off.
","તેમણે 1 9 70 ના દાયકાની શરૂઆતમાં એક સોલો કલાકાર તરીકે સંગીત બનાવવાનું શરૂ કર્યું, આશરે 10 વર્ષ પછી, તેણી કાર્ટર સિસ્ટર્સ તરીકે પ્રવાસ માટે તેની માતા અને નર્સ સાથે જોડાઈ, પરંતુ તે 1990 સુધી ન હતી કે તેણીની કારકીર્દિ ખરેખર ઉતારી .
"
"Accusing Mamata Banerjee of familism, Prime Minister Modi said that he preferred to be his nephew's aunt rather than being a sister of the public.
","વડાપ્રધાને મમતા બેનરજી પર પરિવારવાદનો આરોપ લગાડતા કહ્યું હતું કે કે તેઓ પ્રજાની 'દીદી' બનવાને બદલે તેમના 'ભત્રીજા'ની ફઈ બનવાનું પસંદ કર્યું હતું.
"
"After doing all these things for the next few years, with the help of his aunt, he went to a place called Peterborough in England where he worked in the northeast railway.
","પછીના થોડા વર્ષો સુધી તેઓએ દરેક જાતના કામ કરી જોયા પછી તેઓ પોતાની એક આંટીની મદદથી ઈંગ્લેંડમાં પીટરબરો નામની જગ્યાએ ચાલ્યા ગયા હતા અને ત્યાં તેમણે નોર્થન રેલ્વેમાં કામ કર્યું હતું.
"
