eng_Latn,guj_Gujr
"""""""Honey, it's your grandfather on the phone he wants to talk to you.""""""
",""""""" બેટા, લે તારા પપ્પા નો ફોન છે, તારી સાથે વાત કરવા માંગે છે.""
"
"""""""I wish to tread the path and character of my grandfather and my father Ali Ibn Abi Talib (a.s.).""
",""""""" હું મારા જદ્ અને મારા પિતા અલી બિન અબી તાલિબ (અ. સ.) ની સીરત અને રવિશ પર ચાલવા માંગુ છું.""
"
"""""""My grandfather gave.""
","""""""દાદીએ આપ્યા.""
"
"""""""My grandfather had cancer too.""
","""""""મારી દાદીને પણ બ્લડ કેન્સર હતું.""
"
"""""""My grandfather has already decided on this matter.""
","""""""મારા પિતાએ આ અંગે પહેલેથી જ નિર્ણય લઈ લીધો હતો.""
"
"""""""My grandfather killed my mother?""""""
","'મારા પપ્પાએ મમ્મીને મારી નાખી હતી?
"
"""""""My grandfather started walking five miles a day when he was 60.""
","""""""મારી દાદી એક દિવસ પાંચ માઇલ ચાલવાનું શરૂ કરતી હતી, જ્યારે તે સાઠ હતી.""
"
"""""""My grandfather started walking five miles a day when he was sixty.""
","""""""મારી દાદી એક દિવસ પાંચ માઇલ ચાલવાનું શરૂ કરતી હતી, જ્યારે તે સાઠ હતી.""
"
"""""""Now, grandfather, I will tell you what has occurred to me.""
","""""""પપ્પા, હું તમને કહું કે મને શું થયુ છે.""
"
"""""""Oh, really?"""" said grandfather.""
","""""""ખરેખર,"""" દાદીમાંએ કહ્યું.""
"
"""""""That was the voice of my grandfather.""
",""""""" એ અવાજ તમારા દાદીનો હતો.""
"
"""""""This is my grandfather.""
",""" . """" આ મારા દાદીજી.""
"
"""""""This is my great grandfather.""
",""" . """" આ મારા દાદીજી.""
"
"""""""Very well, grandfather.""
","""""""બરાબર છે, વડીલ.""
"
"""""""What did your grandfather say?""""""
","""""""અચ્છા શું કહેતા હતા તારા દાદુ?""
"
"""""""Yes, I know, grandfather.""""""
",""" """"હા. . હા. . મને ખબર છે વડીલ.""
"
"""""""Your grandfather, my father saw it in him.""
",""":""""બેટા, તારા પપ્પાને તો તે જોયા હતા.""
"
"""A boy asks his father, """"what is the age of grandfather?.""""""
","""શિક્ષક એક બાળકને પૂછે છે . . . """"તારા પપ્પાની ઉમર કેટલી છે ?""
"
"""During the retrial in Alabama, Assistant U.S. Attorney Robert Posey told the jury that the grandfather told the police officer """"no English"""" five times.""
","અલબામામાં પાર્કર વિરુદ્ધ કેસ શરૂ થયો ત્યારે સહાયક અમેરિકન એટર્ની રોબર્ટ પોઝીએ જ્યુરીને કહ્યું હતું કે વૃદ્ધજને પોલીસ અધિકારીને પાંચ વાર તેમને અંગ્રેજી આવડતું નથી એમ કહ્યું હતું.
"
