eng_Latn,guj_Gujr
"""""""It's your father."""" my grandmother said handing me the phone.""
","""""""પપ્પા મમ્મીનો ફોન છે. . """"મને રીસીવર આપતાં કહ્યું""
"
"""""""My dead grandmother moves faster than you!""""""
","""""""મારી મમ્મી તમારી મમ્મી કરતા ઝડપી ચાલે છે!""
"
"""For example, you might write """"Today we honor those who could not be with us, especially the groom's grandmother, Jane Doe.""""""
","""ઉદાહરણ તરીકે, તમે લખી શકો """"આજે આપણે એવા લોકોનું સન્માન કરીએ છીએ જે અમારી સાથે ન હોઇ શકે, ખાસ કરીને કન્યાની સાવકી મા એલિસન જેનેટ બ્રૂક્સ.""
"
"""For instance, the duo's most beloved top country hits, including """"Mama He's Crazy,"""" """"Why Not Me,"""" and """"Grandpa (Tell Me 'Bout the Good Old Days),"""" spoke not only to longtime country fans but also to housewives, grandmothers and even teenagers who could connect with the songs' tales of romantic fire or rural nostalgia.""
","""દાખલા તરીકે, બંનેની સૌથી પ્રિય ટોચની હિટ, જેમાં """"મામા હેઝ ક્રેઝી,"""" """"વ્હાય નોટ મી,"""" અને """"દાદા (કહો મે 'બૂમ ધ ગુડ ઓલ્ડ ડેઝ),"""" લાંબા સમયના દેશના ચાહકોને પણ ગૃહિણીઓને પણ નહીં.""
"
"(One of my grandmother's favorites).
","(મારા મોસ્ટ ફેવરીટ માનું એક.
"
"Alice Marie Johnson, a 63-year-old grandmother who was serving a life sentence in prison for a non-violent drug offense, has been set free.
","63 વર્ષીય એલિસ મેરી જોનસન નામની મહિલાને બિનહિંસક માદક પદાર્થ હેઠળની જોગવાઈઓ હેઠળના ગુનામાં આજીવન કેદની સજા આપવામાં આવી હતી.
"
"Alice Marie Johnson, a 63-year-old grandmother, was sentenced to life in prison without parole for a non-violent drug offence in 1996.
","63 વર્ષીય એલિસ મેરી જોનસન નામની મહિલાને બિનહિંસક માદક પદાર્થ હેઠળની જોગવાઈઓ હેઠળના ગુનામાં આજીવન કેદની સજા આપવામાં આવી હતી.
"
"Another important figure in his life, aside from his mother is his grandmother.
","તેના જીવનની બીજી અગત્યની વ્યક્તિ, તેની માતા સિવાય.
"
"Both her mother and grandmother suffered from the disease.
","તેની માતા અને માસીને પણ આવી બિમારી હતી.
"
"Both my grandmothers lived through two world wars.
","મારા દાદા બંને વિશ્વ યુદ્ધો દ્વારા રહેતા હતા.
"
"But my grandmother was very fond of me.
","પણ મારા મામાને મારા ઉપર ઘણી લાગણી રહેતી.
"
"During an interaction with IIM alumni in Singapore, Gandhi spoke about the assassination of his grandmother Indira Gandhi and father Rajiv and said that it was a price that the family knew they had to pay for taking a stand.
","સિંગાપોરમાં IIMના એક્સ-સ્ટુડન્ટ્સ સાથે સંવાદ દરમ્યાન રાહુલ ગાંધીએ પપ્પા રાજીવ ગાંધી અને ગ્રૅન્ડમધર ઇન્દિરા ગાંધીની હત્યાઓ વિશે બોલતાં જણાવ્યું હતું કે ચોક્કસ વિચારોને વળગી રહેવાની શી કિંમત ચૂકવવી પડે છે એ અમારી ફૅમિલી જાણે છે.
"
"Family: father, grandmother and two sisters.
","પરિવારઃ પિતા, માતા અને બે મોટી બહેનોમાંની.
"
"Given to me by my grandmother before she died.
","સંઘરી રાખેલી સોગઠી મરતાં પહેલા માએ મને એ આપેલી.
"
"He arranged to meet his grandmother on May 23 and his in-laws on May 24.
","તેમણે 23 મી મેના રોજ અને 24 મેના રોજ તેમના સાથી-સસરાને મળવાની ગોઠવણ કરી હતી.
"
"He becomes rude, and his actions are cruel, but nevertheless grandmother's upbringing and love of books will later bear fruit.
","તે રફ બની જાય છે, અને પોતાની ક્રિયાઓ - હિંસક, પરંતુ હજુ પણ ગ્રાન્ડમા ઉછેરની અસર અને પ્રેમ પુસ્તકો પાછળથી ફળ સહન કરશે.
"
"He doesn't know who his grandmother is.
","માદા દાદા કોણ હતાં તે નથી ખબર.
"
"He has two children and considers me to be their grandmother.
","તેમને બે દીકરા છે, તેથી મને તેઓ મને તેમની દીકરી જ માને છે.
"
"He is my grandmother's youngest brother.
","તે મારા મોટાભાઈની દીકરીનો દીકરો છે.
"
