eng_Latn,guj_Gujr
"""""""I have young actors and actresses that I mentor, I have nieces and nephews that I am very close to,"""" she trills.""
","""મારી પાસે યુવાન કલાકારો અને અભિનેત્રી છે, જેમના માર્ગદર્શક હું છું, અને ભત્રીજાઓ જેમના માટે હું એક નજીકના વ્યક્તિ બન્યા """"""
"
"""""""Journey to the Center of the Earth"""" is a 2008 remake of the classic film and novel, scientist Trevor Anderson - played by Brendan Fraser - travels with his nephew and their beautiful mountain guide Hannah to an unknown land in the center of the earth.""
","બ્રાંડન ફ્રેઝર દ્વારા ભજવવામાં આવેલા વૈજ્ઞાનિક ટ્રેવર એન્ડરસનનો ક્લાસિક ફિલ્મ અને નવલકથા 2008 ની રીમેકમાં - તેના ભત્રીજા અને પૃથ્વીના મધ્યમાં અજાણ્યા ભૂમિને તેમના સુંદર પર્વત માર્ગદર્શિકા હન્ના સાથે પ્રવાસ કરે છે.
"
"""""""The Trinamool Congress has made three arrangements of laws in the state - """"one for the nephew (of Mamata Banerjee), one for their vote bank, and one for basic Bengali.""""""
","તેમણે રાજ્યમાં ત્રણ કાનૂન બનાવ્યા, જેમાં એક ભત્રીજા (મમતા બેનરજીના), એક તેમની વોટ બેન્ક માટે અને એક સામાન્ય બંગાળી માટે, એમ તેમણે કહ્યું હતું.
"
"""""""We have always been defying the imposition of the will of the powerful over the powerless,"""" said Abhay Singh, 64, Bhagat Singh's nephew, remembering the nearly 300 farmers who have lost their lives during the ongoing protests against the farm laws.""
","""""""અમે પહેલાથી જ અશક્ત લોકો પર સશક્ત લોકોની ઈચ્છાશક્તિને થોપવામાં આવે એનો વિરોધ કરતાં રહ્યા છીએ,"""" ભગત સિંહના ભત્રીજા, ૬૪ વર્ષીય અભય સિંહે કૃષિ કાયદાઓ વિરુદ્ધ ચાલી રહેલાં વિરોધ પ્રદર્શનો દરમિયાન પોતાનો જીવ ગુમાવનાર લગભગ ૩૦૦ ખેડૂતોને યાદ કરતાં કહ્યું.""
"
"""""""Your nephew is dying.""
","""""""તારી બાયડી મરે.""
"
"""A relative of the victim comments: """"She is my nephew's wife and she gave birth to a girl yesterday and was admitted to the hospital.""
","""પીડિતાના સંબંધીએ ટિપ્પણી કરીઃ """"તે મારા ભત્રીજાની પત્ની છે અને તેણે ગઈકાલે એક છોકરીને જન્મ આપ્યો હતો અને તેને હોસ્પિટલમાં દાખલ કરવામાં આવ્યો હતો.""
"
"""A relative of the victim told NDTV, """"she is my nephew's wife and she gave birth to a girl yesterday and was admitted to the hospital.""
","""પીડિતાના સંબંધીએ ટિપ્પણી કરીઃ """"તે મારા ભત્રીજાની પત્ની છે અને તેણે ગઈકાલે એક છોકરીને જન્મ આપ્યો હતો અને તેને હોસ્પિટલમાં દાખલ કરવામાં આવ્યો હતો.""
"
"""According to a man whose three nephews were working at the factory, """"At least 12-15 machines were installed in the unit.""
",""""""" એક વૃદ્ધ વ્યક્તિએ જણાવ્યું કે, """"આ ફેક્ટરીમાં ઓછામાં ઓછી 12થી 15 મશીનો લાગી છે.""
"
"""According to another elderly man whose three nephews were working in the factory, """"At least 12-15 machines were installed in the unit.""
",""""""" એક વૃદ્ધ વ્યક્તિએ જણાવ્યું કે, """"આ ફેક્ટરીમાં ઓછામાં ઓછી 12થી 15 મશીનો લાગી છે.""
"
"""Actor's nephew Kaustubh Trivedi tweeted, """"Dear all my uncle Arvind Trivedi lankesh is all good and safe.""
","અરવિંદ ત્રિવેદીના ભત્રીજા કૌસ્તુભે ટ્વીટ કરીને જણાવ્યું કે: પ્રિય સર્વજન, મારા કાકા અરવિંદ ત્રિવેદી લંકેશ, સંપૂર્ણ રીતે ઠીક છે અને સુરક્ષિત છે.
"
