eng_Latn,guj_Gujr
"""15Naomi said to Ruth, """"Look, your sister-in-law has returned to her people and to her gods.""
","""15નાઓમીએ કહ્યું, """"રૂથ બેટા સાંભળ, તારી દેરાણી તેના લોકો તથા દેવો પાસે પાછી ગઈ છે.""
"
"""The 40-year-old actress, who was speaking to her sister-in-law Kareena on the radio show, added, """"I don't like my daughter Inaaya being clicked.""
","""40 વર્ષીય અભિનેત્રી, જેણે પોતાની સીસ્ટર ઈન લો કરીના સાથે તેના રેડિયો શો પર વાત કરતાં કહ્યું કે """"મને મારી દીકરી ઈનઆયાની તસવીરો લેવાય તે ગમતું નથી.""
"
"And if we assume that Marya, Ivan's wife, has a married sister of her own, she will be considered a sister-in-law for Ivan, and her husband, respectively, as a brother-in-law.
","અને જો આપણે એમ માની લઈએ કે મેરી, ઇવાન પત્ની પરિણીત બહેન છે, તે ઇવાન sister- ઈન કાયદો, અને તેના પતિ, અનુક્રમે સંબંધિત માટે ધ્યાનમાં લેવામાં આવશે.
"
"And your sister-in-law did what?
","અને એની શૂરી સ્ત્રીએ શું કર્યું ?
"
"Anil Ambani had also openly thanked the elder brother and sister-in-law.
","તે પછી અનિલ અંબાણીએ પોતાના મોટાભાઈ અને ભાઈ પ્રત્યે આભાર વ્યક્ત કર્યો હતો .
"
"Bollywood actor, Nawazuddin Siddiqui's brother, Shamas Siddiqui revealed his thoughts about his actor brother and sister-in-law, Aaliya's reconciliation.
","બોલીવુડ અભિનેતા નવાઝુદ્દીન સિદ્દીકીના ભાઈ શમસ સિદ્દીકીએ અભિનેતાની પડોશી પત્ની આલિયા દ્વારા તેમના અને તેમના પરિવાર પર લગાવવામાં આવેલા આક્ષેપો વિશે વાત કરી છે.
"
"Can a man marry his sister-in-law?
","શું કોઈ વ્યક્તિ પોતાની વિધવા પત્નીની બહેન સાથે લગ્ન કરી શકે છે?
"
"Cornwall is keen to be involved with his wife and sister-in-law in their plans to usurp Lear's power.
","કોર્નવોલ લીયરની શક્તિને પચાવી પાડવાની તેમની યોજનામાં તેમની પત્ની અને બહેન સાથે સંકળાયેલા છે.
"
"Despite marrying the sister-in-law of Governor Velazquez, Catalina Juarez the tension still existed.
","ગવર્નર વેલાઝક્વિઝની બહેન સાથે લગ્ન કર્યા હોવા છતાં, કેટેલિના જુરેઝ તણાવ હજુ પણ અસ્તિત્વમાં છે.
"
"Does your sister-in-law have breast cancer?
","શું તમારી માતાને સ્તન કેન્સર છે?
"
"Don't choose your cousin's sister-in-law, for example, who dabbles in real estate.
","તમારા પિતરાઇ ભાઇને પસંદ કરશો નહીં, ઉદાહરણ તરીકે, જે રિયલ એસ્ટેટમાં છીનવી લે છે.
"
"Don't just choose your cousin's sister-in-law's brother, for example, who dabbles in real estate.
","તમારા પિતરાઇ ભાઇને પસંદ કરશો નહીં, ઉદાહરણ તરીકે, જે રિયલ એસ્ટેટમાં છીનવી લે છે.
"
"Don't select your cousin's sister-in-law, for instance, who dabbles in real estate.
","તમારા પિતરાઇ ભાઇને પસંદ કરશો નહીં, ઉદાહરણ તરીકે, જે રિયલ એસ્ટેટમાં છીનવી લે છે.
"
"Eumolpus ended up marrying one of his guardian's daughters, but he tried to get with his sister-in-law.
","Eumolpus અંતમાં તેમના વાલી એક દીકરીઓ સાથે લગ્ન, પરંતુ તેમણે તેની બહેન સાથે મેળવવા પ્રયાસ કર્યો.
"
"Gandhari ended her life with her husband and her sister-in-law Kunti in the Himalayas, where they died in a forest fire.
","ગાંધારીએ પોતના જીવનનૉ અંત પોતાની જેઠાણી અને પતિ સાથે હિમાલયમાં જઈ આણ્યો જ્યાં જંગલના દાવાનળમાં તેઓ મૃત્યુ પામ્યા.
"
"Helen's first appearance is when the goddess Iris [See Hermes for information on the status of Iris in the Iliad], disguised as a sister-in-law, comes to summon Helen from her weaving.
","હેલેનનો પ્રથમ દેખાવ એ છે કે જ્યારે દેવી આઇરિસ [ ઇલિયડમાં આઇરિસની સ્થિતિ અંગેની માહિતી માટે હોમેરિકને જુઓ ], જે બહેન તરીકે છૂપી છે, હેલેનને તેના વણાટથી બોલાવવા આવે છે.
"
"Horny 18 year old fucks his little sister-in-law
","18 વર્ષીય વેશ્યા તેના સાવકી ભાઈ દ્વારા fucked
"
"How much distress was her sister-in-law in?
","એ બહેનને કેટલું કષ્ટ પડ્યું હશે ?
"
"Husband: Baldwin II, Count of Flanders, son of Judith of France, who had briefly been a stepmother and then sister-in-law to Aelfthrgyth's father, Alfred the Great (married 884)
","પતિઃ બેલ્ડવિન II, ફ્લૅન્ડર્સની ગણતરી, ફ્રાંસના જુડિથનો દીકરો, જે થોડા સમય માટે સાવધાની રાખતા હતા અને પછી એલ્ફ્રેગિથના પિતા, આલ્ફ્રેડ ધી ગ્રેટ (વિવાહિત 884)
"
"I am so grateful to God that He gave me the kindest and best sister-in-law in the world.
","હું ભગવાનનો આભાર માનું છું કે, મને દુનિયામાં સૌથી બેસ્ટ સિસ્ટર અને બેસ્ટ સખીઓ આપી.
"
"I still remember the reaction from my sister-in-law and my mom when I walked into the kitchen, turned off the lights and used the projector mod to play a YouTube video on the wall.
","જ્યારે હું રસોડામાં ગયો ત્યારે મારી બહેન અને મારી મમ્મીની પ્રતિક્રિયા મને હજી યાદ છે અને દીવા પર યુટ્યુબ વિડિયો ચલાવવા માટે પ્રોજેક્ટર મોડનો ઉપયોગ કર્યો હતો.
"
"In his statement to the police, Irshad Khan, a sales executive, said that he was in a relationship with his sister-in-law and wanted to marry her.
","ઈરશાદ ખાન નામના સેલ્સ એક્ઝિક્યુટિવે પોલીસને આપેલા નિવેદનમાં જણાવ્યું છે કે તે યુવતી સાથે રીલેશનશીપમાં હતો અને તેની સાથે લગ્ન કરવા ઈચ્છતો હતો.
"
"In the second, Anna's sister-in-law Kitty initially rejects, then later embraces the advances of an awkward young man named Levin.
","બીજામાં, અન્નાની સાસુ કિટ્ટી શરૂઆતમાં નકારી કાઢે છે, પછીથી લેવિન નામના અણઘડ યુવકની પ્રગતિને ભેટી કરે છે.
"
"Irshad Khan, a sales executive, said in his statement to police that he was in a relationship with his sister-in-law and wanted to marry her.
","ઈરશાદ ખાન નામના સેલ્સ એક્ઝિક્યુટિવે પોલીસને આપેલા નિવેદનમાં જણાવ્યું છે કે તે યુવતી સાથે રીલેશનશીપમાં હતો અને તેની સાથે લગ્ન કરવા ઈચ્છતો હતો.
"
"Is your sister-in-law attractive?
","તમારી બહેન આકર્ષક છે?
"
"Jashodaben's sister-in-law, however, said that the Congress party had contacted the family and they wanted Jashodaben to contest in Gujarat elections but she refused.
","જશોદાબેનના પરિવારના એક સભ્યએ કહ્યું છે કે, કોંગ્રેસ પાર્ટીએ તેમના પરિવારનો સંપર્ક કર્યો હતો અને તે જશોદાબેનને ગુજરાતની ચૂંટણીમાં ઉતારવા માંગતા હતા પરંતુ તેમણે ના પાડી દીધી.
"
"Married at the advanced age of 33 to Eugène Manet (1835-1892) on December 22, 1874, she entered into a suitable alliance with the Manet family, also members of the haute bourgeois (upper middle class), and she became Édouard Manet's sister-in-law.
","અદ્યતન ઉંમરે પરણિત ઈજિન મેનેટ (1835-1892) ના રોજ 22 ડિસેમ્બર, 1874 ના રોજ, તેણીએ મૉન્ટ પરિવાર સાથે યોગ્ય જોડાણમાં પ્રવેશ કર્યો, હૌટ બુર્જિયુસ (ઉપરી મધ્યમ વર્ગ) ના સભ્યો પણ, અને તે એડોર્ડ મનાટની બહેન બન્યા.
"
"Married at the propelled age of 33 to Eugène Manet (1835-1892) on December 22, 1874, she went into an appropriate collusion with the Manet family, likewise individuals from the haute average (upper white collar class), and she got to be Édouard Manet's sister-in-law.
","અદ્યતન ઉંમરે પરણિત ઈજિન મેનેટ (1835-1892) ના રોજ 22 ડિસેમ્બર, 1874 ના રોજ, તેણીએ મૉન્ટ પરિવાર સાથે યોગ્ય જોડાણમાં પ્રવેશ કર્યો, હૌટ બુર્જિયુસ (ઉપરી મધ્યમ વર્ગ) ના સભ્યો પણ, અને તે એડોર્ડ મનાટની બહેન બન્યા.
"
"My mother and sister-in-law were with me.
","મોટી બહેન અને મારા માતા મારી સાથે હતા.
"
"My parents and brother and sister-in-law came out.
","મારી એક નાની બહેન અને મારા માતા પિતા બહાર આવ્યા.
"
"My sister-in-law is here!
","મારો મહેબૂબ અહીં!
"
"My sister-in-law just died.
","મારા માસીનું હમણા જ મોત થયું છે.
"
"My sister-in-law left her three kids and ran off with another man.
","ત્રણ સંતાનાની માતા પતિને છોડીને અન્ય શખ્સ સાથે ભાગી ઘઇ હતી.
"
"My sister-in-law lives in Canada.
","કેનેડામાં રહેતા મારા બાળગોઠિયા સ્વ.
"
"My sister-in-law loves her!
","મારા કુરકુરિયું તેને પ્રેમ કરે છે!
"
"My sister-in-law was extremely happy.
","મારી બહેન વૃંદા ખુબ ખુશ હતી.
"
"Nick Jonas comments on Priyanka Chopra's relationship with sister-in-law Danielle and Sophie Turner
","નિક જોનાસ પ્રિયંકા ચોપરાના ભાઇ ડેનિયલ અને સોફી ટર્નર સાથેના સંબંધ પર ટિપ્પણી કરે છે - ટાઇમ્સ ઓફ ઇન્ડિયા
"
"Orpah: sister-in-law of Ruth
","ઓર્પાહ: રુથની બહેન
"
"Question: I have been married for three years and I have been facing a lot of problems from my sister-in-law.
","પ્રશ્નઃ મારા લગ્નને ત્રણ વર્ષ થઈ ગયા છે અને હું મારી જેઠાણી તરફથી ત્રાસ સહન કરી રહી છું.
"
"Recently Sonia Gandhi visited a festival for women organised by her sister-in-law's ministry.
","તાજેતરમાં સોનિયા ગાંધીએ પોતાની દેરાણી મેનકા ગાંધીના મહિલા અને બાળ વિકાસ મંત્રાલય દ્વારા મહિલાઓ માટે આયોજિત એક કાર્યક્રમમાં ભાગ લીધો હતો.
"
"Sarah and her sister-in-law served as scouts and helped to capture Bannock prisoners.
","સારાહ અને તેની બહેન સ્કાઉટોના તરીકે સેવા આપી હતી અને બેનોક કેદીઓને પકડવા માટે મદદ કરી હતી
"
