eng_Latn,guj_Gujr
"""""""Do you remember your uncle?""
","""""""દીકરા તને યાદ છે?""
"
"""""""He is not actually my uncle is he?""""""
","'ખરેખર મારા પપ્પા નથી? નથી. . . '
"
"""""""What was his uncle's house like?""""""
","""""""તો કેવું હતું એનું ઘર?""
"
"""""""do you ever see uncle Chinh, over there?""
","""""""શું તમે ત્યાં ચીમનીને જોયા છો?""
"
"""AP - US President Donald Trump's niece said her uncle is """"criminal, cruel and traitorous"""" and belongs in prison after he leaves the White House.""
","વોશિંગટનઃ રાષ્ટ્રપતિ ડોનાલ્ડ ટ્રમ્પની ભત્રીજી મેરી ટ્રમ્પે કહ્યું કે, તેમના અંકલને 'અપરાધી, ક્રુર અને વિશ્વાસઘાતી' છે અને વાઇટ હાઉસ છોડ્યા બાદ તેમને જેલ મોકલવા જોઈએ.
"
"""Ali Abbas Zafar said in a statement, """"I feel that there couldn't be a better choice to play Bharat than Salman because the film is about a father-son relationship and anyone who is aware of Salman and Salim uncle's bond will know how close they are to each other and how much respect is there between them.""""""
","""ડિરેક્ટર અલી અબ્બાસે સલમાનને સાચી પસંદ બતાવતા કહ્યું હતું કે, """"ભારત માટે સલમાન સિવાય બીજો કોઈ સારો વિકલ્પ ન હોઈ શકે કેમ કે ફિલ્મ પિતા-પુત્રના સંબંધ પર આધારિત છે, લોકો એ જાણે જ છે કે સલમાન અને સલીમજી એકબીજા સાથે કેટલા અટેચ્ડ છે.""
"
"""Ali was quoted by the portal saying, """"I feel that there couldn't be a better choice to play Bharat than Salman because the film is about a father-son relationship and anyone who is aware of Salman and Salim uncle's bond will know how close they are to each other and how much respect is there between them.""""""
","""ડિરેક્ટર અલી અબ્બાસે સલમાનને સાચી પસંદ બતાવતા કહ્યું હતું કે, """"ભારત માટે સલમાન સિવાય બીજો કોઈ સારો વિકલ્પ ન હોઈ શકે કેમ કે ફિલ્મ પિતા-પુત્રના સંબંધ પર આધારિત છે, લોકો એ જાણે જ છે કે સલમાન અને સલીમજી એકબીજા સાથે કેટલા અટેચ્ડ છે.""
"
"""And if in Tikhon, after the death of Katerina, at least a timid rebellion is planned, but rebellion against her mother, Boris simply escapes responsibility, saying goodbye to Katerina, says to her: """"It's not my own will to go-my uncle sends me.""""""
","""અને જો Tikhon પછી કેથરિન મૃત્યુ છતાં ડરપોક આયોજન હતું, પરંતુ માતા સામે બળવો, પછી બોરિસ ફક્ત જવાબદારી દૂર ચાલે કેથરિન ગુડબાય જણાવ્યું હતું કે, તે કહે છેઃ """"તેમના પોતાના ખોરાક પર નથી - અંકલ મોકલે છે.""
"
"""Expressing how Salman Khan was the right choice, director Ali Abbas Zafar shared, """"I feel that there couldn't be a better choice to play Bharat than Salman because the film is about a father-son relationship and anyone who is aware of Salman and Salim uncle's bond will know how close they are to each other and how much respect there is between them.""""""
","""ડિરેક્ટર અલી અબ્બાસે સલમાનને સાચી પસંદ બતાવતા કહ્યું હતું કે, """"ભારત માટે સલમાન સિવાય બીજો કોઈ સારો વિકલ્પ ન હોઈ શકે કેમ કે ફિલ્મ પિતા-પુત્રના સંબંધ પર આધારિત છે, લોકો એ જાણે જ છે કે સલમાન અને સલીમજી એકબીજા સાથે કેટલા અટેચ્ડ છે.""
"
"""Expressing how Salman Khan was the right choice, director Ali abbas zafar shared, """"I feel that there couldn't be a better choice to play Bharat than Salman because the film is about a father-son relationship and anyone who is aware of Salman and Salim uncle's bond will know how close they are to each other and how much respect is there between them.""""""
","""ડિરેક્ટર અલી અબ્બાસે સલમાનને સાચી પસંદ બતાવતા કહ્યું હતું કે, """"ભારત માટે સલમાન સિવાય બીજો કોઈ સારો વિકલ્પ ન હોઈ શકે કેમ કે ફિલ્મ પિતા-પુત્રના સંબંધ પર આધારિત છે, લોકો એ જાણે જ છે કે સલમાન અને સલીમજી એકબીજા સાથે કેટલા અટેચ્ડ છે.""
"
