eng_Latn,hin_Deva
"""""""How are you, aunt?""""""
","""""""कैसी हैं आप आंटी?""
"
"""""""I see, my aunt!""
","""""""मैं देख रहा हूँ जननि !""
"
"""""""Is your aunt all right now?""""""
","""""""अब नानी ठीक हैं?""
"
"""""""The maternal aunt is like mother.""""""
","""""""खाला माता के समान है।""
"
"""""""What happened then, aunt?""""""
","""""""फिर क्या हुआ आजी?""
"
"""""""What is my aunt's name, mamma?""""""
","""""""मेरे भाई का नाम क्या है माँ ?""
"
"""""""You went to your aunt's room?""""""
","""""""वे तुम्हारे ताऊजी के कमरे में आये थे क्या - ?""
"
"""At the same time, Manyata said, """"12 years ago I was a recognition aunt for Trishala, but today I am a mother.""
","""मान्यता ने कहा, """"12 साल पहले मैं त्रिशाला के लिए मान्यता आंटी थी, लेकिन आज मां हूं.""
"
"""The source adds, """"Ketan sir has a lot of first-hand anecdotes from his aunt and many personal items, notes and diaries which we are referencing from.""""""
","""सूत्र आगे कहते हैं, """"केतन सर के पास अपनी आंटी के बहुत से प्रत्यक्ष किस्से हैं और कई व्यक्तिगत आइटम, नोट्स और डायरियाँ हैं जिनका हम उल्लेख कर रहे हैं।""
"
"18:14 You shall not uncover the nakedness of your father's brother, you shall not approach to his wife: she is your aunt.
","18:14 आप अपने पिता के भाई की नग्नावस्था को उजागर नहीं करेगा, और न ही आप अपनी पत्नी से संपर्क करेगा, जो आत्मीयता से आप से जुड़ा हुआ है.
"
"18:14 You shall not uncover the nakedness of your father's brother, you shall not approach to his wife: she is yours aunt.
","18:14 आप अपने पिता के भाई की नग्नावस्था को उजागर नहीं करेगा, और न ही आप अपनी पत्नी से संपर्क करेगा, जो आत्मीयता से आप से जुड़ा हुआ है.
"
"3-month-old baby stabbed multiple times by aunt
","3 महीने की बच्ची को ढाल बना मां से गैंगरेप
"
"A choora is a set of traditional red bangles that is given to the bride by her maternal aunt and uncle.
","A चूरा पारंपरिक लाल चूड़ियों का एक सेट है जो दुल्हन को उसके मामा और चाचा द्वारा दिया जाता है।
"
"A mother, father, or aunt.
","माँ ,दाद या कसी क नानी
"
"According to a report in The Indian Express, Bazaz's father Mohammed Shafi recalled how he'd gone to his aunt's home in Srinagar and was picked up the police two days later.
","इंडियन एक्सप्रेस में छपी ख़बर के मुताबिक, मृतक युवक ऐजाज़ अहमद बज़ाज़ के पिता मोहम्मद शफ़ी का कहना है कि उनका बेटा श्रीनगर के पास ही बेमिना में अपने रिश्तेदार के घर गया था, लेकिन दो दिन बाद पुलिस ने उसे पकड़ लिया था.
"
"After her father's departure, Cook and her mother soon slipped into poverty; for a time they lived with Cook's maternal grandmother and three of Cook's aunts in two rooms with no electricity and no heat.
","उसके पिता के प्रस्थान के बाद, कुक और उसकी मां जल्द ही गरीबी में फिसल गई; कुछ समय के लिए वे कुक की मातृ दादी और कुक के तीन कुत्तों के साथ दो कमरों में रहते थे, जिसमें बिजली नहीं थी और न ही गर्मी थी।
"
"Ansari was attacked by the mob on June 17 in Jharkhand's Seraikela-Kharswan district while returning from his aunt's place.
","झारखंड के सरायकेला-खरसावां जिले में 17 जून को तबरेज अंसारी पर भीड़ ने उस वक्त हमला किया, जब वह अपने एक रिश्तेदार के यहां से लौट रहा था.
"
"Being an aunt and being a parent are two different things.
","माँ बनना और माँ बने रहना दो अलग बातें हैं
"
"Gulbadan Begum was the aunt of
","गुलबदन बेगम पुत्री थी
"
"Her aunt, she said,
","उसकी की दादी ने कहा,
"
"His mother and aunt lived in the village.
","उसके माँ और पापा उनके गाँव में रहते थे।
"
"I asked my aunt what's going on with my brother.
","मैंने छोटे भैया से पुछा क्या बात हो गई।
"
"I asked the aunt - who else is in your house?
","मैंने पूछा- आपके घर में और कौन-कौन है?
"
"I live with my aunt in my own house.
","मैं अपनी दीदी के साथ ही उनके घर पर रहता हूं।
"
"I said ok and went to aunt's home.
","मैंने हां बोला और चाचा के घर चला गया.
"
"IF my aunt had a dick....
","अगर दादी के पास एक डिक था . . .
"
"Kabir, this is the abode of love, Not the house of an aunt.
","कबीरा यह घर प्रेम का,खाला का घर नाहीं,
"
"Maya's aunt had died two days ago.
","दो दिन पहले मायावती की मां का निधन हो गया था।
"
"My aunt didn't leave me
","मेरी अना ने मुझ को बिखरने नहीं दिया
"
"My aunt's only daughter died five years ago.
","पांच साल पहले इकलौती बहन की हुई मौत
"
"My grandmother and aunts
","मेरी दादी और चीटियाँ
"
"Shraddha Kapoor shared a photo from her grand aunt and Indian playback singer Asha Bhosle's 88th birthday celebration with family members on Instagram.
","अभिनेत्री श्रद्धा कपूर ने अपनी दादी और भारतीय पार्श्व गायिका आशा भोसले के 88वें जन्मदिन समारोह की एक झलक परिवार. . .
"
"The girl stated that she was working in the house for the last two years and was placed there by her aunt.
","बच्ची ने बताया कि वह उस घर में पिछले दो साल से काम कर रही थी, उसकी आंटी ने उसे वहां रखवाया था.
"
"The grandmothers and aunts
","दादी और अश्वेतों
"
"Their father and aunt had no idea where they'd gone.
","उसके पिता और भाई का पता नहीं कि कब कहाँ चले गए।
"
"They know my aunts.
","उन्हें पता हैं मेरी खताएँ ।
"
"They're both my aunts.
","दोनों मेरी ऐंठी हैं।
"
"We're going to be aunts again!
","हम एक बार फिर कुंवारे हो जायेंगे !
"
"While her mother and aunt succumbed to their injuries, the girl and her lawyer are currently undergoing treatment at King George's Medical University in Lucknow.
","जबकि गंभीर रूप से घायल पीड़ित युवती और उनके वकील इस समय लखनऊ के किंग जॉर्ज अस्पताल में भर्ती हैं.
"
"Yes, you are my aunt.
","हाँ, तुम ही मेरे अन्ना
"
"me and my aunt in a motel room
","पत्नी और मुझे एक मोटल में
"
"take the baby to your aunt's house
","अपने बच्चे को घर लाना
"
"uncle and aunts
","दादी और अश्वेतों
"
