eng_Latn,hin_Deva
"""""""My grandmother and parents are coming here?""""""
","""""""माँ-बाप याड आ रहा है ?""
"
"""""""My grandmother wants to move back to her hometown.""
","""""""माताजी तो वापस अपने गाँव जाना चाहती हैं ।""
"
"""""""My grandmother was my inspiration and strength.""
","""""""मेरी माँ मेरी ताकत और प्रेरणा है।""
"
"""""""No, no, no. Your grandmother . . .""
","""""""नहीं अम्मा तुम. . .""
"
"""""""She's such a nice girl,"""" his grandmother said again.""
","""""""ऐसे लड़की बहुत अच्छी है """"माँ ने फिर से कहा""
"
"""""""Where does your grandmother live, Little Red Riding Hood?""
","""""""तुझी आजी कोठे राहते, लिटल रेड राइडिंग हूड?""
"
"""""""Where does your grandmother live, Little Red Riding Hood?""""""
","""""""तुझी आजी कोठे राहते, लिटल रेड राइडिंग हूड?""
"
"""""""Where does your grandmother live, Red Riding Hood?""""""
","""""""तुझी आजी कोठे राहते, लिटल रेड राइडिंग हूड?""
"
"""Hence, """"great grandmother"""" is the correct answer.""
","""अतः, """"ग्रैंडफादर"""" सही उत्तर है।""
"
"""One thought on """"Memories of my grandmother""""""
","""One thought on """"बूढ़ी अम्मा की कहानी""""""
"
"(aunt, grandmother and great-grandmother)
","(एक माँ ,बेटी और बहू)
"
"(named after her great grandmothers)
","(बड़ी पुत्री के नाम)
"
"22-year-old killed His grandmother.
","22 वार्षिय शख़्स ने की मां की हत्या।
"
"A 90 year-old grandmother
","90 साल के एक दादाजी
"
"As a busy mother, grandmother, and entrepreneur, what do you do for self-care?
","एक व्यस्त उद्यमी, मॉडल और माँ के रूप में, आप स्व-देखभाल के लिए क्या करती हैं?
"
"Best of British grandmothers 18:36
","इंग्लैंड के बेहतरीन मिल्फ्स 18:36
"
"From grandmother to mother to daughter
","माँ से लेकर बेटी तक
"
"Has your grandmother played an important role in your life?
","आपकी जिंदगी में आपकी मां की अहम भूमिका रही है?
"
"He now lives with his 70-year-old grandmother.
","वे अपने 70 वर्षीय मां के साथ यहां रहते है.
"
"Her grandmother was a social worker and women's rights activist.
","उनकी स्वर्गीय मां सामाजिक कार्यकर्ता और महिला अधिकारों की प्रबल हिमायती थीं.
"
"Her grandmother was not with her anymore.
","उसकी बहू अब उसके साथ नहीं थी।
"
"Her grandmother's mother owns a famous school in Hyderabad and is the founder of the publishing house, Orient Blackswan.
","उनके नाना हैदराबाद के एक प्रसिद्ध स्कूल के मालिक हैं, और पब्लिशिंग हाउस के संस्थापक ओरिएंट ब्लैक्सवान हैं ।
"
"Her parents separated from her birth and she grew up with grandmother.
","उनके पिता माता अलग हो गए थे और वो अपने माँ के साथ बड़ा हुआ है ।
"
"I could be the GREAT grandmother!
","हो सकता है बड़ी माँ!
"
"I drank milk of my grandmother while I was a child.
","मैंने बचपन में मां का दूध पिया है।
"
"I remember my grandmother was just like that.
","याद आता है मेरी अम्मी ऐसी ही थी
"
"I will see my grandmother again.
","मेरी अम्मा फिर से मिलूँगी।
"
"In my grandmother's village
","मेरी अम्मा के गाँव में
"
"In the village of my grandmother
","मेरी अम्मा के गाँव में
"
"London, Meet the world's oldest grandmother - 24-year old Poppy who loves to eat chickens, kebabs, fish and chips.
","दुनिया की सबसे बूढ़ी बिल्ली पोप्पी (24) से मिलें, जिसे मुर्गियां, कबाब, मछलियां और चिप्स खाना पसंद है.
"
"Meet the world's oldest grandmother - 24-year old Poppy who loves to eat chickens, kebabs, fish and chips.
","दुनिया की सबसे बूढ़ी बिल्ली पोप्पी (24) से मिलें, जिसे मुर्गियां, कबाब, मछलियां और चिप्स खाना पसंद है.
"
"My grandmother also in my family.
","मेरे दादाजी भी मेरे परिवार में शामिल है.
"
"My grandmother came over in 1920.
","1920 में मेरा दादा का निधन हुआ था।
"
"My grandmother encouraged it.
","मेरी मां ने इसे प्रोत्साहित किया।
"
"My grandmother has many talents.
","मेरे दादा कई प्रतिभा है।
"
"My grandmother showed me...
","अम्मा मुझे दिखाती -
"
"My grandmother told me the moon
","चाँद को मेरा मामा बताती थी माँ
"
"My grandmother used tell me stories....
","मेरी माँ मुझे कहानियाँ सुनाया करती थी _
"
"My grandmother used to work for the Port Authority.
","मेरे नाना पोर्ट अथॉरिटी में काम करते थे।
"
"My grandmother was born in Ukraine!
","- मेरा जन्म यूक्रेन में हुआ था!
"
"My grandmother was born into Jewish family in Czechoslovakia.
","चेकोस्लोवाकिया में एक यहूदी परिवार में पैदा हुए।
"
"My grandmother was perhaps...
","माँ थी शायद. .
"
"My grandmother's house: October 2012
","मेरी माँ की कृतियाँः अक्तूबर 2012
"
"My grandmother, who is 94 years old,
","मेरे दादाजी, जो अभी 94 साल के हैं
"
"My great grandfather's brother married my great grandmother's sister.
","मेरे चचेरे भाई ने मेरी पत्नी की बड़ी बहन से शादी की थी.
"
"Olivia Newton-John to become a grandmother
","ओलिविया न्यूटन-जॉन की बेटी क्लो लट्टानीजी एक माँ बनने के लिए
"
"One day the grandmother was home...
","एक दिन बड़ी बहू ने घर...
"
"She lives with her grandmother of over 80, and his handicaped father.
","वह अपनी मां के साथ रहती है, जो 80 साल की है और उसे दिल की बीमारी है।
"
"She was not a doting grandmother.
","वह एक अनाथ माता का प्रलाप नहीं था।
"
"That's how my grandmother met her first husband
","इस तरह हुई थी पति से पहली मुलाकात
"
"The girl eventually told her grandmother.
","आखिरकार लड़की ने यह बात अपनी मां को बताई।
"
"They've spent up to the maximum amount excluding gift tax over the past two years, giving money to me, my husband, and both of my children (along with all the other grandmothers in the family).
","उन्होंने मुझे, मेरे पति और मेरे दोनों बच्चों (परिवार के अन्य सभी पोते-पोतियों के साथ समान) को पैसे देकर, पिछले दो वर्षों से उपहार-कर बहिष्करण राशि को अधिकतम कर दिया है।
"
"What is the German word for grandmother in English?
","अंग्रेज़ी में grandmother को क्या कहते हैं?
"
"Your grandmother's story is so interesting.
","आपके दादाजी की कथा काफी रोचक है ।
"
"at my grandmother's village
","मेरी अम्मा के गाँव में
"
"in the grandmother's bedroom,
","दादाजी के कमरे में,
"
"my grandfather, grandmother, and so many more
","मां, बहू, और भी कई
"
"my grandmother Giuseppina
","मेरी माँ ग्यूसेपिना
"
