eng_Latn,hin_Deva
"""""""I think among the people who know me best I'll go back to being James or Uncle Jamie to my nephews and nieces, but I think there will always be a segment of the population who doesn't forget about this,"""" he said.""
","""""""मुझे लगता है कि जो लोग मुझे सबसे अच्छी तरह से जानते हैं, मैं अपने भतीजों और भतीजों के साथ जेम्स या अंकल जेमी होने के लिए वापस जाऊंगा, लेकिन मुझे लगता है कि हमेशा आबादी का एक वर्ग होगा जो इस बारे में नहीं भूलता है, """" उन्होंने कहा।""
"
"""""""Your niece is very sexy,"""" I said.""
","""तेरी नाभि बहुत सेक्सी है"""" वो बोला""
"
"""Mangeshkar's niece Rachana Shah said the singer's condition is """"stable and good.""""""
","""' मंगेशकर की रिश्तेदार रचना शाह ने मंगलवार को बताया कि गायिका की हालत """"स्थिर और ठीक' है.""
"
"""Not just for my daughter, but for my niece as well.""""""
","""सिर्फ बेटी का ही नहीं मेरा भी पति """"""
"
"Also, ask your children (or nieces, nephews, or friend's children) to tell you a story.
","इसके अलावा, आपको एक कहानी बताने के लिए अपने बच्चों (या भाई, भतीजे, या दोस्त के बच्चों) से पूछें।
"
"C is the niece of A: Here we know the gender of C only.
","9. C, A का भतीजा हैः यहाँ हमें केवल C के लिंग के बारे में जानकारी है।
"
"Example: The woman's niece kicked the man.
","उदाहरण: पत्नी ने पति को बेलन मारा
"
"Grand niece of independent India's first Education Minister, Maulana Abul Kalam Azad, Dr Heptulla has been a five time member of the Rajya Sabha between 1986 and 2012 and Deputy Chairman of the Rajya Sabha for sixteen years.
","भारत के पहले शिक्षा मंत्री मौलाना अबुल कलाम आजाद की नातिन डॉ. हेपतुल्ला वर्ष 1986 से लेकर वर्ष 2012 तक राज्यसभा की पांच बार सदस्य और राज्यसभा की उप सभापति भी रह चुकी हैं.
"
"Grand niece of independent India's first Education Minister, Maulana Abul Kalam Azad, Dr Heptulla has been a five-time member of the Rajya Sabha between 1986 and 2012 and Deputy Chairman of the Rajya Sabha for sixteen years.
","भारत के पहले शिक्षा मंत्री मौलाना अबुल कलाम आजाद की नातिन डॉ. हेपतुल्ला वर्ष 1986 से लेकर वर्ष 2012 तक राज्यसभा की पांच बार सदस्य और राज्यसभा की उप सभापति भी रह चुकी हैं.
"
"I think among the people who know me best I'll go back to being James or Uncle Jamie to my nephews and nieces, but I think there will always be a segment of the population who doesn't forget about this.
","""""""मुझे लगता है कि जो लोग मुझे सबसे अच्छी तरह से जानते हैं, मैं अपने भतीजों और भतीजों के साथ जेम्स या अंकल जेमी होने के लिए वापस जाऊंगा, लेकिन मुझे लगता है कि हमेशा आबादी का एक वर्ग होगा जो इस बारे में नहीं भूलता है, """" उन्होंने कहा।""
"
"Laura had been enjoying the sun with her mum, dad and sister, along with her two children and her niece and nephew when they decided to walk the dogs after finishing their picnic.
","लौरा अपने दो बच्चों और अपने भतीजे और भतीजे के साथ अपने मम्मी, पिताजी और बहन के साथ सूरज का आनंद ले रही थी, जब उन्होंने पिकनिक खत्म करने के बाद कुत्तों को चलने का फैसला किया।
"
"One is my niece and the other is a friend's son!
","एक मेरा दोस्त है, और दूसरी उसकी मासूमियत!
"
"She is the niece of former Pakistani Prime Minister Benazir Bhutto.
","ऐसा कहना है पाकिस्तान की पूर्व महिला प्रधानमंत्री बेनजीर भुट्टो की बेटी का।
"
"She is the niece of veteran actress Hema Malini.
","वे जानी-मानी फिल्म अभिनेत्री हेमा मालिनी की माता हैं
"
"So, M is the niece of R.
","अतः M, R की बहन है.
"
