eng_Latn,hin_Deva
"""""""But you are my uncle . . .""
","""""""पर तू मेरा. . . बेटा है.""
"
"""""""I had an uncle who had a brain tumor, and that's probably where it (my interest in medicine) started.""
","""""""मेरे एक अंकल थे जिन्हें ब्रेन ट्यूमर था, और शायद यहीं से यह (दवा में मेरी दिलचस्पी) शुरू हुई।""
"
"""""""My uncle,"""" I replied.""
","""""""मैं ने"""" चाची ने जवाब दिया।""
"
"""""""My uncles""
","""""""मेरी चूड़ियाँ""
"
"""""""No,"""" my uncle answered.""
","""""""मैं ने"""" चाची ने जवाब दिया।""
"
"""""""Okay, thank you, uncle!""""""
",""""""" ठीक है भाई, थैंक यू !""
"
"""""""Please no uncle.""
","""""""नहीं चाची।""
"
"""""""She's not my uncle.""
","""""""वह मेरी चाची नहीं है।""
"
"""""""So happy to break the news, it's great to be an uncle, my Brother Jamie and Sayesha, blessed with #BabyGirl, a rite of uncontrollable emotion right now in the middle of filming.""
","""""""इस खबर को तोड़कर बहुत खुशी हुई, अंकल बनकर बहुत अच्छा लगा, मेरे भाई जैमी और सायशा ने एक #बेबीगर्ल को आशीर्वाद दिया, अब शूटिंग के बीच में बेकाबू भावनाएं होती हैं।""
"
"""""""What did your uncle have to say?""""""
","""""""क्या करना पड़ा था चाची को ?""
"
"""""""What will be uncle now?""""""
","""""""आनवर अब क़्या होगा?""
"
"""""""When my uncle died,""
","""""""जब मेरा जमीर मर चुका था""
"
"""""""Where are aunty uncle?""""""
",""""""" ऐस्तैर चाची कहां है?""
"
"""""""Why is that, uncle?""""""
","""""""ऐसा क्यों चाची?""
"
"""""""Why not uncle?""
","""""""क्यों नहीं आंटी?""
"
"""""""Your uncle's been drinking.""""""
","""""""तुम्हारे मुवक्किल ने शराब पी रखी थी।""
"
"""4 of them said: """"Yes uncle, he was here.""""""
","""4 ने कहाः """"हाँ अंकल, यहीं पर था""""""
"
"""I have an uncle who works for a large engineering firm... Read more """"""
","""मैं एक बड़ी प्राईवेट कम्पनी में नौकरी करता... Read more """"""
"
"""I said, """"Yes uncle!""
","मैंने कहा- हाँ चाची!
"
"""The British English expression """"Bob's your uncle"""" is thought to have originated when Robert Arthur Talbot Gascoyne-Cecil, 3rd Marquess of Salisbury, promoted his nephew, Arthur Balfour, to the esteemed post of Chief Secretary for Ireland in what was widely seen as an act of nepotism.[citation needed]""
","""माना जाता है कि ब्रिटिश अंग्रेजी अभिव्यक्ति """"Bob's your uncle"""" की उत्पत्ति तब हुई जब रॉबर्ट आर्थर टैलबोट गस्कॉयने-सेसिल, सैलिसबरी के 3 रे मार्केस ने आयरलैंड के लिए मुख्य सचिव के सम्मानीय पद पर अपने भतीजे आर्थर बालफोर को पदोन्नत किया, जिसे व्यापक रूप से एक अफ्रीकी भाई-भतीजावाद का कार्य के रूप में देखा गया था।""
"
