eng_Latn,kan_Knda
"""""""How many grandmothers do you have?""""""
","""""""ಒಟ್ಟ ಎಷ್ಟ ಮಂದಿ ಮೊಮ್ಮಕ್ಕಳು ?""
"
"""""""I am going to be a grandmother now.""
","""""""ನಾನು ಈಗ ಮಮ್ಮಿಯಾಗಲಿದ್ದೇನೆ.""""""
"
"""""""I know you do not make the laws, but you are the wives, mothers, sisters, daughters, and grandmothers of those who do.""
","""""""ನಾನು ಕಾನೂನುಗಳನ್ನು ಮಾಡುತ್ತಿಲ್ಲವೆಂದು ನನಗೆ ಗೊತ್ತು, ಆದರೆ ನೀವು ಮಾಡುತ್ತಿರುವವರಲ್ಲಿ ನೀವು ಪತ್ನಿಯರು ಮತ್ತು ತಾಯಂದಿರು, ಸಹೋದರಿಯರು ಮತ್ತು ಹೆಣ್ಣುಮಕ್ಕಳು ಎಂದು ನನಗೆ ಗೊತ್ತು.""
"
"""""""I live with my parents, grandmother, uncle and his children and also my three other sisters with their spouses.""
","""""""ನಾನು ನನ್ನ ತಾಯಿ, ಪತಿ, ಮೂವರು ಮಕ್ಕಳು ಹಾಗೂಸೋದರ ಸೊಸೆಯೊಂದಿಗೆ ವಾಸಿಸುತ್ತಿದ್ದು ನನ್ನದು ದೊಡ್ಡ ಪರಿವಾರ, ಮಕ್ಕಳಿನ್ನೂ ಚಿಕ್ಕವರು.""
"
"""""""My grandmother can run faster than you!""""""
","""""""ನನ್ನ ತಾಯಿ ನಿಮ್ಮ ತಾಯಿಗಿಂತ ವೇಗವಾಗಿ ಓಡುತ್ತಿದ್ದಾಳೆ!""
"
"""""""My grandmother has had three...""
",""""""" ಅಜ್ಜ . . ಮೂರು ಮರಿ ಇದೆ.""
"
"""""""My grandmother in the village""""""
",""""""""""""""" ಗ್ರಾಮದಲ್ಲಿ ನನ್ನ ತಾಯಿ ಸ್ನೇಹಿತರು """"""""""""""
"
"""""""My grandmother is a nurse.""
","""""""ನನ್ನ ದೊಡ್ಡಮ್ಮನ ಮಗಳು ತಮ್ಮ ನರ್ಸ್.""
"
"""""""My grandmother passed away last night.""
","""""""ಅಮ್ಮ ತಡರಾತ್ರಿ ಕೊನೆಯುಸಿರೆಳೆದರು.""
"
"""""""So, your grandmother is going to be here tomorrow?""""""
","""ಅಷ್ಟರಲ್ಲಿ """"ಅಜ್ಜಾ ನಾಳೆಯೂ ಬರತೀಯಾ?""
"
"""""""Where are we going, grandmother?""""""
","""""""ಎಲ್ಲಿಗೆ ಹೊರಟಿರಿ, ಅಜ್ಜ ?""
"
"""""""Where to, grandmother?""""""
","""""""ಎಲ್ಲಿಗೆ ಹೊರಟಿರಿ, ಅಜ್ಜ ?""
"
"""""""Why you, grandmother?""
",""""""" ಯಾಕೆ ಹಾಗೆ ಕೇಳೀಯ, ಅಜ್ಜ ?""
"
"""# Mark Twain, American author: """"India is, the cradle of the human race, the birthplace of human speech, the mother of history, the grandmother of legend, and the great grand mother of tradition. our most valuable and most instructive materials in the history of man are treasured up in India only.""""""
","""ಮಾರ್ಕ್ ಟ್ವೈನ್, ಅಮೇರಿಕನ್ ಲೇಖಕಃ """"ಭಾರತ ಮಾನವ ಜನಾಂಗದ ತೊಟ್ಟಿಲು, ಮಾನವ ಭಾಷೆಯ ಜನ್ಮಸ್ಥಳ, ಇತಿಹಾಸದ ತಾಯಿ, ದಂತಕಥೆಯ ಅಜ್ಜ, ಮತ್ತು ಸಂಪ್ರದಾಯದ ಮುತ್ತಜ್ಜಿಯವರು ಇತಿಹಾಸದಲ್ಲಿ ನಮ್ಮ ಅತ್ಯಂತ ಬೆಲೆಬಾಳುವ ಮತ್ತು ಹೆಚ್ಚು ಬೋಧಪ್ರದ ವಸ್ತುಗಳು ಮನುಷ್ಯನ ಮಾತ್ರ ಭಾರತದಲ್ಲಿ ಅಮೂಲ್ಯವಾಗಿದೆ.""
"
"""*Mark Twain: """"India is, the cradle of the human race, the birthplace of human speech, the mother of history, the grandmother of legend, and the great grand mother of tradition. our most valuable and most instructive materials in the history of man are treasured up in India only.""""""
","""ಮಾರ್ಕ್ ಟ್ವೈನ್, ಅಮೇರಿಕನ್ ಲೇಖಕಃ """"ಭಾರತ ಮಾನವ ಜನಾಂಗದ ತೊಟ್ಟಿಲು, ಮಾನವ ಭಾಷೆಯ ಜನ್ಮಸ್ಥಳ, ಇತಿಹಾಸದ ತಾಯಿ, ದಂತಕಥೆಯ ಅಜ್ಜ, ಮತ್ತು ಸಂಪ್ರದಾಯದ ಮುತ್ತಜ್ಜಿಯವರು ಇತಿಹಾಸದಲ್ಲಿ ನಮ್ಮ ಅತ್ಯಂತ ಬೆಲೆಬಾಳುವ ಮತ್ತು ಹೆಚ್ಚು ಬೋಧಪ್ರದ ವಸ್ತುಗಳು ಮನುಷ್ಯನ ಮಾತ್ರ ಭಾರತದಲ್ಲಿ ಅಮೂಲ್ಯವಾಗಿದೆ.""
"
"""Both parents were tall, grandmother 5'11"""" and grandfather 6'3′′.""
","""ಆಕೆಯ ತಂದೆತಾಯಿಗಳೆರಡೂ ಎತ್ತರವಾಗಿದ್ದವು - ಆಕೆಯ ತಾಯಿ 5'11 ಮತ್ತು ಆಕೆಯ ತಂದೆ 6'1 - ಆದರೆ ಅವರಿಬ್ಬರೂ 6'5 """"ಎತ್ತರಕ್ಕೆ ಬೆಳೆದರು.""
"
"""His grandmother asked him """"What are you looking at?""""""
","""ಮೊಮ್ಮಗ ಕೇಳಿದ - """"ಏನಜ್ಜಿ ಹುಡುಕುತ್ತಿದ್ದೀಯ?""
"
"""Mark Twain [American author] - """"India is, the cradle of the human race, the birthplace of human speech, the mother of history, the grandmother of legend, and the great grand mother of tradition. our most valuable and most instructive materials in the history of man are treasured up in India only.""""""
","""ಮಾರ್ಕ್ ಟ್ವೈನ್, ಅಮೇರಿಕನ್ ಲೇಖಕಃ """"ಭಾರತ ಮಾನವ ಜನಾಂಗದ ತೊಟ್ಟಿಲು, ಮಾನವ ಭಾಷೆಯ ಜನ್ಮಸ್ಥಳ, ಇತಿಹಾಸದ ತಾಯಿ, ದಂತಕಥೆಯ ಅಜ್ಜ, ಮತ್ತು ಸಂಪ್ರದಾಯದ ಮುತ್ತಜ್ಜಿಯವರು ಇತಿಹಾಸದಲ್ಲಿ ನಮ್ಮ ಅತ್ಯಂತ ಬೆಲೆಬಾಳುವ ಮತ್ತು ಹೆಚ್ಚು ಬೋಧಪ್ರದ ವಸ್ತುಗಳು ಮನುಷ್ಯನ ಮಾತ್ರ ಭಾರತದಲ್ಲಿ ಅಮೂಲ್ಯವಾಗಿದೆ.""
"
"""Mark Twain sums it up - India is, the cradle of the human race, the birthplace of human speech, the mother of history, the grandmother of legend, and the great grand mother of tradition. our most valuable and most instructive materials in the history of man are treasured up in India only.""""""
","""ಮಾರ್ಕ್ ಟ್ವೈನ್, ಅಮೇರಿಕನ್ ಲೇಖಕಃ """"ಭಾರತ ಮಾನವ ಜನಾಂಗದ ತೊಟ್ಟಿಲು, ಮಾನವ ಭಾಷೆಯ ಜನ್ಮಸ್ಥಳ, ಇತಿಹಾಸದ ತಾಯಿ, ದಂತಕಥೆಯ ಅಜ್ಜ, ಮತ್ತು ಸಂಪ್ರದಾಯದ ಮುತ್ತಜ್ಜಿಯವರು ಇತಿಹಾಸದಲ್ಲಿ ನಮ್ಮ ಅತ್ಯಂತ ಬೆಲೆಬಾಳುವ ಮತ್ತು ಹೆಚ್ಚು ಬೋಧಪ್ರದ ವಸ್ತುಗಳು ಮನುಷ್ಯನ ಮಾತ್ರ ಭಾರತದಲ್ಲಿ ಅಮೂಲ್ಯವಾಗಿದೆ.""
"
"""Mark Twain, American author, said, """"India is, the cradle of the human race, the birthplace of human speech, the mother of history, the grandmother of legend, and the great grand mother of tradition. our most valuable and most instructive materials in the history of man are treasured up in India only.""""""
","""ಮಾರ್ಕ್ ಟ್ವೈನ್, ಅಮೇರಿಕನ್ ಲೇಖಕಃ """"ಭಾರತ ಮಾನವ ಜನಾಂಗದ ತೊಟ್ಟಿಲು, ಮಾನವ ಭಾಷೆಯ ಜನ್ಮಸ್ಥಳ, ಇತಿಹಾಸದ ತಾಯಿ, ದಂತಕಥೆಯ ಅಜ್ಜ, ಮತ್ತು ಸಂಪ್ರದಾಯದ ಮುತ್ತಜ್ಜಿಯವರು ಇತಿಹಾಸದಲ್ಲಿ ನಮ್ಮ ಅತ್ಯಂತ ಬೆಲೆಬಾಳುವ ಮತ್ತು ಹೆಚ್ಚು ಬೋಧಪ್ರದ ವಸ್ತುಗಳು ಮನುಷ್ಯನ ಮಾತ್ರ ಭಾರತದಲ್ಲಿ ಅಮೂಲ್ಯವಾಗಿದೆ.""
"
"""Mark Twain, American author: """"India is the cradle of the human race, the birthplace of human speech, the mother of history, the grandmother of legend, and the great grandmother of tradition, our most valuable and most instructive materials in the history of man are treasured up in India only.""""""
","""ಮಾರ್ಕ್ ಟ್ವೈನ್, ಅಮೇರಿಕನ್ ಲೇಖಕಃ """"ಭಾರತ ಮಾನವ ಜನಾಂಗದ ತೊಟ್ಟಿಲು, ಮಾನವ ಭಾಷೆಯ ಜನ್ಮಸ್ಥಳ, ಇತಿಹಾಸದ ತಾಯಿ, ದಂತಕಥೆಯ ಅಜ್ಜ, ಮತ್ತು ಸಂಪ್ರದಾಯದ ಮುತ್ತಜ್ಜಿಯವರು ಇತಿಹಾಸದಲ್ಲಿ ನಮ್ಮ ಅತ್ಯಂತ ಬೆಲೆಬಾಳುವ ಮತ್ತು ಹೆಚ್ಚು ಬೋಧಪ್ರದ ವಸ್ತುಗಳು ಮನುಷ್ಯನ ಮಾತ್ರ ಭಾರತದಲ್ಲಿ ಅಮೂಲ್ಯವಾಗಿದೆ.""
"
