eng_Latn,kan_Knda
"""""""Following the death of his wife Louisa in 1906, the death of his son Kingsley just before the end of World War I, and the deaths of his brother Innes, his two brothers-in-law (one of whom was E. W. Hornung, creator of the literary character Raffles) and his two nephews shortly after the war, Doyle sank into depression.""
","ಕೊನನ್ ಅವರು 1906 ತಮ್ಮ ಹೆಂಡತಿ ಲ್ಯೂಯಿಸಾ ಅವರ ಮರಣ, ಮೊದಲ ಜಾಗತಿಕ ಯುದ್ಧಕ್ಕೆ ಸ್ವಲ್ಪವೇ ಮೊದಲು ತನ್ನ ಮಗ ಕಿಂಗ್ಸ್ಲೇ ಯ ಸಾವು, ನಂತರ ತನ್ನ ಸಹೋದರ ಇನ್ಸ್ರವರ ಮರಣ ಮತ್ತು ಇಬ್ಬರು ಬಾವಂದಿರ ಮರಣ (ಅವರಲ್ಲಿ ಒಬ್ಬರು ಇ ಡಬ್ಲ್ಯೂ ಹಾರ್ನಂಗ್, ರ್ಯಾಫ್ಲ್ಸ್) ಸಾಹಿತ್ಯದ ನಿರ್ಮಾತೃ) ಮತ್ತು ಯುದ್ಧ ಕಳೆದ ಕೆಳದಿನಗಳಲ್ಲಿಯೇ ತನ್ನ ಇಬ್ಬರು ಸೋದರಳಿಯಂದಿರ ಮರಣದಿಂದಾಗಿ ಕೊನನ್ ಡೋಯ್ಲ್ ಒತ್ತಡದಲ್ಲಿ ಮುಳುಗಿಹೋದರು.
"
"""""""He was in tears when he found out how much his treatment was costing,"""" says his nephew, 23-year-old Ravi Morale.""
","""""""ಅವರ ಚಿಕಿತ್ಸೆಗೆ ಎಷ್ಟು ವೆಚ್ಚವಾಗುತ್ತಿದೆ ಎನ್ನುವುದು ತಿಳಿದಾಗ ಅವರು ಕಣ್ಣೀರು ಹಾಕಿದರು"""" ಎಂದು ಅವರ ಸೋದರಳಿಯ, 23 ವರ್ಷದ ರವಿ ಮೊರಾಳೆ ಹೇಳುತ್ತಾರೆ.""
"
"""""""I have young actors and actresses that I mentor, I have nieces and nephews that I am very close to.""""""
","""ನಾನು ಯುವ ನಟರು ಮತ್ತು ನಟಿಯರನ್ನು ಹೊಂದಿದ್ದೇನೆ, ಅವರ ಮಾರ್ಗದರ್ಶಿ ನಾನು ಮತ್ತು ನಾನು ನಿಕಟ ವ್ಯಕ್ತಿಯಾಗಿರುವ ಸೋದರಳಿಯರು """"""
"
"""""""I have young actors and actresses that I mentor, and I have nieces and nephews that I am very close to.""""""
","""ನಾನು ಯುವ ನಟರು ಮತ್ತು ನಟಿಯರನ್ನು ಹೊಂದಿದ್ದೇನೆ, ಅವರ ಮಾರ್ಗದರ್ಶಿ ನಾನು ಮತ್ತು ನಾನು ನಿಕಟ ವ್ಯಕ್ತಿಯಾಗಿರುವ ಸೋದರಳಿಯರು """"""
"
"""""""She passed away due to cardiac arrest at around 2:30 am at the hospital,"""" her nephew Manish Jagwani .""
","ಆಸ್ಪತ್ರೆಯಲ್ಲಿ ಮುಂಜಾನೆ 2: 30 ರ ಸುಮಾರಿಗೆ ಹೃದಯ ಸ್ತಂಭನದಿಂದಾಗಿ ಅವರು ನಿಧನರಾದರು' ಎಂದು ಖಾನ್ ಸೋದರಳಿಯ ಮನೀಶ್ ತಿಳಿಸಿದ್ದಾರೆ.
"
"""""""That's my friend's nephew!""""""
","""ಇವನೆ ನನ್ನ ಗೆಳೆಯ """"ಅಳಿಲು""""!""
"
"""After his nephew's change of name and engagement to the future Queen, he is alleged to have referred to the United Kingdom's dynasty as the future """"House of Mountbatten,"""" whereupon the Dowager Queen Mary reportedly refused to have anything to do with """"that Battenberg nonsense,"""" and the name of the Royal house remains Windsor by subsequent Royal decree - this can, however, be changed on the Monarch's wishes.""
","""ತನ್ನ ಅಣ್ಣನ ಪುತ್ರನ ಹೆಸರಿನ ಬದಲಾವಣೆ ಹಾಗೂ ಭವಿಷ್ಯದ ರಾಣಿಯೊಂದಿಗೆ ಆತನ ವಿವಾಹ ನಿಶ್ಚಯದ ನಂತರ, ಯುನೈಟೆಡ್ ಕಿಂಗ್ಡಮ್ನ ರಾಜವಂಶಕ್ಕೆ ಭವಿಷ್ಯದ """"ಹೌಸ್ ಆಫ್ ಮೌಂಟ್ಬ್ಯಾಟನ್ """"ನೆಂದು ಸೂಚಿಸಲ್ಪಟ್ಟನೆಂದು ಹೇಳಲಾದರೂ, """"ಆ ಅಸಂಬದ್ಧ ಬ್ಯಾಟೆನ್ಬರ್ಗ್ """"ನ ವಿಚಾರದಲ್ಲಿ ತನಗೆ ಆಗಬೇಕಾದ್ದೇನೂ ಇಲ್ಲ ಎಂದು ರಾಜವಿಧವೆ ರಾಣಿ ಮೇರಿ ನಿರಾಕರಿಸಿದಳೆಂದು ಹೇಳಲಾಗಿದೆ.""
"
"""After his nephew's change of name and engagement to the future Queen, he is alleged to have referred to the United Kingdom's dynasty as the future """"House of Mountbatten,"""" whereupon the Dowager Queen Mary reportedly refused to have anything to do with """"that Battenberg nonsense.""""[citation needed] The name of the British royal family remained Windsor by subsequent royal decree.""
","""ತನ್ನ ಅಣ್ಣನ ಪುತ್ರನ ಹೆಸರಿನ ಬದಲಾವಣೆ ಹಾಗೂ ಭವಿಷ್ಯದ ರಾಣಿಯೊಂದಿಗೆ ಆತನ ವಿವಾಹ ನಿಶ್ಚಯದ ನಂತರ, ಯುನೈಟೆಡ್ ಕಿಂಗ್ಡಮ್ನ ರಾಜವಂಶಕ್ಕೆ ಭವಿಷ್ಯದ """"ಹೌಸ್ ಆಫ್ ಮೌಂಟ್ಬ್ಯಾಟನ್ """"ನೆಂದು ಸೂಚಿಸಲ್ಪಟ್ಟನೆಂದು ಹೇಳಲಾದರೂ, """"ಆ ಅಸಂಬದ್ಧ ಬ್ಯಾಟೆನ್ಬರ್ಗ್ """"ನ ವಿಚಾರದಲ್ಲಿ ತನಗೆ ಆಗಬೇಕಾದ್ದೇನೂ ಇಲ್ಲ ಎಂದು ರಾಜವಿಧವೆ ರಾಣಿ ಮೇರಿ ನಿರಾಕರಿಸಿದಳೆಂದು ಹೇಳಲಾಗಿದೆ.""
"
"""After his nephew's change of name and engagement to the future Queen, he is alleged to have referred to the United Kingdom's dynasty as the future """"House of Mountbatten,"""" whereupon the Dowager Queen Mary""
","""ತನ್ನ ಅಣ್ಣನ ಪುತ್ರನ ಹೆಸರಿನ ಬದಲಾವಣೆ ಹಾಗೂ ಭವಿಷ್ಯದ ರಾಣಿಯೊಂದಿಗೆ ಆತನ ವಿವಾಹ ನಿಶ್ಚಯದ ನಂತರ, ಯುನೈಟೆಡ್ ಕಿಂಗ್ಡಮ್ನ ರಾಜವಂಶಕ್ಕೆ ಭವಿಷ್ಯದ """"ಹೌಸ್ ಆಫ್ ಮೌಂಟ್ಬ್ಯಾಟನ್ """"ನೆಂದು ಸೂಚಿಸಲ್ಪಟ್ಟನೆಂದು ಹೇಳಲಾದರೂ, """"ಆ ಅಸಂಬದ್ಧ ಬ್ಯಾಟೆನ್ಬರ್ಗ್ """"ನ ವಿಚಾರದಲ್ಲಿ ತನಗೆ ಆಗಬೇಕಾದ್ದೇನೂ ಇಲ್ಲ ಎಂದು ರಾಜವಿಧವೆ ರಾಣಿ ಮೇರಿ ನಿರಾಕರಿಸಿದಳೆಂದು ಹೇಳಲಾಗಿದೆ.""
"
"""Alongside his nephew Waldo, Mr. Magoo first appeared in 1949 in the theatrical short """"Ragtime Bear.""""""
","""ಅವರ ಸೋದರಳಿಯ ವಾಲ್ಡೋ ಜೊತೆಯಲ್ಲಿ, ಶ್ರೀ. ಮ್ಯಾಗೂ ಮೊದಲಿಗೆ 1949 ರಲ್ಲಿ ನಾಟಕೀಯ ಕಿರು """"ರಾಗ್ಟೈಮ್ ಬೇರ್"""" ನಲ್ಲಿ ಕಾಣಿಸಿಕೊಂಡರು.""
"
