eng_Latn,kan_Knda
""""""" I don't know, uncle.""
",""""""" ಅದೇನೋ ಗೊತ್ತಿಲ್ಲ ಅಂಕಲ್.""
"
"""""""Ah, uncle, you don't know.""
",""""""" ಓಹ್ ಅಂಕಲ್, ನಿಮಗೆ ಗೊತ್ತಿಲ್ಲಾ.""
"
"""""""I do not know, uncle.""
",""""""" ಅದೇನೋ ಗೊತ್ತಿಲ್ಲ ಅಂಕಲ್.""
"
"""""""I have found several videos of Sonu Sood uncle assisting the needy.""
","'ಸೋನು ಸೂದ್ ಅಂಕಲ್ ಅಗತ್ಯವಿದ್ದವರಿಗೆ ಸಹಾಯ ಮಾಡುವ ಅನೇಕ ವಿಡಿಯೋಗಳನ್ನು ನೋಡಿದ್ದೇನೆ.
"
"""""""I live with my parents, grandmother, uncle and his children and also my three other sisters with their spouses.""
","""""""ನಾನು ನನ್ನ ತಾಯಿ, ಪತಿ, ಮೂವರು ಮಕ್ಕಳು ಹಾಗೂಸೋದರ ಸೊಸೆಯೊಂದಿಗೆ ವಾಸಿಸುತ್ತಿದ್ದು ನನ್ನದು ದೊಡ್ಡ ಪರಿವಾರ, ಮಕ್ಕಳಿನ್ನೂ ಚಿಕ್ಕವರು.""
"
"""""""It's not wrong, uncle.""
","""""""ನಂದೇನೂ ತಪ್ಪಿಲ್ಲ ಅಂಕಲ್.""
"
"""""""No uncle, Don't take me to the police.""
","""""""ಬೇಡ ಆಂಟಿ, ಪೊಲೀಸ್ ಬೇಡ.""
"
"""""""On my mom's side, my uncle""
","""""""ಅಮ್ಮಾ, ಅಮ್ಮಾ ಅಂಕಲ್ಗೆ ನಾನು""
"
"""""""Thank you uncle.""
",""""""" ಥ್ಯಾಂಕ್ಯು ಅಂಕಲ್.""
"
"""""""We're not sure where he is, but it could be Afghanistan,"""" Ahmad al-Attas, Hamza's uncle, told the Guardian.""
","ಆತ ಎಲ್ಲಿದ್ದಾನೆ ಎಂಬುದು ಖಚಿತವಿಲ್ಲ; ಆದರೆ ಅಫ್ಘಾನಿಸ್ತಾನದಲ್ಲಿರುವ ಸಾಧ್ಯತೆಯೇ ಹೆಚ್ಚು' ಎಂದು ಅಹ್ಮದ್ ಅಲ್ ಅಟ್ಟಾಸ್ ಗಾರ್ಡಿಯನ್ ಪತ್ರಿಕೆಗೆ ತಿಳಿಸಿದ್ದಾರೆ.
"
"""""""What did you do, uncle?""""""
","""""""ನೀವು ಏನು ಮಾಡಿದಿರಿ ಅಂಕಲ್?""
"
"""""""What have I done, uncle?""
","""""""ನೀವು ಏನು ಮಾಡಿದಿರಿ ಅಂಕಲ್?""
"
"""""""Yeah, my uncle!""
","""""""ಹೌದು ಅಂಕಲ್ !""
"
"""(b) """"We lived with our grandmother and uncle in the rear of the Store (it was always spoken of with a _____ S), which she had owned some twenty-five years.""""""
",""" (b) """"ನಾವು ನಮ್ಮ ಅಜ್ಜಿಯೊಂದಿಗೆ ಮತ್ತು ಅಂಗಡಿಯ ಹಿಂಭಾಗದಲ್ಲಿ (ಇದು ಯಾವಾಗಲೂ _____ ಎಸ್ನೊಂದಿಗೆ ಮಾತನಾಡುತ್ತಿದ್ದೆ) ವಾಸಿಸುತ್ತಿದ್ದೇವೆ, ಅದು ಇಪ್ಪತ್ತೈದು ವರ್ಷಗಳ ಕಾಲ ತನ್ನದಾಗಿಸಿಕೊಂಡಿದೆ.""
"
"""And worked as an assistant director in his uncle Nasir Hussain Hindi movies """"Manzil Manzil"""" (1984) and """"Zabardast"""" (1985).""
","ಇದೇ ಅವಧಿಯಲ್ಲಿ ಅವರು ನಾಸಿರ್ ಹುಸೈನ್ ಅವರ ಮನ್ಜಿಲ್ ಮನ್ಜಿಲ್ (1984) ಮತ್ತು ಝಬರ್ದಸ್ತ್ (1985) ಎಂಬ ಎರಡು ಹಿಂದಿ ಸಿನಿಮಾಗಳ ಸಹಾಯಕ ನಿರ್ದೇಶಕರಾಗಿ ಕೆಲಸ ಮಾಡಿದರು.
"
"""My dad, my uncle ... well, all my uncles.""""""
","""""""ಒಳ್ಳೆಯದು, ನನ್ನ ತಂದೆ - ಒಳ್ಳೆಯದು, ನನ್ನ ಎಲ್ಲಾ ಪಿತೃಗಳು.""
"
"""We only took him to Bhungarka once a year to his paternal relatives,"""" said Dan Singh, Mahipal's maternal uncle, who took care of his education.""
","""ವರ್ಷದಲ್ಲಿ ಒಂದು ಬಾರಿಯಷ್ಟೇ ಮಹಿಪಾಲ್ ನನ್ನು ನಾವು ಆತನ ತಂದೆಯ ಕುಟುಂಬಸ್ಥರ ಮನೆಗೆ ಕರೆದೊಯ್ಯುತ್ತಿದ್ದರು"""" ಎಂದಿದ್ದಾರೆ ಮಹಿಪಾಲ್ ನನ್ನು ಬೆಳೆಸಿ ಶಿಕ್ಷಣ ನೀಡಿದ ಧನ್ ಸಿಂಗ್ .""
"
"""• (march 20) uncle tom's cabin by harriet beecher stowe published, in book form, in boston, selling more than 300,000 copies the first year the book's success in highlighting the evils of slavery prompted abraham lincoln later to say of stowe, """"so this is the little lady who made this great war.""""""
","""• (ಮಾರ್ಚ್ 20) ಹ್ಯಾರಿಯೆಟ್ ಬೀಚರ್ ಸ್ಟೊವ್ ಬರೆದ ಅಂಕಲ್ ಟಾಮ್ಸ್ ಕ್ಯಾಬಿನ್ ಬೋಸ್ಟನ್ನಲ್ಲಿನ ಪುಸ್ತಕ ರೂಪದಲ್ಲಿ ಮೊದಲ ಬಾರಿಗೆ 300,000 ಪ್ರತಿಗಳನ್ನು ಮಾರಾಟ ಮಾಡಿತು - ಗುಲಾಮಗಿರಿಯ ದುಷ್ಪರಿಣಾಮಗಳನ್ನು ಎತ್ತಿ ತೋರಿಸುವ ಪುಸ್ತಕದ ಯಶಸ್ಸು ಅಬ್ರಹಾಂ ಲಿಂಕನ್ ನಂತರ ಸ್ಟೋವ್ ಬಗ್ಗೆ ಹೇಳುವಂತೆ """" ಆದ್ದರಿಂದ ಈ ದೊಡ್ಡ ಯುದ್ಧ ಮಾಡಿದ ಚಿಕ್ಕ ಮಹಿಳೆ.""
"
"(I'm an uncle now!
","(ಈಗ ನಾನು ಹುಚ್ಚು ಮನುಷ್ಯ!
"
"(It isn't known that he's her uncle.)
","(ಕೊನೇಪಕ್ಷ ಅವರ 'uncle' ಯಾರು ಅಂತ ಗೊತ್ತಾಯ್ತಲ್ಲ, ಅದಕ್ಕೆ).
"
"* Lauder College (named after his uncle who encouraged him to get an education) in the Halbeth area of Dunfermline was renamed Carnegie College in 2007.
","ಡನ್ಫರ್ಮ್ಲಿನ್ನಿನ ಹಾಲ್ಬೆತ್ ಪ್ರದೇಶದಲ್ಲಿದ್ದ (ತಮ್ಮ ಶಿಕ್ಷಣಕ್ಕೆ ಪ್ರೋತ್ಸಾಹ ನೀಡಿದ ಅಂಕಲ್ ಲಾಡೆರ್ನ ನೆನಪಿಗೆ ಇಡಲಾಗಿದ್ದ) ಲಾಡೆರ್ ಕಾಲೇಜ್ ಅನ್ನು 2007ರಲ್ಲಿ ಕಾರ್ನೆಗೀ ಕಾಲೇಜ್ ಎಂದು ಮರುನಾಮಕರಣ ಮಾಡಲಾಗಿದೆ.
"
"10-year-old girl raped by uncle gives birth to girl 17 agosto 2017
","August 17, 2017 ಮಗುವಿಗೆ ಜನ್ಮ ನೀಡಿದ 10 ವರ್ಷದ ಅತ್ಯಾಚಾರ ಸಂತ್ರಸ್ತೆ
"
"28.-Where is your uncle's home?
","28. ನೀವು ಅನ್ನುತ್ತೀರಿ--ಪ್ರಧಾನಿಯ ಮನೆ ಎಲ್ಲಿ?
"
"A Story About My UncleA story about my uncle is a first-person platform adventure game made in the Unreal Engine.
","ನನ್ನ ಅಂಕಲ್ ಬಗ್ಗೆ ಒಂದು ಕಥೆ ಅನ್ರಿಯಲ್ ಎಂಜಿನ್ ನಿರ್ಮಿಸಿದ ಅಹಿಂಸಾತ್ಮಕ ಫರ್ಸ್ಟ್ ಪರ್ಸನ್ ವೇದಿಕೆ ಸಾಹಸ ಆಟವಾಗಿದೆ.
"
"A person can be a son, father, husband, and uncle at the same time.
","ಒಂದು ಹೋಲಿಕೆ ಒಬ್ಬ ವ್ಯಕ್ತಿಯಾಗಿದ್ದು, ಒಬ್ಬನೇ, ಗಂಡ, ಮಗ, ಮತ್ತು ತಂದೆ ಒಂದೇ ಸಮಯದಲ್ಲಿ.
"
"Abe's great uncle, Eisuke Sato, was prime minister from 1964 to 1972.
","ಇದಕ್ಕೆ ಮೊದಲು ಅಬೆಯವರ ಅಜ್ಜ ಐಸಾಕೊ ಸಾಟೋರವರು 1964 ರಿಂದ 1972 ರವರೆಗೆ ದೀರ್ಘಕಾಲದ ಪ್ರಧಾನಿಯಾಗಿ ದಾಖಲೆ ಹೊಂದಿದ್ದರು.
"
"About Neres' Relatives: Away from Neres' immediate family life not much is known about his grandparents uncles and aunts including his cousins' nephews and nieces.
","Neres ಸಂಬಂಧಿಕರ ಬಗ್ಗೆಃ ನೀರ್ಸ್ನ ತಕ್ಷಣದ ಕುಟುಂಬದ ಜೀವನದಿಂದ ದೂರವಿರುವುದು ಅವರ ಅಜ್ಜಿಯವರ ಸೋದರ ಸಂಬಂಧಿಗಳು ಮತ್ತು ಸೋದರಸಂಬಂಧಿಗಳೂ ಸೇರಿದಂತೆ ಅವರ ಅಜ್ಜ ಅಮ್ಮಂದಿರು ಮತ್ತು ಅತ್ತೆಗಳ ಬಗ್ಗೆ ತಿಳಿದಿಲ್ಲ.
"
"According to the report, Yusuf and his uncle have had an old relationship with the RSS campaigners.
","ಯೂಸುಫ್ ಮತ್ತು ಅವರ ಅಜ್ಜ ಆರೆಸ್ಸೆಸ್ ಪ್ರಚಾರಕರೊಂದಿಗೆ ಹಳೆಯ ಸಂಬಂಧವನ್ನು ಹೊಂದಿದ್ದಾರೆ ಎಂದು ಮೂಲಗಳು ಹೇಳುತ್ತಿವೆ.
"
"Adelson undertook his first business enterprise at age 12, borrowing $200 from his uncle to start a newspaper stand in Boston.
","12ನೇ ವಯಸ್ಸಿನಲ್ಲಿ ತನ್ನ ಅಂಕಲ್ ಬಳಿ 200 ಡಾಲರ್ ಸಾಲ ಪಡೆದು ಒಂದು ನ್ಯೂಸ್ ಪೇಪರ್ ಸ್ಟಾಲ್ ಅನ್ನು ಶೆಲ್ಡನ್ ಆರಂಭಿಸಿದ್ದರು.
"
"After graduation, Chiranjeevi worked as an assistant director for four years with his uncle Arjun Sarja.
","ಚಿರಂಜೀವಿ ಸರ್ಜಾ ತಮ್ಮ ಶಿಕ್ಷಣ ಮುಗಿದ ಬಳಿಕ ನಾಲ್ಕು ವರ್ಷಗಳ ಕಾಲ ಅರ್ಜುನ್ ಸರ್ಜಾ ಅವರಿಗೆ ಸಹಾಯ ನಿರ್ದೇಶಕರಾಗಿ ಕೆಲಸ ಮಾಡಿದ್ದರು.
"
"After he died, uncles on both sides of the family [...]
","ತಂದೆಯ ಮರಣಾನಂತರ ಎರಡೂ ಕುಟುಂಬಗಳು [. . . ]
"
"Akhilesh Yadav, angry that his uncle is picking candidates with criminal records, met his father and party chief Mulayam Singh Yadav on Sunday and gave him a list of people that he would like the party to field in all 403 constituencies.
","ಶಿವಪಾಲ್ ಕ್ರಿಮಿನಲ್ ಹಿನ್ನೆಲೆಯ ಅಭ್ಯರ್ಥಿಗಳನ್ನು ಆಯ್ಕೆ ಮಾಡುತ್ತಿದ್ದಾರೆಂದು ಮುನಿಸಿಕೊಂಡಿರುವ ಅಖಿಲೇಶ್ ರವಿವಾರ ತನ್ನ ತಂದೆ ಹಾಗೂ ಪಕ್ಷದ ವರಿಷ್ಠ ಮುಲಾಯಂ ಸಿಂಗ್ ಯಾದವ್ ಅವರನ್ನು ಭೇಟಿಯಾಗಿ ಎಲ್ಲ 403 ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರಗಳಲ್ಲಿ ಪಕ್ಷದ ಅಭ್ಯರ್ಥಿಗಳಾಗಿ ಹೆಸರಿಸಲು ತನ್ನ ಆಯ್ಕೆಯ ಪಟ್ಟಿಯನ್ನು ಸಲ್ಲಿಸಿದ್ದಾರೆ.
"
"Allu coming from a family long associated with Telugu cinema field, Allu Arjun is the son of producer, Allu Aravind, whilst other notable relatives include uncles
","ತೆಲುಗು ಚಿತ್ರಗಳೊಂದಿಗೆ ದೀರ್ಘಕಾಲದಿಂದ ಸಂಬಂಧವಿಟ್ಟುಕೊಂಡಿರುವ ಕುಟುಂಬದಿಂದ ಬಂದ ಅಲ್ಲು ಅರ್ಜುನ್ ಅವರು ನಿರ್ಮಾಪಕರಾದ ಅಲ್ಲು ಅರವಿಂದ್ ಅವರ ಪುತ್ರರಾಗಿದ್ದು, ಇವರ ಹೆಸರಾಂತ ಸಂಬಂಧಿಗಳಲ್ಲಿ ಇವರ . . .
"
"An uncle had also recently died.
","ಸಾಕಿದ್ದ ಒಂದು ಆಕಳು ಸಹ ಇತ್ತೀಚೆಗೆ ಮೃತಪಟ್ಟಿತ್ತು.
"
"And has even worked as an Assistant Director to his uncle Arjun Sarja for four years.
","ಅಲ್ಲದೇ 4 ವರ್ಷ ಅರ್ಜುನ್ ಸರ್ಜಾ ಜೊತೆ ಸಹ ನಿರ್ದೇಶಕನಾಗಿ ಕೆಲಸ ನಿರ್ವಹಿಸಿದ್ದರು.
"
"Armaan has grown up under the watchful of eyes of his father Daboo Malik and uncle Anu Malik, all of whom have made a mark in the music industry.
","ತಂದೆ ದಾಬೂ ಮಲಿಕ್ ಮತ್ತು ಅಂಕಲ್ ಅನು ಮಲಿಕ್ ಅವರ ಗರಡಿಯಲ್ಲೇ ಬೆಳೆದ ಅರ್ಮಾನ್, ಸಂಗೀತ ಕ್ಷೇತ್ರದಲ್ಲಿ ತಮ್ಮದೇ ಹೆಸರು ಉಳಿಸುವ ಹಾದಿಯಲ್ಲಿದ್ದಾರೆ.
"
"At age twelve, Sheldon borrowed $200 from his uncle in order to purchase a license to sell newspapers.
","12ನೇ ವಯಸ್ಸಿನಲ್ಲಿ ತನ್ನ ಅಂಕಲ್ ಬಳಿ 200 ಡಾಲರ್ ಸಾಲ ಪಡೆದು ಒಂದು ನ್ಯೂಸ್ ಪೇಪರ್ ಸ್ಟಾಲ್ ಅನ್ನು ಶೆಲ್ಡನ್ ಆರಂಭಿಸಿದ್ದರು.
"
"At one time, my uncle worked in a furniture factory.
","ಒಂದು ಕಾಲದಲ್ಲಿ, ಹೋಗೆಯುಗುಳುತಿದ್ದ ಬಟ್ಟೆ ಕಾರ್ಖಾನೆ ಯಲ್ಲಿ ಅರಳಿ ಹಿಂಜುವ ಕೆಲಸವಿತ್ತು ನನ್ನ ತಂದೆಗೆ.
"
"At the age of 12, Sheldon Adelson loaned $200 from his uncle and bought a license to sell newspapers in Boston.
","12ನೇ ವಯಸ್ಸಿನಲ್ಲಿ ತನ್ನ ಅಂಕಲ್ ಬಳಿ 200 ಡಾಲರ್ ಸಾಲ ಪಡೆದು ಒಂದು ನ್ಯೂಸ್ ಪೇಪರ್ ಸ್ಟಾಲ್ ಅನ್ನು ಶೆಲ್ಡನ್ ಆರಂಭಿಸಿದ್ದರು.
"
"At the age of eight, two days after the funeral of his baby brother (who had been hit by a car), he was first raped by his great uncle.
","ಎಂಟು ವರ್ಷದವನಿದ್ದಾಗ, ತನ್ನ ಮಗುವಿನ ಸಹೋದರನ ಅಂತ್ಯಕ್ರಿಯೆಯ ಎರಡು ದಿನಗಳ ನಂತರ (ಒಬ್ಬ ಕಾರಿನ ಮೇಲೆ ಹೊಡೆದಿದ್ದ), ಅವನ ಅಣ್ಣಾ ಅವರಿಂದ ಮೊದಲ ಬಾರಿಗೆ ಅತ್ಯಾಚಾರಕ್ಕೊಳಗಾದರು.
"
