eng_Latn,mal_Mlym
""""""" I saw your aunt yesterday.""""""
","""എന്നിട്ടു പറഞ്ഞു, """"ഇന്നലെ നിങ്ങളുടെ അമ്മായിയമ്മയെ കണ്ടിരുന്നു.""
"
"""""""Are my aunt and uncle going?""""""
","""""""അമ്മാവനും അമ്മായിയും എന്നും ഇതുപോലെ പോകുമോടി?""
"
"""""""Are you going to be like your aunt?""
","""""""പിന്നെ നിന്റെയാ ഭദ്രകാളി അമ്മായിഅമ്മയെപോലെ ആവണോ?""
"
"""""""Did you call my aunt?""""""
","""""""ആന്റിയെ വിളിച്ചു പറഞ്ഞിരുന്നോ അമ്മേ"""" .""
"
"""""""Did you like my aunt's ass?""""""
","""""""നിനക്ക് ഇഷ്ടായോ ആന്റിടെ മുല?""
"
"""""""Did you see your aunt?""""""
","""""""നീ അമ്മായിനെ കണ്ടോ?""
"
"""""""Didn't you hear me calling her aunt?""""""
","""""""മോള് കേട്ടില്ലേ ആന്റി വിളിച്ചു കൂവുന്നത്?""
"
"""""""Do I have time to see my aunt?""
","""""""അമ്മാവനെ ഇനിയും കാണാൻ സമയം ഉണ്ടല്ലോ?""
"
"""""""Do you know who her aunt is?""""""
","""""""വീണ ആന്റി ആരാണെന്ന് നിനക്കു അറിയാമോ . . ?""
"
"""""""Do you know who my aunt is?""""""
","""""""വീണ ആന്റി ആരാണെന്ന് നിനക്കു അറിയാമോ . . ?""
"
"""""""Do you like fucking your aunt?""""""
","""""""ഇഷ്ടായോടാ നിന്റെ അമ്മായി അമ്മേടെ ഊമ്പൽ '""
"
"""""""Does your aunt write novels?""""""
","""""""മനു കവിത എഴുതോ അമ്മായി?""
"
"""""""Get up, or I'll call my aunt.""""""
",""""""" ഇവടന്നു പോ, അല്ലേൽ ഞാൻ അമ്മായിയെ വിളിക്കും"""" അവൾ അലറി.""
"
"""""""Have you seen your aunt?""""""
","""""""നീ അമ്മായിനെ കണ്ടോ?""
"
"""""""Have your aunt and uncle always been this way?""""""
","""""""അമ്മാവനും അമ്മായിയും എന്നും ഇതുപോലെ പോകുമോടി?""
"
"""""""How long have you seen aunt?""""""
","""""""എത്ര നാളായി ചേട്ടൻ മോളെ ഒന്ന് കണ്ടിട്ട് """"?""
"
"""""""How'd your aunt take it?""""""
","""""""നിന്റെ uncle എടുത്തതാ എങ്ങിനെയുണ്ട്?""
"
"""""""How's my aunt this morning?""
","""""""എങ്ങോട്ടാ അമ്മായി രാവിലെ തന്നെ?""
"
"""""""I came to help my aunt.""
","""അതുകൊണ്ട് അമ്മായിയെ സഹായിക്കാൻ വന്നതാണ്.""""""
"
"""""""I don't remember,"""" my aunt said.""
","""""""ഓർമ വരുന്നില്ല ആന്റീ,"""" ഞാൻ പറഞ്ഞു.""
"
"""""""I forgot about my aunt.""""""
","""""""മോന്റെ കാര്യം അമ്മായി മറന്നിട്ടില്ല.""
"
"""""""I just called my aunt.""
","""""""ഞാൻ ഇപ്പൊ അമ്മുവിനെ വിളിച്ചിരുന്നു """"""
"
"""""""I know it, aunt.""
","""""""എനിക്കറിയാം ആന്റീ.""
"
"""""""I like your aunt, too.""
","""""""എനിക്കും അമ്മാവനെ വലിയ ഇഷ്ടമാ.""
"
"""""""I spoke to your aunt and everything is set up.""
","""""""ഞാൻ നിന്റെ അമ്മാവനോട് സംസാരിച്ചു , എല്ലാം ഒക്കെയായിട്ടുണ്ട്.""
"
"""""""I will pay the Rs 100 crore fine for my aunt Jayalalithaa.""
","""""""എന്റെ അമ്മായി ജയലളിതയ്ക്കു വേണ്ടി 100 കോടി രൂപാ പിഴയടക്കാൻ ഞാൻ തയാറാണ്.""
"
"""""""I'll call my aunt right away.""
","""""""ഞാൻ വേഗം അമ്മായിയെ വിളിച്ചു കാര്യം പറയാൻ.""
"
"""""""I'm really an aunt.""""""
","""ഞാൻ ശരിക്കും ഒരു അനാഥയാണ് അങ്കിൾ .""""""
"
"""""""I'm your aunt!""
","""""""ഹലോ, ഞാൻ നിന്റെ അമ്മായിയാണ്!""
"
"""""""If my aunt allow it, I will come""""""
",""""""" ആ അവള് സമ്മതിച്ചാൽ ഞാനും വരാം. . . . """" - അച്ഛൻ""
"
"""""""If you don't have an aunt.""""""
","""""""നിങ്ങൾ അമ്മായിയുടെ ഇല്ലെങ്കിൽ.""
"
"""""""Mum, I will visit my aunt tomorrow.""""""
","""""""അമ്മേ,നമുക്ക് നാളെ അച്ഛമ്മയെ കാണാൻ പോകാം.""
"
"""""""My aunt called.""
",""" """"മ്മ്. . അമ്മായി വിളിച്ച.""
"
"""""""My aunt freaked out.""""""
",""" . """" അമ്മായിയും വിങ്ങി പൊട്ടി.""
"
"""""""My aunt made this.""
","""""""ഇത് എഴുതിയത് എന്റെ അമ്മായിയാണ്.""
"
"""""""My aunt was complaining.""
",""""""" അമ്മായിഅമ്മ പരാതിപ്പെട്ടു.""
"
"""""""My aunt wrote it.""
","""""""ഇത് എഴുതിയത് എന്റെ അമ്മായിയാണ്.""
"
"""""""My aunt's children are there.""
","""""""അവിടെയുള്ളത് എന്റ് അമ്മായിയുടെ മക്കളാണ്.""
"
"""""""No, I live with my aunt.""
","""""""ഇല്ല ഞാൻ അമ്മായിയുടെ കൂടെ ഇരുന്നോളം .""
"
"""""""Oh, then I am your aunt!""""""
","""""""ഹലോ, ഞാൻ നിന്റെ അമ്മായിയാണ്!""
"
"""""""Oh,"""" the aunt said.""
",""""""" ഓഹോ """" ആന്റി പറഞ്ഞു.""
"
"""""""She asked the officer permission to say goodbye to her aunt at the airport,"""" says the caption with the video.""
","""""""എയർപോർട്ടിൽ ആൻറിയോട് വിട പറയാൻ അവൾ ഉദ്യോഗസ്ഥരോട് അനുവാദം ചോദിക്കുന്നു"""" എന്ന് വീഡിയോയ്ക്ക് അടിക്കുറിപ്പ് നൽകിയിട്ടുണ്ട്.""
"
