eng_Latn,mal_Mlym
""""""" Nobody asked me, nobody asked my cousin.""
","""എന്നോട് ആരും ചോദിച്ചിട്ടുമില്ല, ഞാൻ ആരോടും പറഞ്ഞിട്ടുമില്ല """"കെ മുരളീധരൻ""
"
"""""""A dear cousin.""
",""" . """"ചേട്ടന്റെ പ്രിയപ്പെട്ട അനിയന്.""
"
"""""""Don't worry, my cousin is loaded.""""""
",""" """"വിഷമിക്കണ്ട. എന്റെ ചാരൻ പ്രാവുണ്ടല്ലോ.""
"
"""""""He is my mother's first cousin.""""""
",""""""" അയാൾ, എന്റെ അമ്മയുടെ ആദ്യഭർത്താവ്. .""
"
"""""""Hmm..."""" She looked up at her cousin.""
",""" 'ഉം. . """" അവൾ ചേട്ടനെ നോക്കിക്കൊണ്ട് മൂളി.""
"
"""""""How's your cousin's baby doing?""""""
","""""""എങ്ങിനെ ഉണ്ടെടി നിന്റെ മോന്റെ കുണ്ണ""""""
"
"""""""I don't understand what my cousin is talking about.""""""
","""""""എന്താ ചേച്ചി പറയുന്നത് എനിക്കൊന്നും മനസിലായില്ല """"""
"
"""""""I forgot to ask, what's your cousin's name?""""""
","ഞാൻഃ ഞാൻ ചോദിക്കാൻ മറന്നു നിൻറെ അനിയത്തിടെ പേര് എന്ത?
"
"""""""If anyone asks, you're my cousin.""""""
",""""""" ആരു ചോദിച്ചാലും നീ എന്റെ അനിയനാണെന്നേ പറയാവൂ.""
"
"""""""Is my cousin going to stay with me?""""""
","""""""അമ്പാടി എന്റെ കൂടെ നിൽക്കുമോ?""
"
"""""""My cousin's coming to live with me a while.""
","""""""എൻറെ സഹോദരൻ വന്ന് കുറച്ചുകാലം എന്നോടൊപ്പം താമസിക്കും.""
"
"""""""My cousin's the mechanical one.""
","""""""എന്റെ മരുമകൻ മെക്കാനിക്കാണ്.""
"
"""""""My cousin,"""" he exhaled.""
","""'എൻറെ പൊന്നുമോൻ"""" അയാൾ പിറുപിറുത്തു.""
"
"""""""My friend's cousin?""
",""""""" മോന്റെ കൂട്ടുകാരനേതാ?""
"
"""""""No cousin.""
","""""""ആരുമില്ല ചേച്ചി.""
"
"""""""No one knew of your cousin.""""""
","""""""ആരവിനു നിങ്ങളുടെ മുത്തശ്ശനെപ്പറ്റി ഒന്നും അറിയില്ല. . . """"""
"
"""""""No, it's your cousin Tati.""
",""" """"അല്ല. . നിന്റെ വാപ്പയാ പുട്ടലി .""
"
"""""""No, you are my cousin,"""" I said.""
","""""""വേണ്ട മോനെ നീ എന്റെ അനിയനല്ലേ,"""" ഇത്താത്ത പറഞ്ഞു.""
"
"""""""She went to play with her cousin.""""""
","""""""അവൻ അനിയന്റെ കൂടെ കളിക്കാൻ പോയി'""
"
