eng_Latn,mal_Mlym
"""""""A tale recorded by Ibn Al-Kalbi has Muhammad's grandfather Abdul Mutallib vowing to sacrifice one of his ten children.""
","മുഹമ്മദിന്റെ മുത്തച്ഛനായിരുന്ന അബ്ദുൾ മുത്തല്ലിബ് തന്റെ പത്ത് മക്കളിൽ ഒരാളെ ബലികൊടുക്കാം എന്ന് നേർച്ച നേർന്നിരുന്നതായി ഒരു കഥ ഇബ്ൻ അൽ കൽബി പറയുന്നുണ്ട്.
"
"""""""Advanced"""" grandfather, of course, will enthrall a new computer or mobile phone.""
","""""""വിപുലമായ"""" മുത്തച്ഛൻ തീർച്ചയായും ഒരു പുതിയ കമ്പ്യൂട്ടർ അല്ലെങ്കിൽ ഒരു മൊബൈൽ ഫോൺ രസിക്കും.""
"
"""""""After a violent incident with an insufferable school nemesis, 17-year-old Chance Sinclair (Avery Konrad) is sent to live with her reclusive grandfather (Timothy V. Murphy) in his lavish mountain estate.""
","""""""സ്കൂൾ അപകർഷതാബോധമുള്ള ഒരു അക്രമാസക്തമായ സംഭവത്തിന് ശേഷം, 17-കാരിയായ ചാൻസ് സിൻക്ലെയർ (അവേരി കോൺറാഡ്) അവളുടെ മുത്തച്ഛനോടൊപ്പം താമസിക്കാൻ അയയ്ക്കുന്നു (തിമോത്തി വി. മർഫി) അവന്റെ മനോഹരമായ പർവത എസ്റ്റേറ്റിൽ.""
"
"""""""After a violent incident with an insufferable school nemesis, 17-year-old Chance Sinclair (Avery Konrad) is sent to live with her reclusive grandfather in his lavish mountain estate.""
","""""""സ്കൂൾ അപകർഷതാബോധമുള്ള ഒരു അക്രമാസക്തമായ സംഭവത്തിന് ശേഷം, 17-കാരിയായ ചാൻസ് സിൻക്ലെയർ (അവേരി കോൺറാഡ്) അവളുടെ മുത്തച്ഛനോടൊപ്പം താമസിക്കാൻ അയയ്ക്കുന്നു (തിമോത്തി വി. മർഫി) അവന്റെ മനോഹരമായ പർവത എസ്റ്റേറ്റിൽ.""
"
"""""""And I'll kill your grandfather!""
","""""""നിന്നെയല്ലാ; നിന്റെ മുത്തച്ഛനേയും ഞാൻ കൊത്തും!""
"
"""""""Call my grandfather.""""""
",""" """"എടുക്കൂ. മുത്തച്ഛനേയും വിളിക്കൂ.""
"
"""""""Call your grandfather.""
",""" """"എടുക്കൂ. മുത്തച്ഛനേയും വിളിക്കൂ.""
"
"""""""Call your grandfather.""""""
",""" """"എടുക്കൂ. മുത്തച്ഛനേയും വിളിക്കൂ.""
"
"""""""Do you like it?"""" the grandfather asked.""
","""""""ഇഷ്ടമാണല്ലോ എന്താ മുത്തശ്ശാ അങ്ങനെ ചോദിച്ചെ?""
"
"""""""Do you like that?"""" asked the grandfather.""
","""""""ഇഷ്ടമാണല്ലോ എന്താ മുത്തശ്ശാ അങ്ങനെ ചോദിച്ചെ?""
"
"""""""Do you want to see your grandfather?""""""
","""""""നിനക്ക് അപ്പൂപ്പനെ കാണണ്ടേ . . ?""
"
"""""""Don't blame you grandfather .""
","""""""കുഞ്ഞമ്മാവനെ വഴക്കു പറയല്ലേ മുത്തച്ഛാ.""
"
"""""""Don't hit my grandfather!""
","""""""എന്റെ അമ്മൂമ്മയെ തൊടരുത്!""
"
"""""""Don't hit my grandfather!""""""
","""""""എന്റെ അമ്മൂമ്മയെ തൊടരുത്!""
"
"""""""Farming has been our occupation since my grandfather's time.""
","""""""അപ്പനപ്പൂപ്പന്മാരുടെ കാലം മുതൽ ഞങ്ങളുടെ കുലത്തൊഴിലാണ് ചിത്ര രചന.""
"
"""""""Give this to your grandfather.""""""
","""""""നീ ഇത് അമ്മാമന് കൊണ്ട് കൊടുക്ക്.""
"
"""""""Go get your grandfather.""
",""" """"എടുക്കൂ. മുത്തച്ഛനേയും വിളിക്കൂ.""
"
"""""""He must ask his grandfather (Jawaharlal Nehru) about who has given India's territory to China, he will get the answer..""
","ആരാണ് ഇന്ത്യയുടെ ഭൂമി ചൈനയ്ക്ക് നൽകിയതെന്ന് അദ്ദേഹം തന്റെ മുത്തച്ഛനോട് (ജവഹർലാൽ നെഹ്രു) ചോദിക്കണം.
"
"""""""He said, 'Your grandfather shot your mother.""
","'അപ്പോൾ', അയാൾ പറഞ്ഞു, 'നിങ്ങളുടെ മുത്തച്ഛനാണ് എന്റെ മുത്തച്ഛനെ കൊന്നത്'.
"
"""""""How long did my grandfather live here?""""""
","""""""അമ്മൂമ്മ എത്ര നാളായി ഇവിടെ താമസം തുടങ്ങിയിട്ട്?""
"
"""""""I am surprised as to how my grandfather's name made its way into the list.""
","'എങ്ങനെയാണ് എന്റെ മുത്തച്ഛന്റെ പേര് ഈ പട്ടികയിൽ ഇടം നേടിയതെന്നോർത്ത് ഞാൻ അതിശയപ്പെടുന്നു.
"
"""""""I call him Nana (maternal grandfather).""
","""""""ഞാനദ്ദേഹത്തെ നാനാ (മാതാവിൻറെ പിതാവ്) എന്നാണ് വിളിക്കുന്നത്.""
"
"""""""I can still see grandfather?""""""
","""""""എത്രനാള് കഴിഞ്ഞാണ് ഇനി മുത്തച്ഛനെ എനിക്കൊന്നു കാണാൻ പറ്റുക?""
"
"""""""I do it for my grandfather""
","""മുത്തച്ഛനു വേണ്ടി അതു ഞാൻ ചെയ്യും.""""""
"
"""""""I don't know anything about your grandfather.""""""
","""""""ആരവിനു നിങ്ങളുടെ മുത്തശ്ശനെപ്പറ്റി ഒന്നും അറിയില്ല. . . """"""
"
"""""""I don't know how much longer your grandfather's going to live.""""""
","""ഇനി എത്ര കാലം നിങ്ങളെയൊക്കെ കണ്ട് മുത്തശിക്ക് ജീവിക്കാൻ പറ്റൂന്ന് അറിയില്ലല്ലോ """"""
"
"""""""I found my grandfather.""
","'ഞാൻ എന്റെ മുത്തശ്ശനെ കണ്ടെത്തിയിരിക്കുന്നു.
"
"""""""I get paid grandfather.""
","""""""കാശ് മുത്തശ്ശൻ തരാം.""
"
"""""""I owed it to myself, to my father and grandfather.""
","""""""ഞാൻ അച്ഛനോടും മുത്തച്ഛനോടും കടപ്പെട്ടിരിക്കുന്നു.""
"
"""""""I spoke to the grandfather.""
","""""""മണിയുടെ മുത്തച്ഛനുമായി ഞാൻ സംസാരിച്ച്.""
"
"""""""I thank my grandfather and father.""
","""""""ഞാൻ അച്ഛനോടും മുത്തച്ഛനോടും കടപ്പെട്ടിരിക്കുന്നു.""
"
"""""""I told him whatever hatred you have for me, you can belittle me, you can say whatever you say about my father, mother, grandfather, grandmother,"""" the Congress president added.""
","'ഞാൻ അദ്ദേഹത്തോട് പറഞ്ഞിട്ടുണ്ട്, എനിക്കെതിരെ എന്തെങ്കിലും വിദ്വേഷം ഉണ്ടെങ്കിൽ, എന്നെ എത്ര വേണമെങ്കിലും ഇകഴ്ത്തിക്കെട്ടാമെന്നും, എന്റെ പിതാവിനെക്കുറിച്ചോ, മാതാവിനെക്കുറിച്ചോ, മുത്തച്ഛനെക്കുറിച്ചോ, മുത്തശ്ശിയെക്കുറിച്ചോ നിങ്ങൾ പറയുന്നതെന്തും പറയാമെന്ന്.
"
"""""""I want to see grandfather.""
","""""""മാമനെ മുത്തശ്ശന് കാണണംന്ന്.""
"
"""""""I wanted to go to the mausoleum of my grandfather for his fourth death anniversary (January 7).""
","""""""ജനുവരി 7ന് മുത്തച്ഛൻറെ നാലാം ചരമ വാർഷികത്തിന് ശവകുടീരം സന്ദർശിക്കാനാണ് ഞാൻ അനുമതി തേടിയത്.""
"
"""""""I was married to your grandfather for 40 years.""""""
","""""""എന്റെ മുത്തച്ഛൻ 41 വർഷക്കാലം എന്റെ മുത്തച്ഛനെ വിവാഹം കഴിച്ചു.""
"
"""""""I'm gonna do it for my grandfather.""""""
","""മുത്തച്ഛനു വേണ്ടി അതു ഞാൻ ചെയ്യും.""""""
"
"""""""I'm here for you,"""" her grandfather said in Spanish.""
","""""""""""ഞാൻ നിനക്കു വേണ്ടി ഇവിടെയുണ്ട്,"""""""" അവളുടെ മുത്തച്ഛൻ സ്പാനിഷ് പറഞ്ഞു.""
"
"""""""Including my grandfather.""
","""അതും എന്റെ മുത്തച്ചന്റേതടക്കമുളളവരുടെ.""""""
"
"""""""Is this my grandfather?""""""
","""""""ഇതാണോ അച്ഛാ മുത്തശ്ശൻ""""""
"
"""""""It was my grandfather's place.""
","""""""അത് യഥാർത്ഥത്തിൽ എൻറെ മുത്തച്ഛൻറെ സ്ഥലമായിരുന്നു.""
"
"""""""It was my grandfather's place.""""""
","""""""അത് യഥാർത്ഥത്തിൽ എൻറെ മുത്തച്ഛൻറെ സ്ഥലമായിരുന്നു.""
"
"""""""It's the ocean,"""" his grandfather had said.""
","""""""ഇതാണ് കടൽ', മുത്തശ്ശൻ പറഞ്ഞു.""
"
"""""""My friend's grandfather turns 100 today.""
","""""""സഖാവിന് ഇന്ന് നൂറ്റിയൊന്ന് തികഞ്ഞു.""
"
"""""""My grandfather always said he was the best athlete in the family.""
","'താനാണ് കുടുംബത്തിലെ മികച്ച കായികതാരമെന്നാണ് എപ്പോഴും മുത്തച്ഛന്റെ അവകാശവാദം.
"
"""""""My grandfather and mother stayed quiet.""
","""""""അമ്മയെയും ചേച്ചിയെയും മൌനം പിടിച്ചു തിന്നു.""
"
"""""""My grandfather came from Italy.""
","""""""ആന്റിയുടെ ആങ്ങള ഇറ്റലിയിൽ നിന്ന് വന്നു.""
"
"""""""My grandfather died this morning.""""""
",""" """"ഉവ്വടാ. . എന്റെ അമ്മൂമ്മ ഇന്ന് രാവിലെ ചത്തു .""
"
"""""""My grandfather died today.""
","""""""ഇന്ന് എന്റെ മുത്തച്ഛൻ മരിച്ചു.""
"
"""""""My grandfather gave me some ice cream.""""""
","""""""അമ്മെ അച്ഛൻ ഐസ് ക്രീം കൊണ്ടുവന്നു .""
"
"""""""My grandfather had two punishments: I wouldn't caress your head and I wouldn't kiss you for the night.""
","""""""ശിക്ഷ മുത്തച്ഛൻ രണ്ടു ആയിരുന്നു ഞാൻ സ്ട്രോക്ക് നിങ്ങളുടെ തലയും ചെയ്യും - രാത്രി ചുംബനം ചെയ്യരുത്.""
"
"""""""My grandfather is Portuguese.""
","""""""എന്റെ മുതു മുത്തച്ഛൻ പോർട്ടുഗീസ്കാരൻ ആയിരുന്നു.""
"
"""""""My grandfather is helping us now.""
",""""""" ഇപ്പോൾ അമ്മയാണ് ഞങ്ങളെ സഹായിക്കുന്നത്.""
"
"""""""My grandfather isn't scary.""""""
",""""""" അതിന് അച്ഛനു പേടിയൊന്നുമില്ലല്ലോ """" ബിന്ദുവാണ്.""
"
"""""""My grandfather lies.""
","""""""മുത്തശ്ശൻ കള്ളം പറയുകയാ.""
"
"""""""My grandfather likes classical music.""""""
","""""""ക്ലാസിക്കൽ സംഗീതമാണ് ഡാഡിക്ക് ഇഷ്ടം.""
"
"""""""My grandfather passed away when I was 3,"""" she said.""
","""""""എനിക്ക് മൂന്ന് വയസ്സുള്ളപ്പോൾ അമ്മ മരിച്ചു,"""" അവർ പറഞ്ഞു.""
"
"""""""My grandfather put up the first one.""
",""""""" വലിയമ്മാവൻ ആദ്യത്തെ നിർബന്ധം വെച്ചു.""
"
"""""""My grandfather raped me.""
","""""""നിന്റെ അപ്പൂപ്പനെന്നെ ചതിച്ചതാ കൊച്ചേ.""
"
"""""""My grandfather spoiled me.""
","""""""നിന്റെ അപ്പൂപ്പനെന്നെ ചതിച്ചതാ കൊച്ചേ.""
"
"""""""My grandfather told me to come here.""
","""""""എൻറെ മാമിയാണ് ഇവിടേക്ക് വരാൻ വേണ്ടി പറഞ്ഞത്.""
"
"""""""My grandfather use to say, that once in your life you will need a Doctor, Lawyer, a Policeman and the Preach.""
","""""""എന്റെ മുത്തച്ഛൻ പറയാറുണ്ട് ജീവിതത്തിൽ ഒരിക്കൽ നിങ്ങൾക്ക് ഒരു ഡോക്ടറുടെയോ അഭിഭാഷകന്റെയോ പൊലീസിന്റെയോ""
"
"""""""My grandfather used to say that once in your life you need a doctor, a lawyer, a police (man) and a preacher.""
","""""""എന്റെ മുത്തച്ഛൻ പറയാറുണ്ട് ജീവിതത്തിൽ ഒരിക്കൽ നിങ്ങൾക്ക് ഒരു ഡോക്ടറുടെയോ അഭിഭാഷകന്റെയോ പൊലീസിന്റെയോ""
"
"""""""My grandfather used to say that once in your life you need a doctor, a lawyer, a policeman and a preacher.""
","""""""എന്റെ മുത്തച്ഛൻ പറയാറുണ്ട് ജീവിതത്തിൽ ഒരിക്കൽ നിങ്ങൾക്ക് ഒരു ഡോക്ടറുടെയോ അഭിഭാഷകന്റെയോ പൊലീസിന്റെയോ""
"
"""""""My grandfather used to say that once in your life you need a doctor, a lawyer, a policeman, and a preacher.""
","""""""എന്റെ മുത്തച്ഛൻ പറയാറുണ്ട് ജീവിതത്തിൽ ഒരിക്കൽ നിങ്ങൾക്ക് ഒരു ഡോക്ടറുടെയോ അഭിഭാഷകന്റെയോ പൊലീസിന്റെയോ""
"
