eng_Latn,mal_Mlym
"""""""Age of my grandmother is 88 years old!""""""
","""""""എന്റെ സുന്ദരിയായ മുത്തശ്ശിക്ക് 88 പൂർത്തിയായി!""
"
"""""""Alright, kids,"""" their grandmother said.""
","""""""ശരി മക്കളേ. . """" മുത്തശ്ശി അവർക്ക് വാക്ക് കൊടുത്തു .""
"
"""""""And a grandmother.""""""
",""" . അമ്മ പിന്നെ ഒരു മുത്തശ്ശി """"""
"
"""""""And my mother and grandmother?""
","""""""അപ്പോൾ, നിങ്ങളുടെ അമ്മയെയോ മുത്തശ്ശിയെയോ?""
"
"""""""And your mother and grandmother?""""""
","""""""അപ്പോൾ, നിങ്ങളുടെ അമ്മയെയോ മുത്തശ്ശിയെയോ?""
"
"""""""But your maternal grandmother likes you the best.""""""
",""" . ന്നാലും അമ്മയ്ക്ക് വലുത് നിന്റെ ഇഷ്ട്ടാണ് .""""""
"
"""""""Call your grandmother.""""""
","""നീ മുത്തശ്ശിയെ വിളിച്ചോളൂ""""""
"
"""""""Come see your grandmother.""""""
","""""""വരുന്നോ മുത്തശ്ശനെ കാണാൻ. . """"""
"
"""""""Did my grandmother know me?""""""
","""""""മുത്തച്ഛൻ എന്നെ അറിയുകേലായിരിക്കും?""
"
"""""""Didn't you have a grandmother?""""""
","""""""നിനക്ക് ഒരമ്മൂമ്മ ഉണ്ടായിരുന്നില്ലേ?""
"
"""""""He knows everything about my grandmother.""
","""""""അപ്പൊ അറിയാം എല്ലാംഎന്റെ അമ്മുകുട്ടിക്ക് .""
"
"""""""He would bat against my mother (the kid's grandmother) in the flat.""
","""""""അവൻ ഫ്ലാറ്റിൽ എന്റെ അമ്മയ്ക്കെതിരെ (കുഞ്ഞിന്റെ മുത്തശ്ശി) ബാറ്റ് ചെയ്യും.""
"
"""""""How is she?"""" her grandmother croaked.""
","""""""മുത്തശ്ശനെങ്ങനെയുണ്ട് മുത്തശ്ശി ? ."""" തീരെ എണീ റ്റുനടക്കാൻ വയ്യാണ്ടായി .""
"
"""""""How's grandmother?""
","""""""മുത്തശ്ശിക്ക് എന്ത് വിശേഷം?""
"
"""""""I am at my grandmother's house now but will be coming back tomorrow.""
","""""""""""ഇന്ന് ഞാനിവിടെ ഉള്ളത് കൊണ്ടു അമ്മ വീട് വരെ പോയി. . നാളെ വരും.""
"
"""""""I am not her grandmother.""""""
","""""""അതുപിന്നെ ഞാനവൻറെ വല്യമ്മച്ചിയല്ല്യോടാ.""
"
"""""""I am the grandmother.""""""
","""""""ഞാനാ മുത്തനാ അമ്മേ""""""
"
"""""""I cannot do it, grandmother!""""""
",""""""" എനിക്കതിനു കഴിയില്ല അമ്മു """"""
"
"""""""I don't have a father, only my mother, grandmother and brother.""
","""""""കുട്ടീ, എനിക്ക് അച്ഛനും അമ്മയും ഇല്ല. . . മുത്തശ്ശനും മുത്തശ്ശിയുമേ ഉള്ളൂ.""
"
"""""""I have only grandmother.""""""
","""""""എനിക്ക് മുത്തശ്ശി മാത്രമേയുള്ളൂ.""
"
