eng_Latn,mal_Mlym
"""""""Two days after I had my delivery at the government hospital, my bhabhi [husband's sister-in-law] asked me to cook and to clean the house.""
","""""""സർക്കാർ ആശുപത്രിയിൽ പ്രസവം കഴിഞ്ഞ് രണ്ടുദിവസത്തിനുശേഷം ഭാഭി [ഭർതൃസഹോദര ഭാര്യ] എന്നോട് പാചകം ചെയ്യാനും വീട് വൃത്തിയാക്കാനും ആവശ്യപ്പെട്ടു.""
"
"""He has also got injured while trying to save his mother and sister-in-law,"""" a police official said.""
","അയാളുടെ അമ്മയെയും ഏട്ടത്തിയമ്മയേയും രക്ഷിക്കാൻ ശ്രമിക്കുന്നതിനിടെ അയാൾക്കും പരിക്ക് പറ്റിയിട്ടുണ്ട്'- പൊലീസ് ഉദ്യോഗസ്ഥർ പറഞ്ഞു.
"
"""He too got injured while trying to save his mother and sister-in-law,"""" the senior police officer said.""
","അയാളുടെ അമ്മയെയും ഏട്ടത്തിയമ്മയേയും രക്ഷിക്കാൻ ശ്രമിക്കുന്നതിനിടെ അയാൾക്കും പരിക്ക് പറ്റിയിട്ടുണ്ട്'- പൊലീസ് ഉദ്യോഗസ്ഥർ പറഞ്ഞു.
"
"(Grandmother, mother, daughter and sister-in-law).
","(അമ്മ, അമ്മമ, അമ്മായിഅമ്മ, മകൾ, ഭാര്യ, അനിയത്തി. . .)
"
"A week later, my sister-in-law came to visit me.
","ഒരാഴ്ച കഴിഞ്ഞ് എന്റെ ആ ബന്ധു എന്നെക്കാണാൻ വന്നു.
"
"After several decades without seeing, his brother Marcos and his sister-in-law Laura, come to convince him to sell the lands that they share by inheritance.
","ഏതാനും ദശകങ്ങൾക്ക് ശേഷം, അയാളുടെ അനിയൻ മാർക്കോസും ഭാര്യ ലൌറയും അവർക്ക് കൂടി അവകാശപ്പെട്ട ഭൂമി വിൽക്കാനായി അയാളെ പ്രേരിപ്പിക്കാനായി എത്തിച്ചേരുന്നു.
"
"After the suicide of Sushant Singh Rajput, his sister-in-law also died
","സുശാന്ത് സിംഗ് രജ്പുത്തിൻറെ മരണത്തിന് പിന്നാലെ അദ്ദേഹത്തിൻറെ സഹോദരിയും മരിച്ചു
"
"Also at that time, my sister-in-law was an admirer of Diego Maradona because of the 1986 World Cup.
","അന്ന് അന്ന് എന്റെ സഹോദരി ഭർത്താവിനോ ആരാധകനായിരുന്നു ഡീഗോ മറഡോണ കാരണം 1986 ലോകകപ്പ്.
"
"An NSG Commando committed suicide after shooting at his wife and sister-in-law
","ഭാര്യയെയും, സഹോദരിയെയും വെടിവെച്ച ശേഷം എൻഎസ്ജി കമ്മാൻഡോ ആത്മഹത്യ ചെയ്തു
"
"As an adult (Shahrukh Khan) Rizwan moves to San Francisco, living with his brother and sister-in-law.
","വളരുമ്പോൾ റിസ്വാൻ (ഷാരൂഖ് ഖാൻ) സഹോദരനോടൊപ്പം സാൻഫ്രാൻസിസ്കോയിലേക്ക് താമസം മാറുന്നു.
"
"As an adult (Shahrukh Khan), Rizwan moves to San Francisco and lives with his brother and sister-in-law.
","വളരുമ്പോൾ റിസ്വാൻ (ഷാരൂഖ് ഖാൻ) സഹോദരനോടൊപ്പം സാൻഫ്രാൻസിസ്കോയിലേക്ക് താമസം മാറുന്നു.
"
"At home, either mother or sister-in-law take care of food.
","വീട്ടിൽ അമ്മയോ അനിയത്തിയോ ആണ് എന്റെ ഭക്ഷണ കാര്യങ്ങൾ ശ്രദ്ധിക്കുന്നത്.
"
"But it wasn't until I was introduced to authentic Asian cuisine by my Chinese-Malaysian sister-in-law in my late teens that I discovered that healthy food and delicious food could be one in the same.
","എന്നാൽ എന്റെ ചൈനീസ്-മലേഷ്യൻ സഹോദരിയുടെ പക്വമായ ഏഷ്യൻ പാചകരീതിയിൽ എനിക്ക് പരിചയമില്ലാതിരുന്നിട്ടും, ആരോഗ്യകരമായ ഭക്ഷണവും രുചികരമായ ഭക്ഷണവും ഒന്നു തന്നെയാണെന്ന് ഞാൻ മനസ്സിലാക്കി.
"
"Charles became very attached to his sister-in-law and she died in his arms following a short illness in May 1837.
","ഡിക്കൻസ് മേരിയുമായി വളരെ അടുപ്പം പുലർത്തുകയും 1837-ൽ ഒരു ചെറിയ അസുഖത്തെ തുടർന്ന് അവൾ അദ്ദേഹത്തിൻറെ കൈകളിൽ കിടന്നു മരിക്കുകയും ചെയ്തു.
"
"Frances and her sister-in-law Vannozza became close friends.
","ഭർതൃസഹോദരി വനോസയുമായി ഫ്രാൻസെസ്ക വളരെ അടുത്ത ആത്മബന്ധം സ്ഥാപിക്കുകയും അവരിരുവരും ഉറ്റ സുഹൃത്തുക്കളായിത്തീരുകയും ചെയ്തു.
"
"Hasin Jahan had filed the domestic violence case against Shami, his mother, elder brother, sister and sister-in-law.
","ഷമി, അദ്ദേഹത്തിന്റെ മാതാവ്, മൂത്ത സഹോദരൻ, സഹോദരി, സഹോദരന്റെ ഭാര്യ എന്നിവർക്കെതിരെയാണ് ഗാർഹിക പീഡനത്തിന് ഹസിൻ ജഹാൻ കേസ് ഫയൽ ചെയ്തിരിക്കുന്നത്.
"
"He lives in a 12 by 12 feet house in Kavatepada with his mother, sister-in-law Vaishali, wife Manisha (both homemakers) and two children.
","കവടേപാഡയിൽ 12 ചതുരശ്ര അടിയുള്ള വീട്ടിൽ ഇദ്ദേഹം തൻറെ അമ്മ, ചേടത്തി വൈശാലി, ഭാര്യ മനീഷ (രണ്ടുപേരും വീട്ടമ്മമാരാണ്), രണ്ടു മക്കൾ എന്നിവരോടൊപ്പമാണ് കഴിയുന്നത്.
"
"I ate my naughty sister-in-law.
","എന്റെ പുന്നാര പെങ്ങളെ തിന്നുകയയിരുന്നൂ ഞാൻ.
"
"I mentioned it to my sister-in-law one day.
","സഹികെട്ട് ഞാൻ ഒരു ദിവസം എന്റെ കൊട്ടിയോനോട് ഈ കാര്യം പറഞ്ഞു.
"
"I still remember the reaction from my sister-in-law and my mom when I walked into the kitchen, turned off the lights and used the projector mod to play a YouTube video on the wall.
","ഞാൻ ഇപ്പോഴും അടുക്കളയിൽ കയറിയപ്പോൾ എന്റെ സഹോദരിയിലെ അമ്മായിയേയും എന്റെ അമ്മയേയും പ്രതികരിച്ചത്, ലൈറ്റുകൾ ഓഫാക്കി, ഒപ്പം ഒരു YouTube വീഡിയോ പ്ലേ ചെയ്യാനായി, പ്രൊജക്ടർ മോഡ് ഉപയോഗിച്ചു.
"
"In 1932 the King took his sister-in-law, Ashi Pema Dechen, as second wife.
","1932-ൽ രാജാവ് തന്റെ ഭാര്യാസഹോദരിയായ ആഷി പേമ ഡെച്ചെനെ തന്റെ രണ്ടാമത്തെ ഭാര്യയായി സ്വീകരിച്ചു.
"
"In fact, Sudha Devi, sister-in-law of Sushant Singh, died on Monday.
","സുശാന്തിന്റെ കസിന്റെ ഭാര്യ സുധാദേവിയാണ് തിങ്കളാഴ്ച മരിച്ചത്.
"
"It is believed that Lakshman did not sleep for the entire period of the exile of 14 years in order to protect his brother and sister-in-law.
","തൻറെ സഹോദരനെയും, ഭാര്യയെയും സംരക്ഷിക്കുന്നതിനായി രാജ്യമുപേക്ഷിച്ച് താമസിച്ച 14 വർഷം ലക്ഷ്മണൻ ഉറങ്ങിയില്ല എന്നാണ് വിശ്വാസം.
"
"John F. Kennedy Jr. and his wife and sister-in-law died in 1999 when the small plane he was piloting crashed off the Massachusetts coast.
","പിന്നീട് 1999-ൽ ന്യൂ ജഴ്സിയിൽ നിന്ന് മാസച്യുസറ്റ്സിലേക്കു വിമാനം പറത്തുന്നതിനിടെ ഉണ്ടായ അപകടത്തിൽ പ്രസിഡന്റ് കെന്നഡിയുടെ മകൻ ജോൺ. എഫ്. കെന്നഡി ജൂനിയറും അദ്ദേഹത്തിന്റെ ഭാര്യയും ഭാര്യാസഹോദരിയും മരിക്കുകയുണ്ടായി.
"
"Last week, Dhruva Sarja hosted a grandbaby shower function for his beloved sister-in-law Meghana Raj.
","കഴിഞ്ഞയാഴ്ച ധ്രുവ സർജ തന്റെ പ്രിയപ്പെട്ട സഹോദരി മേഘന രാജിന് വേണ്ടി ഗ്രാൻഡ്ബാബി ഷവർ ചടങ്ങ് നടത്തി.
"
