eng_Latn,mal_Mlym
"""""""Ah..."""" the uncle sighed, looking me in the eye.""
","""""""കടിച്ചു ചപ്പടാ. . ഹാ"""" ആന്റി എന്റെ കണ്ണിലേക്ക് വന്യമായി നോക്കി പറഞ്ഞു.""
"
"""""""Are my aunt and uncle going?""""""
","""""""അമ്മാവനും അമ്മായിയും എന്നും ഇതുപോലെ പോകുമോടി?""
"
"""""""Are you taking me to my uncle's home?""""""
",""""""" അങ്കിളിന്റെ വീട്ടിലേയ്ക്ക് എന്നെയും കൂടെ കൊണ്ടു പോകുമോ?""
"
"""""""But my uncle came here a long time ago.""""""
","""""""എന്നാലും എന്റെ ഇച്ചായാ ഇത്രേം നാളായിട്ടും ഇങ്ങോട്ടൊന്നു വന്നില്ലല്ലോ""""""
"
"""""""But you know what your uncle told me?""""""
",". എന്നൊക്കെ. പക്ഷേ നിന്റെ ഏട്ടൻ എന്നോട് പറഞ്ഞത് എന്താണെന്ന് നിനക്കറിയുമോ?
"
"""""""Come on uncle.""
",""""""" കേറി വാ അങ്കിൾ.""
"
"""""""Dear uncle.""
","""""""മോളേ അമ്മാവനാ.""
"
"""""""Did you find out who killed my uncle?""""""
",""""""" അമ്മേ എന്റെ അമ്മാവനെ കൊന്നത് ആരാണെന്നെനിക്കു അറിഞ്ഞേ തീരു """"""
"
"""""""Did you hear what my uncle said?""""""
","""""""ചേട്ടൻ അങ്കിൾ എന്നതാ പറഞ്ഞത് എന്ന് ശ്രദ്ധിച്ചു കേട്ടോ?""
"
"""""""Did you hear what your uncle just said?""""""
","""""""ചേട്ടൻ അങ്കിൾ എന്നതാ പറഞ്ഞത് എന്ന് ശ്രദ്ധിച്ചു കേട്ടോ?""
"
"""""""Did you see our uncle?""
","""""""നീ അമ്മായിനെ കണ്ടോ?""
"
"""""""Did your uncle say that?""""""
","""""""ആന്റി അങ്ങനെ പറഞ്ഞോ?""
"
"""""""Didn't you hear what that uncle said?""
","""""""ചേട്ടൻ അങ്കിൾ എന്നതാ പറഞ്ഞത് എന്ന് ശ്രദ്ധിച്ചു കേട്ടോ?""
"
"""""""Do not call me uncle any longer.""
",""" """"ആനീ. . നീ എന്നെ ഇനി അങ്കിൾ എന്ന് വിളിക്കണ്ട.""
"
"""""""Do you know this uncle?""
","""""""ഈ അങ്കിളിനെ നീ അറിയുമോ""""""
"
"""""""Do you know who my uncle is?""
","""""""വീണ ആന്റി ആരാണെന്ന് നിനക്കു അറിയാമോ . . ?""
"
"""""""Do you know who my uncle is?""""""
","""""""വീണ ആന്റി ആരാണെന്ന് നിനക്കു അറിയാമോ . . ?""
"
"""""""Do you need help, uncle?""""""
",""""""" എന്തെങ്കിലും സഹായം വേണോ ആന്റി.""
"
"""""""Do you see the uncle?""
","""""""നീ അമ്മായിനെ കണ്ടോ?""
"
"""""""Do you see uncle?""""""
","""""""നീ അമ്മായിനെ കണ്ടോ?""
"
"""""""Does she have an uncle?""""""
","""""""""""ഒരു അമ്മാവനെ ഉള്ളോ?""
"
"""""""Does this money comes from you uncle's house?""""""
","'ഈ പൈസ നിങ്ങളുടെ അമ്മാവന്റെ വീട്ടിലേതാണോ?
"
"""""""Don't come yet uncle.""""""
","""""""ഇനിയും കേറില്ല അങ്കിൾ.""
"
"""""""Don't say that, uncle.""
","""""""അയ്യോ അങ്കിൾ അങ്ങനെ പറയരുത്.""
"
"""""""Give this to your uncle.""
","""""""നീ ഇത് അമ്മാമന് കൊണ്ട് കൊടുക്ക്.""
"
"""""""Going to fire, uncle?""""""
","""""""അങ്കിൾ അടിക്കട്ടെ മുത്തേ?""
"
"""""""Have you an uncle?""""""
","""""""""""ഒരു അമ്മാവനെ ഉള്ളോ?""
"
"""""""Have you seen his uncle?""
","""""""നീ അമ്മായിനെ കണ്ടോ?""
"
"""""""Have you seen my uncle?""""""
","""""""നീ അമ്മായിനെ കണ്ടോ?""
"
"""""""Have your aunt and uncle always been this way?""""""
","""""""അമ്മാവനും അമ്മായിയും എന്നും ഇതുപോലെ പോകുമോടി?""
"
"""""""He had to spend a lot on her treatment,"""" says his uncle Ramrao, 61, who lives next door.""
","""""""അവളുടെ ചികിത്സയ്ക്കായി അവന് ഒരുപാട് പണം ചിലവാക്കേണ്ടിവന്നു,"""" തൊട്ടടുത്തുതന്നെ താമസിക്കുന്ന അദ്ദേഹത്തിൻറെ അമ്മാവനായ 61-കാരൻ രാംറാവു പറഞ്ഞു.""
"
"""""""He has an uncle?""
","""""""""""ഒരു അമ്മാവനെ ഉള്ളോ?""
"
"""""""He is the son of my uncle.""
",""""""" ഇവൻ എന്റെ അമ്മാവന്റെ മകനാണ്.""
"
"""""""He's my uncle, I know him.""
","""""""ഏട്ടാ അവൻ എന്റെ മോൻ അല്ലേ. . . എനിക്കറിയാം അവനെ.""
"
"""""""Hey there, I spoke to your uncle today.""
","""""""മോനേ ഇന്നലെ അച്ഛൻ നിന്റെ അമ്മാവനുമായി സംസാരിച്ചു.""
"
"""""""Hey, I'm her uncle.""
",""" """"ഹാലോ. . . . ഞാൻ അവളുടെ അമ്മാവനാണ്.""
"
"""""""How do you know all this uncle?""""""
","""""""ഇതൊക്കെ അങ്കിൾ എങ്ങനെ അറിഞ്ഞു""
"
"""""""How long since you've seen your uncle?""""""
","""""""എത്ര കാലം കയിഞ്ഞാണമ്മേ ചേകൂട്ടേട്ടനെയൊന്ന് കാണുന്നത് .""""""
"
"""""""How's your uncle, my boy?""""""
","""""""എങ്ങനെയുണ്ട് അങ്കിളേ എന്റെ കൂതി?""
"
"""""""I am not drunk, uncle.""
","""""""എനിക്ക് കുടയില്ല മാഷേ.""
"
"""""""I am your uncle!""
","""""""ഹലോ, ഞാൻ നിന്റെ അമ്മായിയാണ്!""
"
"""""""I don't know, uncle """"""
","""""""അതൊന്നും അറിയില്ല അങ്കിൾ """"""
"
"""""""I got to find out who killed my uncle.""
",""""""" അമ്മേ എന്റെ അമ്മാവനെ കൊന്നത് ആരാണെന്നെനിക്കു അറിഞ്ഞേ തീരു """"""
"
"""""""I have an uncle?""
","""""""""""ഒരു അമ്മാവനെ ഉള്ളോ?""
"
"""""""I knew, uncle.""
","""""""എനിക്ക് അറിയാമായിരുന്നു, അങ്കിൾ.""
"
"""""""I know, uncle.""
","""""""എനിക്ക് അറിയാമായിരുന്നു, അങ്കിൾ.""
"
"""""""I love your uncle very much, too.""
","""""""എനിക്കും അമ്മാവനെ വലിയ ഇഷ്ടമാ.""
"
"""""""I need to speak with your uncle for a minute.""""""
",""" ."""" . . അങ്കിൾ എനിക്ക് അങ്കിളിനോട് അൽപ്പം സംസാരിക്കാനുണ്ട്.""
"
"""""""I think so, uncle.""
","""""""അങ്ങനെത്തന്നെ വിചാരിച്ചോളാം അമ്മാവാ.""
"
"""""""I understand this, uncle.""
","""""""എനിക്ക് മനസിലായി അങ്കിൾ.""
"
"""""""I understand uncle.""
","""""""എനിക്ക് മനസിലായി അങ്കിൾ.""
"
"""""""I understand uncle.""""""
","""""""എനിക്ക് മനസിലായി അങ്കിൾ.""
"
"""""""I understand you, uncle.""
","""""""എനിക്ക് മനസിലായി അങ്കിൾ.""
"
"""""""I used to send her Rs 500 as and when possible using an uncle's account.""
","""""""അമ്മാവന്റെ അക്കൌണ്ട് ഉപയോഗിച്ച് സാധ്യമാകുമ്പോഴെല്ലാം ഞാൻ അമ്മക്ക് 500 രൂപ അയയ്ക്കാറുണ്ടായിരുന്നു.""
"
"""""""I will go along as my uncle.""
","""""""ഞാനും അമ്മാവനെപ്പോലെ തടസ്ഥം ചെയ്യും.""
"
"""""""I will, uncle.""
",""" """"ഞ. . ഞാൻ ചെയ്യാം ആന്റി.""
"
"""""""I'll be posing as your uncle.""
","""""""ഞാനും അമ്മാവനെപ്പോലെ തടസ്ഥം ചെയ്യും.""
"
"""""""I'll fetch my uncle.""
","""""""എൻറെ മാമനെ ഞാൻ കെട്ടിപ്പിടിക്കും.""
"
"""""""I'll speak with your uncle.""""""
",""" . അമ്മാവനുമായി സംസാരിക്കാൻ """"""
"
"""""""I'm with my uncle.""""""
",""""""""""" ഞാൻ ദേ. . അമ്മാവന്റെ കൂടെ.""
"
"""""""I'm with your uncle.""""""
",""""""""""" ഞാൻ ദേ. . അമ്മാവന്റെ കൂടെ.""
"
"""""""I'm your uncle!""
","""""""ഹലോ, ഞാൻ നിന്റെ അമ്മായിയാണ്!""
"
"""""""I've got a bad headache, uncle.""""""
","""""""എനിക്ക് വല്ലാത്ത തലവേദന ആരുന്നു ആന്റി,""
"
"""""""Is it true, uncle?""
","""""""സത്യമാണോ ആന്റി?""
"
"""""""Is my uncle there?""""""
",""""""" അങ്കിൾ ഉണ്ടോ അവിടെ """"""
"
"""""""Is this my uncle?""""""
","""""""ഇത് എനിക്കാണോ അമ്മാവാ?""
"
