eng_Latn,mar_Deva
"""""""But I wasn't talking to my aunt.""
","""""""अगं मी बोलतेय ना आज्जींशी.""
"
"""""""How are you, aunt?""""""
","""""""कसे आहात आजोबा?""
"
"""""""I don't know, aunt.""
","""""""मला काही माहिती नाही बुआ.""
"
"""""""I'm not my aunt.""
","""""""मी आंटी वगैरे नाहीये.""
"
"""""""My aunt murdered my mother.""
","""""""माझ्या आईची आयसिसने हत्या केली.""
"
"""""""There is nothing that my aunt does not know.""
","""""""काय की बुआ काहीच कळत नाही हो.""
"
"""""""Who's the aunt?""
","""""""कोण आंटी?""
"
"""""""Why not, aunt?""
","""""""क्यों, चाचा जी?""
"
"""""""Without my aunt!""
","""माझ्याकडून अवधूतला """"नी"""" !""
"
"""""""Your aunt does not know?""""""
","""""""आंटी नाही माहीत?""
"
"""I asked, """"What is the matter aunt?""
","""मी विचारलं, """"काय झालं आंटी?""
"
"""I'm not an aunt.""""""
","""""""मी आंटी वगैरे नाहीये.""
"
"""My aunt said, """"Hm.""
",""""""" आजी म्हणाल्या. . """" हम्म.""
"
"""Today my aunt came and said, """"Don't you need to be getting up?""
","""आई आली आणि म्हणाली, """"आज काय उठायचं नाही का सरू?""
"
"After the death of Feroze Gandhi's father in early 1920, Feroze and his mother went to Allahabad to stay with their unmarried maternal aunt.
","1920 मध्ये आपल्या वडिलांच्या मृत्यूनंतर फिरोज आणि त्यांची आई त्यांच्या अविवाहित चुलतीकडे राहण्यासाठी अलाहाबाद येथे गेले.
"
"Ahhhhhhhhhhhhhhhh ... after that I laid the aunt on the couch and now I was fucking her in the missionary pose and after 25 to 30 minutes of fucking, the aunt had fallen once and twice.
","आह्ह अह्हः अह्ह्ह अह्हः हाह्ह उछ्हू ह्हू म्म्म्ह स्यस्स्स्स य्छ्छ्ह आणि मग मी आंटी ला सोफ्यावर झोपवले आणि मग मी तिला मिशनरी पोज मध्ये जावू लागलो आणि मग २५-३० मिनिटे तिला ठोकले तेव्हा तिने दोन वेळा आणि मी एक वेळा पाणी सोडून टाकले.
"
"At first, the aunt did a little drama, probably was there at that time, but then I saw that she was also supporting Uncle.
","आधी तर आंटी ने थोडे नाटक केले बहुतेक मी तिथे होतो म्हणून, पन नंतर मग मी पण पहिले कि ती आता अंकल चा साथ देऊ लागली होती.
"
"Bollywood actress Sunny Leone has now become an aunt.
","बॉलीवूडची बेबी डॉल सनी लिओन ही सध्या सर्वांसाठीच ओळखीची अभिनेत्री झाली आहे.
"
"Congratulations of becoming an aunt.
","आज्जी झाल्याबद्दल अभिनंदन.
"
"Congratulations on becoming an aunt.
","आज्जी झाल्याबद्दल अभिनंदन.
"
"Congratulations on being an aunt.
","आज्जी झाल्याबद्दल अभिनंदन.
"
"He had only an aunt.
","त्यांच्याबरोबर फक्त एक आजोबा होते.
"
"Her aunt asked again.
","चाची ने परत विचारले.
"
"Her grandmother and aunt were in the home with her at the time.
","त्यावेळी तिची आई आजोबा आणि आजी घरात होते.
"
"Her mother and aunt both were home at the time.
","त्यावेळी तिची आई आजोबा आणि आजी घरात होते.
"
"Her mother, her grandfather and aunt were also killed.
","तिच्या आईला तिचे वडील, आज्जी आणि आजोबाने मिळून मारले होते.
"
"His aunt explained it to him.
","अंकल त्याला समजावत म्हणाला.
"
"His aunt was alone at home.
","आंटी एकटीच घरी होती.
"
"His grandmother and aunt also stayed behind there.
","तिची आजी आणि आजोबा हेही तिच्या मागे उभे राहिले.
"
"His mother and aunt remained behind.
","तिची आजी आणि आजोबा हेही तिच्या मागे उभे राहिले.
"
"I asked my aunt.
","मी अंकलजींना तसे विचारले.
"
"I asked the aunt.
","मी आजीला विचारलं.
"
"I go to my aunt's house in Diwali.
","दिवाळीमध्ये मामाच्या घरी गेलो होतो.
"
"I looked at my aunt in amazement.
","मी आश्चर्याने चाचांकडे पाहीले.
"
"I love my aunt more than my own mother.
","मला माझ्या आंनदाहूनही प्रिय आहे माझी बहीण.
"
"I remember my aunt.
","मला माझे आजोबा आठवतात.
"
"I said I'm her aunt.
","मी म्हणालो कि आंटी मी आहे.
"
"I went with my mother to my aunt's house.
","मी आई बरोबर गेलो होतो गल्लीतच एका घरी.
"
"I worried about what my aunt would think of me.
","कारण मला भीती वाटत होती कि अंकल आंटी माझ्या विषयी काय विचार करतील म्हणून.
"
