eng_Latn,mar_Deva
"""""""We have enough evidence that he (Raj Kundra) was dealing with everything, his brother-in-law was made the owner of the London-based company just for namesake.""""""
","""""""आमच्याकडे पुरेसे पुरावे आहेत की तो (राज कुंद्रा) सर्व गोष्टींशी व्यवहार करीत होता, त्याच्या भाच्याला फक्त नावासाठी लंडनमधील कंपनीचा मालक बनविण्यात आले.""
"
"""A police official informed, """"We have enough evidence that he (Raj Kundra) was dealing with everything, his brother-in-law was made the owner of the London-based company just for namesake.""""""
","""""""आमच्याकडे पुरेसे पुरावे आहेत की तो (राज कुंद्रा) सर्व गोष्टींशी व्यवहार करीत होता, त्याच्या भाच्याला फक्त नावासाठी लंडनमधील कंपनीचा मालक बनविण्यात आले.""
"
"""Soumya's brother-in-law Saji was quoted by PTI saying, """"My brother heard a huge sound during the video call.""
","'पीटीआय'शी बोलताना संतोषचा भाऊ साजीने सांगतिले की, व्हिडिओ कॉल दरम्यान माझ्या भावाने स्फोटाचा मोठा आवाज ऐकला.
"
"Aditya Alva is the brother-in-law of Bollywood actor Vivek Oberoi
","आदित्य अल्वा बॉलीवूड अभिनेता विवेक ओबेरॉयच्या पतीनीचा भाऊ आहे.
"
"Aditya is also the brother-in-law of Bollywood actor Vivek Oberoi.
","आदित्य अल्वा बॉलीवूड अभिनेता विवेक ओबेरॉयच्या पतीनीचा भाऊ आहे.
"
"Aditya occurs to be the brother-in-law of Bollywood actor Vivek Oberoi.
","आदित्य अल्वा बॉलीवूड अभिनेता विवेक ओबेरॉयच्या पतीनीचा भाऊ आहे.
"
"After that, Malik alleged that the NCB initially detained 11 people from the Goa-bound cruise ship, but let off three of them, including the brother-in-law of a BJP leader, a couple of hours later.
","एवढेच नाही तर मलिक यांनी आरोप केला आहे की, NCB ने सुरुवातीला जहाजातून 11 जणांना ताब्यात घेतले पण त्यापैकी तीन जणांना भाजप नेते मोहित भारती यांच्या जवळच्या नातेवाईकासह काही तासांच्या आत सोडून दिले.
"
"Alva is the brother-in-law of Bollywood actor Vivek Oberoi.
","आदित्य अल्वा बॉलीवूड अभिनेता विवेक ओबेरॉयच्या पतीनीचा भाऊ आहे.
"
"Alva is the brother-in-law of Bollywood actor actor Vivek Oberoi.
","आदित्य अल्वा बॉलीवूड अभिनेता विवेक ओबेरॉयच्या पत्नीनीचा भाऊ आहे.
"
"Betto, Donati's estranged brother-in-law, mentions a rumor that upsets the family.
","बेतो, डोनॅटीचे विदारक सासरे, एक अफवाचा उल्लेख करते जी कुटुंबाला गोंधळ करते.
"
"Both sets of families opposed the marriage as it resulted in the elder brother becoming the girl's stepfather as well as her brother-in-law.
","दोन्ही कुटुंबातील लोकांनी लग्नाला विरोध दर्शविला कारण यामुळे मोठा भाऊ मुलीचा सावत्र वडील व तिचा मेहुणी बनला.
"
"Brother of my wife - My brother-in-law.
","बहीण-इन - या माझ्या पत्नीच्या बहीण आहे.
"
