eng_Latn,mar_Deva
"""""""Are you a grandfather?""""""
","""""""तुला दादा?""
"
"""""""Are you the grandfather?""
","""""""तुला दादा?""
"
"""""""Didn't grandfather tell you?""
","""""""दादाजी तुम्हाला ओरसने सांगितल नाही का?""
"
"""""""Do not worry, grandfather.""
","""""""तुम्ही काळजी करू नका दादा.""
"
"""""""How did you know my grandfather?""""""
",""""""" तुम्ही नानांना कसे ओळखता ?""
"
"""""""I told my grandfather the same thing.""
","""""""मीही तेच म्हणतेय दादा.""
"
"""""""I told you, my grandfather - """"""
","""""""मी सांगते हं दादाला. . . """"""
"
"""""""I will see you again, grandfather.""""""
","""""""उद्या पुन्हा भेट देईन, पितामह.""
"
"""""""I'm asking my grandfather.""
",""""""" मी चोकशी करत दादाला विचारलं.""
"
"""""""I'm the grandfather.""
","""""""मी इथला दादा आहे.""
"
"""""""Is this... your grandfather?""""""
","""""""अरेच्चा. . हे तुझे वडील आहेत?""
"
"""""""My grandfather and father both went to school at Tulane.""
","""""""आप्पा आणि तात्या दोघेही शाळेत गेलेत.""
"
"""""""My grandfather is inside.""
",""""""" आज्जी आलीच आतमध्ये.""
"
"""""""My grandfather is my biggest inspiration.""
","""यावर त्या म्हणतात, """"माझे वडिल माझे सर्वांत मोठे प्रेरणास्थान आहेत.""
"
"""""""My grandfather knows.""
",""""""" दादा तुम्हाला माहिती आहेच.""
"
"""""""My grandfather will come?""""""
","""""""माझा शिरपा येणार हाय?""
"
"""""""Now is that the way to speak to your grandfather?""""""
","""""""आपल्या वडलांशी बोलायची ही पद्धत आहे का?""
"
"""""""Please grandfather.""
",""""""" कृपा करा दादा.""
"
"""""""What did I say, grandfather?""""""
","""""""काय म्हणाला हो, दादा?""
"
"""""""What do you think grandfather would say?""""""
","""""""काय वाटतं दादा, आबा खरं बोलत असतील?""
"
"""""""What does your grandfather say about this?""""""
",""""""" यावर दादासाहेब काय बोलणार?""
"
"""""""Where are you going, grandfather?""""""
","""""""तू कुठे चालला आहेस दादा?""
"
"""""""Which grandfather?""
","""""""काय दादा?""
"
"""""""Which grandfather?""""""
","""""""काय दादा?""
"
"""""""Why didn't grandfather come?""""""
","""""""पण दादा. . . . . दादा का नाही आला?""
"
"""""""Why do you say my grandfather?""
",""""""" """"आजी, तो बुवा असं का म्हणत होता गं?""
"
"""""""Why not, grandfather?""""""
","""""""नाही बुवा, का?""
"
"""""""You know grandfather.""
",""""""" दादा तुम्हाला माहिती आहेच.""
"
"""""""You know my grandfather.""
",""""""" दादा तुम्हाला माहिती आहेच.""
"
"""""""You're my grandfather?""
","""""""तुला दादा?""
"
"""""""You're my grandfather?""""""
","""""""तुला दादा?""
"
"""""""Your grandfather is a king.""""""
","""""""तुझे बाबा वारले राजा.""
"
"""""""Your great grandfather?""""""
","""""""भारीये बुवा तुमचं"""" """"मग?""
"
"""According to the Times of India report, """"Prabhas is going to marry a businessman's grandfather.""""""
","'टाइम्स ऑफ इंडिया'च्या एका वृत्तानुसार प्रभास एका उद्योजकाच्या नातीशी लग्न करणार आहे.
"
"""At the next morning my grandfather asked me """"How did you sleep?""""""
","""दुसर्या दिवशी सकाळी माझ्या भाऊजींनी मला विचारले """" कसे वाटले engagement होताना ?""
"
"""His grandfather asked him, """"Who are you?""""""
","' दादाने त्यांना विचारले,'कोण तुम्ही?
"
"""His grandfather replied, """"Not in my house.""""""
","""दादा म्हन्ला, """"घरात नाही.""""""
"
"""If today's grandfather Kondke is alive, he would have openly asked the public to see the naked dance on the TV in his films, """"What is your definition of 'mine', your 'porn'?""""""
","""आज जर दादा कोंडके हयात असते, तर आजच्या सिनेमांत-टीव्हीवर चाललेला नंगा-नाच पाहून त्यांनी जनतेला खुल्ला विचारलं असतं की """"तुमच्या मायला, तुमची 'अश्लील'ची नेमकी व्याख्या तरी काय आहे?""
"
"""The grandfather said, """"I'm late.""
","""दादा म्हणाले, """" लय उशीर केलास !""
"
"""You are my grandfather?""""""
","""""""तुला दादा?""
"
"A 16-year-old girl's grandfather died.
","पीडित १६ वर्षीय मुलीच्या वडिलांचे तिच्या लहानपणीच निधन झाले होते.
"
"A father or grandfather.
","बाबा हो या पोता .
"
"A grandfather was arrested.
","दादा पकडले गेले.
"
"After her grandfather's death all that changed.
","आपल्या वडिलांच्या मृत्यूनंतर सगळ्या गोष्टी बदलल्या.
"
"After the fall of the Axis Powers (Germany, Italy, Japan) by Allied Forces (UK, France, Poland) in WWII, Shah Rukh's grandfather was brought to India along with others in Bose's army, where they were held as prisoners and tried under a British court albeit on Indian soil.
","दुसऱ्या महायुद्धात मित्र राष्ट्रांकडून (यूके, फ्रान्स, पोलंड) धुरी शक्ती (जर्मनी, इटली, जपान) च्या पतनानंतर, शाह नवाजला बोसच्या सैन्यातील इतरांसह भारतात नेण्यात आले, जिथे ते क्रांतिकारक मानले जात होते.
"
"After the partition of India-Pakistan, Tufail went to Pakistan whereas his grandfather remained in India.
","भारत-पाकिस्तान फाळणीनंतर तुफैल पाकिस्तानला गेले तर त्यांचे भाऊ भारतातच राहिले.
"
"After the partition of India-Pakistan, Tufail went to Pakistan while his grandfather remained in India.
","भारत-पाकिस्तान फाळणीनंतर तुफैल पाकिस्तानला गेले तर त्यांचे भाऊ भारतातच राहिले.
"
"Ah my grandfather, a communist
","आह मेरे दादा, एक कम्युनिस्ट,
"
"Also His grandfather, Sardar Malik, was a great music director.
","अनू मलिक यांचे वडील सरदार मलिक हेदेखील एक चांगले संगीतकार होते.
"
"Also my grandfather and grandmother.
","अगदी माझी आई आणि आज्जी पण.
"
"America is seen as the grandfather of the world.
","अमेरिका हा जगात एखाद्या दादा सारखा वागतो.
"
"Amy's grandfather died in March last year.
","मागच्या वर्षी मार्च महिन्यात ऐश्वर्याच्या वडिलांचे निधन झाले होते.
"
"And my grandfather was not the exception.
","माझे दादा ही ह्याला अपवाद नव्हते.
"
"And you're a grandfather now.
","आता तू दादा झालास.
"
"Asked the grandfather again.
","चाची ने परत विचारले.
"
"At that moment, the grandfather
","त्यावेळी दादा ॥
"
