eng_Latn,mar_Deva
"""""""A good school education is the alpha and omega for starting a career,"""" says Frederike's grandmother, looking anxiously at the grades of her grandchild.""
","""""""करियर सुरू करण्यासाठी एक चांगला शाळा शिक्षण अल्फा आणि ओमेगा आहे,"""" फ्रेडरिकच्या दादीने, तिच्या नातवंडांच्या श्रेणीवर उत्सुकतेने पाहत म्हटले.""
"
"""""""Ask your grandmother!""
","""""""तुझ्या नानाची टांग!""
"
"""""""He has hit to the grandmother!""""""
","""""""डास मारून मारून पचली ती दादा!""
"
"""""""I called my grandmother today,"""" he tells her.""
","""""""मी आज तिला फोन केला,"""" त्याने आपल्या बहिणीला सांगितले.""
"
"""""""I heard about it this morning from my grandmother.""
","""""""आज सकाळीच मामा-मामींची बातमी वाचली.""
"
"""""""I thought you were your grandmother.""
","""""""मला वाटलं की तुझे ते आजोबा असतील.""
"
"""""""My grandmother in the village""""""
",""""""" गावाचा दादा """"""
"
"""""""My grandmother said . . .""
",""""""" आज्जी बोलली, मी म्हटलं. . . .""
"
"""""""My grandmother suffered.""
","""""""माझ्या अम्मीला त्रास सहन करावा लागतोय.""
"
"""""""My grandmother wanted me to play.""
","""""""आई मला खेळायला जायचे.""
"
"""""""No, you stay with your grandmother.""
","""""""नाही. तू आता मामाकडेच राहशील.""
"
"""""""Oh, my grandmother told me once.""
",""","""" एकदा दादाने मला सांगितलं होतं.""
"
"""""""That's my grandfather and grandmother.""
","""""""ते माझे आजोबा आणि आज्जी.""
"
"""""""What did you say grandmother?"""" she asked.""
","'काय म्हणाला दादा? '. तिलुने विचारलं.
"
"""""""What else did your grandmother say?""""""
","""""""काय म्हणाल्या तुझ्या मोठ्या ताई?""
"
"""""""What was grandmother like?""""""
","""""""दिसायला कसे होते रे ते आजोबा?""
"
"""""""What was your grandmother like?""""""
","""""""दिसायला कसे होते रे ते आजोबा?""
"
"""""""Where is your grandmother now?""""""
","""""""तुमचे आजोबा कुठे असतात सध्या ?""
"
"""""""Where's your grandmother now?""""""
","""""""तुमचे आजोबा कुठे असतात सध्या ?""
"
"""""""You are a grandmother...?""
","""""""आपण. . आपटे आजोबा का?""
"
"""""""Your grandmother lives with you?""""""
","""""""आता आजोबा तुझ्याबरोबर रहातो का. . ?""
"
"""""""Your grandmother told me about your situation.""""""
","""""""माटे आजोबांनी तुला आमच्या घरची परिस्थिती सांगितलीच आहे.""
"
"""And she said, """"My grandmother.""""""
",""""""" तेव्हा ती म्हणाली, """" मामाची.""
"
