eng_Latn,mar_Deva
"""""""We had to pick between Srini's dream of us retiring in our 40s and paying my sister-in-law Priya's dowry.""""""
","""""""आमच्या 40० च्या दशकात निवृत्त होण्याचे आणि मेहुणे प्रियाचे हुंडा देण्याचे आमचे श्रीनेचे स्वप्न आम्हाला निवडावे लागेल.""
"
"""Rajiv Kapoor's sister-in-law Neetu Kapoor shared the post on social media, writing, """"The fourth meeting of the late Rajiv Kapoor will not be held due to the Kovid-19 epidemic.""
","राजीव कपूर यांच्या वहिणी नीतू कपूर यांनी सोशल मीडियावर पोस्ट शेअर करत लिहिले, 'कोविड-19 महामारीमुळे स्वर्गीय राजीव कपूर यांच्या चौथ्याच्या बैठकीचे आयोजन करण्यात आलेले नाही.
"
"""She heard her sister-in-law say to her husband: """"She must have a problem.""""""
","""तिला तिच्या मेव्हण्याने तिच्या नव to्याला असे बोलताना ऐकलेः """"तिला एक समस्या असणे आवश्यक आहे.""
"
"(Without directly mentioning specifics, the 21-time Grammy winner likely was alluding to the 2014 Met Gala elevator incident involving his sister-in-law Solange.)
","(थेट तपशीलांचा उल्लेख न करता, 21-वेळा ग्रॅमी विजेता 2014 च्या मेट गाला लिफ्टच्या घटनेचे संकेत देत होता ज्यामध्ये त्याच्या मेहुणे सोलंगेचा समावेश होता.
"
"But today we will talk about her sister-in-law.
","पण आज आपण त्यांच्या पत्नी ₹बद्दल बोलणार आहोत.
"
"Fucking Indian sister-in-law
","कमबख्त भारतीय चाची
"
"Hathras rape: 'It was not our girl's body that was cremated,' says woman's sister-in-law
","Hathras Case: 'अंत्यसंस्कार झालेत ती आमची मुलगी नाही', पीडित कुटुंबीयांचा आरोप
"
"Her sister-in-law was watching the television in the living room.
","महिलेचा भाऊ हॉलमध्ये टीव्ही बघत होता.
"
"Hot night with my sister-in-law - Sex Stories
","मावस बहिणी सोबतची ती कामुक रात्र - Marathi Sex Stories
"
"I always try to make something for each of my sister-in-laws.
","नेहमी प्रयत्न करत असतो की, बहिणींसाठी काहीना काही करू.
"
"I gave my old bike to my sister-in-law.
","मी तर माझी जुनी बाइक भावालाच दिली.
"
"I hadn't read about your sister-in-law.
","अनिष्काजी मी तुमच्या मुलीविषयी वाचलेलंही नाही.
"
"I have a sister-in-law like you
","की माझ्याकडे तुझ्यासारखी बहिण आहे
"
"I only know her sister-in-law.
","मला फक्त ती जुळी बहीण माहीत आहे!
"
"In North India, a widow can marry her brother-in-law but a widower cannot marry his sister-in-law.
","भारतामध्ये एक विधवा आपल्या दिराशी लग्न करू शकते परंतु एक पुरुष आपल्या मृत पत्नीच्या बहिणीशी लग्न करू शकत नाही
"
"It's my sister-in-law at a wedding
","तस एका लग्न समारंभ मध्ये माझी चुलत बहिण उषा
"
"Let us tell you that in 1895, the effect of their busyness started falling on their health, after which they had decided to give classes related to yoga instead of giving lectures, while during this time, Nityadeeta, sister-in-law, became her disciple, one of her main disciples.
","आम्ही तुम्हाला सांगितो इच्छितो की,1895 मध्ये त्यांच्या व्यस्ततेचा त्यांच्या आरोग्यावर परिणाम झाला, त्यानंतर त्यांनी व्याख्याने देण्याऐवजी योगासंदर्भातील वर्ग घेण्याचे ठरविले, त्याचवेळी भागिणी निवेदिता हि त्यांच्या सम्पर्कात आली आणि ती त्यांची शिस्य झाली.
"
"My brother and sister-in-law are also in this field.
","माझा पुतण्या आणि माझा आतेभाऊ सुद्धा या फिल्ड मध्ये आहेत.
"
"My brother and sister-in-law are in USA.
","माझा भाच्चा व सो सुनबाई त्यांची मुले अमेरिका येथे असतात,
"
"My brother and sister-in-law help me with this.
","या कामात मला माझी लहान बहीण आणि आई मदत करते.
"
"My sister-in-law is an interior designer.
","माझी चुलतबहीण, जी इन्टीरीअर डिझाईनर आहे.
"
"My sister-in-law too.
","माझी बहिणाबाई देखील.
"
"My sister-in-law's sister is my wife.
","बहीण-इन - या माझ्या पत्नीच्या बहीण आहे.
"
"Previous Post: My sister-in-law
","Previous Previous post: मित्रांनी माझी बहिण जवली
"
"Sex with hot sister-in-law
","Hot Sex चुलत बहिणी बरोबर मुख मैथुन
"
"TV actor Sanjeeda Shaikh accused of domestic violence by her sister-in-law
","टीव्ही अभिनेत्री संजिदा शेखविरोधात घरगुती हिंसाचाराची तक्रार
"
"The Indian woman claimed that her sister-in-law physically abused the child between August and December 2019.
","ऑगस्ट ते डिसेंबर 2019 दरम्यान तिच्या मेव्हण्याने मुलावर शारीरिक अत्याचार केल्याचा दावा भारतीय महिलेने केला आहे.
"
"The Indian woman's family has provided the police with medical documents and WhatsApp chats that show the sister-in-law's abusive behaviour towards her husband.
","भारतीय महिलेच्या कुटूंबाने पोलिसांना वैद्यकीय कागदपत्रे आणि व्हॉट्सअॅप चॅट उपलब्ध करुन दिल्या आहेत ज्यात त्या मेहुण्याने तिच्या पतीप्रती गैरवर्तन केल्याचे दिसून येते.
"
"Three things I'm grateful for today: my sister-in-law, my sister-in-law's birthday party, and cake.
","आज ज्या तीन गोष्टींसाठी मी कृतज्ञ आहेः माझा भाऊ, माझ्या भावाच्या वाढदिवसाची पार्टी आणि केक.
"
"To my special sister-in-law, I forget sometimes that we're not actually related by birth.
","माझ्या खास मेव्हण्यांना, मी कधीकधी विसरतो की आम्ही जन्माशी संबंधित नसतो.
"
"Two days later her sister-in-law had a girl.
","दोन दिवस अगोदरच त्या बाईच्या मुलीला, मुलगी झाली होती.
"
"We had to choose between Srini's dream of us retiring in our 40s and paying my sister-in-law Priya's dowry.
","""""""आमच्या 40० च्या दशकात निवृत्त होण्याचे आणि मेहुणे प्रियाचे हुंडा देण्याचे आमचे श्रीनेचे स्वप्न आम्हाला निवडावे लागेल.""
"
"Why does my sister-in-law hate me?
","का माझे साहेब माझा द्वेष करतो आहे?
"
"fucked indian sister-in-law
","कमबख्त भारतीय चाची
"
"The victim’s husband and mother-in-law are lawyers, and her sister-in-law is a doctor.
","पिडीतीचे पती व सासू, सासरे वकील आहेत.
"
"My sister-in-law's husband died.
","त्यातच माझ्या पत्नीच्या बहिणीचे निधन झाले.
"
"His wife and sister-in-law also died.
","यामध्ये पत्नी (Wife) आणि सासु सासऱ्याचा मृत्यू झाला आहे.
"
"The woman’s brother and sister-in-law were present in the house when the incident took place.
","घटना घडली तेव्हा घरात नम्रता आणि तिचा भाऊ असे दोघेच हजर होते.
"
"Condoling the loss, Rajiv’s sister-in-law and Rishi Kapoor’s wife actress Neetu Kapoor shared a post on social media along with a picture of the late actor.
","ऋषी कपूर यांच्या पत्नी, अभिनेत्री नीतू कपूर यांनी इन्स्टाग्रामवरील पोस्टमधून राजीव कपूर यांच्या निधनाचे वृत्त दिले आहे.
"
"However, sister-in-law Priyanka Chopra did not attend the parties.
","पण यावेळी देसी गर्ल प्रियांका चोप्रा या सोहळ्यात सहभागी झाली नाही.
"
"Alcoholic man rapes mother, sister, sister-in-law; murdered by father
","दारुड्या मुलाकडून आई, बहिण आणि भावाच्या पत्नीसोबत गैरवर्तन, कुटुंबीयांकडून मुलाची हत्या
"
"Bollywood actor Saif Ali Khan, who is all set to hit the theatre with Kabir Khan's 'Phantom', celebrated his birthday with wife Kareena and sister-in-law Karisma Kapoor.
","बॉलीवूडची 'बेबो' करिना कपूरने पती सैफ अली खानसोबत पतौडीत बकरी ईद साजरी केली.
"
