eng_Latn,mar_Deva
"""""""Alright then, uncle.""""""
","""बरोबर आहे मग"""" - चाचा.""
"
"""""""Alright, your uncle.""
","""""""ठीक आहे अंकल.""
"
"""""""And I'm not your uncle.""
","""""""मी आंटी वगैरे नाहीये.""
"
"""""""By your uncle?""""""
","""""""तुम्हारे चाचा को?""
"
"""""""Dear uncle!""
","""""""अच्छा चाचा!""
"
"""""""Dear uncle, please!""
","""""""अंकल प्लीज!""
"
"""""""Did your uncle?""""""
","""""""तुम्हारे चाचा को?""
"
"""""""Don't you remember your uncle?""
","""""""तुला आठवण नाही येत इकडची?""
"
"""""""Have a look at this, uncle.""""""
","""""""ये देखो चाची.""
"
"""""""He's not an uncle.""
","""""""मी आंटी वगैरे नाहीये.""
"
"""""""He's the uncle.""
","""""""जी चाचा है।""
"
"""""""I am no uncle of hers.""""""
","""""""मी आंटी वगैरे नाहीये.""
"
"""""""I am not my uncle.""
","""""""मी आंटी वगैरे नाहीये.""
"
"""""""I am not my uncle.""""""
","""""""मी आंटी वगैरे नाहीये.""
"
"""""""I am not your uncle.""
","""""""मी आंटी वगैरे नाहीये.""
"
"""""""I do not understand, uncle""""""
","""मी समजलो नाही आचार्य""""""
"
"""""""I don't have an uncle.""
","""""""मी आंटी वगैरे नाहीये.""
"
"""""""I don't understand you, uncle.""
","""""""मी समजलो नाही आजोबा.""
"
"""""""I'm not anybody's uncle.""
","""""""मी आंटी वगैरे नाहीये.""
"
"""""""I'm not her uncle.""
","""""""मी आंटी वगैरे नाहीये.""
"
"""""""I'm not your uncle.""
","""""""मी आंटी वगैरे नाहीये.""
"
"""""""It was my grandfather and my uncle.""
","""""""ते माझे आजोबा आणि आज्जी.""
"
"""""""It's the uncle.""
","""""""जी चाचा है।""
"
"""""""Look here, uncle.""
","""""""ये देखो चाची.""
"
"""""""My uncle always said.""
",""""""" माझे वडिल नेहमी सांगतात.""
"
"""""""My uncle closed his eyes.""
",""""""" आजोबा डोळे मिचकावत बोलले.""
"
"""""""My uncle got out.""
","""बाहेर चाचा आलेत""""""
"
"""""""My uncle is asking.""""""
",""""""" चाचानी विचारलं.""
"
"""""""My uncle is not at home?""""""
","""""""ऑन्टी नाहीयेत घरी?""
"
"""""""My uncle laughed.""""""
",""""""" अंकल हसत म्हणाला.""
"
"""""""My uncle laughs.""
",""""""" अंकल हसत म्हणाला.""
"
"""""""My uncle treated me like a daughter.""
","""""""अंकलनी माझा मुलीप्रमाणे सांभाळ केलं.""
"
"""""""My uncle was pleased.""
",""""""" अंकल खुश झाले.""
"
"""""""My uncle's going to kill me...""""""
","""""""अंकल चाची मारेगी- - """"""
"
"""""""No, uncle you don't understand.""
",""""""" अंकल , तुम्हाला नाही समजणार .""
"
"""""""No, uncle, I won't do it.""
","""""""नाही साहेब, मला ते जमणार नाही.""
"
"""""""Oh, his uncle?""
","""""""तुम्हारे चाचा को?""
"
"""""""Really uncle.""
",""""""" खरंच आजोबा.""
"
"""""""She seems to like your uncle very much.""
","""""""तुझं तुझ्या आजोबावर फारच प्रेम होतं असं दिसतं.""
"
"""""""Shut up uncle!""
","""""""बस करो चाचा जी!""
"
"""""""Sorry, uncle,"""" he apologised.""
",""""""" ती म्हणाली, """"सॉरी अंकल.""
"
"""""""That would be my uncle.""
","""""""तो चाचा होंगे।""
"
"""""""That'd be my uncle.""
","""""""तो चाचा होंगे।""
"
"""""""That'll be my uncle.""
","""""""तो चाचा होंगे।""
"
"""""""The uncle was so happy.""
",""""""" अंकल खुश झाले.""
"
"""""""To his uncle?""""""
","""""""तुम्हारे चाचा को?""
"
"""""""Watch your uncle.""
","""""""आंटी पे जरा नजर रखना.""
"
"""""""What are you talking, uncle?""
","""""""काय बोलताय आजोबा?""
"
"""""""What did you say, uncle?""
","""""""काय बोलताय आजोबा?""
"
"""""""What do you say uncle?""
","""""""काय बोलताय आजोबा?""
"
"""""""What for uncle?""""""
","""""""काय चाचा?""
"
"""""""What happened uncle?""""""
","""""""काय झालं आजोबा?""
"
"""""""What happened, uncle.""
","""""""काय झालं अँकलला?""
"
"""""""What happened, uncle?""""""
","""""""काय झालं अँकलला?""
"
"""""""What is it you mean, uncle?""
","'क्या मतलब अंकल ?
"
"""""""What's an uncle?""
","""""""काय चाचा?""
"
"""""""Which uncle?""
","""""""काय चाचा?""
"
"""""""Why are you here uncle?""
",""""""" अंकल तुम्ही कशाला येता वरती ?""
"
"""""""Why are you here, uncle?""""""
",""""""" अंकल तुम्ही कशाला येता वरती ?""
"
"""""""Why not, uncle?""
","""""""नाही बुवा, का?""
"
"""""""Why so, uncle?""
","""""""क्यों, चाचा जी?""
"
"""""""Why, uncle""
","""""""क्यों, चाचा जी?""
"
"""""""With your uncle?""""""
","""""""तुम्हारे चाचा को?""
"
"""""""You're father, grandfather and uncles work very hard.""
","""""""तुझे आजी आणि आजोबा खूपच मेहनती होते.""
"
"""""""Your uncle lives with you?""""""
","""""""आता आजोबा तुझ्याबरोबर रहातो का. . ?""
"
