eng_Latn,ory_Orya
"* Motivate the women in your house (mother, wife, sister, sister-in-law, aunt, etc.) to not hide their health problems, talk about them so that they can get timely treatment.
","ଆପଣଙ୍କ ଘରେ ଥିବା ମହିଳା (ମା, ସ୍ତ୍ରୀ, ଭଉଣୀ, ଭାଉଜ, ଚାଚି ଆଦି) ଙ୍କୁ ଏହି କଥା ପାଇଁ ପ୍ରେରିତ କରନ୍ତୁକି ସେ ନିଜର ସ୍ୱାସ୍ଥ୍ୟଗତ ସମସ୍ଯାକୁ ଲୁଚାନ୍ତୁ ନାହିଁ, ତାଙ୍କ ବିଷୟରେ କଥାବାର୍ତ୍ତା କରନ୍ତୁ ଯାହାଦ୍ୱାରା ତାଙ୍କର ଠିକ ସମୟରେ ଚିକିତ୍ସା ହୋଇପାରିବ।
"
"A few hours later my aunt got to my house.
","କିଛି ଘଣ୍ଟା ପରେ ମାମୁଁ ଘରେ ପହଞ୍ଚିଗଲେ .
"
"According to the police, the girl started living with her aunt after the death of her mother three years ago.
","ପୋଲିସର ସୂଚନାନୁସାରେ, ତିନି ବର୍ଷ ପୂର୍ବେ ତାଙ୍କ ମା'ଙ୍କ ମୃତ୍ୟୁ ପରେ ଝିଅଟି ତାଙ୍କ ଚିକ୍କମା ସହିତ ରହିବାକୁ ଲାଗିଲା।
"
"Amram married his father's sister, his aunt Jochebed.
","ଅମ୍ରମ୍ ତାଙ୍କ ପିତାଙ୍କର ଭଉଣୀଙ୍କୁ ବିବାହ କରିଥିଲେ, ତାଙ୍କର ନାମ ଥିଲା ଯୋକେବଦ।
"
"Chandu suspected that the recent death of his son and the illness of another child was due to witchcraft by his aunt, police said.
","ସଂପୃକ୍ତ ମହିଳା ଗୁଣିଗାରେଡ଼ି କରିଥିବାରୁ ନିକଟରେ ଚନ୍ଦୁର ପୁଅର ମୃତ୍ୟୁ ଓ ଅନ୍ୟ ଏକ ଶିଶୁର ଦେହ ଖରାପ ହୋଇଥିବା ସନ୍ଦେହ କରି ସେ ମହିଳାଙ୍କୁ ହତ୍ୟା କରିଥିବା ପୋଲିସ କହିଛି ।
"
"Do you remember the aunt's name?
","ତୋ ଜେଜେମାଙ୍କ ନାଁ କଣ ମନେ ପକାଉନୁ ?
"
"During his childhood he lost his parents and since then he lived in his aunt's house.
","ପିଲାବେଳୁ ସେ ନିଜ ପିତାଙ୍କୁ ହରାଇଥିଲେ ଏବଂ ମାମୁଁ ଘରେ ତାଙ୍କର ଲାଳନ ପାଳନ ହୋଇଥିଲା ।
"
"Half an hour later, my aunt arrived.
","ଅଧଘଣ୍ଟା ପରେ ମାମୁଁ ଆସି ,
"
"Harry potter j k rowling's novels feature a teenage boy named harry potter who grows up in a normal world with his aunt, uncle and cousin dudley.
","ଜେ. କେ ରୋଲିଙ୍ଗଙ୍କ ଉପନ୍ୟାସରେ, ହେରୀ ପୋଟର ନାମକ ଜଣେ କିଶୋର ବାଳକ ଅଛନ୍ତି ଯିଏ ନିଜ ଦାଦା, ଖୁଡୀ ଏବଂ ଦାଦା-ପୁଅ-ଭାଇ ଡୁଡଲେ ସହିତ ଏକ ଛୋଟ ଦୁନିଆରେ ବଢିଥିଲେ ।
"
"He doesn't like his aunt.
","She doesn't like her aunt = ସେ ତାର ଖୁଡିଙ୍କୁ ପସନ୍ଦ କରେ ନାହିଁ
"
