eng_Latn,ory_Orya
""""""" """"Let us remember: One book, one pen, one child, and one teacher can change the world.""""""
","""""""ଆସନ୍ତୁ ମନେରଖିବାଃ ଗୋଟିଏ ବହି, ଗୋଟିଏ କଲମ, ଗୋଟିଏ ଶିଶୁ ଏବଂ ଜଣେ ଶିକ୍ଷକ ସାରା ପୃଥିବୀକୁ ବଦଳାଇ ଦେଇପାରିବେ।""
"
""""""" (1) Every child of the age of six to fourteen years shall have a right to free and compulsory education in a neighborhood school till completion of elementary education.""""""
","୩. (୧) ୬ ରୁ ୧୪ ବର୍ଷ ବୟସର ପ୍ରତ୍ୟେକ ଶିଶୁର ପ୍ରାଥମିକ ଶିକ୍ଷା ସରିବା ପର୍ଯ୍ୟନ୍ତ ପାଖ ବିଦ୍ୟାଳୟରେ ମାଗଣା ଓ ବାଧ୍ୟତାମୂଳକ ଶିକ୍ଷା ପାଇବାର ଅଧିକାର ରହିବ ।
"
""""""" (c) """"child"""" means a male or female child of the age of six to fourteen years;""
",""" (c) """"ଶିଶୁ"""" ଅର୍ଥାତ୍ ଛଅରୁ ଚଉଦ ବର୍ଷ ବୟସର ବାଳକ କିମ୍ବା ବାଳିକା;""
"
""""""" Every child is an artist, the problem is staying an artist when you grow up """" - Pablo Picasso.""
","""""""ପ୍ରତ୍ୟେକ ଶିଶୁ ହେଉଛି ଜଣେ କଳାକାର, ସମସ୍ୟା ହେଉଛି ତୁମେ ବଡ଼ ହେବା ପର୍ଯ୍ୟନ୍ତ କଳାକାର ହୋଇ ରହିବା"""" - ପାବଲୋ ପିକାସୋ""
"
""""""" Let us remember: One book, one pen, one child, and one teacher can change the world.""""""
","""""""ଆସନ୍ତୁ ମନେରଖିବାଃ ଗୋଟିଏ ବହି, ଗୋଟିଏ କଲମ, ଗୋଟିଏ ଶିଶୁ ଏବଂ ଜଣେ ଶିକ୍ଷକ ସାରା ପୃଥିବୀକୁ ବଦଳାଇ ଦେଇପାରିବେ।""
"
"""""""2 (d). 'child belonging to disadvantaged group' means a child belonging to the Scheduled Caste, the Scheduled Tribe, the socially and educationally backward class or such other group having disadvantage owing to social, cultural, economical, geographical, linguistic, gender or such other factor, as may be specified by the appropriate Government, by notification.""""""
",""" (d) """"ଅସୁବିଧା ଭୋଗ କରୁଥିବା ଶ୍ରେଣୀର ଶିଶୁ"""" ଅର୍ଥାତ୍ ଅନୁସୂଚିତ ଜାତି ଅନୁସୂଚିତ ଉପଜାତି, ସାମାଜିକ ଓ ଶିକ୍ଷା କ୍ଷେତ୍ରରେ ପଛୁଆ ଶ୍ରେଣୀ କିମ୍ବା ଏହିପରି ଅନ୍ୟାନ୍ୟ ଶ୍ରେଣୀ ଯେଉଁମାନଙ୍କର ସାମାଜିକ, ସାଂସ୍କୃତିକ, ଆର୍ଥିକ, ଭୌଗୋଳିକ, ଭାଷାଗତ, ଲିଙ୍ଗଗତ କିମ୍ବା ଉପଯୁକ୍ତ ସରକାରଙ୍କ ଦ୍ବାରା ଅଧିସୂଚନା ମାଧ୍ୟମରେ ସ୍ଥିରୀକୃତ କରାଯାଇଥିବା ଅନ୍ୟାନ୍ୟ କାରଣ ଦୃଷ୍ଟିରୁ ଅସୁବିଧା ରହିଛି;""
"
"""""""27 I prayed for this child, and the LORD has granted me what I asked of him.""
","27ଏହି ବାଳକ ନିମନ୍ତେ ମୁଁ ପ୍ରାର୍ଥନା କରିଥିଲି; ଆଉ ମୁଁ ଯାହା ମାଗିଥିଲି, ସଦାପ୍ରଭୁ ମୋହର ସେହି ନିବେଦନ ଅନୁସାରେ ମୋତେ ଦେଇଅଛନ୍ତି।
"
"""""""A book, a pen, a child and a teacher can change the world.""""""
","""""""ଆସନ୍ତୁ ମନେରଖିବାଃ ଗୋଟିଏ ବହି, ଗୋଟିଏ କଲମ, ଗୋଟିଏ ଶିଶୁ ଏବଂ ଜଣେ ଶିକ୍ଷକ ସାରା ପୃଥିବୀକୁ ବଦଳାଇ ଦେଇପାରିବେ।""
"
"""""""A child dies of malaria every two minutes.""
","ମ୍ୟାଲେରିଆ ଦ୍ୱାରା ପ୍ରତି ୨ ମିନିଟରେ ଗୋଟିଏ ଶିଶୁର ମୃତ୍ୟୁ ହୁଏ ।
"
"""""""Based on the specific need of the child, he or she can also be enrolled in the nearest private schools under RTE section 12 (1) (c).""
","""""""ଶିଶୁର ନିର୍ଦ୍ଦିଷ୍ଟ ଆବଶ୍ୟକତାକୁ ଆଧାର କରି ସେକ୍ସନ୍ ଆରଟିଇ ବିଭାଗ 12 (1) © ଅନୁଯାୟୀ ନିକଟସ୍ଥ ଘରୋଇ ବିଦ୍ୟାଳୟରେ ନାମ ଲେଖାଇ ପାରିବେ।""
"
"""""""But tell me,"""" asked the child, """"here in Heaven, I don't do anything else but sing and smile, that's enough for me to be happy.""""""
","""ଶିଶୁ - """"କିନ୍ତୁ ମୋତେ ଆପଣ କୁହନ୍ତୁ, ଏଠାରେ ସ୍ୱର୍ଗରେ ମୁଁ କେବଳ ଗୀତ ଗାଇବା ଏବଂ ହସିବା ଛଡା ଆଉ କିଛି କରେ ନାହିଁ।""
"
"""""""But the LORD said to me, 'Do not say, 'I am only a child.'""
","""୭ ମାତ୍ର ସଦାପ୍ରଭୁ ମୋତେ କହିଲେ, """"ମୁଁ ବାଳକ ବୋଲି କୁହ ନାହିଁ;""
"
"""""""But"""" said the child, """"here in Heaven I don't do anything else but sing and smile.""
","""ଶିଶୁ - """"କିନ୍ତୁ ମୋତେ ଆପଣ କୁହନ୍ତୁ, ଏଠାରେ ସ୍ୱର୍ଗରେ ମୁଁ କେବଳ ଗୀତ ଗାଇବା ଏବଂ ହସିବା ଛଡା ଆଉ କିଛି କରେ ନାହିଁ।""
"
"""""""But,"""" said the child, """"tell me here in Heaven I don't do anything else but sing and smile.""
","""ଶିଶୁ - """"କିନ୍ତୁ ମୋତେ ଆପଣ କୁହନ୍ତୁ, ଏଠାରେ ସ୍ୱର୍ଗରେ ମୁଁ କେବଳ ଗୀତ ଗାଇବା ଏବଂ ହସିବା ଛଡା ଆଉ କିଛି କରେ ନାହିଁ।""
"
