eng_Latn,ory_Orya
"""""""My grandmother was the first person that I told about my win,"""" he said.""
","ସେ କହିଥିଲେ ଯେ, ମୋର ଜେଜେ ହେଉଛନ୍ତି ପ୍ରଥମ ବ୍ୟକ୍ତି ଯାହାଙ୍କୁ ମୁଁ ମୋର ବିଜୟ ବିଷୟରେ କହିଥିଲି।
"
"""""""What are you doing, grandmother?""""""
","""""""କଣ କରୁଛ ଜେମା?""
"
"""""""Your grandmother?""
","""""""ତୋର ଦାଦାଙ୍କୁ?""
"
"""But my grandmother, she wasn't having it,"""" he said.""
","""କିନ୍ତୁ ମୋ ଶାଶୂ ଏହାକୁ ପାଇନଥିଲେ,"""" ସେ କହିଥିଲେ।""
"
"""He looked down and spoke, """"I remember hearing stories from my grandmother about how she, along with my father, came from Thoothukudi to Trivandrum, to find a job, some 65 years ago.""""""
","""ସେ ତଳକୁ ଚାହିଁଲା ଓ କହିଲା, """"ମୋ ଜେଜେ ମା'ଙ୍କ ଠାରୁ ଶୁଣିଥିବା କଥା ମୋର ମନେ ଅଛି, କେମିତି ୬୫ ବର୍ଷ ପୂର୍ବେ ସେ ମୋ ବାପାଙ୍କ ସହିତ କାମ ସନ୍ଧାନରେ ଥୁଠୁକୁଡ଼ିରୁ ତ୍ରିଭେନ୍ଦ୍ରମକୁ ଚାଲିଆସିଥିଲେ ।""
"
"""Let me recall what Mark Twain had said about India - """"India is the cradle of the human race, the birthplace of human speech, the mother of history, the grandmother of legend and the great grandmother of tradition.""
","""ଭାରତ ସମ୍ପର୍କରେ ମାର୍କ ଟ୍ୱାଇନଙ୍କ ବକ୍ତବ୍ୟକୁ ମୁଁ ମନେ ପକାଇଦେବାକୁ ଚାହେଁ- """"ଭାରତ ମାନବ ସଭ୍ୟତାର ଉତ୍ପତିସ୍ଥଳ, ଭାଷାର ଜନ୍ମସ୍ଥାନ, ଇତିହାସର ମାତା, ମହାଗାଥାର ମାତାମହୀ, ପରମ୍ପରାର ପ୍ରମାତାମହୀ ।""
"
"16 King Asa also deposed his grandmother Maakah from her position as queen mother, because she had made a repulsive image for the worship of Asherah.
","13 ଆସା ମଧ୍ୟ ତାଙ୍କର ମାତାମହୀ ମାଖାଙ୍କୁ ରାଣୀ ପଦରୁ ବିତାଡ଼ିତ କଲେ, କାରଣ ସେ ଆଶେରା ଦେବତା ନାମରେ ଏକ ପ୍ରତିମା ନିର୍ମାଣ କରିଥିଲେ।
"
"A grandmother is a precious gift from God.
","ମା' ଭଗବାନଙ୍କର ଏକ ମୂଲ୍ୟବାନ ଉପହାର ଅଟେ ।
"
"A grandmother was in the back.
","ପଛେ ପଛେ ଥିଲେ ବଡ଼ମାଆ ।
"
"After her grandmother died, she now lives alone in a rented house.
","ମା'ଙ୍କ ମୃତ୍ୟୁ ପରେ ସେ ଏକା ରହୁଥିଲେ ଭଡ଼ା ଘରେ ।
"
