eng_Latn,ory_Orya
"According to the sources, she is dating the Anu Malik's nephew Arman Malik.
","ସୂତ୍ରରୁ ଜଣାପଡ଼ିଛି ଯେ, ସେ ଅନୁ ମଲ୍ଲିକଙ୍କ ପୁଅ ଅରମାନ ମଲ୍ଲିକଙ୍କୁ ଡେଟ କରୁଛନ୍ତି ।
"
"After this, when she was asked to give three options with whom she would like to debut in Bollywood, Shahrukh Khan's son Aryan Khan, Chunky Pandey's nephew, Ahaan Pandey, or Javed Jafri's son Mizan Jafri.
","ଶୋ'ର ହୋଷ୍ଟ ନେହା ଯେବେ ଖୁସିଙ୍କୁ ୩ଟି ଅପସନ ଦେଇ ପଚାରିଥିଲେ ସେ କାହା ସହିତ ବଲିଉଡ ଡେବ୍ୟୁ କରିବାକୁ ଚାହିଁବେ, ଶାହରୁଖ ଖାନଙ୍କ ପୁଅ ଆର୍ୟନ ଖାନ, ଚଙ୍କି ପାଣ୍ଡେଙ୍କ ପୁଅ ଅହାନ ପାଣ୍ଡେ ନା ଜାବେଦ ଜଫରୀଙ୍କ ପୁଅ ମିଜାନ ଜାଫରୀ ।
"
"He is the nephew of actor Naseeruddin Shah.
","ସେ ଦିଗ୍ଗଜ ଅଭିନେତା ନାସିରୁଦ୍ଦିନ ଶାହଙ୍କ ପୁଅ।
"
"He is the nephew of legendary actor Naseeruddin Shah.
","ସେ ଦିଗ୍ଗଜ ଅଭିନେତା ନାସିରୁଦ୍ଦିନ ଶାହଙ୍କ ପୁଅ।
"
"He posted a video of his nephew on Instagram where he can be seen playing cricket.
","ସେ ଈନଷ୍ଟାଗ୍ରାମ ରେ ଏକ ଭିଡିଓ ସେୟାର କରିଛନ୍ତି ଯେଉଁଥିରେ ସେ କ୍ରିକେଟ ଖେଳୁଥିବାର ନଜର ଆସିଛନ୍ତି।
"
"He wasn't my son, he was my nephew.
","ସେ ମୋର ଭାଇ ନଥିଲା ମୋର ଛାଇ ଥିଲା ।
"
"His brother and nephew have died.
","ତାଙ୍କର ପୁଅ ଏବଂ ନାତିର ମୃତ୍ୟୁ ହୋଇଯାଇଛି ।
"
"His brother and nephew were already dead.
","ପୂର୍ବରୁ ତାଙ୍କ ପୁଅ ଓ ନାତି ର ମୃତ୍ୟୁ ହୋଇ ଯାଇଛି ।
"
"His nephew Subramanyan Chandrasekhar was awarded the 1983 Nobel Prize in Physics.
","ପଦାର୍ଥ ବିଜ୍ଞାନରେ ସୁବ୍ରମଣ୍ୟନ୍ ଚନ୍ଦ୍ରଶେଖରଙ୍କୁ ୧୯୮୩ରେ ନୋବେଲ ପୁରସ୍କାର ମିଳିଥିଲା।
"
"His nephew, Muhammad, was 12 years old at this time.
","ଏହି ସମୟରେ ତାଙ୍କର ପୁଅ ମହଜଙ୍କୁ ୧୨ ବର୍ଷ ହୋଇଥିଲା ।
"
"His nephew, Muhammed, was 12 years old at this time.
","ଏହି ସମୟରେ ତାଙ୍କର ପୁଅ ମହଜଙ୍କୁ ୧୨ ବର୍ଷ ହୋଇଥିଲା ।
"
