eng_Latn,ory_Orya
"""""""And Saul's uncle said, Tell me, I pray thee, what Samuel said to you.""""""
","ଏଥିରେ ଶାଉଲଙ୍କର ପିତୃବ୍ୟ କହିଲେ, ମୁଁ ନିବେଦନ କରୁଅଛି, ଶାମୁୟେଲ ତୁମ୍ଭମାନଙ୍କୁ କ'ଣ କହିଲେ, ମୋତେ କୁହ।
"
"""""""I love you uncle.""
","""""""ଲଭ୍ ୟୁ ମାମା।""
"
"""""""My husband passed away when I was around 20,"""" said Shanti, the widow of one Virender's uncles.""
","""ଯେତେବେଳେ ମୁଁ ୨୦ ବର୍ଷର ଥିଲି, ମୋର ସ୍ୱାମୀଙ୍କର ମୃତ୍ୟୁ ଘଟିଲା,"""" ଶାନ୍ତି କହିଥିଲେ, ଯିଏକି ବୀରେନ୍ଦ୍ରଙ୍କ ଜଣେ କକାଙ୍କର ବିଧବା ଅଟନ୍ତି।""
"
"""""""Yes uncle, you can go.""
","""""""ଠିକ୍ ଅଛି, ମହାଶୟ, ଆପଣ ଯାଇପାରିବେ ।""
"
"""15 Saul's uncle said, """"Please tell me what Samuel said to you.""""""
","""15 ଏଥିରେ ଶାଉଲଙ୍କ ପିତୃବ୍ୟ କହିଲେ, """"ମୁଁ ନିବେଦନ କରୁଛି ଶାମୁୟେଲ ତୁମ୍ଭକୁ କ'ଣ କହିଲେ ମୋତେ କୁହ।""
"
"""15 Saul's uncle said, """"Tell me what Samuel said to you.""""""
","""15 ଏଥିରେ ଶାଉଲଙ୍କ ପିତୃବ୍ୟ କହିଲେ, """"ମୁଁ ନିବେଦନ କରୁଛି ଶାମୁୟେଲ ତୁମ୍ଭକୁ କ'ଣ କହିଲେ ମୋତେ କୁହ।""
"
"""15""""Tell me,"""" Saul's uncle asked, """"what did Samuel say to you?"""" 15And Saul's uncle said, """"Please tell me what Samuel said to you.""""""
","""15 ଏଥିରେ ଶାଉଲଙ୍କ ପିତୃବ୍ୟ କହିଲେ, """"ମୁଁ ନିବେଦନ କରୁଛି ଶାମୁୟେଲ ତୁମ୍ଭକୁ କ'ଣ କହିଲେ ମୋତେ କୁହ।""
"
"""20 """"'If a man has sexual relations with his uncle's wife, he has shamed his uncle.""
","""20 """"ଜଣେ ବ୍ଯକ୍ତି ନିଜ କକାର ସ୍ତ୍ରୀ ସହିତ ଯୌନ କଂପର୍କ ରଖିବ, ଏହା କରିବା ଦ୍ବାରା ସେ ତାଙ୍କର କକାକୁ ଅସମ୍ମାନ ଦଖାଇବେ।""
"
"""He recalls: """"I was 20 years old when my uncle brought me to the city from Madurai.""
","""ସେ ମନେପକାଇ କୁହନ୍ତିଃ """"ମୋତେ ୨୦ ବର୍ଷ ହୋଇଥିବା ବେଳେ ମୋର କକା ମୋତେ ମଦୁରାଇରୁ ଏହି ମହାନଗରକୁ ଆଣିଥିଲେ।""
"
"""Jeremiah 32: 7 'Behold, Hanamel the son of Shallum your uncle is coming to you (prophet Jeremiah), saying, """"Buy for yourself my field which is at Anathoth, for you have the right of redemption to buy it.""""'""
","""ଯଥାଃ 7 'ହେ ଯିରିମିୟ, ତୁମ୍ଭ ପିତୃବ୍ୟ ଶଲ୍ଲୂମର ପୁତ୍ର ହନନେଲ ତୁମ୍ଭ ନିକଟକୁ ଆସି ଏହି କଥା କହିବ, """"ଅନାଥୋତ୍ରେ ମୋର ଯେଉଁ କ୍ଷେତ୍ର ଅଛି, ତାହା ତୁମ୍ଭେ ନିଜ ପାଇଁ କ୍ରୟ କର।""
"
