eng_Latn,pan_Guru
"""My aunt takes care of her in Mumbai.I too live in Mumbai most of the time.""""""
","ਮੇਰੀ ਆਂਟੀ ਮੁੰਬਈ 'ਚ ਉਸਦੀ ਦੇਖਭਾਲ ਕਰਦੀ ਹੈ ਤੇ ਮੈਂ ਵੀ ਜ਼ਿਆਦਾਤਰ ਸਮਾਂ ਮੁੰਬਈ 'ਚ ਹੀ ਬਤੀਤ ਕਰਦੀ ਹਾਂ।
"
"""Ruqaiya's oldest paternal uncle was the second Mughal emperor Humayun (who later became her father-in-law as well) while her most notable paternal aunt was the imperial princess, Gulbadan Begum, the author of Humayun-nama (""""Book of Humayun"""").""
","""ਰੁਕਾਇਆ ਦਾ ਸਭ ਤੋਂ ਵੱਡਾ ਤਾਇਆ ਦੂਜਾ ਮੁਗਲ ਸਮਰਾਟ ਹੁਮਾਯੂੰ (ਜੋ ਬਾਅਦ ਵਿਚ ਉਸ ਦਾ ਸਹੁਰਾ ਵੀ ਬਣਿਆ) ਸੀ ਜਦੋਂ ਕਿ ਉਸ ਦੀ ਸਭ ਤੋਂ ਮਹੱਤਵਪੂਰਣ ਸ਼ਾਹੀ ਰਾਜਕੁਮਾਰੀ, ਗੁਲਬਦਨ ਬੇਗਮ, ਸੀ ਜੋ ਹੁਮਾਯੂੰ-ਨਾਮ (""""ਹੁਮਾਯੂੰ ਦੀ ਕਿਤਾਬ"""") ਦੀ ਲੇਖਿਕਾ ਸੀ।""
"
"After the death of his mother, his aunt took responsibility for his care.
","ਪਿਤਾ ਦੀ ਮੌਤ ਤੋਂ ਬਾਅਦ ਇਸਦੇ ਮਾਮੇ ਨੇ ਇਸਦੀ ਦੇਖਭਾਲ ਕੀਤੀ।
"
"All the kids, aunts and uncles, grandparents, everybody!
","ਸਾਰੇ ਬੱਚੇ, ਚਾਚੇ ਅਤੇ ਚਾਚੇ, ਦਾਦਾ-ਦਾਦੀ, ਹਰ ਕੋਈ!
"
"Amram married his father's sister, his aunt Jochebed.
","ਅਮਰਾਮ ਨੇ ਆਪਣੇ ਪਿਤਾ ਦੀ ਭੈਣ ਯੋਕਬਦ ਨਾਲ ਵਿਆਹ ਕਰਾਇਆ।
"
"Blended families and changing family relationships Relationships with grandparents, aunts, uncles and cousins often change after separation and divorce.
","ਮਿਲਾਏ ਹੋਏ ਪਰਿਵਾਰ ਅਤੇ ਪਰਿਵਾਰਕ ਰਿਸ਼ਤੇ ਬਦਲਦੇ ਦਾਦਾ-ਦਾਦੀ, ਚਾਚੇ, ਚਾਚੇ ਅਤੇ ਚਚੇਰੇ ਭਰਾਵਾਂ ਨਾਲ ਸੰਬੰਧ ਅਕਸਰ ਅਲੱਗ ਹੋਣ ਅਤੇ ਤਲਾਕ ਤੋਂ ਬਾਅਦ ਬਦਲ ਜਾਂਦੇ ਹਨ.
"
"Do they have families and aunts and uncles and dogs and cats and mortgages and all that stuff?
","ਕੀ ਉਨ੍ਹਾਂ ਦੇ ਪਰਿਵਾਰ ਅਤੇ ਚਾਚੇ, ਚਾਚੇ ਅਤੇ ਬਿੱਲੀਆਂ, ਕੁੱਤੇ ਅਤੇ ਮੌਰਟਗੇਜ ਅਤੇ ਇਹ ਸਾਰੀਆਂ ਚੀਜ਼ਾਂ ਹਨ?
"
"Her Great aunt was Natalia Goncharova-Pushkina, wife of the Russian poet Alexander Pushkin.
","ਉਸ ਦੀ ਗ੍ਰੇਟ-ਆਂਟ ਨਤਾਲੀਆ ਨਿਕੋਲਾਏਵਨਾ ਗੋਂਚਾਰੋਵਾ, ਕਵੀ ਅਲੈਗਜ਼ੈਂਡਰ ਪੁਸ਼ਕਿਨ ਦੀ ਪਤਨੀ ਸੀ।
"
"Her mother left after her father died, and she now lives with her aunt.
","ਇਸ ਬੱਚੇ ਦੀ ਪਿਤਾ ਦੀ ਮੌਤ ਤੋਂ ਬਾਅਦ ਮਾਂ ਪੇਕੇ ਚਲੀ ਗਈ ਸੀ ਤੇ ਹੁਣ ਇਹ ਆਪਣੀ ਦਾਦੀ ਕੋਲ ਰਹਿ ਰਿਹਾ ਹੈ।
"
"His aunt was taking care of him.
","ਉਨ੍ਹਾਂ ਦੀ ਭਤੀਜੀ ਉਨ੍ਹਾਂ ਦੀ ਦੇਖਭਾਲ ਕਰ ਰਹੀ ਸੀ।
"
