eng_Latn,pan_Guru
"""""""It was my grandfather.""""""
",""""""" ਇਹ ਮੇਰੀ ਦਾਦੀ ਸੀ।""
"
"""""""It was my grandfather‟s.""
",""""""" ਇਹ ਮੇਰੀ ਦਾਦੀ ਸੀ।""
"
"""""""It was my great grandfather.""
",""""""" ਇਹ ਮੇਰੀ ਦਾਦੀ ਸੀ।""
"
"""""""My grandfather was in...""
","""""""ਪਿਤਾ ਜੀ ਨੇ ਖੂਹ ਵਿਚ...।""
"
"""""""This was my grandfather.""""""
",""""""" ਇਹ ਮੇਰੀ ਦਾਦੀ ਸੀ।""
"
"""""""What did grandfather say?""""""
","""""""ਦਾਦੀ ਨੇ ਕੀ ਖਵਾਇਆ ਸੀ?""
"
"""""""Your grandfather and your father played here.""
",""""""" ਤੇਰਾ ਪਿਉ ਏਥੋਂ ਈ ਖੇਡਦਾ ਗਿਆ।""
"
"""Bansali's grandfather, Babulal Mehta, blamed the """"irresponsible"""" hotel management and the civic authorities.""
","ਬੰਸਾਲੀ ਦੇ ਦਾਦੇ ਬਾਬੂਲਾਲ ਮਹਿਤਾ ਨੇ ਇਸ ਘਟਨਾ ਲਈ 'ਗ਼ੈਰਜ਼ਿੰਮੇਵਾਰ' ਹੋਟਲ ਮੈਨੇਜਮੈਂਟ ਅਤੇ ਨਿਗਮ ਅਧਿਕਾਰੀਆਂ ਨੂੰ ਦੋਸ਼ੀ ਠਹਿਰਾਇਆ ਹੈ।
"
"""She notes that modern performances are significantly different from her grandfather's original conception and that the dance today is often made to appear to be a variation of Swan Lake, which she describes as """"Odette at death's door.""""""
",""""""" ਉਹ ਦੱਸਦੀ ਹੈ ਕਿ ਆਧੁਨਿਕ ਪ੍ਰਦਰਸ਼ਨ ਉਸਦੇ ਦਾਦੇ ਦੀ ਮੂਲ ਧਾਰਨਾ ਤੋਂ ਕਾਫੀ ਵੱਖਰੀ ਹਨ ਅਤੇ ਅੱਜਕੱਲ੍ਹ ਇਕੋ ਸਮੇਂ ਨੂੰ ਸਵੈਨ ਲੇਕ - """"ਮੌਤ ਦੇ ਦਰਵਾਜ਼ੇ 'ਤੇ' ਓਡੇਟ 'ਦੇ ਰੂਪ ਵਿੱਚ ਪੇਸ਼ ਕੀਤਾ ਜਾਂਦਾ ਹੈ.""
"
"""She notes that modern performances are significantly different from her grandfather's original conception and that the solo today is often made to appear to be a variation of Swan Lake - """"Odette at death's door.""""""
",""""""" ਉਹ ਦੱਸਦੀ ਹੈ ਕਿ ਆਧੁਨਿਕ ਪ੍ਰਦਰਸ਼ਨ ਉਸਦੇ ਦਾਦੇ ਦੀ ਮੂਲ ਧਾਰਨਾ ਤੋਂ ਕਾਫੀ ਵੱਖਰੀ ਹਨ ਅਤੇ ਅੱਜਕੱਲ੍ਹ ਇਕੋ ਸਮੇਂ ਨੂੰ ਸਵੈਨ ਲੇਕ - """"ਮੌਤ ਦੇ ਦਰਵਾਜ਼ੇ 'ਤੇ' ਓਡੇਟ 'ਦੇ ਰੂਪ ਵਿੱਚ ਪੇਸ਼ ਕੀਤਾ ਜਾਂਦਾ ਹੈ.""
"
"But great grandfather...
","ਪਰ ਮਹਾਂਪੁਰਖ ਦੇ ਪਿਤਾ ...
"
"But, most importantly to me, he was an excellent grandfather.
","ਪਰ ਸਭ ਤੋਂ ਮਹੱਤਵਪੂਰਨ ਉਹ ਇਕ ਮਹਾਨ ਪਿਤਾ ਸੀ.
"
"He has also learnt Hindi and Urdu from his grandfather.
","ਉਨ੍ਹਾਂ ਨੇ ਪਿਤਾ ਕੋਲੋਂ ਹਿੰਦੀ ਅਤੇ ਮੌਲਵੀ ਪਾਸੋਂ ਉਰਦੂ ਸਿੱਖੀ।
"
"He is a good father and grandfather.
","ਉਹ ਇਕ ਚੰਗੇ ਪਿਤਾ ਤੇ ਪਤੀ ਹਨ।
"
"He tells me that tying it reminds him of his father, my grandfather.
","ਉਹ ਮੈਨੂੰ ਦੱਸਦਾ ਕਿ ਪੱਗ ਬੰਨ੍ਹਣਾ ਉਸ ਨੂੰ ਆਪਣੇ ਬਾਪ, ਮੇਰੇ ਦਾਦੇ ਦੀ ਯਾਦ ਨੂੰ ਤਾਜ਼ਾ ਕਰਵਾਉਂਦਾ।
"
"He was not only my grandfather but my father as well.
","ਉਹ ਮੇਰੇ ਸਹੁਰਾ ਸਾਹਿਬ ਹੀ ਨਹੀਂ ਸਗੋਂ ਪਿਤਾ ਸੀ।
"
"He was your great-great grandfather.
","ਉਹ ਮਹਾਨ ਹਸਤੀ ਤੇਰੇ ਪਿਤਾ ਸਨ।
"
"Her grandfather Jan Nisar Akhtar was also an Urdu poet.
","ਉਸ ਦੇ ਪਿਤਾ ਅਹਿਮਦ ਖ਼ਾਨ ਨਾਜ਼ਿਸ਼ ਵੀ ਇੱਕ ਨਾਮਵਰ ਉਰਦੂ ਕਵੀ ਸਨ।
"
"Her grandfather and father were also good singers.
","ਉਨ੍ਹਾਂ ਦੀ ਭੈਣ ਅਤੇ ਭਰਾ ਵੀ ਵਧੀਆ ਗਾਇਕ ਹਨ ।
"
"Her grandfather was a famous singer.
","ਉਸਦਾ ਪਿਤਾ ਇੱਕ ਪ੍ਰਸਿੱਧ ਲੋਕ ਗਾਇਕ ਸੀ।
"
"Her grandfather was an accomplished Urdu poet.
","ਉਨ੍ਹਾਂ ਦੇ ਪਿਤਾ ਜੀ ਖ਼ੁਦ ਉਰਦੂ ਦੇ ਇਕ ਉੱਘੇ ਕਵੀ ਸਨ ।
"
"Her grandfather was noted theatre director Gubbi Veeranna, who founded the Gubbi Veeranna Nataka Company.
","ਉਸ ਦੇ ਦਾਦੇ ਨੇ ਥੀਏਟਰ ਨਿਰਦੇਸ਼ਨ, ਗੁੱਬੀ ਵੀਰਾਨਾ, ਜਿਸ ਨੇ ਗੁੱਬੀ ਵੀਰਾਨਾ ਨਾਟਕ ਕੰਪਨੀ ਦੀ ਸਥਾਪਨਾ ਕੀਤੀ।
"
"Her grandfather was noted theatre director, Gubbi Veeranna, who founded the Gubbi Veeranna Nataka Company
","ਉਸ ਦੇ ਦਾਦੇ ਨੇ ਥੀਏਟਰ ਨਿਰਦੇਸ਼ਨ, ਗੁੱਬੀ ਵੀਰਾਨਾ, ਜਿਸ ਨੇ ਗੁੱਬੀ ਵੀਰਾਨਾ ਨਾਟਕ ਕੰਪਨੀ ਦੀ ਸਥਾਪਨਾ ਕੀਤੀ।
"
"Her maternal grandfather was Bollywood director V. Shantaram.
","ਉਸ ਦੇ ਨਾਨਕੇ ਬਤੌਰ ਬਾਲੀਵੁੱਡ ਡਾਇਰੈਕਟਰ ਵਿ. ਸ਼ਾਂਤਾਰਾਮ।
"
"Her maternal grandfather was Canadian.
","ਇਸਦੇ ਪਿਤਾ ਦਾ ਪਰਿਵਾਰ, ਕੈਨੇਡੀਅਨ ਸੀ।
"
"Here's my great grandfathers.
","ਇੱਥੇ ਮੇਰੇ ਵਡੇਰਿਆਂ ਦੀਆਂ ਜੜ੍ਹਾਂ ਨੇ।
"
"His father and grandfather were freedom fighters.
","ਉਨ੍ਹਾਂ ਦੇ ਮਾਤਾ-ਪਿਤਾ ਸੁਤੰਤਰਤਾ ਸੈਨਾਨੀ ਸਨ।
"
"His grandfather had been a knighted general in the British Indian Army.
","ਇਨ੍ਹਾਂ ਦੇ ਪਿਤਾ ਬ੍ਰਿਟਿਸ਼ ਇੰਡੀਅਨ ਆਰਮੀ ਵਿਚ ਜਨਰਲ ਵਜੋਂ ਨੌਕਰੀ ਕਰਦੇ ਸਨ।
"
"His grandfather had taught him to do this.
","ਉਨ੍ਹਾਂ ਨੇ ਪਿਤਾ ਨੇ ਇਹ ਕੰਮ ਉਨ੍ਹਾਂ ਨੂੰ ਪਹਿਲਾਂ ਹੀ ਸਿੱਖਾ ਦਿੱਤਾ ਸੀ.
"
"His grandfather joined the Army in 1952, and his father joined the Army in 1966.
","ਉਨ੍ਹਾਂ ਦਾ ਵੱਡਾ ਭਰਾ ਫੌਜ ਵਿਚ ਸਨ, ਜਿਸ ਕਰਕੇ ਉਹ ਵੀ 1952 ਵਿੱਚ ਫ਼ੌਜ ਵਿੱਚ ਭਰਤੀ ਹੋ ਗਏ।
"
