eng_Latn,pan_Guru
"""""""This is not your grandmother's cheder,"""" he added.""
","""""""ਇਹ ਤੁਹਾਡੇ ਦਾਦਾ ਜੀ ਦੀ ਪਲੇਬਿਊ ਨਹੀਂ ਹਨ,"""" ਉਸ ਨੇ ਅੱਗੇ ਕਿਹਾ.""
"
"""""""This is not your grandmother's chintz,"""" she adds.""
","""""""ਇਹ ਤੁਹਾਡੇ ਦਾਦਾ ਜੀ ਦੀ ਪਲੇਬਿਊ ਨਹੀਂ ਹਨ,"""" ਉਸ ਨੇ ਅੱਗੇ ਕਿਹਾ.""
"
"""This is not your grandmother's possession,"""" she adds.""
","""""""ਇਹ ਤੁਹਾਡੇ ਦਾਦਾ ਜੀ ਦੀ ਪਲੇਬਿਊ ਨਹੀਂ ਹਨ,"""" ਉਸ ਨੇ ਅੱਗੇ ਕਿਹਾ.""
"
"An 80-year-old grandmother has died from covids.
","ਕੋਰੋਨਾ ਨਾਲ 80 ਸਾਲ ਦੇ ਬਜ਼ੁਰਗ ਨੇ ਦਮ ਤੋੜ ਦਿੱਤਾ ਹੈ।
"
"As you know, our grandmother and grandpa, parents, Yokohama Ali or the watcher in front of us on Valentine's Day.
","ਤੁਹਾਨੂੰ ਪਤਾ ਹੋਣ ਦੇ ਨਾਤੇ, ਸਾਡੇ ਦਾਦਾ, ਮਾਤਾ-ਪਿਤਾ, ਯੋਕੋਹਾਮਾ ਅਲੀ ਜ ਦੇਖਣ ਵਿੱਚ ਹੈ, ਸਾਨੂੰ ਦੇ ਸਾਹਮਣੇ ਵੈਲੇਨਟਾਈਨ ਦਿਵਸ ਤੇ.
"
"But her grandmother tries to stop him.
","ਪਰ ਉਸ ਦੀ ਮਾਂ ਉਸ ਨੂੰ ਟਾਲਣ ਦੀ ਕੋਸ਼ਿਸ਼ ਕਰਦੀ ਹੈ।
"
"He lost his parents when he was 7 and was raised by his grandmother.
","ਉਸਨੇ ਸੱਤ ਸਾਲਾਂ ਦੀ ਉਮਰ ਵਿੱਚ ਆਪਣੀ ਮਾਂ ਨੂੰ ਗੁਆ ਲਿਆ ਅਤੇ ਉਸਦੀ ਪਾਲਣ ਪੋਸ਼ਣ ਉਸਦੀ ਵੱਡੀ ਭੈਣ ਦੁਆਰਾ ਕੀਤਾ ਗਿਆ।
"
"Her grandmother was Roman Catholic.
","ਮੇਰੀ ਮੰਮੀ ਰੋਮਨ ਕੈਥੋਲਿਕ ਸੀ।
"
"Her mother and grandmother had already gone to jail.
","ਮਾਤਾ, ਪਿਤਾ ਤੋਂ ਵੀ ਪਹਿਲਾਂ ਜੇਲ੍ਹ ਪਹੁੰਚ ਚੁੱਕੀ ਸੀ।
"
"His grandmother was my grandfather's sister.
","ਉਨ੍ਹਾਂ ਦੀ ਪਤਨੀ ਮੇਰੇ ਦਾਦੇ ਦੀ ਭੈਣ ਸੀ।
"
"His maternal grandmother is Bengali.
","ਉਸਦੇ ਮਾਤਾ ਪਿਤਾ ਬੰਗਾਲੀ ਹਨ।
"
"I have to help my grandmother.
","ਮੈਨੂੰ ਆਪਣੀ ਮਾਸੀ ਦੀ ਮਦਦ ਕਰਨੀ ਪੈਂਦੀ ਹੈ ।
"
"It is my maternal grandmother's third great-grandchild.
","ਇਹ ਤੀਜੀ ਮੇਰੀ ਮਾਸੀ ਦੀ ਲੜਕੀ ਹੈ।
"
"My grandmother had died of tuberculosis when my mother was just 12.
","ਉਸਦੀ ਮਾਂ ਦੀ ਮੌਤ ਤਪਦਿਕ (ਟੀ.ਬੀ) ਕਾਰਨ ਹੋਈ ਜਦੋਂ ਮਾਰਿਆ ਸਿਰਫ਼ 12 ਵਰ੍ਹਿਆਂ ਦੀ ਸੀ।
"
"My grandmother used to ask me to write letters to her.
","ਮਾਤਾ ਜੀ ਆਪ ਨੂੰ ਵਾਰ-ਵਾਰ ਚਿੱਠੀ ਲਿਖਣ ਲਈ ਆਖ ਰਹੇ ਸਨ।
"
"My grandmother worked several jobs.
","ਉਨ੍ਹਾਂ ਦੀ ਮਾਤਾ ਨੇ ਕਈ ਨੌਕਰੀਆਂ ਕੀਤੀਆਂ.
"
"My great grandmother told me.
","ਵੱਡੇ ਮਾਮੇ ਨੇ ਦੱਸਿਆ।
"
"My maternal grandmother came to America only a few years ago.
","ਮੇਰੀ ਪੱਤਨੀ ਨੂੰ ਅਮਰੀਕਾ ਆਈ ਨੂੰ ਅਜੇ ਕੁਝ ਮਹੀਨੇ ਹੀ ਹੋਏ ਸਨ।
"
"My mother left me with my grandmother and married another man.
","ਮੇਰੇ ਪਿਤਾ ਨੇ ਮੇਰਾ ਜਨਮ ਹੁੰਦਿਆਂ ਹੀ ਮੇਰੀ ਮਾਂ ਨੂੰ ਛੱਡ ਦਿੱਤਾ ਤੇ ਦੂਜੀ ਔਰਤ ਨਾਲ ਵਿਆਹ ਕਰਵਾ ਲਿਆ।
"
"My wife's grandmother died recently.
","ਮੇਰੀ ਪਤਨੀ ਦੀ ਮੌਤ ਹਾਲ ਹੀ ਵਿੱਚ ਹੋਈ ਹੈ।
"
"She was welcomed by her mother, father and her grandmother...
","ਉਸਦਾ ਪਾਲਣ ਪੋਸਣ ਉਹਦੀ ਮਾਂ, ਉਹਦੀ ਚਾਚੀ ਅਤੇ ਉਹਦੇ ਦਾਦ ...
"
"So, our grandmothers all know: to prevent their shed from freezing in winter, they just had to place a tub of liquid water in the middle of the room.
","ਇਸ ਲਈ, ਸਾਡੇ grandmothers ਇਹ ਸਭ ਪਤਾ ਹੈਃ ਰਿਹਾਅ ਸਰਦੀ ਵਿੱਚ ਮਾਰੇ ਕਰਦਾ ਹੈ ਨੂੰ ਰੋਕਣ ਲਈ, ਉਹ ਸਿਰਫ ਕਮਰੇ ਦੇ ਮੱਧ ਵਿੱਚ ਤਰਲ ਪਾਣੀ ਦੀ ਇੱਕ ਟਰੇ ਰੱਖ ਕਰਨ ਦੀ ਲੋੜ ਹੈ.
"
"The children's grandmother and great-grandmother were seriously injured in the crash.
","ਇਸ ਹਾਦਸੇ 'ਚ ਕੁੜੀ ਦੀ ਭਰਜਾਈ ਅਤੇ ਭਰਾ ਗੰਭੀਰ ਰੂਪ 'ਚ ਜ਼ਖ਼ਮੀ ਹੋ ਗਏ।
"
"The name of the sisters' grandmother
","ਵੱਡੀ ਭੈਣ ਦੇ ਨਾਮ
"
"This is my 3rd great grandmother's sister.
","ਇਹ ਤੀਜੀ ਮੇਰੀ ਮਾਸੀ ਦੀ ਲੜਕੀ ਹੈ।
"
"When my grandmother grew up....
","ਜਦੋਂ ਮਾਂ ਨੂੰ ਵੱਡਿਆਂ ਕੀਤਾ...।
"
"You are a wonderful mother and grandmother.
","ਤੁਸੀਂ ਸ਼ਾਨਦਾਰ ਮਾਂ ਤੇ ਪਤਨੀ ਹੋ।
"
"Your sister, mother, grandmother, your friend and you are sure to like it!
","ਤੁਹਾਡਾ ਮੰਮੀ, ਦੋਸਤ, ਪਤਨੀ, ਧੀ, ਇਸ ਨੂੰ ਪਿਆਰ ਕਰੇਗਾ!
"
