eng_Latn,pan_Guru
"""""""Do you like your sister-in-law?""""""
","""""""ਕੀ ਤੁਹਾਨੂੰ ਆਪਣੀ ਛੋਟੀ ਭੈਣ ਪਸੰਦ ਹੈ?""
"
"""15 """"Look,"""" Naomi said to her, """"your sister-in-law has gone back to her people & to her gods.""
","""15 ਨਾਓਮੀ ਨੇ ਆਖਿਆ, """"ਦੇਖ ਤੇਰੀ ਭਰਜਾਈ ਆਪਣੇ ਲੋਕਾਂ ਅਤੇ ਆਪਣੇ ਦੇਵਤਿਆਂ ਕੋਲ ਵਾਪਸ ਚਲੀ ਗਈ ਹੈ।""
"
"""Naomi said, """"Look, your sister-in-law has gone back to her people and to her god.""
","""ਨਾਓਮੀ ਨੇ ਆਖਿਆ, """"ਦੇਖ ਤੇਰੀ ਭਰਜਾਈ ਆਪਣੇ ਲੋਕਾਂ ਅਤੇ ਆਪਣੇ ਦੇਵਤਿਆਂ ਕੋਲ ਵਾਪਸ ਚਲੀ ਗਈ ਹੈ।""
"
"""Naomi said, """"Look, your sister-in-law has returned to her people and her gods.""
","""ਨਾਓਮੀ ਨੇ ਆਖਿਆ, """"ਦੇਖ ਤੇਰੀ ਭਰਜਾਈ ਆਪਣੇ ਲੋਕਾਂ ਅਤੇ ਆਪਣੇ ਦੇਵਤਿਆਂ ਕੋਲ ਵਾਪਸ ਚਲੀ ਗਈ ਹੈ।""
"
"""Naomi said, """"Look, your sister-in-law has returned to her people and to her gods.""
","""ਨਾਓਮੀ ਨੇ ਆਖਿਆ, """"ਦੇਖ ਤੇਰੀ ਭਰਜਾਈ ਆਪਣੇ ਲੋਕਾਂ ਅਤੇ ਆਪਣੇ ਦੇਵਤਿਆਂ ਕੋਲ ਵਾਪਸ ਚਲੀ ਗਈ ਹੈ।""
"
"15 'Look,' said Naomi, 'your sister-in-law is going back to her people and her gods.
","""15 ਨਾਓਮੀ ਨੇ ਆਖਿਆ, """"ਦੇਖ ਤੇਰੀ ਜਿਠਾਣੀ ਆਪਣੇ ਲੋਕਾਂ ਅਤੇ ਆਪਣੇ ਦੇਵਤਿਆਂ ਕੋਲ ਵਾਪਸ ਚਲੀ ਗਈ ਹੈ।""
"
"15'Look,' said Naomi, 'your sister-in-law is going back to her people and her gods.
","""15 ਨਾਓਮੀ ਨੇ ਆਖਿਆ, """"ਦੇਖ ਤੇਰੀ ਭਰਜਾਈ ਆਪਣੇ ਲੋਕਾਂ ਅਤੇ ਆਪਣੇ ਦੇਵਤਿਆਂ ਕੋਲ ਵਾਪਸ ਚਲੀ ਗਈ ਹੈ।""
"
"A man beat his sister-in-law because of the family dispute
","ਘਰੇਲੂ ਕਲੇਸ਼ ਕਾਰਨ ਪਤੀ ਨੇ ਕੀਤਾ ਪਤਨੀ ਦਾ ਕਤਲ
"
"After that, she appeared in two Bengali films: a 13-minute short film, Suman , and a Bengali comedy, Dhanyee Meye (1971), as Uttam Kumar's sister-in-law.
","ਉਸ ਤੋਂ ਬਾਅਦ, ਉਹ ਦੋ ਬੰਗਾਲੀ ਫਿਲਮਾਂ ਵਿੱਚ ਦਿਖਾਈ ਦਿੱਤੀ ਸੀਃ ਇੱਕ 13 ਮਿੰਟ ਦੀ ਛੋਟੀ ਫ਼ਿਲਮ, ਸੁਮਨ[5], ਅਤੇ ਦੂਜੀ ਬੰਗਾਲੀ ਕਾਮੇਡੀ ਧਨਈ ਮਈ (1971), ਉੱਤਮ ਕੁਮਾਰ ਦੀ ਭਰਜਾਈ ਦੇ ਰੂਪ ਵਿੱਚ ਨਜ਼ਰ ਆਈ।
"
"Also, brother, sister-in-law and niece have also been found to be corona positive.
","ਇਸ ਦੇ ਨਾਲ ਹੀ, ਭਰਾ, ਭੈਣ ਤੇ ਭਤੀਜੀ ਵੀ ਕੋਰੋਨਾ ਪੌਜ਼ੇਟਿਵ ਪਾਏ ਗਏ ਹਨ।
"
"Army soldier shot dead, killing wife and sister-in-law
","ਫ਼ੌਜੀ ਜਵਾਨ ਦੀ ਮਾਤਾ ਤੇ ਪਤਨੀ 'ਤੇ ਹਮਲਾ ਕਰਕੇ ਜ਼ਖ਼ਮੀ ਕੀਤਾ
"
"Deepa Mehta's 1996 film 'Fire' depicts her as a lonely woman, Radha, in love with her sister-in-law.
","""ਦੀਪਾ ਮਹਿਤਾ ਦੀ 1996 ਵਿੱਚ ਆਈ ਫ਼ਿਲਮ """"ਫਾਇਰ"""" ਨੇ ਉਸ ਨੂੰ ਆਪਣੀ ਇਕੱਲੀ ਔਰਤ ਰਾਧਾ ਦੇ ਰੂਪ ਵਿੱਚ ਆਪਣੀ ਭਰਜਾਈ ਦੇ ਪਿਆਰ ਵਿੱਚ ਦਰਸਾਇਆ ਹੈ।""
"
"Deepa Mehta's 1996 film Fire depicts her as a lonely woman, Radha, in love with her sister-in-law.
","""ਦੀਪਾ ਮਹਿਤਾ ਦੀ 1996 ਵਿੱਚ ਆਈ ਫ਼ਿਲਮ """"ਫਾਇਰ"""" ਨੇ ਉਸ ਨੂੰ ਆਪਣੀ ਇਕੱਲੀ ਔਰਤ ਰਾਧਾ ਦੇ ਰੂਪ ਵਿੱਚ ਆਪਣੀ ਭਰਜਾਈ ਦੇ ਪਿਆਰ ਵਿੱਚ ਦਰਸਾਇਆ ਹੈ।""
"
"Deepa Mehta's 1996 film Fire showcased her as a lonely woman, Radha, in love with her sister-in-law.
","""ਦੀਪਾ ਮਹਿਤਾ ਦੀ 1996 ਵਿੱਚ ਆਈ ਫ਼ਿਲਮ """"ਫਾਇਰ"""" ਨੇ ਉਸ ਨੂੰ ਆਪਣੀ ਇਕੱਲੀ ਔਰਤ ਰਾਧਾ ਦੇ ਰੂਪ ਵਿੱਚ ਆਪਣੀ ਭਰਜਾਈ ਦੇ ਪਿਆਰ ਵਿੱਚ ਦਰਸਾਇਆ ਹੈ।""
"
"Deepa Mehta's 1996 film, Fire depicts her as a lonely woman, Radha, in love with her sister-in-law.
","""ਦੀਪਾ ਮਹਿਤਾ ਦੀ 1996 ਵਿੱਚ ਆਈ ਫ਼ਿਲਮ """"ਫਾਇਰ"""" ਨੇ ਉਸ ਨੂੰ ਆਪਣੀ ਇਕੱਲੀ ਔਰਤ ਰਾਧਾ ਦੇ ਰੂਪ ਵਿੱਚ ਆਪਣੀ ਭਰਜਾਈ ਦੇ ਪਿਆਰ ਵਿੱਚ ਦਰਸਾਇਆ ਹੈ।""
"
"His brother-in-law and sister-in-law were seriously injured in the incident.
","ਇਸ ਹਾਦਸੇ 'ਚ ਕੁੜੀ ਦੀ ਭਰਜਾਈ ਅਤੇ ਭਰਾ ਗੰਭੀਰ ਰੂਪ 'ਚ ਜ਼ਖ਼ਮੀ ਹੋ ਗਏ।
"
"I would give full credits to my husband and my sister-in-law who support me even when they do not agree with my random decisions.
","ਮੈਨੂੰ ਮੇਰੇ ਪਤੀ ਨੂੰ ਪੂਰੇ ਮਾਣ ਅਤੇ ਮੇਰੀ ਭੈਣ-ਵਿੱਚ-ਕਾਨੂੰਨ, ਜਿਸ ਨੇ ਮੈਨੂੰ ਨੂੰ ਸਹਿਯੋਗ ਦੇਣ ਸੀ, ਜਦ ਵੀ ਉਹ ਮੇਰੇ ਬੇਤਰਤੀਬੇ ਫੈਸਲੇ ਨਾਲ ਸਹਿਮਤ ਨਾ ਕਰੋ.
"
"My sister-in-law died not quite a month ago.
","ਮੇਰੇ ਦਾਦੇ ਮਰੇ ਨੂੰ ਹਾਲੇ ਬਹੁਤੇ ਮਹੀਨੇ ਨਹੀਂ ਸੀ ਬੀਤੇ।
"
"My sister-in-law helped them.
","ਮੇਰੀਆਂ ਭੈਣਾਂ ਨੇ ਉਹਨਾਂ ਦਾ ਸਾਥ ਨਿਭਾਇਆ।
"
"My sister-in-law would love these ideas!
","ਮੇਰੇ ਕੁੱਤੇ ਇਨ੍ਹਾਂ ਵਿਚਾਰਾਂ ਨੂੰ ਪਿਆਰ ਕਰਨਗੇ!
"
"Previous to this, she had regarded in two bengali movies: a thirteen-minute brief film, suman, and a bengali comedy dhanni meye (1971), as uttam kumar's sister-in-law.
","ਉਸ ਤੋਂ ਬਾਅਦ, ਉਹ ਦੋ ਬੰਗਾਲੀ ਫਿਲਮਾਂ ਵਿੱਚ ਦਿਖਾਈ ਦਿੱਤੀ ਸੀਃ ਇੱਕ 13 ਮਿੰਟ ਦੀ ਛੋਟੀ ਫ਼ਿਲਮ, ਸੁਮਨ[5], ਅਤੇ ਦੂਜੀ ਬੰਗਾਲੀ ਕਾਮੇਡੀ ਧਨਈ ਮਈ (1971), ਉੱਤਮ ਕੁਮਾਰ ਦੀ ਭਰਜਾਈ ਦੇ ਰੂਪ ਵਿੱਚ ਨਜ਼ਰ ਆਈ।
"
"So sad to read about your sister-in-law's passing.
","ਬਹੁਤ ਹੀ ਦੁੱਖ ਹੋਇਆ ਤੁਹਾਡੀ ਚਚੇਰੀ ਭੈਣ ਬਾਰੇ ਪੜ੍ਹ ਕੇ ।
"
"The perverted sister-in-law wants the cock in her mouth
","ਵਿਗੜੀ ਹੋਈ ਭਰਜਾਈ ਉਸ ਦੇ ਮੂੰਹ ਵਿੱਚ ਕੁੱਕੜ ਚਾਹੁੰਦੀ ਹੈ
"
"Today is my sister-in-law, Aliesha's birthday.
","ਅੱਜ ਉਨ੍ਹਾਂ ਦੀ ਛੋਟੀ ਬੇਟੀ ਆਲੀਸ਼ਾ ਦਾ ਜਨਮ ਦਿਨ ਹੈ ।
"
"Which one is the mother and which one is the sister-in-law?
","ਕਿਸ ਦੀ ਮਾਂ ਹੈ ਅਤੇ ਕੀਹਦਾ ਪਿਓ ਕਿਹੜੇ ਇਨਸਾਨ ਦੀ ਵਹੁਟੀ ਹੈ?
"
"sister-in-law (the sister of your husband)
","ਪਤੀ ਦੀ ਭੂਆ (ਪਤੀ ਦੇ ਪਿਓ ਦੀ ਭੈਣ)
"
"Police have registered a case against the brother-in-law, sister-in-law of the victim and others.
","ਇਸ ਸਬੰਧੀ ਪੁਲਸ ਵੱਲੋਂ ਸੱਸ, ਸਹੁਰਾ ਸਮੇਤ ਹੋਰਨਾਂ 'ਤੇ ਕੇਸ ਦਰਜ ਕਰ ਦਿੱਤਾ ਹੈ।
"
"She is a daughter-in-law, wife, sister-in-law, mother.
","ਉਹ ਇਕ ਧੀ, ਭੈਣ, ਬਹੂ, ਪਤਨੀ ਤੇ ਇਕ ਮਾਂ ਵੀ ਹੈ।
"
"The father of the alleged rapist told police that his alcoholic son had tried to rape his sister-in-law again.
","ਮਾਰਕੁੱਟ ਕਰਨ ਵਾਲੇ ਮੁਲਜ਼ਮ ਨੇ ਪੁਲਿਸ ਨੂੰ ਕਿਹਾ ਕਿ ਨੌਜਵਾਨ ਨੇ ਆਪਣੀ ਚਾਚੀ ਨਾਲ ਜਬਰ ਜਨਾਹ ਕਰਨ ਦੀ ਕੋਸ਼ਿਸ਼ ਕੀਤੀ ਸੀ।
"
"A case has been registered against the woman's husband, father-in-law, mother-in-law and sister-in-law, the police added.
","ਪੁਲੀਸ ਨੇ ਇਸ ਮਾਮਲੇ ਵਿੱਚ ਪਤੀ, ਸੱਸ, ਚਾਚਾ ਸਹੁਰਾ, ਜੇਠ ਅਤੇ ਜਠਾਣੀ ਖਿਲਾਫ਼ ਕੇਸ ਦਰਜ ਕਰ ਲਿਆ ਹੈ।
"
"Her mother and sister-in-law were seriously sick.
","ਉਸ ਨੂੰ ਗੰਭੀਰ ਜ਼ਖਮੀ ਹਾਲਤ ‘ਚ ਦੇਖ ਕੇ ਉਸ ਦੀ ਮਾਂ ਅਤੇ ਭੈਣਾਂ ਕੰਬ ਗਈਆਂ।
"
"Both Hardik’s wife Natasa Stankovic and his sister-in-law Pankhuri Sharma reacted to the post by dropping a few emojis.
","ਹਾਰਦਿਕ ਦੀ ਇਸ ਪੋਸਟ 'ਤੇ ਪਤਨੀ ਨਤਾਸ਼ਾ ਸਟੇਨਕੋਵਿਕ ਨੇ ਵੀ ਕੁਮੈਂਟ ਕੀਤਾ।
"
"Among those killed were her mother, father, two brothers, sister-in-law, nephews and nieces, including a two-month-old.
","ਮ੍ਰਿਤਕਾਂ ਵਿੱਚ ਲਾੜੇ ਦੀ ਮਾਂ, ਦੋ ਮਾਸੀਆਂ, ਭਰਾ ਤੇ ਮਸੇਰੀ ਭੈਣ ਸ਼ਾਮਲ ਹਨ।
"
"Cricketer Yuvraj Singh, mother Shabnam Singh and brother Zorawar Singh were booked under domestic violence by sister-in-law Akanksha Sharma.
","ਯੁਵਰਾਜ ਦੀ ਮਾਂ ਸ਼ਬਨਮ ਸਿੰਘ ਵਲੋਂ ਛੋਟੀ ਨੂੰਹ ਤੇ ਜ਼ੋਰਾਵਰ ਸਿੰਘ ਦੀ ਪਤਨੀ ਅਕਾਂਕਸ਼ਾ ਸ਼ਰਮਾ ਖਿਲਾਫ਼ ਮਾਣਹਾਨੀ ਦਾ ਕੇਸ ਪਾਇਆ ਗਿਆ ਸੀ।
"
"Actor Neetu Kapoor, wife of late actor Rishi Kapoor and Rajiv Kapoor's sister-in-law, shared a statement on Instagram.
","' ਮਰਹੂਮ ਅਦਾਕਾਰ ਰਿਸ਼ੀ ਕਪੂਰ ਦੀ ਪਤਨੀ ਨੀਤੂ ਕਪੂਰ ਨੇ ਵੀ ਸੋਸ਼ਲ ਮੀਡੀਆ ਰਾਹੀਂ ਰਾਜੀਵ ਕਪੂਰ ਦੀ ਮੌਤ ਦੀ ਪੁਸ਼ਟੀ ਕੀਤੀ ਹੈ।
"
"’ But if the man doesn’t want to marry his sister-in-law, she must go to the elders at the city gate and say, ‘My brother-in-law refuses to preserve his brother’s name in Israel.
","""ਪਰ ਜੇਕਰ ਉਹ ਮਨੁੱਖ ਆਪਣੇ ਭਰਾ ਦੀ ਪਤਨੀ ਨਾਲ ਵਿਆਹ ਕਰਨਾ ਨਾ ਚਾਹੇ, ਤਾਂ ਉਹ ਇਸਤਰੀ ਫਾਟਕ ਉੱਤੇ ਬਜ਼ੁਰਗਾਂ ਕੋਲ ਜਾ ਕੇ ਆਖੇ, """"ਮੇਰੇ ਪਤੀ ਦਾ ਭਰਾ ਆਪਣੇ ਭਰਾ ਦਾ ਨਾਮ ਇਸਰਾਏਲ ਵਿੱਚ ਕਾਇਮ ਰੱਖਣ ਤੋਂ ਮੁੱਕਰਦਾ ਹੈ ।""
"
"Bollywood actor Soha Ali Khan has often been identified as the daughter of Sharmila Tagore, or the sister of Saif Ali Khan, or the sister-in-law of Kareena Kapoor Khan.
","ਬਾਲੀਵੁੱਡ ਸਟਾਰ ਸੈਫ ਅਲੀ ਖ਼ਾਨ ਦੀ ਧੀ ਸਾਰਾ ਅਲੀ ਖ਼ਾਨ ਅਕਸਰ ਚਰਚਾ ਵਿੱਚ ਰਹਿੰਦੀ ਹੈ।
"
"Speaking to media, the victim's sister-in-law said, ""First of all, police should clarify whose body was cremated that night.
","ਮੀਡੀਆ ਨਾਲ ਗੱਲਬਾਤ ਕਰਦਿਆਂ ਮ੍ਰਿਤਕਾ ਦੀ ਭਰਜਾਈ ਨੇ ਕਿਹਾ, 'ਸਭ ਤੋਂ ਪਹਿਲਾਂ ਪੁਲਿਸ ਨੂੰ ਸਪੱਸ਼ਟ ਕਰਨਾ ਚਾਹੀਦਾ ਹੈ ਕਿ ਉਸ ਰਾਤ ਕਿਸਦੀ ਲਾਸ਼ ਦਾ ਅੰਤਿਮ ਸੰਸਕਾਰ ਕੀਤਾ ਗਿਆ ਸੀ।
"
"Jagmeet, who represents Burnaby South in British Columbia in the House of Commons, has been living with his brother, sister-in-law and parents in Brampton, a neighbouring town in the GTA.
","ਜਗਮੀਤ, ਜੋ ਹਾਊਸ ਆਫ ਕਾਮਨਜ਼ ’ਚ ਬ੍ਰਿਟਿਸ਼ ਕੋਲੰਬੀਆ ’ਚ ਬਰਨਬੇ ਦੱਖਣ ਦੀ ਨੁਮਾਇੰਦਗੀ ਕਰਦਾ ਹੈ, ਆਪਣੇ ਭਰਾ, ਸੱਸ-ਸਹੁਰੇ ਅਤੇ ਮਾਪਿਆਂ ਨਾਲ ਬਰੈਂਪਟਨ ’ਚ ਰਹਿ ਰਿਹਾ ਹੈ, ਜੋ ਇੱਕ ਨੇੜਲਾ ਸ਼ਹਿਰ ਹੈ।
"
"A woman plays the role of a daughter, mother, wife, daughter-in-law, sister-in-law and so on.
","ਇਕ ਔਰਤ ਪਤਨੀ, ਮਾਂ, ਧੀ, ਨੂੰਹ ਤੇ ਹੋਰ ਕਈ ਤਰਾਂ ਦੇ ਰੋਲ ਨਿਭਾਉਂਦੀ ਹੈ।
"
"Apart from Ibrahim Ali Khan, mom Sharmila Tagore, sister Soha Ali Khan, brother-in-law Kunal Khemu and sister-in-law Karisma Kapoor also came to wish Saif on his special day.
","ਇਸ ਖਾਸ ਮੌਕੇ ‘ਤੇ ਸੈਫ ਅਲੀ ਖਾਨ ਦੀ ਭੈਣ ਸੋਹਾ ਅਲੀ ਖਾਨ, ਸੋਹਾ ਅਲੀ ਖਾਨ, ਉਸ ਦਾ ਪਤੀ ਕੁਨਾਲ ਖੇਮੂ, ਕਰਿਸ਼ਮਾ ਕਪੂਰ, ਕਰਿਸ਼ਮਾ ਦੀ ਬੇਟੀ ਸਮਾਇਰਾ, ਸੈਫ ਦਾ ਬੇਟਾ ਇਬਰਾਹਿਮ ਸਾਰੇ ਸ਼ਾਮਲ ਹੋਏ।
"
"A case has been registered against the woman's husband, father-in-law, mother-in-law and sister-in-law, the police added.
","ਪੁਲਿਸ ਨੇ ਉਕਤ ਲੜਕੀ ਤੋਂ ਇਲਾਵਾ ਉਸ ਦੇ ਮਾਪਿਆਂ, ਭਰਾ ਅਤੇ ਨਾਨੀ 'ਤੇ ਮਾਮਲਾ ਦਰਜ ਕੀਤਾ ਹੈ।
"
"Bollywood actress Soha Ali Khan is having a nice time with her husband Kunal Khemu, brother Saif Ali Khan and sister-in-law Kareena Kapoor Khan in the Maldives.
","ਇਨ੍ਹੀਂ ਦਿਨੀਂ ਬਾਲੀਵੁੱਡ ਅਦਾਕਾਰਾ ਕਰੀਨਾ ਕਪੂਰ ਖਾਨ ਆਪਣੇ ਅਤੇ ਅਭਿਨੇਤਾ ਪਤੀ ਸੈਫ ਅਲੀ ਖਾਨ ਅਤੇ ਦੋਵੇਂ ਬੇਟਿਆਂ ਨਾਲ ਮਾਲਦੀਵ ਵਿੱਚ ਛੁੱਟੀਆਂ ਮਨਾ ਰਹੀ ਹੈ।
"
