eng_Latn,pan_Guru
"""""""He is not your uncle!""""""
",""""""" ਉਹ ਤੁਹਾਡਾ ਸਮੀਹਾ ਨਹੀਂ ਹੈ!""
"
"""""""Myself, my brother and my uncle Nick, we broke this cycle,"""" he said.""
",""""""" ਮੈਂ ਖੁਦ, ਮੇਰੇ ਭਰਾ ਅਤੇ ਮੇਰੇ ਅੰਕਲ ਨਿਕ, ਅਸੀਂ ਇਸ ਚੱਕਰ ਨੂੰ ਤੋੜ ਦਿੱਤਾ, ਅਤੇ#8221 ਉਸਨੇ ਕਿਹਾ.""
"
"""""""Saul's uncle said, """"Please tell me what Samuel said to you.""""""""""
","""ਸ਼ਾਊਲ ਦੇ ਚਾਚੇ ਨੇ ਸਾਨੂੰ ਕਿਹਾ, """"ਕਿਰਪਾ ਕਰਕੇ ਮੈਨੂੰ ਦੱਸ ਕਿ ਤੈਨੂੰ ਸਮੂਏਲ ਨੇ ਕੀ ਕਿਹਾ ਹੈ?""
"
"""""""Saul's uncle said, 'Please tell me what Samuel said to you.'""
","""ਸ਼ਾਊਲ ਦੇ ਚਾਚੇ ਨੇ ਸਾਨੂੰ ਕਿਹਾ, """"ਕਿਰਪਾ ਕਰਕੇ ਮੈਨੂੰ ਦੱਸ ਕਿ ਤੈਨੂੰ ਸਮੂਏਲ ਨੇ ਕੀ ਕਿਹਾ ਹੈ?""
"
"""14 Now Saul's uncle asked him and his servant, """"Where have you been?""""""
","""14 ਸ਼ਾਊਲ ਦੇ ਚਾਚੇ ਨੇਉਸਨੂੰ ਅਤੇ ਉਸਦੇ ਸੇਵਕ ਨੂੰ ਪੁਛਿਆ, """"ਤੁਸੀਂ ਇੰਨੇ ਦਿਨਾਂ ਤੋਂ ਕਿਥੇ ਸੀ?""
"
"""14 Saul's uncle asked Saul and his servant, """"Where have you been?""""""
","""14 ਸ਼ਾਊਲ ਦੇ ਚਾਚੇ ਨੇਉਸਨੂੰ ਅਤੇ ਉਸਦੇ ਸੇਵਕ ਨੂੰ ਪੁਛਿਆ, """"ਤੁਸੀਂ ਇੰਨੇ ਦਿਨਾਂ ਤੋਂ ਕਿਥੇ ਸੀ?""
"
"""15 Saul s uncle said: """"Please tell me what Samuel said to you.""""""
","""15 ਸ਼ਾਊਲ ਦੇ ਚਾਚੇ ਨੇ ਸਾਨੂੰ ਕਿਹਾ, """"ਕਿਰਪਾ ਕਰਕੇ ਮੈਨੂੰ ਦੱਸ ਕਿ ਤੈਨੂੰ ਸਮੂਏਲ ਨੇ ਕੀ ਕਿਹਾ ਹੈ?""
"
"""15 Saul's uncle said, """"Please tell me what Samuel said to you.""""""
","""15 ਸ਼ਾਊਲ ਦੇ ਚਾਚੇ ਨੇ ਸਾਨੂੰ ਕਿਹਾ, """"ਕਿਰਪਾ ਕਰਕੇ ਮੈਨੂੰ ਦੱਸ ਕਿ ਤੈਨੂੰ ਸਮੂਏਲ ਨੇ ਕੀ ਕਿਹਾ ਹੈ?""
"
"""15 Saul's uncle said, """"Please tell me what Samuel told you.""""""
",""""""" 15 ਸ਼ਾਊਲ ਦੇ ਚਾਚੇ ਨੇ ਸਾਨੂੰ ਕਿਹਾ, """"ਕਿਰਪਾ ਕਰਕੇ ਮੈਨੂੰ ਦੱਸ ਕਿ ਤੈਨੂੰ ਸਮੂਏਲ ਨੇ ਕੀ ਕਿਹਾ ਹੈ?""
"
"""15 Saul's uncle said, """"Tell me what Samuel said to you.""""""
","""15 ਸ਼ਾਊਲ ਦੇ ਚਾਚੇ ਨੇ ਸਾਨੂੰ ਕਿਹਾ, """"ਕਿਰਪਾ ਕਰਕੇ ਮੈਨੂੰ ਦੱਸ ਕਿ ਤੈਨੂੰ ਸਮੂਏਲ ਨੇ ਕੀ ਕਿਹਾ ਹੈ?""
"
