eng_Latn,tam_Taml
"""""""Did you hear, aunt?""
","""""""ஏங்க, மாமா சொல்வதைக் கேட்டீர்களா?""
"
"""""""Did your aunt write that?""""""
","""""""அண்ணா எழுதியது?""
"
"""""""Don't make things harder for your aunt, okay?""
",""""""" அண்ணியை ரொம்ப கஷ்டப் படுத்தக் கூடாது. சரியா. . ?""
"
"""""""Don't talk back to your aunt!""""""
","""""""உன் மாமா பேச்சே பேசாதே !""
"
"""""""Don't worry, she's at my aunts house.""
",""" """"பயப்படாதீங்க. அது என் பெண்டாட்டி வீட்டுக்கு பக்கம் தான்.""
"
"""""""Don't you know?""""asked my aunt.""
","""உங்களுக்கு தெரியாதா மாமா """" ன்னு கேட்டா.""
"
"""""""How can you say that, aunt?""""""
","""""""அதை எப்படி மாமா நீங்க சொல்வீங்க?""
"
"""""""I am come to see my aunt.""
","""""""அண்ணியைப் பார்க்க வந்தேன்.""
"
"""""""I came here to visit my aunt.""
","""""""இந்த வீட்டு மாமாவை பாக்க வந்திருக்கேன்.""
"
"""""""I came over to see my aunt and uncle.""""""
","""""""அண்ணாச்சியையும் உங்களையும்தான் பார்க்க வந்தேன்.""
"
"""""""I don't have an uncle, or an aunt.""
","""""""என்னை இல்லை மாமா, குந்தவியோட மகனை.""
"
"""""""I forgive you, my aunt.""
","""""""என்னை மன்னிச்சுடு மாமா.""
"
"""""""I haven't heard from my aunt.""
","""""""நான் மாமா கிட்ட எதுமே கேட்கலை.""
"
"""""""I heard a lot about him from my mother and my aunts.""""""
","""""""என் அம்மாவும் பெரியவர்களும் சொல்லிச் சொல்லி நிறையவே அவரைப் பற்றித் தெரிந்திருக்கிறேன்.""
"
"""""""I know your aunt!""
","""""""உங்க மாமா ஊடு எனக்குத் தெரியுமே!""
"
"""""""I know your aunt.""
","""""""உன் மாமாவை எனக்குத் தெரியும்.""
"
"""""""I like my aunt.""
","""""""எனக்கு பிடிச்சிருக்கு மாமா.""
"
"""""""I like your aunt, too.""
","""""""எனக்கும் உங்க மாமாவை ரொம்ப பிடிக்கும்.""
"
"""""""Into my great aunt's house?""
","""""""பெரிய மாமா வீட்டு பக்கத்துல?""
"
"""""""It's not just her aunt.""
","""""""அது மட்டுமில்ல அண்ணா.""
"
"""""""Let go of your aunt.""
","""""""அந்த மாமாவை விட்டுருங்க.""
"
"""""""My aunt wanted to kill me for years.""
","""""""என் அம்மா, பல வருடங்களாக கொலை செய்யத் திட்டமிட்டிருந்தார்.""
"
"""""""My aunt works in a marketing company.""
","""""""என் மாமா ஒரு கம்பெனியிலே ஒர்க் பண்றார்.""
"
"""""""No, dear aunt, it is not so.""
","""""""இல்லை மாமா, இது அப்படி இல்லை.""
"
"""""""No, no, that's my aunt's house.""
","""""""இல்ல மாமா. . அது அப்பா வாழ்ந்த வீடு.""
"
"""""""No, that's my aunt""""""
","""""""இல்லை மாமா இவ்ளோதான் மாமா""""""
"
"""""""Oh, I don't mean that, aunt!""
","""""""அதற்காகச் சொல்லவில்லை, அண்ணா!""
"
"""""""Oh, aunt, I don't want to be here.""""""
","""""""இல்ல மாமா எனக்கு அது இங்க இருக்குறதுல விருப்பமில்ல.""
"
"""""""Oh, my aunt is not all that.""
","""""""அண்ணா அதெல்லாம் இல்ல.""
"
"""""""Oh, my great aunt!""
","""""""ஐயோ அண்ணா !""
"
"""""""So are we going to your aunt's house?""""""
","""""""இப்போவாச்சும் நாம உங்க மாமா வீட்டுக்கு போய் பேசட்டுமா வரு?""
"
"""""""So then you're my aunt?""""""
","""""""அப்போ நீங்க மாமா?""
"
"""""""So, you're my aunt?""
","""""""அப்போ நீங்க மாமா தானே?""
"
"""""""That is not all, aunt.""
","""""""அப்படியெல்லாம் ஏதும் இல்ல மாமா.""
"
"""""""This is your aunt and sister?""
","""""""இவுக தான் உன் அண்ணனும், அண்ணியுமா?""
"
"""""""What are you talking about, aunt?""""""
",""""""" என்ன மாமா பேசற நீ. . ?""
"
"""""""What are you thinking of, aunt?""""""
","""""""என்ன யோசனை, மாமா?""
"
"""""""What can I do, aunt?""
","""""""நான் என்ன செய்துவிட முடியும் ஆண்ட்டி?""
"
"""""""What did the aunt say?""
","""""""அண்ணா என்ன சொன்னாரு?""
"
"""""""What did you give your aunt?""""""
","""""""நீ அந்த தாத்தாவுக்கு என்ன கொடுத்தாய்?""
"
"""""""What do I call your aunt?""
","""""""எதுக்கு மாமா கூப்பிட்ட?""
"
"""""""What does aunt think?""""""
",""" """" என்ன மாமா யோசிக்கிற?""
"
"""""""What does your aunt look like?""""""
","""""""என்ன அண்ணா அப்படி பார்க்கிற . . ?""
"
"""""""What else did my aunt say?""""""
","""""""வேறு என்னவெல்லாம் சொன்னாங்க அண்ணா?""
"
"""""""What else should I do, aunt?""
","""""""நான் வேற என்ன மாமா பண்ணுவேன்.""
"
"""""""What happened then, aunt?""""""
",""""""" அப்பறம் என்ன ஆச்சு மாமா ?""
"
"""""""What happened to her aunt?""""""
","""""""அண்ணா என்ன ஆயிற்று?""
"
"""""""What is the matter, aunt?""
","""""""அது என்ன விசயம், அண்ணாச்சி?""
"
"""""""Where did my aunt go?""""""
","""""""அண்ணா எங்கே போயிட்டார் அக்கா?""
"
"""""""Where to aunt?""""""
","""""""எந்த இடம் மாமா?""
"
"""""""Who is she, aunt?""
","""""""அவள் யார், அக்கா?""
"
"""""""Who is that aunt?""""""
","""""""அது யார் மாமா?""
"
"""""""Who is your aunt?""
","""""""அது யார் உன் அண்ணாவா. . ?""
"
"""""""Who told you that, aunt?""
","""""""யார் சொன்னது மாமா?""
"
"""""""Who's the aunt?""
","""""""யார்டா அந்த ஆன்ட்டி?""
"
"""""""Why did you kill my aunt?""""""
","""ஏன் இப்படி என் மாமாவை விரட்டினாய் .""""""
"
"""""""Why do you need to visit your aunt?""
",""" """"ஏன். . உன் மாமாகிட்ட கேக்க வேண்டியதுதான?""
"
"""""""Why is my aunt talking about this?""
","""""""ஏன் மாமா இப்படி சொல்ற?""
"
"""""""Why were you going to have my aunt call me?""""""
",""""""" அடேய் என் மருமக என்னை எப்படி கூப்பிட்டா உனக்கென்ன ?""
"
"""""""Why you and my aunt hated me and my mother so much.""
","""""""நீயும் அண்ணியும் பிரிஞ்சதுக்கு நானும் மாமாவும் ஏன் பிரியணும் அண்ணா.""
"
"""""""Yes, please do call your aunt.""
",""" """"சரிண்ணா. நீ அண்ணியை அழைச்சுக்கிட்டு போ.""
"
"""""""You know your aunt?""
","'அண்ணாவை உங்களுக்குத் தெரியுமா?
"
"""""""You won't tell my aunt?""""""
","""""""அண்ணா அண்ணியிடம் சொல்ல வேண்டாமா?""
"
"""""""Your aunt does not know?""""""
","""""""அண்ணாக்கு தெரியுமாணா. . ?""
"
"""""""Your aunt is calling me.""
","""""""உன்னை மாமா கூப்பிடுறாங்க.""
"
"""""""Your aunt is in the hospital.""
","""""""உங்க மாமா கான்ஸ்டபில்தான்.""
"
"""""""Your aunt was wrong.""
","""""""உன் மாமா தவறிட்டாராம்.""
"
"""0 Replies to """"Fucking my aunt""""""
","""0 Response to """"அண்ணி என் சுண்ணியை புடுச்சால் """"""
"
"""After seeing the video, broadcast by Britain's Channel 4, Ms. Shoba's aunt Rangini Ravi, a Toronto nurse, was """"100 per cent sure she was executed,"""" and said an international investigation was needed.""
","""சனல் 4 தொலைக்காட்சி ஒளிபரப்பிய இந்தக் காணொலியைப் பார்த்த பின்னர், ரொறன்ரோவில் தாதியாகப் பணியாற்றும் சோபாவின் தாயின் சகோதரியான ரஞ்சினி ரவி, """"அவள் படுகொலை செய்யப்பட்டுள்ளாள் என்பது நூறு வீதம் சரியானது.""
"
"""I don't have an aunt.""""""
","""எனக்கு திராணி இல்லை அம்மை""""""
"
"""I don't think your aunt is, though.""""""
","'ஆனால் உன் அண்ணா அப்படி இல்லை என்று நினைக்கிறேன்'.
"
"""My mother and maternal aunt then brought me home,"""" she added.""
","""பின்னா் எனது மனைவியும் எனது அம்மாவும் அந்த இடத்துக்கு வந்து என்னை வீட்டுக்கு அழைத்துச் சென்றனா்""""- என்று அவர் தனது சாட்சியத்தில் தெரிவித்தா்ா.""
"
"""That's your aunt!""""""
","""""""இவர்தான் உன் மாமா!""
"
"""The aunt asked, """"How much is the rent for this place?""""""
","""கேட்டான், """"இந்த வீட்டுக்கு எவ்வளவு வாடகை தர்றே?""
"
"""what is a playboy magazine with aunt without clothes """"Playboy"""" (Russian """"The Shed"""") a magazine for men, published from 1953 by Hugh Hefner and his colleagues, who grew up in the publishing house Playboy Enterprises, ...""
","""1953 ஆம் ஆண்டு முதல் ஹக் ஹெஃப்னெர் மற்றும் அவரது சகாக்களால் வெளியிடப்பட்ட ஆண்களுக்கான """"பிளேபாய்"""" (ரஷ்ய """"ரேக்"""") பத்திரிகை, ஆடைகள் இல்லாத ஒரு பிளேபாய் இதழ் என்ன?""
"
"'My aunt doesn't know you.
","""""""அண்ணை எனக்கு உங்களைத் தெரியாது.""
"
"(Margaret's paternal aunt, Margaret of Burgundy, supported Perkin Warbeck's conspiracy, hoping to restore the Yorkists to power.)
","(மார்கரெட் தந்தையான அன்ட், பர்கண்டியின் மார்கரெட், பெர்கின் வார்பெக்கின் சதித்திட்டத்தை ஆதரித்தார், யார்க்ஷியர்களை அதிகாரத்திற்கு மீட்டெடுப்பதாக நம்பினார்).
"
"(My aunt has just died.
","(என் மகள் இப்பொழுதுதான் இறந்தாள்.
"
"(a) His aunt. (b) His mother. (c) His father. (d) His grandmother.
","A) மாமா (அ) சித்தப்பா B) தந்தை C) மாமா (அ) பெரியப்பா D) அவரே
"
"All of my uncles and aunts.
","எல்லாம் என் மாமா பசங்களும் பொண்ணுங்களும் தான்.
"
"Anna's aunt said with a laugh.
","அண்ணா நமுட்டு சிரிப்புடன் சொன்னார்.
"
"Aren't you going to ask your aunt?
","நீங்க கேட்க கூடாதா அண்ணியை?
"
"Birthday card for my aunt's 60th birthday
","அண்ணாகண்ணன் புகைப்படங்கள்ஃ என் அம்மாவின் 60ஆவது பிறந்த நாள் விழா
"
"Both grow up to be uncles and aunts.
","இருவரும் மாமன், மச்சானாக வளர்கின்றனர்.
"
"Didn't you have a mother, sister or aunt?
","உனக்கு அம்மா. ,அக்கா. ,மகள். , இல்லையா?
"
"Don't say like that, aunt!
","இப்படியெல்லாம் பேசாதே, அண்ணா!
"
"Don't say that, aunt.
","இப்படி சொல்லாதீங்க ஆன்ட்டி.
"
"Everyone should have an aunt like you.
","உங்கள் மாமனாரைப் போல எல்லாருக்கும் கிடைக்கவேண்டும் .
"
"Finally, my aunt said.
","கடைசியில் மாமா சொன்னார்.
"
"Grandparents, uncles, aunts and their children live together in the same house.
","தாத்தா, பாட்டி, பிள்ளைகள், மருமக்கள், பேரன், பேத்திகள் என அனைவரும் ஒன்றாக ஒரே வீட்டில் அமர்ந்திருப்பார்கள்.
"
"He didn't say anything, aunt.
","அவள் ஒன்றும் சொல்லவில்லைடா அண்ணா.
"
"He met his aunt and asked for forgiveness.
","சாணக்கியரை சந்தித்து மன்னிப்பு வேண்டினான்.
"
"He needed to talk to his aunt about this.
","இதைப் பற்றி மாமாவிடம் பேசவேண்டும் என்று அங்கிருந்து சென்றுவிட்டாள்.
"
"He then heard his aunt's voice.
","அந்த கணம் தன் மாமாவின் குரல் கேட்டது.
"
"He took me to my aunt's house.
","அப் பெண்மணியின் வீட்டிற்கு என்னை அவர் அழைத்துச் சென்றார்.
"
"He was with his aunt and uncle.
","அவன் அக்காவும் உடன் மாமாவும் வந்திருந்தார்கள்.
"
"Her aunt lived there.
","அங்கேதான் மாமாவும் வாழ்ந்தார்.
"
"Her aunt was also injured.
","அவரது மாமாவும் காயமடைந்தார்.
"
"Hey, aunt, today is your birthday.
","அண்ணா இன்று உன் பிறந்தநாள்.
"
"His aunt and uncle raised him.
","இவரது மாமாவும் சித்தப்பாவும் இவரை வளர்த்தனர்.
"
"His aunt has no children.
","மாமாவுக்கு பிள்ளைகள் கிடையாது.
"
"His aunt's eyes were red with crying.
","அண்ணியின் கண்கள் அழுது சிவந்திருந்தது.
"
"I am a daughter and an aunt.
","நானும் மாமா மகள்.
"
"I am a little annoyed at my aunt.
","எனக்கு மாமா மேல கொஞ்சம் கோபம்.
"
"I am with my aunt.
","நான் அண்ணாவுடன் இருக்கிறேன்.
"
"I asked my aunt why this was happening to me.
","எனக்கு ஏன் இவ்வாறு நிகழ்கிறது என்று என் அப்பாவிடம் கேட்டேன்.
"
"I call my aunt every day.
","மாமாகிட்ட தினமும் கேப்பேன்.
"
"I did this at my aunt's house.
","இது அக்கா வீட்டில் செய்ய தெரிஞ்சிகிட்டேன்.
"
"I don't know if it was before or after the arrival of her aunts.
","இது குந்தி மருமகளா வருவதற்கு முன்பு அல்லது பின்பு என்று தெரியவில்லை.
"
"I don't know your aunt.
","அப்பொழுது உங்க அண்ணியை எனக்கு தெரியாது.
"
"I don't know, aunt.
","எனக்குத் தெரியாது மாமா.
"
"I don't like that aunt.
","அந்த தம்பி பிடிக்கவேயில்லை எனக்கு.
"
"I don't want my aunt.
","எனக்கு வேண்டாம் மாமா இவரு.
"
"I had seen her aunt and uncle several times.
","பலமுறை அக்கவையும் மாமாவையும் பார்க்க வந்திருக்கின்றேன்.
"
"I have 34 cousins, and 15 aunts and uncles.
","எனக்கு 34 பேரன் பேத்திகள், 75 கொள்ளு பேரன் பேத்திகள் உள்ளனர்.
"
"I know your aunt.
","உன் மாமாவை எனக்குத் தெரியும்.
"
"I looked at my aunt in amazement.
","ஏக்கத்துடன் மாமாவை ஏறிட்டுப் பார்த்தேன்.
"
"I looked at my aunt puzzled.
","ஏக்கத்துடன் மாமாவை ஏறிட்டுப் பார்த்தேன்.
"
"I never asked my aunt about it.
","ஒரு முறை கூட நான் அது பற்றி அண்ணியிடம் கேட்டதில்லை.
"
"I saw all my cousins, aunts and uncles.
","அண்ணியின் முலைகள், தொடைகள், சூத்து என்று எல்லாவற்றையும் பார்த்தேன்.
"
"I saw my mother and aunt.
","அம்மாவையும் மாமாவையும் முறைத்துப் பார்த்தேன்.
"
"I should leave for my aunt's home immediately.
",". எனக்கு உடனே கிளம்பணும், அண்ணி வீட்டுக்கு.
"
"I slipped into my aunt's room.
","என் அக்காவின் அறைக்குள் போன நான் திகைத்தேன்.
"
"I stayed at my aunt's house.
",". அண்ணன் வீட்டில் தங்கினேன்.
"
"I was asking my aunt what's happening.
","என்ன மாமா நடந்தது என்று நான் கேட்டேன்.
"
"I was born into a Tamil Brahmin family, an Iyenger family, and I was brought up in a typical orthodox way by my maternal grandparents, aunts and my mother.
","தமிழ் ஐயங்கார் குடும்பத்தில் பிறந்த நான், மிக பாரம்பரியமான,ஆச்சாரமான முறையில் எனது தாத்தா பாட்டியால் வளர்க்கப்பட்ட பெண்.
"
"I was born with 3 uncles and 3 aunts.
","3 அக்காக்கள், 2 அண்ணன்களுடன் பிறந்த கடைக்குட்டி நான்.
"
"I was looking for my aunt.
","அண்ணனத் தான் தேடிகிட்டு இருந்தேன்.
"
"I was talking with my aunt last night.
","நேத்து என் அய்யனோட நாயம் பேசிட்டு இருந்தங்க.
"
"I was with my 84 year old mom and 88 year old aunt.
","இது என் 78 வயது அம்மாவிற்கும் 84 வயது அப்பாவிற்கும் நடுவில் நடந்த சம்பாஷணை.
"
"I went with my aunts.
","நான் என் ·பைல்களுடன் சென்றேன்.
"
"I will never forget my aunt.
","நான் எப்போது என் மாமாவை மறக்கமாட்டேன்.
"
"I'm also an aunt!
","நானும் மாமாவா!
"
"I'm going to go see my aunt tomorrow.
","நாளைக்கு ஆன்ட்டிய பார்க்க நான் கூட்டிட்டுப் போறேன்.
"
"I'm happy to be joining the aunts club!
","பேரண்ட்ஸ் கிளபில் சேருவதில் மகிழ்ச்சி அடைகிறேன்!
"
"I'm not scared of aunt.
","நான்ஃ அண்ணா பயபட வேண்டாம்.
"
"I'm older than my aunt.
","அண்ணியை விட எனக்கு வயசு அதிகம் தான்.
"
"I've got two aunts and one uncle.
","எனக்கு இரண்டு அக்கா மற்றும் ஒரு அண்ணன்.
"
"If her mother had survived she would be her aunt's age.
","என் அம்மா ஜீவித்து இருந்திருந்தால் அவளுக்கு என் நாத்தியின் வயதிருக்கும்.
"
"In the afternoon I took him over to his aunt's house.
","ஒருநாள் மாலை அவரை அண்ணா இருந்த இல்லத்துக்கு அழைத்துச் சென்றேன்.
"
"In the evening I went to the neighbouring aunt's house.
","மதிய வேளையில் அண்ணியின் வீட்டிற்கு சென்றேன்.
"
"Istanbul Railway Museum The historical Sirkeci Station, located in the district of Eminonu in Istanbul, is the starting point of the commuter trains I landed a few stops before I visited the late Güzin aunt who lived in Samatya, until a few years ago. evening [more...]
","இஸ்தான்புல் ரயில்வே அருங்காட்சியகம் வரலாற்று Sirkeci ஒரு சில ஆண்டுகளுக்கு முன்பு என் கண்களில் வரை, நான் தாமதமாக Güzin இன்னும் Samatya, நான் பின்னர் ஒரு சில நிறுத்தங்கள் பயிற்சி கம்யூட்டர் உள்ள ஆரம்பப் புள்ளி உட்கார்ந்து என்னை பார்க்க சவாரி என்று, இஸ்தான்புல் நிலையத்தின் Eminönü மாவட்டத்தில் அமைந்துள்ள; மாலை [மேலும் . . . ]
"
"It reminded her of her aunts and her mother.
","அவரும் தன் பாட்டி, தாய்மாமாக்கள் நினைவில் மூழ்கி சொன்னார்.
"
"It's my aunt, not my sister.
","அண்ணி என்றால், எனது அண்ணி அல்ல.
"
"It's true what your aunt said.
","அண்ணா நீங்க சொன்னது உண்மை தான்.
"
"Lev 18:13 Do not have sexual intercourse with your aunt, your mother's sister, because she is your mother's close relative.
","18:13 உன் தாயினுடைய சகோதரியை நிர்வாணமாக்கலாகாது; அவள் உன் தாய்க்கு நெருங்கின இனமானவள்.
"
"Little documentation exists about his uncles, aunts and other grandparents.
","அவரது மாமாக்கள், அனட்ஸ் மற்றும் பிற தாத்தா பாட்டி பற்றி சிறிய ஆவணங்கள் உள்ளன.
"
"My aunt (Uncle's wife) passed away this morning, at 1:30 AM.
","உன்னுடைய பாட்டிம்மா (அப்பாவின் அய்யம்மா) இன்று மாலை 3:30 மணியளவில் இறந்துவிட்டார்.
"
"My aunt also lived there.
","அங்கேதான் மாமாவும் வாழ்ந்தார்.
"
"My aunt and I are going into business together.
","நானும் என்னோட மாமாவும் நொங்கு வியாபாரம் செய்யுறோம்.
"
"My aunt and I don't know English.
","எனக்கும் எங்க வீட்டுகாரருக்கும் இங்கிலீஷ் தெரியாது.
"
"My aunt came from Singapore...
","சிங்கப்பூர்ல இருந்து அந்த மாமா வந்துருக்காங்க.
"
"My aunt came home from the hospital last night.
","மாலை மருத்துவமனையில் இருந்து வீட்டுக்கு மாமா வந்தார்.
"
"My aunt did not speak for a long time.
","அண்ணாச்சி சிறிது நேரம் பேசவில்லை.
"
"My aunt didn't have job.
","அண்ணாவிற்கு வேலை கிடைக்கவில்லை.
"
"My aunt didn't know about him yet.
","அண்ணே இதுவரை இவரைப்பத்தி ஒன்னும் தெரியாம இருந்தேன்.
"
"My aunt died in 1969.
","அண்ணா செத்தது 1969ல்.
"
"My aunt doesn't read English.
","எங்க அம்மாவுக்கு இங்க்லீஸ் எல்லாம் படிக்க தெரியாது.
"
"My aunt explained what happened.
","நடந்ததை மாமா விளக்கினார்.
"
"My aunt got married at a very young age.
","என் அக்காவுக்கு சின்ன வயசுலே திருமணம் ஆனது.
"
"My aunt got up and looked at me.
","பெரிய மருமகள் என்னைப் பார்த்துவிட்டு எழுந்து வந்தாள்.
"
"My aunt had no children for many years.
","என் மருமகளுக்கு, பல ஆண்டுகளாக குழந்தை இல்லாமலிருந்தது.
"
"My aunt had the same thing done about 12 years ago.
","12 வருடங்களுக்கு முன்பு இதே போல எனது cousins சிலரும் செய்திருக்கிறார்கள்.
"
"My aunt has a large garden.
","மாமாவுக்கு அங்கு பெரிய தென்னந்தோட்டம் இருக்கிறது.
"
"My aunt has been bedridden for the last 3 years.
","எனது மாமனாரை கடந்த மூன்று வருடங்களாக பரிச்சயம்.
"
"My aunt has been deceased for many years.
","மாமா இறந்து பல வருடங்கள் ஆகிவிட்டது.
"
"My aunt introduced me to you.
","உங்களை எனக்கு அறிமுகம் செய்தது அனன்யா அக்கா.
"
