eng_Latn,tam_Taml
"""""""After I got married, I came here with my husband, his parents and a younger brother-in-law.""
","""""""எனக்கு திருமணம் ஆனதும், என் கனவர், அவருடைய பெற்றோர்கள் மற்றும் இளைய கொழுந்தனாரோடு நான் இங்கு வந்தேன்.""
"
"""""""Could I meet your brother-in-law now?""""""
","""""""எழில் நான் உன்னோட அண்ணியைப் பார்க்கலாமா. . ?""
"
"""""""He's much more than Obama's brother-in-law.""""""
","""""""அவர் ஒபாமாவின் மாமியாரைவிட மிக அதிகம்.""
"
"""""""It is the fictional story of what one brother-in-law from behind did to the family of a very big star.""
","""""""இது ஒரு பெரிய நட்சத்திரத்தின் குடும்பத்திற்கு பின்னால் இருந்து ஒரு சகோதரர் என்ன செய்தார் என்பது குறித்த கற்பனையான கதை. . """"""
"
"""""""My husband and my brother-in-law went to the colony and complained to the head of security, whom they knew, and the guard was quietly transferred.""
","""""""எனது கணவரும் எனது மைத்துனரும் காலனிக்குச் சென்று பாதுகாப்புத் தலைவரிடம் புகார் அளித்தனர், அவர்கள் அறிந்தவர்கள், காவலர் அமைதியாக மாற்றப்பட்டார்.""
"
"""""""My sister and brother-in-law came from the US.""
","""""""அண்ணனும், அண்ணியும் அமெரிக்காவிலிருந்து வர்றாங்களாம்.""
"
"""""""Oh, isn't this our brother-in-law?""
","""""""அட, அது நம்ம பிரெண்டு பேருல்ல?""
"
"""A told B, """"The girl I met yesterday was the youngest daughter of the brother-in-law of my friend's mother.""""""
","""A,B யிடம் கூறியது,""""நான் நேற்று சந்தித்த பெண் எனது நண்பனின் அம்மாவின் சகோதரரின் இளைய மகள்,எப்படி இப்பெண்""
"
"""A told B,""""The girl I met yesterday was the youngest daughter of the brother-in-law of my friend's mother.""""""
","""A,B யிடம் கூறியது,""""நான் நேற்று சந்தித்த பெண் எனது நண்பனின் அம்மாவின் சகோதரரின் இளைய மகள்,எப்படி இப்பெண்""
"
"""Do brother-in-law duty and raise seed for your brother.""""""
","""சகோதரனுக்குரிய கடமையைச் செய்து, உன் சகோதரனுக்கு வழிமரபு தோன்றச் செய்"""" என்றார்.""
"
"""Perform your duty as her brother-in-law and raise up offspring for your brother.""""""
","""சகோதரனுக்குரிய கடமையைச் செய்து, உன் சகோதரனுக்கு வழிமரபு தோன்றச் செய்"""" என்றார்.""
"
"""Similarly, we also captured his sister and brother-in-law in Syria,"""" he said in a speech at Ankara University.""
","""""""சிரியாவில் அவரது சகோதரி மற்றும் மைத்துனரையும் நாங்கள் கைது செய்தோம்"""" என்று தாயிப் எர்டோகன் அங்காரா பல்கலைக்கழகத்தில் ஓர் உரையில் கூறினார்.""
"
"1894: Kang Jeungsan started operating a village school in his brother-in-law's house.
","1894: காங் ஜியுங்சன் தனது மைத்துனரின் வீட்டில் ஒரு கிராமப் பள்ளியை இயக்கத் தொடங்கினார்.
"
"19-year-old woman alleged rape against father-in-law and brother-in-law
","18 வயது பெண் தந்தை மற்றும் சகோதரர்களால் பாலியல் பலாத்காரம் செய்ததாக குற்றச்சாட்டு
"
"Amongst other things he also appointed his own brother-in-law Aristobulus as high priest, and then not long after, had him murdered. [xxix]
","மற்றவற்றுடன் அவர் தனது சொந்த மைத்துனரான அரிஸ்டோபுலஸை உயர் பூசாரியாக நியமித்தார், பின்னர் வெகு காலத்திற்குப் பிறகு, அவரைக் கொலை செய்தார்.
"
"Anand went to help his brother-in-law at his garment factory.
","ஆனந்த், அவரது மைத்துனரின் கார்மென்ட் தொழிற்சாலைக்கு உதவியாக இருக்கச் சென்று விட்டார்.
"
"Baradar is reported to have been one of the trusted commanders of Taliban founder Mullah Omar who is also his brother-in-law.
","தலிபான் அமைப்பை நிறுவிய முல்லா உமரின் மிகவும் நம்பகமான தளபதிகளில் ஒருவராக புகழப்பட்டவர் பரதர்.
"
"Bertha Salinas instructed BBC Information Mundo that it took four days for the bodies of her sister and brother-in-law to be removed from their property.
","பிபிசி முண்டோ சேவையிடம் பேசிய பெர்தா சலினாஸ் என்பவர், தன்னுடைய சகோதரி மற்றும் அவரது கணவரின் உடலை வீட்டிலிருந்து மீட்க நான்கு நாட்கள் ஆனதாக தெரிவித்துள்ளார்.
"
"Bertha Salinas told BBC News Mundo that it took four days for the bodies of her sister and brother-in-law to be removed from their home.
","பிபிசி முண்டோ சேவையிடம் பேசிய பெர்தா சலினாஸ் என்பவர், தன்னுடைய சகோதரி மற்றும் அவரது கணவரின் உடலை வீட்டிலிருந்து மீட்க நான்கு நாட்கள் ஆனதாக தெரிவித்துள்ளார்.
"
"Buckingham Palace acknowledged that the Queen received news of her former brother-in-law's death, but they did not comment further.
","பக்கிங்ஹாம் அரண்மனை வெளியிட்டுள்ள அறிக்கையில், ராணி தனது முன்னாள் மைத்துனரின் மரணம் குறித்து அறிவிக்கப்பட்டுள்ளதாகக் கூறப்படுகிறது, இருப்பினும் அவர்கள் மேலும் கருத்து தெரிவிக்க மறுத்துவிட்டனர்.
"
"Buckingham Palace said the Queen had been informed of the death of her former brother-in-law, but made no further comment.
","பக்கிங்ஹாம் அரண்மனை வெளியிட்டுள்ள அறிக்கையில், ராணி தனது முன்னாள் மைத்துனரின் மரணம் குறித்து அறிவிக்கப்பட்டுள்ளதாகக் கூறப்படுகிறது, இருப்பினும் அவர்கள் மேலும் கருத்து தெரிவிக்க மறுத்துவிட்டனர்.
"
"Buckingham Palace said the queen had been informed of her former brother-in-law's death but did not comment further.
","பக்கிங்ஹாம் அரண்மனை வெளியிட்டுள்ள அறிக்கையில், ராணி தனது முன்னாள் மைத்துனரின் மரணம் குறித்து அறிவிக்கப்பட்டுள்ளதாகக் கூறப்படுகிறது, இருப்பினும் அவர்கள் மேலும் கருத்து தெரிவிக்க மறுத்துவிட்டனர்.
"
"But unfortunately he was murdered by his brother-in-law, Murthuza Ali in 1742. to top
","ஆனால் துரதிருஷ்டவசமாக 1742 ஆம் ஆண்டில் அவரது மைத்துனான முருசா அலியால் அவரைக் கொன்றுவிட்டு தன்னை ஆற்காடு நவாப்பாக அறிவித்துக் கொண்டார்.
"
"Congrats to my sister and my new brother-in-law.
","எனது சகோதரி மற்றும் எனது புதிய மைத்துனருக்கு வாழ்த்துக்கள்.
"
"Congratulations to my sister and to my new brother-in-law.
","எனது சகோதரி மற்றும் எனது புதிய மைத்துனருக்கு வாழ்த்துக்கள்.
"
"Did your brother-in-law help you?
","உங்கள் துணை உங்களுக்கு ஒரு உதவி செய்து விட்டாரா?
"
"Does your brother-in-law speak English?
","கனத்த தம்பி ஆங்கிலத்தில் பேசவில்லையோ?
"
"Following the uproar, the police registered cases against six people, including Anupama's parents, sister and brother-in-law.
","சர்ச்சை பூதாகாரமாக ஆனதைத்தொடர்ந்து, அனுபமாவின் பெற்றோர், சகோதரி, அவரது கணவர் உட்பட 6 பேர் மீது போலீஸார் வழக்கு பதிவு செய்தனர்.
"
"For instance, Joel Matip's grandfather and his brother-in-law Martin are also doctors.
","உதாரணமாக, ஜோயல் மேபியின் தாத்தாவும் அவருடைய மைத்துனரும் மார்ட்டும் கூட டாக்டர்கள்.
"
"He also alleged that his wife was leading an adulterous life with her brother-in-law (her sister's husband).
","அவர் தனது மனைவி தனது மைத்துனருடன் (அவரது சகோதரியின் கணவர்) விபச்சார வாழ்க்கை வாழ்வதாகவும் அவர் குற்றம் சாட்டியிருந்தார்.
"
