eng_Latn,tam_Taml
"""""""Are you my cousin Elisabeth?""""""
","""""""நீதான் என் குவின் எலிசபெத்தா?""
"
"""""""But my cousins were like, 'She just needs to pass and when she's twenty-something she will get married.""
","""""""ஆனால் என் உறவினர்கள், 'அவள் கடந்து செல்ல வேண்டும், அவள் இருபத்தி ஏதோ இருக்கும்போது அவள் திருமணம் செய்துகொள்வாள்.""
"
"""""""Did you say anything to your cousin Tod?""""""
","""""""உன் மாமன பத்தி தப்பா ஏதாவது சொல்லிட்டனா?""
"
"""""""He's just my cousin.""
","""""""அவன் என்னோட அண்ணன் மட்டும்தான்.""
"
"""""""I am grateful I got an education because a lot of my cousins got sent to Pakistan to get married, but I wish I got the chance to make fun memories at university.""""""
","""""""கல்வியைப் பெற்றதற்கு நான் நன்றியுள்ளவனாக இருக்கிறேன், ஏனென்றால் எனது உறவினர்கள் பலர் பாகிஸ்தானுக்கு திருமணம் செய்து கொள்ள அனுப்பப்பட்டனர், ஆனால் பல்கலைக்கழகத்தில் வேடிக்கையான நினைவுகளை உருவாக்க எனக்கு வாய்ப்பு கிடைத்தது.""
"
"""""""I asked my cousin.""
",""""""" அண்ணியிடம் கேட்டேன்.""
"
"""""""I cannot live with my cousin.""
","""""""என் அப்பாவை அடித்தவனோடு வாழ முடியாது .""
"
"""""""I had a cousin who passed away when I was eight years old.""
","""""""எட்டு வயசுலே செத்துப்போன ஒங்க மவன் நான் தான்.""
"
"""""""I knew of a few older cousins who had married people who had converted to Islam but most of the time it was frowned upon to marry someone who wasn't Muslim.""""""
","""""""இஸ்லாத்திற்கு மாறியவர்களை மணந்த ஒரு சில பழைய உறவினர்களைப் பற்றி எனக்குத் தெரியும், ஆனால் பெரும்பாலும் முஸ்லீம் அல்லாத ஒருவரை திருமணம் செய்து கொள்வதில் கோபம் இருந்தது.""
"
"""""""I love my cousin.""
","""""""எனக்கு அண்ணியை பிடிச்சிருக்கு.""
"
"""""""I'm going to call my cousins in too.""
","""""""என்னோட ப்ரெண்ட்ஸ் சரக்கிலும் கூப்பிடுவோம்.""
"
