eng_Latn,tam_Taml
"""""""Ambedkar father and grandfather served in the British Army.""
","அம்பேதகாரின் தந்தையும், பாட்டானாரும் பிரிட்டிஷ் ராணுவத்தில் பணிபுரிந்திருக்கிறார்கள்.
"
"""""""Are you ready now grandfather?""""""
","""""""தயாரா அண்ணா?""
"
"""""""Did my grandfather die?""""""
","""""""எனது மூத்த மகன் இறந்துட்டானா?""
"
"""""""Doesn't anyone have grandfathers?""""""
","""""""யாரும் இல்லையா அண்ணா?""
"
"""""""Don't worry, I talked with my grandfather.""
",""" """"பதற்றப்படாதே. அப்பாவிடம் பேசினேன்.""
"
"""""""He is a friend of my grandfather's.""
","""""""இவர் என்னுடைய அண்ணாவின் நண்பன்.""
"
"""""""He said, 'Today the house of Israel will give me back my grandfather's kingdom.' """"""
","""'இன்று இஸ்ராயேல் வீட்டார் என் தந்தையின் அரசை எனக்குக் கொடுப்பர்' என்று கூறுகிறார்"""" என்றான்.""
"
"""""""He said, 'Today the house of Israel will give me back my grandfather's kingdom.'""""""
","""'இன்று இஸ்ராயேல் வீட்டார் என் தந்தையின் அரசை எனக்குக் கொடுப்பர்' என்று கூறுகிறார்"""" என்றான்.""
"
"""""""His grandfather likes me too.""""""
","""""""உங்க மாமாவுக்கும் என்னை ரொம்ப பிடிக்கும்.""
"
"""""""I only knew him as my grandfather.""
","""""""எனக்கு ஊர் மட்டும் தான் தம்பி தெரிந்தது.""
"
"""""""I went to visit my grandfather last week.""
","""""""அண்ணா போன வாரம் பெரிய அண்ணனை வீட்டிற்கு போய் பார்த்தேன்.""
"
"""""""I wish my grandfather was alive today.""
","""""""என்னுடைய பாட்டி இப்போ உயிருடன் இருந்திருக்கனும்னு விரும்புறேன்.""
"
"""""""My grandfather asked me.""
",""""""" அண்ணி என்னிடம் கேட்டார்.""
"
"""""""My grandfather bought it in 1947.""
","அப்பா 1947ல் வாங்கினார்.
"
"""""""My grandfather did his own thing.""
","""""""சுயமாக எதையாவது செய்யச்சொன்னார் என் தந்தை.""
"
"""""""My grandfather lies.""
","""""""அண்ணா பொய் சொல்றான்.""
"
"""""""My grandfather raised horses.""
","""""""என் தந்தை குதிரைகளை வளர்த்து வந்தார்.""
"
"""""""My grandfather spoiled me.""
","""""""என் மாமா என்னைக் குத்தியுள்ளார்.""
"
"""""""My grandfather started the business.""
","""""""என் அப்பா வணிகத்தைத் தொடங்கினார்.""
"
"""""""My grandfather taught me and...my father.""
","""""""அப்பா எனக்கு பாடனும் அப்பா. . . நான் ஆடனும் அப்பா.""
"
"""""""My grandfather worked there.""""""
","""என் அப்பா அங்கு வேலை பார்த்தார்""""""
"
"""""""My grandfather worked.""
",""""""" என் தம்பிக்கு வேலை போயிடுச்சு .""
"
"""""""My great grandfather bought it.""
","""""""அண்ணா வாங்கிட்டு வந்தான்.""
"
"""""""No,"""" the grandfather said.""
",""" """"இல்லை. . . """" பெரிய தந்தை சொன்னார்.""
"
"""""""Okay, I live with my mom, sister, and grandfather.""""""
","""""""""""இங்கே, இனிமே நான், மாமனார், மாமியார், கணவரோடு வாழ்ந்தாகணும்.""
"
"""""""Our grandfather started the...""
",""""""" மாமாவே தொடங்கிவைத்தார். . .""
"
"""""""People may assume I've no direct connection with farming...that I'm learning within the US, I may also work and get married there, however my father and grandfather are farmers.""
","""""""எனக்கு விவசாயத்துடன் நேரடி தொடர்பு இல்லை என்று மக்கள் நினைக்கலாம், நான் அமெரிக்காவில் படித்து வருகிறேன், நானும் அங்கே வேலை செய்து திருமணம் செய்துகொள்வேன்.""
"
"""""""People might think I have no direct connection with farming...that I am studying in the US, I will also work and get married there, but my father and grandfather are farmers.""
","""""""எனக்கு விவசாயத்துடன் நேரடி தொடர்பு இல்லை என்று மக்கள் நினைக்கலாம், நான் அமெரிக்காவில் படித்து வருகிறேன், நானும் அங்கே வேலை செய்து திருமணம் செய்துகொள்வேன்.""
"
"""""""This is my grandfather's dream.""
","""""""இது என் அம்மாவின் கனவு நனவாகும்.""
"
"""""""This is your grandfather's house?""
","""""""இந்த வீடு உன்னுதா அண்ணா?""
"
"""""""Where did you find your grandfather?""""""
","""""""அண்ணா இவளை எங்கே கண்டுபிடித்தாய். . ?""
"
"""""""Where is your grandfather now?""""""
",""""""" இப்போ உன் மாமனார் எங்கே இருக்கார்.""
"
"""""""Where your grandfather lived.""
","""""""உங்கப்பா வாழ்ந்த இடம்.""
"
"""""""Where's your grandfather now?""""""
",""""""" இப்போ உன் மாமனார் எங்கே இருக்கார்.""
"
"""""""Why do you say my grandfather?""
","""""""ஏன் அண்ணா அப்படி சொல்றீங்க?""
"
"""""""You haven't seen your grandfather before?""""""
",""""""" உன் மாமன்னரை இதற்கு முன் பார்த்ததில்லையா?""
"
"""""""You know what my grandfather on my mother's side is?""
","""""""உங்க அண்ணா என்ன கோலத்துல நிக்குறாரு தெரியுமா?""
"
"""""""You know what your grandfather's up to?""""""
","""""""உங்க அண்ணா என்ன கோலத்துல நிக்குறாரு தெரியுமா?""
"
"""""""You should eat, grandfather!""""""
","""""""நீங்க சாப்பிடுங்க, தாதிமா !""
"
