eng_Latn,tam_Taml
"""""""Fawad was straight out of Humsafar, and he thought that I am the favoured nephew of the producer and director, so he was giving me a tough time.""""""
","""""""ஃபவாத் நேராக வெளியேறினார் ஹம்சாஃபர், நான் தயாரிப்பாளர் மற்றும் இயக்குனரின் விருப்பமான மருமகன் என்று அவர் நினைத்தார், எனவே அவர் எனக்கு ஒரு கடினமான நேரத்தை அளித்தார்.""
"
"""""""Have you two nephews, sir?""""""
","""""""இரண்டு அண்ணா இருக்கா, ஸார்!""
"
"""""""He's my only nephew.""""""
",""" """"பிடிக்குமே. . என் ஒரே தங்கை.""
"
"""""""I read the report about my nephew (Krushna Abhishek) not performing on a TV show as I was invited as a guest.""
","""""""எனது மருமகன் (கிருஷ்ணா அபிஷேக்) ஒரு தொலைக்காட்சி நிகழ்ச்சியில் நான் விருந்தினராக அழைக்கப்பட்டதால் நிகழ்ச்சி நடத்தவில்லை என்ற அறிக்கையைப் படித்தேன்.""
"
"""""""I told my nephew.""
",""""""" அண்ணியிடம் கூறினேன்.""
"
"""""""My 7 year old nephew, who is in Jamaica for the first test, caught @imVkohli off-guard when he went up to him and told him """"would you like my autograph instead?.""""""
","""""""என்னுடைய ஏழு வயது உறவினர் மகன், முதல் டெஸ்ட்டின் போது ஜமைக்காவில் இருந்தார், அப்போது விராட் கோலியிடம் @imVkohli சென்று, """"அதற்கு பதிலாக எனது ஆட்டோகிராப் விரும்புகிறீர்களா?""
"
"""""""My 7-year-old nephew, who is in Jamaica for the first test, caught @imVkohli off-guard when he went up to him and told him 'would you like my autograph instead?'.""
","""""""என்னுடைய ஏழு வயது உறவினர் மகன், முதல் டெஸ்ட்டின் போது ஜமைக்காவில் இருந்தார், அப்போது விராட் கோலியிடம் @imVkohli சென்று, """"அதற்கு பதிலாக எனது ஆட்டோகிராப் விரும்புகிறீர்களா?""
"
"""""""The doctors went to my aunt's house to confirm and report the mistake,"""" said another nephew, Juan Carlos Ramirez.""
","""""""டாக்டர்கள் என் அத்தை வீட்டிற்குச் சென்று பிழையை உறுதிப்படுத்தவும் தெரிவிக்கவும் சென்றனர்"""" என்று மற்றொரு மருமகன் ஜுவான் கார்லோஸ் ராமிரெஸ் கூறினார்.""
"
"""""""The physicians went into my aunt's home to corroborate and notify them of the error,"""" said the other nephew, Juan Carlos Ramirez.""
","""""""டாக்டர்கள் என் அத்தை வீட்டிற்குச் சென்று பிழையை உறுதிப்படுத்தவும் தெரிவிக்கவும் சென்றனர்"""" என்று மற்றொரு மருமகன் ஜுவான் கார்லோஸ் ராமிரெஸ் கூறினார்.""
"
"""""""While walking in the woods of New Jersey, American mathematician Edward Kasner asked his young nephew Milton Sirotta to help him choose a name for a mind-boggling number: a 1 followed by 100 zeros,"""" the search engine says.""
","""""""நியூ ஜெர்சியின் கூகுல் காடுகளில் நடந்து செல்லும்போது, அமெரிக்க கணிதவியலாளர் Edward Kasner எட்வர்ட் காஸ்னர் தனது இளம் மருமகன் Milton Sirotta மில்டன் சிரோட்டாவிடம் 1 ஐத் தொடர்ந்து வரும் 100 பூஜ்ஜியங்கள்"""" எனும் எண்ணுக்கு ஒரு பெயரைத் தேர்வு செய்ய உதவுமாறு கேட்டார்.""
"
