eng_Latn,tam_Taml
"""""""Vikram Joshi was killed because he protested against his niece's harassment.""
","""""""விக்ரம் ஜோஷி தனது மருமகளின் துன்புறுத்தலுக்கு எதிர்ப்பு தெரிவித்ததால் கொல்லப்பட்டார்.""
"
"After all, Mr Aziz had been helping out with the wedding planning and transporting his niece's items to her new home.
","எல்லாவற்றிற்கும் மேலாக, திரு அஜீஸ் திருமண திட்டமிடல் மற்றும் அவரது மருமகளின் பொருட்களை தனது புதிய வீட்டிற்கு கொண்டு செல்வதில் உதவினார்.
"
"Of course, the niece's father can afford another mobile phone in the house but he just won't buy it.
","நிச்சயமாக, மருமகளின் தந்தை வீட்டில் மற்றொரு மொபைல் போனை வாங்க முடியும், ஆனால் அவர் அதை வாங்க மாட்டார்.
"
"Princess Diana's niece's new pink dress is almost identical to Kate Middleton's
","கேட் மிடில்டனின் ராயல் நீல ஆடை இளவரசி டயானாவுடன் கிட்டத்தட்ட ஒத்திருக்கிறது
"
"Today is my oldest niece's 21st birthday.
","என் மூத்த சகோதரிக்கும் இன்றுதான் 21-வது திருமண நாள்.
"
"Actor and playwright Girish Karnad was her niece's husband; and journalist Raghu Karnad is her grand-nephew.
","நடிகரும் நாடக எழுத்தாளருமான கிரீஷ் கர்னாட் இவரது சகோதரர் மகளின் கணவர்; மற்றும் பத்திரிகையாளர் ரகு கர்னாட் இவரது பேரன்.
"
"""""""I asked my niece what it was.""
","""""""இல்லே மாமா என்னமோபோல் இருக்கேளேன்னு கேட்டேன்.""
"
"""""""My niece is married to her cousin.""
","""""""என் அண்ணா பொண்ணுக்குக் கல்யாணம் தள்ளிப் போயிகிட்டே இருக்கு.""
"
"""""""She said, 'Look, I'm not bout to rearrange my life cause Zonnique decided to have a baby,'"""" one fan wrote in response to Heiress's reaction to her niece.""
","அவர் சொன்னார், 'இதோ, என் வாழ்க்கையை மறுசீரமைக்க நான் போவதில்லை, சோனிக் ஒரு குழந்தையைப் பெற முடிவு செய்தார்,' என்று ஒரு ரசிகர் தனது மருமகளுக்கு ஹெயிரஸின் எதிர்வினைக்கு பதிலளித்தார்.
"
"""""""She was probably $10,000 or $12,000 in before the niece became aware.""""""
","""""""அவள் ஒருவேளை $ 10,000 அல்லது $ 12,000 மகள் அறிந்திருப்பதற்கு முன்பு இருந்தாள்.""
"
"""""""Thank you, thank you, thank you to everyone who donated and made this Christmas extra special for my niece Emrie!""
","""""""நன்றி, நன்றி, என் மருமகள் எம்ரிக்கு இந்த கிறிஸ்துமஸ் கூடுதல் சிறப்பு அளித்த அனைவருக்கும் நன்றி!""
"
