eng_Latn,tam_Taml
"""""""And she said, 'See, your sister-in-law has gone back to her people and to her gods; return after your sister-in-law.'""
","15. அப்பொழுது அவள்ஃ இதோ, உன் சகோதரி தன் ஜனங்களிடத்துக்கும் தன் தேவர்களிடத்துக்கும் திரும்பிப் போய்விட்டாளே; நீயும் உன் சகோதரியின் பிறகே திரும்பிப்போ என்றாள்.
"
"""""""We had to pick between Srini's dream of us retiring in our 40s and paying my sister-in-law Priya's dowry.""""""
","""""""எங்கள் 40 களில் ஓய்வு பெறுவதற்கும், என் மைத்துனர் பிரியாவின் வரதட்சணையை செலுத்துவதற்கும் ஸ்ரினியின் கனவுக்கு இடையில் நாங்கள் எடுக்க வேண்டியிருந்தது.""
"
"""""""Your sister-in-law is a veela?""
","""""""உன வ வத இ ேபா தா ஒ தேதா, அ மா?""
"
"""15 And she said """"There, your sister-in-law has gone back to her own people and her own god; go back, follow your sister-in-law.""""""
","15. அப்பொழுது அவள்ஃ இதோ> உன் சகோதரி தன் ஜனங்களிடத்துக்கும் தன் தேவர்களிடத்துக்கும் திரும்பிப் போய்விட்டாளே; நீயும் உன் சகோதரியின் பிறகே திரும்பிப்போ என்றாள்.
"
"""15 And she said, """"See, your sister-in-law has gone back to her people and to her gods; return after your sister-in-law.""""""
","15. அப்பொழுது அவள்ஃ இதோ> உன் சகோதரி தன் ஜனங்களிடத்துக்கும் தன் தேவர்களிடத்துக்கும் திரும்பிப் போய்விட்டாளே; நீயும் உன் சகோதரியின் பிறகே திரும்பிப்போ என்றாள்.
"
"""15 And she said, 'Behold, your sister-in-law has gone back to her people, and to her god; return after your sister-in-law.""""""
","15. அப்பொழுது அவள்ஃ இதோ> உன் சகோதரி தன் ஜனங்களிடத்துக்கும் தன் தேவர்களிடத்துக்கும் திரும்பிப் போய்விட்டாளே; நீயும் உன் சகோதரியின் பிறகே திரும்பிப்போ என்றாள்.
"
"""15 She said, """"Look, your sister-in-law has gone back to her people and to her god; go back, after your sister-in-law.""""""
","15 - அப்பொழுது அவள்ஃ இதோ, உன் சகோதரி தன் ஜனங்களிடத்துக்கும் தன் தேவர்களிடத்துக்கும் திரும்பிப் போய்விட்டாளே; நீயும் உன் சகோதரியின் பிறகே திரும்பிப்போ என்றாள்.
"
"""15 Then she said, """"Behold, your sister-in-law has gone back to her people and her gods; return after your sister-in-law....""""""
","15. அப்பொழுது அவள்ஃ இதோ> உன் சகோதரி தன் ஜனங்களிடத்துக்கும் தன் தேவர்களிடத்துக்கும் திரும்பிப் போய்விட்டாளே; நீயும் உன் சகோதரியின் பிறகே திரும்பிப்போ என்றாள்.
"
"""1:15 She said, """"Behold, your sister-in-law has returned to her people and to her gods; return after your sister-in-law.""""""
","1:15 அப்பொழுது அவள்ஃ இதோ, உன் சகோதரி தன் ஜனங்களிடத்துக்கும் தன் தேவர்களிடத்துக்கும் திரும்பிப் போய்விட்டாளே; நீயும் உன் சகோதரியின் பிறகே திரும்பிப்போ என்றாள்.
"
"""1:15 So Naomi said, """"Look, your sister-in-law is returning to her people and to her god.""
","""1:15 நவோமி அவளை நோக்கி, """"பார், உங்கள் இனத்தாளாயிருக்கிற அவரது மக்கள் திரும்புகிறார், தன் தேவர்களிடத்துக்கும்.""
"
