eng_Latn,tam_Taml
"""""""But he's your uncle!""
","""""""என்ன இருந்தாலும் அவர் உன் மாமனார் டா!""
"
"""""""Did you know my uncle?""
","""""""உங்க மாமனுக்குத் தெரியுமா?""
"
"""""""Do you know your uncle?""
","""""""உங்க மாமனுக்குத் தெரியுமா?""
"
"""""""Doesn't your uncle do that kind of thing?""""""
","""""""இல்லை உன் மாமனார் இந்த மாதிரி ஹெல்ப் மட்டும்தான் செய்யறாரா?""
"
"""""""Don't give your uncle trouble.""""""
","""""""அண்ணா அண்ணியை அடிக்காதீங்க. . என்னால உங்களுக்கு பிரச்சனை வேண்டாம்.""
"
"""""""Don't worry, Auntie, I won't tell my uncle.""""""
","""""""பயப்படாதீங்க அண்ணி. . அண்ணன் கிட்ட நான் சொல்ல மாட்டேன்.""
"
"""""""Have you not talked about this with your uncle?""""""
","'நீங்க உங்க மாமனார் கிட்ட இதப்பத்தி பேசலையா?
"
"""""""He is my maternal uncle.""
","""""""அவன் என் மாமனார் சாயல்.""
"
"""""""He is not my uncle.""
","""""""அவர் இப்போ என் மாமனார் இல்ல.""
"
"""""""He killed his uncle and put the body on the stairs,"""" Trump said in an apparent reference to a building that was used by senior officials.""
","""""""கிம் அவரது மாமனாரைக் கொன்று அவரது சடலத்தை உயர் அதிகாரிகள் உபயோகிக்கும் கட்டிடத்தின் படிக்கட்டில் வைத்துவிட்டார்"""" என ட்ரம்ப் சொன்னதாக அதில் கூறப்பட்டுள்ளது.""
"
"""""""He's my maternal uncle.""
","""""""அவன் என் மாமனார் சாயல்.""
"
"""""""He's not my uncle anymore.""""""
","""""""அவர் இப்போ என் மாமனார் இல்ல.""
"
"""""""Honey...It's just your uncle.""
","""""""ஏய் லதா. . . உனக்கு மட்டும் தான் அவரு மாமன் முறையா.""
"
"""""""How can he be my uncle?""""""
","""""""எப்படியடி காட்டுவேன், அவர் என் மாமனார் ஆயிற்றே?""
"
"""""""I asked your uncle.""
",""""""" அண்ணியிடம் கேட்டேன்.""
"
"""""""I came over to see my aunt and uncle.""""""
","""""""அண்ணாச்சியையும் உங்களையும்தான் பார்க்க வந்தேன்.""
"
"""""""I came to see my uncle.""
","""""""அண்ணியைப் பார்க்க வந்தேன்.""
"
"""""""I didn't know he was your uncle until today.""
","""""""நேற்றுவரை அவர் உங்கள் மகன் என்று எனக்குத் தெரியாது.""
"
"""""""I don't remember an uncle.""""""
","""""""எனக்கு எந்த ஆன்ட்டியையும் ஞாபகம் இல்ல.""
"
"""""""I have often heard my uncle,"""" said""
","""""""மது தாத்தா அடிக்கடி சொல்ல நான் கேட்டது """"""
"
