eng_Latn,tel_Telu
"""""""Albert J. Parkhouse was a born tinkerer and inventor,"""" his brother-in-law, Emmett Sargent, used to tell me when I was young.""
","""""""ఆల్బర్ట్ జె. పార్క్ హౌస్ జన్మించిన టింకర్ మరియు ఆవిష్కర్త,"""" అతని సోదరుడు అత్తయ్య ఎమ్మెట్ సార్జెంట్, నేను చిన్న వయస్సులో ఉన్నప్పుడు నాకు చెప్పడానికి ఉపయోగించాడు.""
"
"""""""Shilpa Shetty said that it was London-based wanted accused and Raj Kundra's brother-in-law Pradeep Bakshi who was involved with the app and its functioning.""
","ఇక లండన్ కు చెందిన వాంటెడ్ నిందితుడు, రాజ్ కుంద్రా యొక్క బావ ప్రదీప్ బక్షి ఈ యాప్ మరియు దాని పనితో సంబంధం కలిగి ఉన్నారని శిల్పా శెట్టి చెప్పినట్టు తెలుస్తోంది.
"
"""""""When I made the first Juke 8s, a brother-in-law suggested I take out a patent.""
","""""""నేను మొదటి జ్యూక్ 8 లను తయారు చేసినప్పుడు, ఒక మేనకోడను నేను పేటెంట్ ను తీసుకోవాలని సూచించాను.""
"
"""(Gen 38:8 NASB) Then Judah said to Onan, """"Go in to your brother's wife, and perform your duty as a brother-in-law to her, and raise up offspring for your brother.""""""
","""38:8 అందువలన, యూదా తన కుమారుడు ఓనాను చెబుతారుః """"మీ సోదరుడు భార్య ఎంటర్, మరియు ఆమె తో అసోసియేట్, కాబట్టి మీరు మీ సోదరుడు జన్మనిచ్చేందుకు పెంచుతాయి.""
"
"""A Gen 38:8 Then Judah said to Onan, """"Go in to your brother's wife, and perform your duty as a brother-in-law to her, and raise up offspring for your brother.""""""
","""38:8 అందువలన, యూదా తన కుమారుడు ఓనాను చెబుతారుః """"మీ సోదరుడు భార్య ఎంటర్, మరియు ఆమె తో అసోసియేట్, కాబట్టి మీరు మీ సోదరుడు జన్మనిచ్చేందుకు పెంచుతాయి.""
"
"""A standard dining room table takes a snug turn as a breakfast nook, punctuated by sea-green chairs from Anthropologie, an antique bread bowl and """"Be Present"""" wall art made by the couple's brother-in-law.""
","""ఒక ప్రామాణిక భోజనాల గది పట్టిక అల్పాహారం సంపుటిగా ఒక సుఖకరమైన మలుపుగా, అంత్రోపోలోజీ నుండి సముద్ర-ఆకుపచ్చ కుర్చీలు, ఒక పురాతన రొట్టె గిన్నె మరియు జంట సోదరుడు అత్త చేసిన """"బి ప్రెజెంట్"""" గోడ కళల ద్వారా విరామ చిహ్నాన్ని తీసుకుంటుంది.""
"
"""Elizabeth Lohner, a Traunstein resident whose brother-in-law was sent to Dachau as a conscientious objector, has been quoted as saying, """"It was possible to resist, and those people set an example for others.""
","""ఎలిజబెత్ లోహ్నర్, ఒక ట్రూస్టెయిన్ నివాసము, అతని సోదరుడు అనాదిగా డాచౌకు మనస్సాక్షిగా వ్యవహరించే వ్యక్తిగా పంపబడ్డాడు, """"ఇది అడ్డుకోవటానికి అవకాశం ఉంది, మరియు ఆ ప్రజలు ఇతరులకు ఒక ఉదాహరణను ఇచ్చారు.""
"
"""Gen38:8 Then Judah said to Onan, """"Go in to your brother's wife, and perform your duty as a brother-in-law to her, and raise up offspring for your brother.""""""
","""38:8 అందువలన, యూదా తన కుమారుడు ఓనాను చెబుతారుః """"మీ సోదరుడు భార్య ఎంటర్, మరియు ఆమె తో అసోసియేట్, కాబట్టి మీరు మీ సోదరుడు జన్మనిచ్చేందుకు పెంచుతాయి.""
"
"""In 1913 he wrote to his brother-in-law: """"I don't know whether there is anyone else at all who remembers my noble father with such sadness.""
","""1913 లో, అతను తన సవతి రాశారుః """"ఎవరైనా అదే బాధతో నా నోబుల్ పోప్ గుర్తు నేను వంటి అవకాశం ఉంది.""
"
"""It's """"Mr. Smith,"""" not """"Jim,"""" even if he is your brother-in-law.""
","""ఇది """"మిస్టర్ స్మిత్,"""" """"జిమ్"""" కాదు, అతను మీ సోదరుడు అయినప్పటికీ.""
"
"""Naturally flirtatious, there are several instances in her writing that could be misconstrued by modern readers, and in the musical """"Hamilton,"""" Angelica is portrayed as secretly longing for a brother-in-law she loves.""
","""సహజంగా సరసమైనది, ఆధునిక రచనల ద్వారా తప్పుగా అర్ధం చేసుకోగల తన రచనలో చాలా సందర్భాలు ఉన్నాయి మరియు సంగీత """"హామిల్టన్"""" లో, యాంజెలికా ఆమెను ప్రేమిస్తున్న ఒక సోదరుడు-లో-చట్టం కోసం రహస్యంగా కోరికగా చిత్రీకరించబడింది.""
"
"'The government says that there is ample supply of medicines and oxygen,' said Brijesh Pandey, who spends hours every day jostling with others to try to secure oxygen for his brother-in-law.
","""""""ప్రభుత్వం చెబుతుంది medicines షధాలు మరియు ఆక్సిజన్ పుష్కలంగా సరఫరా అవుతోంది """"అని బ్రిజేష్ పాండే చెప్పారు, అతను తన బావ కోసం ఆక్సిజన్ను భద్రపరచడానికి ప్రయత్నించడానికి ప్రతిరోజూ గంటలు ఇతరులతో సరదాగా గడుపుతాడు.""
"
"(For the purposes of full disclosure, my brother-in-law worked for Health Affairs' parent company, Project Hope, several years ago.)
","(పూర్తి వెల్లడి కోసం, నా సోదరుడు లో చట్టం అనేక సంవత్సరాల క్రితం హెల్త్ ఎఫైర్స్ మాతృ సంస్థ, ప్రాజెక్ట్ హోప్ కోసం పనిచేసింది.
"
"(In memory of my brother-in-law who died recently.)
","(ఇటీవల ఆత్మహత్య చేసుకొని మరణించిన నా మిత్రుని స్మృతిలో)
"
"(My mom, siblings, and brother-in-law.)
","(నేను, మాపెద్దబ్బాయి, తమ్ముడు-మరదలు- మేనకోడలు & మేనల్లుడు)
"
"A senior superintendent of police (Ajay Devgn) who's installed in a fictitious Bihar district overrun by crime and corruption - one of the villains shares his name with corrupt and convicted Lalu Prasad Yadav's brother-in-law - vows to breathe life into the dysfunctional police force.
","నేరం మరియు అవినీతిపై దాడి చేసిన బీహార్లోని కాల్పనిక జిల్లాలో వ్యవస్థాపించబడిన ఒక సీనియర్ పోలీసు సూపరింటెండెంట్ (అజయ్ దేవ్గన్) - విలన్లలో ఒకరు తన పేరును అవినీతిపరులు మరియు దోషిగా తేలిన లాలూ ప్రసాద్ యాదవ్తో పంచుకుంటారు - పనిచేయని పోలీసు బలగాలకు జన్మనివ్వాలని ప్రమాణం చేశారు .
"
"A year after her marriage, she joined her cousin Sara and brother-in-law AP to start the Carter Family.
","ఆమె పెళ్లికి ఒక సంవత్సరం తరువాత ఆమె తన బంధువు సారా మరియు సోదరుడు అత్తలో కార్టర్ ఫ్యామిలీని ప్రారంభించటానికి చేరింది.
"
"About five months later, in December, 1964, Theo's brother-in-law Oscar paid us a visit from Calcutta.
","దాదాపు ఐదు నెలల తరువాత, 1964, డిసెంబరులో, థియో యొక్క సోదరుడు అత్తగారు ఆస్కార్ మాకు కలకత్తా నుండి వచ్చారు.
"
"Aditya Alva is the son of late minister Jeevaraj Alva and also the brother-in-law of Bollywood actor Vivek Oberoi.
","ఆదిత్య అల్వా మాజీ మంత్రి జీవరాజ్ అల్వా కుమారుడు, బాలీవుడ్ నటుడు వివేక్ ఒబెరాయ్ సోదరుడు.
"
"After his release, he questions Neha in her apartment when suddenly Neha's alcoholic and drug-abusing brother-in-law, Sunny Salgaonkar, arrives and she tells Ronny to leave.
","విడుదలైన తరువాత, అకస్మాత్తుగా నేహా యొక్క మద్యపాన, మాదకద్రవ్యాల దుర్వినియోగం గురించి తన బావ సన్నీ సల్గావ్కర్ వచ్చినప్పుడు అతను నేహాను తన అపార్ట్మెంట్లో ప్రశ్నించాడు అప్పుడు ఆమె రోనీని వెళ్ళమని చెబుతుంది.
"
"After his release, he questions Neha in her apartment when suddenly Neha's alcoholic and drug-abusing brother-in-law, Sunny, arrives and she tells Ronny to leave.
","విడుదలైన తరువాత, అకస్మాత్తుగా నేహా యొక్క మద్యపాన, మాదకద్రవ్యాల దుర్వినియోగం గురించి తన బావ సన్నీ సల్గావ్కర్ వచ్చినప్పుడు అతను నేహాను తన అపార్ట్మెంట్లో ప్రశ్నించాడు అప్పుడు ఆమె రోనీని వెళ్ళమని చెబుతుంది.
"
"After the short reign of Abu Bakr, there were two morecaliph, traditionally called righteous, until in 661 the ruler of the entire Islamic world was finally elected Ali ibn Abu Talib, cousin and brother-in-law of the Prophet Muhammad himself, father of the future Imam Hussein.
","అబూబక్ర్ యొక్క ఒక చిన్న పాలన తర్వాత సంప్రదాయకంగా న్యాయంగా సూచిస్తారు మతనాయకుడు యొక్క రెండు కంటే ఉండగా 661 లో ఇస్లామిక్ లోకాధికారి, చివరకు ఎన్నికయ్యారు ఆలీ ఇబ్న్ అబి తాలిబ్, ప్రవక్త ముహమ్మద్, ఇమామ్ హుస్సేన్ యొక్క భవిష్యత్తు తండ్రి చట్టం బంధువు మరియు కుమారుడు.
"
"Agamemnon: Leader of the Achaean (Greek) forces and the brother-in-law of the beautiful Helen, formerly of Sparta, now of Troy.
","అగామెమ్నోన్ - అచీయన్ (గ్రీకు) దళాల నాయకుడు మరియు అందమైన హెలెన్ సోదరుడు - స్పార్టా గతంలో, ఇప్పుడు ట్రోయ్.
"
"Alva, son of former minister Jeevaraj Alva, is the brother-in-law of Bollywood actor Vivek Oberoi.
","ఆదిత్య అల్వా మాజీ మంత్రి జీవరాజ్ అల్వా కుమారుడు, బాలీవుడ్ నటుడు వివేక్ ఒబెరాయ్ సోదరుడు.
"
"And if we assume that Marya, Ivan's wife, has a married sister of her own, she will be considered a sister-in-law for Ivan, and her husband, respectively, as a brother-in-law.
","మరియు మేము మేరీ, ఇవాన్ భార్య, ఒక వివాహమైన సోదరి ఉందని ఊహించుకుంటే, ఆమె అత్త ఇవాన్ sister-, మరియు ఆమె భర్త, వరుసగా, ఒక బంధువు పరిగణించబడుతుంది.
"
"Angry, Shankar kills all goons and surrenders himself to his brother-in-law.
","కోపంతో శంకర్, గూండాలందరినీ చంపి తన బావకు లొంగిపోతాడు.
"
"Anne Bradstreet's brother-in-law, the Rev. John Woodbridge, took some of her poems to England with him, where he had them published without her knowledge in 1650 in a book titled The Tenth Muse Lately Spring Up in America.
","అన్నే బ్రాడ్స్ట్రీట్ యొక్క సోదరుడు, రెవ్ జాన్ వుడ్బ్రిడ్జ్, తన పద్యాలు కొన్నింటిని అతనితో ఇంగ్లాండ్కు తీసుకువెళ్లారు, అక్కడ 1650 లో ఆమె తన జ్ఞానం లేకుండా ప్రచురించిన ది టెంట్ మ్యూజ్ ఇటీవల స్ప్రింగ్ అప్ ఇన్ అమెరికాలో అనే పుస్తకంలో ప్రచురించింది.
"
