eng_Latn,tel_Telu
"""""""'II' is used whenever any close relative, including for example a grandfather or a great-uncle, shares the same name as the child.""""""
","ఉదాహరణకు, ఒక తాత లేదా పెద్ద మామతో సహా ఏదైనా సన్నిహిత బంధువు అయినప్పుడే 'II' ఉపయోగించబడుతుంది, పిల్లల పేరు అదే పేరుతో పంచుకుంటుంది.
"
"""""""Are...are you my grandfather?""""""
",""" """"అంటే. . . మీ నాన్నగారు కూడానా?""
"
"""""""For these services and for others which he rendered to Sir Charles Napier in his conquest of Sind in 1843-4, my grandfather received a pension from the British Government.""""""
","ఈ సేవలు, మరియు 1843-44 లో సర్ చార్లెస్ నేపియర్ సింద్ ను జయించుటలో ఆగా ఖాన్ I అందించిన ఇతర సేవలకై, ఆగా ఖాన్ బ్రిటిష్ గవర్నమెంట్ ఆఫ్ ఇండియా నుండి పింఛను అందుకున్నారు.
"
"""""""I did not know about your grandfather.""""""
","""మీ నాన్న తాతముత్తాతల గురించి నాకు తెలియదు """" అన్నారు.""
"
"""""""I don't know anything about your grandfather.""""""
","""మీ నాన్న తాతముత్తాతల గురించి నాకు తెలియదు """" అన్నారు.""
"
"""""""I saw the picture originally from my dad who had gotten it from my grandfather who was a Baptist minister in Cape Girardeau Missouri in the Spring of '41.""
","""""""నేను 41 వ వసంతకాలంలో కేప్ గిరార్డియౌ మిస్సౌరీలో బాప్టిస్ట్ మంత్రిగా ఉన్న నా తాత నుండి వచ్చిన నా తండ్రి నుండి మొదట చిత్రాన్ని చూశాను.""
"
"""""""I spent a lot of time in it when I was a kid and my grandfather's brothers were farmers.""
","""""""నేను పిల్లవాడిగా ఉన్నప్పుడు చాలా సమయాన్ని గడిపాను, నా తాత సోదరులు రైతులు.""
"
"""""""I'm here for you,"""" her grandfather said in Spanish.""
","""""""""""మీ కోసం నేను ఇక్కడ ఉన్నాను,"""""""" ఆమె తాత స్పానిష్ లో చెప్పారు.""
"
"""""""In Madras, I would go on long walks with my grandfather, who at that point was retired, and we take morning walks where I pulled his hand and he would tell me about the heroes who are responsible for the birth of the world's biggest democracy, and he would explain that 'it's on us to pick up where they left off """" .""
","""""""మద్రాసులో, నేను ఆ సమయంలో పదవీ విరమణ చేసిన నా తాతతో సుదీర్ఘ నడకలో వెళ్తాను, నేను ఉదయం చేతులు వేసుకున్నాను, అక్కడ నేను అతని చేతిని లాగాను మరియు ప్రపంచంలోని అతిపెద్ద ప్రజాస్వామ్యం పుట్టుకకు కారణమైన వీరుల గురించి అతను నాకు చెప్తాడు.""
"
"""""""In Madras, I would go on long walks with my grandfather, who at that point was retired, and we take morning walks where I pulled his hand and he would tell me about the heroes who are responsible for the birth of the world's biggest democracy, and he would explain that 'it's on us to pick up where they left off'.""
","""""""మద్రాసులో, నేను ఆ సమయంలో పదవీ విరమణ చేసిన నా తాతతో సుదీర్ఘ నడకలో వెళ్తాను, నేను ఉదయం చేతులు వేసుకున్నాను, అక్కడ నేను అతని చేతిని లాగాను మరియు ప్రపంచంలోని అతిపెద్ద ప్రజాస్వామ్యం పుట్టుకకు కారణమైన వీరుల గురించి అతను నాకు చెప్తాడు.""
"
"""""""In Madras, I would go on long walks with my grandfather, who at that point was retired, and we take morning walks where I pulled his hand and he would tell me about the heroes who are responsible for the birth of the world's biggest democracy, and he would explain that 'tt's on us to pick up where they left off """" .""
","""""""మద్రాసులో, నేను ఆ సమయంలో పదవీ విరమణ చేసిన నా తాతతో సుదీర్ఘ నడకలో వెళ్తాను, నేను ఉదయం చేతులు వేసుకున్నాను, అక్కడ నేను అతని చేతిని లాగాను మరియు ప్రపంచంలోని అతిపెద్ద ప్రజాస్వామ్యం పుట్టుకకు కారణమైన వీరుల గురించి అతను నాకు చెప్తాడు.""
"
"""""""In Madras, I would go on long walks with my grandfather, who at that point was retired, and we take morning walks where I pulled his hand and he would tell me about the heroes who are responsible for the birth of the world's biggest democracy, and he would explain that 'tt's on us to pick up where they left off'.""
","""""""మద్రాసులో, నేను ఆ సమయంలో పదవీ విరమణ చేసిన నా తాతతో సుదీర్ఘ నడకలో వెళ్తాను, నేను ఉదయం చేతులు వేసుకున్నాను, అక్కడ నేను అతని చేతిని లాగాను మరియు ప్రపంచంలోని అతిపెద్ద ప్రజాస్వామ్యం పుట్టుకకు కారణమైన వీరుల గురించి అతను నాకు చెప్తాడు.""
"
"""""""In Madras, I would go on long walks with my grandfather, who at that point was retired, and we take morning walks where I pulled his hand and he would tell me about the heroes who are responsible for the birth of the world's biggest democracy, and he would explain that 'tt's on us to pick up where they left off.""""""
","""""""మద్రాసులో, నేను ఆ సమయంలో పదవీ విరమణ చేసిన నా తాతతో సుదీర్ఘ నడకలో వెళ్తాను, నేను ఉదయం చేతులు వేసుకున్నాను, అక్కడ నేను అతని చేతిని లాగాను మరియు ప్రపంచంలోని అతిపెద్ద ప్రజాస్వామ్యం పుట్టుకకు కారణమైన వీరుల గురించి అతను నాకు చెప్తాడు.""
"
