eng_Latn,tel_Telu
"""""""I know you do not make the laws, but you are the wives, mothers, sisters, daughters, and grandmothers of those who do.""
","""""""మీరు చట్టాలు చేయలేదని నాకు తెలుసు, కానీ నీవు కూడా భార్యలు మరియు తల్లులు, సోదరీమణులు మరియు కుమార్తెలు, చేసేవారిలో నాకు తెలుసు.""
"
"""""""I lived up to the age of 11 in Feira, with my father and my paternal grandmother (Ana),"""" From 11 to 13 years old, I lived with my mother in a farm (of Sao Jose) near Feira de Santana.""
","""""""నేను నా తండ్రి మరియు నా తల్లితండ్రు (అనా) తో, ఫెరాలో 11 సంవత్సరాల వయస్సు వరకు నివసించాను,"""" నా నుండి నాన్నగారి వయస్సు వరకు, నాన్నగారు, నేను ఫీరా డే సంతనాకు సమీపంలో ఉన్న ఒక పొలంలో (సావో జోస్లో) నా తల్లి తో నివసించారు.""
"
"""""""My grandmother Marie.""
",""""""" ఆంటీ మేరీ.""
"
"""""""My grandmother in 1958.""
","""""""అన్న-తమ్ముడు 1958.""""""
"
"""""""My grandmother wanted to see me married.""
","""""""నేను పెళ్లి చేసుకుంటే చూడాలనేది మా అమ్మ కోరిక.""
"
"""""""One of my early childhood memories was my grandmother always having a bowl of Nestle chocolate bars at her house.""
","నా చిన్ననాటి జ్ఞాపకాలలో ఒకటి, నానమ్మ ఎప్పుడూ తన ఇంట్లో నెస్లే చాక్లెట్ బార్ల గిన్నెను కలిగి ఉంది.
"
"""""""Our grandmother is inside.""
","""""""ఆంటీ లోపల ఉన్నారు.""
"
"""""""Um...what's your grandmother like?""""""
","""""""వాట్ అనిరుధ్? . . మీ గ్రాండ్ మదర్ ఎలా ఉన్నారు?""
"
"""""""What was your grandmother like?""""""
","""""""వాట్ అనిరుధ్? . . మీ గ్రాండ్ మదర్ ఎలా ఉన్నారు?""
"
"""""""What's your grandmother like?""""""
","""""""వాట్ అనిరుధ్? . . మీ గ్రాండ్ మదర్ ఎలా ఉన్నారు?""
"
"""""""Why, grandmother,"""" she said,""
","""""""ఎందుకురా,"""" అన్నారు తాతయ్యా.""
"
"""""""Yep... you're just like your grandmother.""""""
",""" """"అవునురా. . . వాడివన్నీ మీ నాన్నగారి పోలికలే.""
"
"""""""You know about my grandmother?""""""
",""""""" అయ్యయ్యో మా ఆంటీ గురించి అస్సలు నీకేమీ తెలీదా ?""
"
"""""""Your grandmother understands.""
","""""""మీ బాద అర్ధమయింది.""
"
"""""""Your grandmother?""
","""""""మీ మామ్మా?""
"
"""Blain counts among GFS members """"75-year-old grandmothers looking to play cards with others and 22-year-old students looking to get out for a night of dancing,"""" along with new moms.""
","""GFS సభ్యుల మధ్య నిశ్చితార్థం """"75 ఏళ్ల నానమ్మలు ఇతరులతో కార్డులను ఆడటం మరియు నృత్య రాత్రికి రావడానికి చూస్తున్న 22 ఏళ్ల విద్యార్ధులు,"""" కొత్త తల్లులతో పాటు.""
"
"""Blain counts among gfs members """"75-year-old grandmothers looking to play cards with others and 22-year-old students looking to get out for a night of dancing,"""" along with new moms.""
","""GFS సభ్యుల మధ్య నిశ్చితార్థం """"75 ఏళ్ల నానమ్మలు ఇతరులతో కార్డులను ఆడటం మరియు నృత్య రాత్రికి రావడానికి చూస్తున్న 22 ఏళ్ల విద్యార్ధులు,"""" కొత్త తల్లులతో పాటు.""
"
"""Blain matters among GFS members """"75-year-old grandmothers seeking have fun with cards with other people, and 22-year-old people looking for out for a night of moving,"""" alongside new women.""
","""GFS సభ్యుల మధ్య నిశ్చితార్థం """"75 ఏళ్ల నానమ్మలు ఇతరులతో కార్డులను ఆడటం మరియు నృత్య రాత్రికి రావడానికి చూస్తున్న 22 ఏళ్ల విద్యార్ధులు,"""" కొత్త తల్లులతో పాటు.""
"
