eng_Latn,tel_Telu
"""""""Fly"""" is the English adaptation of Dion's song """"Vole,"""" which was written in memory of her niece who died of cystic fibrosis.""
","""""""ఫ్లై"""" అనేది డియోన్ యొక్క పాట """"వోల్"""" యొక్క ఆంగ్ల అనుకరణ, ఇది సిస్టిక్ ఫైబ్రోసిస్ యొక్క మరణించిన ఆమె మేనకోడల జ్ఞాపకార్థంలో వ్రాయబడింది.""
"
"""""""I like you, niece.""
","""""""నువ్వంటే నాకు చాలా ఇష్టం ఆంటీ.""
"
"""""""My little nieces have curly hair,"""" she later told Complex.""
","'నా చిన్న మేనకోడళ్ళు గిరజాల జుట్టు కలిగి,' ఆమె తరువాత చెప్పారు క్లిష్టమైన .
"
"""""""Obviously my nieces and nephew, they didn't ask for this ,"""" he said in 2015.""
","'సహజంగానే నా మేనకోడళ్ళు, మేనల్లుడు, వారు దీనిని అడగలేదు , 'అతను 2015 లో చెప్పాడు.
"
"""""""Obviously my nieces and nephew, they didn't ask for this,"""" he pronounced in 2015.""
","'సహజంగానే నా మేనకోడళ్ళు, మేనల్లుడు, వారు దీనిని అడగలేదు , 'అతను 2015 లో చెప్పాడు.
"
"""""""Obviously my nieces and nephew, they didn't ask for this,"""" he said in 2015.""
","'సహజంగానే నా మేనకోడళ్ళు, మేనల్లుడు, వారు దీనిని అడగలేదు , 'అతను 2015 లో చెప్పాడు.
"
"""Catholics interpret the term """"brothers"""" (adelphos in Greek) and """"sisters"""" in these passages to include nephews, nieces, cousins, half-brothers and half-sisters.""
","""కాథలిక్కులు మేనల్లుళ్ళు, మేనళ్ళు, బంధువులు, అర్ధ-సోదరులు మరియు సగం-సోదరీమణులను చేర్చడానికి ఈ భాగాలలో """"సోదరులు"""" (గ్రీకులో అడేల్ఫోస్) మరియు """"సోదరీమణులు"""" అనే పదాన్ని అర్థం చేసుకుంటారు.""
"
"""In contrast, Uncle Peck actually hopes to develop a """"normal"""" long-term romantic relationship with his niece.""
","""దీనికి విరుద్ధంగా, అంకుల్ పెక్ వాస్తవానికి తన మేనకోడలతో """"సాధారణ"""" దీర్ఘకాలిక శృంగార సంబంధాన్ని అభివృద్ధి చేయాలని భావిస్తాడు.""
"
"A woman with a second-degree relative with breast cancer has around a 22 percent chance of developing breast cancer (second-degree relatives include grandparents, aunts, uncles, nieces, and nephews.)
","రొమ్ము క్యాన్సర్తో రెండో డిగ్రీ ఉన్న స్త్రీని రొమ్ము క్యాన్సర్ అభివృద్ధికి 22 శాతం అవకాశం ఉంది (రెండవ-స్థాయి బంధువులు తాతలు, అత్తమామలు, మేనళ్ళు, మేనళ్ళు మరియు మేనల్లుళ్ళు.
"
"About Billy Gilmour's relatives: The bulk of Gilmour's extended family which include his maternal and paternal grandparents, as well as his aunts, uncles, nieces and cousins are yet to be identified at the time of writing.
","బిల్లీ గిల్మర్ బంధువుల గురించిః గిల్మర్ యొక్క విస్తరించిన కుటుంబంలో ఎక్కువ భాగం అతని తల్లి మరియు తల్లితండ్రులు, అలాగే అతని అత్తమామలు, మేనమామలు, మేనకోడళ్ళు మరియు దాయాదులు ఇంకా రాసే సమయంలో గుర్తించబడలేదు.
"
