eng_Latn,tel_Telu
"""""""Alright, your uncle.""
","""""""సరే అంకుల్.""
"
"""""""At the time of the incident, Sudeeksha's uncle - Satendra Bhati - was in Dadri, according to his mobile location.""
","""""""సంఘటన జరిగిన సమయంలో, సుదీక్ష మామ - సతేంద్ర భాటి - తన మొబైల్ స్థానం ప్రకారం దాద్రిలో ఉన్నారు.""
"
"""""""Didn't I tell you, uncle?""
","""""""నేనేం చెప్పాను అంకుల్?""
"
"""""""Didn't your uncle tell you anything?""
","""""""ఈమె భర్త మీకు ఏమీ చెప్పలేదా?""
"
"""""""Family names like mother, father, mom, dad, uncle, etc. need to be capitalized when they're proper nouns--'Why are you hitting me, Father?'""
",""""""" తల్లి, తండ్రి, తల్లి, తండ్రి, మామ , తదితర కుటుంబ పేర్లు వారు సరైన నామవాచకాలుగా ఉన్నప్పుడు పెట్టుబడి పెట్టాలి - 'నన్ను ఎందుకు కొడుతున్నావు, తండ్రి?""
"
"""""""Had this outbreak occurred during the SP government, there would have been a competition between the uncle and nephew (SP president Akhilesh Yadav and his uncle Shivpal Singh Yadav) as to who should grab how much without caring for the poor and how to give contracts (for different works during the pandemic) to which mafia,"""" he said.""
","""ఎస్పి ప్రభుత్వ కాలంలో కరోనా వ్యాప్తి సంభవించి ఉంటే, పేదలను పట్టించుకోకుండా ఎవరికి కాంట్రాక్ట్లు ఎలా ఇవ్వాలి అనే విషయంలో మామ, మేనల్లుడు (ఎస్పి అధ్యక్షుడు అఖిలేష్ యాదవ్, అతని మామ శివపాల్ సింగ్ యాదవ్) మధ్య ఏ మాఫియాకు ఇవ్వాలనే దానిపై పోటీ ఉండేది (మహమ్మారి సమయంలో వివిధ పనుల కోసం) """" అంటూ పేర్కొన్నారు.""
"
"""""""Handsome uncle!""""""
",""""""" నమస్తే అంకుల్!""
"
"""""""Harry, I've visited you every Christmas for the past five years, and to this day I can never understand this extraordinary ritual of toasting the health of your old uncle Ebenezer.""
","""""""హ్యారీ, నేను గత ఐదు సంవత్సరాలుగా ప్రతి క్రిస్మస్ను సందర్శించి, ఈ రోజు వరకు మీ పాత మామ ఎబినేజర్ యొక్క ఆరోగ్యాన్ని అభినందించటానికి ఈ అసాధారణ కర్మను నేను అర్థం చేసుకోలేకపోతున్నాను, ప్రతి ఒక్కరూ ఆయనకు అత్యంత దుర్మార్గపు పాత చర్మం దేవుని భూమి మీద నడిచింది.""
"
"""""""How are you uncle?""""""
",""" . """"ఎలా ఉంది అంకుల్?""
"
"""""""How are you, uncle?""""""
",""" . """"ఎలా ఉంది అంకుల్?""
"
